"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2020-11-23",232.860001,236.410004,232.410004,235.220001,1091500,226.684677
"2020-11-24",236.539993,237.460007,233.410004,234.660004,1374200,226.14502
"2020-11-25",235.160004,235.160004,229.779999,230.389999,896400,222.029953
"2020-11-27",231.5,232.199997,228.539993,229.029999,538300,220.719269
"2020-11-30",228.720001,232.199997,226.25,231.169998,2608000,222.781631
"2020-12-01",234.649994,235.850006,229.75,230.360001,1229600,222.001053
"2020-12-02",229.380005,231,227.080002,227.179993,1067900,218.936432
"2020-12-03",227.509995,228.380005,219.300003,220.339996,1923100,212.34462
"2020-12-04",220.699997,222.470001,219.160004,219.929993,1544800,211.949493
"2020-12-07",220,220.619995,216.539993,219.089996,1660900,211.139984
"2020-12-08",218.820007,222.720001,218.820007,221.039993,1159000,213.019226
"2020-12-09",221.320007,224.860001,219.800003,224.190002,1426300,216.054947
"2020-12-10",223.039993,223.5,219.220001,219.550003,1166200,211.583298
"2020-12-11",218.389999,220.330002,217.399994,218.660004,1137500,210.725586
"2020-12-14",220.679993,221.740005,216.410004,216.410004,1033600,208.557236
"2020-12-15",218.539993,225.5,218.539993,224.039993,1264400,215.910355
"2020-12-16",223.929993,224.399994,221.429993,222.820007,840300,214.734634
"2020-12-17",223.860001,225.279999,221.440002,223.429993,774000,215.322479
"2020-12-18",224.070007,225.149994,221.449997,224.309998,1791800,216.170547
"2020-12-21",220.229996,226.020004,219.600006,224.720001,655300,216.565689
"2020-12-22",224.470001,225.5,222.649994,223.539993,944500,215.428513
"2020-12-23",223.229996,225.729996,222.039993,224.220001,561200,216.083832
"2020-12-24",225.289993,226.699997,224.039993,226.529999,197300,218.310028
"2020-12-28",227.910004,228.679993,223.960007,224.139999,407000,216.006744
"2020-12-29",224.410004,225.279999,220.770004,222.690002,563400,214.60936
"2020-12-30",223.880005,225.880005,223.479996,224.990005,390600,216.825897
"2020-12-31",224.910004,227.289993,223.850006,227.100006,480400,218.859329
"2021-01-04",227.679993,229.149994,219.75,221.369995,999200,213.337234
"2021-01-05",220.600006,223.929993,220.600006,221.630005,1297400,213.587845
"2021-01-06",223.839996,236.25,223.75,233.589996,1366000,225.113831
"2021-01-07",235.889999,239.759995,234.149994,239.210007,1351400,230.529892
"2021-01-08",240.160004,241.25,231.300003,234.309998,1455800,225.807678
"2021-01-11",232.729996,238.389999,231.639999,236.679993,1083800,228.091675
"2021-01-12",236.75,242.690002,236.539993,242.029999,1037600,233.247574
"2021-01-13",242.080002,243.149994,239.789993,240.869995,1032600,232.129654
"2021-01-14",241.570007,244,241.100006,241.330002,781700,232.572983
"2021-01-15",239.309998,239.309998,233.279999,237.240005,1823100,228.631393
"2021-01-19",240.279999,241.440002,236.940002,238.360001,1095400,229.710754
"2021-01-20",239.460007,239.460007,235,236.529999,1172500,227.947159
"2021-01-21",237.589996,254.130005,236.110001,248.029999,2659100,239.029861
"2021-01-22",247.080002,248.320007,242.449997,247,1098100,238.037216
"2021-01-25",246.229996,250.160004,244.759995,246.539993,1049500,237.593918
"2021-01-26",247.289993,248.369995,245.559998,246.820007,870000,237.86377
"2021-01-27",242.770004,244.460007,237.669998,239.100006,1480300,230.423904
