"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2020-09-10",158.190002,161.009995,156.649994,157.240005,826100,152.43512
"2020-09-11",157.369995,160.429993,156.809998,159.009995,648200,154.151047
"2020-09-14",161.610001,163.710007,161.110001,162.350006,836500,157.388992
"2020-09-15",163.130005,164.75,162.080002,162.839996,700800,157.864014
"2020-09-16",163.669998,167.350006,162.720001,165.360001,834500,160.306976
"2020-09-17",162.729996,167.080002,160.889999,164.25,1014900,159.230896
"2020-09-18",163.699997,164.860001,159.809998,160.330002,2264900,155.430695
"2020-09-21",156.080002,156.860001,152.190002,154.429993,1273100,149.710968
"2020-09-22",154.839996,157.550003,153.910004,157.460007,715800,152.648392
"2020-09-23",157.940002,160.119995,156.399994,156.720001,985700,151.931
"2020-09-24",156.369995,159.770004,155,157.220001,798900,152.415726
"2020-09-25",156.119995,161.259995,155.949997,159.929993,715500,155.042908
"2020-09-28",162.529999,165.419998,161.789993,164.070007,1142300,159.056412
"2020-09-29",164.199997,164.529999,160.940002,161.479996,924900,156.545532
"2020-09-30",162.229996,165.080002,161.020004,162.199997,884700,157.243546
"2020-10-01",163.580002,165.419998,161.199997,162.630005,793100,157.660416
"2020-10-02",160.029999,167.460007,158.919998,164.809998,726300,159.773788
"2020-10-05",166.990005,169.770004,164.669998,169.309998,734800,164.136292
"2020-10-06",169.800003,170.740005,166.740005,166.860001,1075100,161.761169
"2020-10-07",169.679993,172.330002,169.220001,172,852100,166.74408
"2020-10-08",173,174.520004,171.929993,173.589996,757900,168.285492
"2020-10-09",175,179.429993,174.449997,176.660004,1682000,171.261688
"2020-10-12",176.559998,179.5,176.559998,177.970001,910900,172.531662
"2020-10-13",176.639999,179.119995,174.720001,177.940002,1211900,172.502579
"2020-10-14",178.190002,180.259995,177,177.520004,654900,172.095413
"2020-10-15",175.309998,177.050003,173.839996,176.649994,1032100,171.251984
"2020-10-16",177.550003,178.850006,176.270004,176.380005,952300,170.99025
"2020-10-19",176.720001,176.720001,172.639999,173.589996,756800,168.285492
"2020-10-20",175.580002,178.020004,174.009995,175.699997,847500,170.331009
"2020-10-21",175.210007,177.660004,174.339996,174.389999,754000,169.061066
"2020-10-22",176.309998,178.289993,175.539993,178.009995,1159700,172.570435
"2020-10-23",179.800003,180.940002,176.190002,178.009995,593700,172.570435
"2020-10-26",175.389999,175.389999,171.470001,172.860001,1077900,167.577805
"2020-10-27",166.5,171.559998,164.009995,166.309998,2731000,161.227951
"2020-10-28",163.259995,166.990005,162.460007,162.550003,1447500,157.58287
"2020-10-29",162.5,166.490005,161.800003,165.339996,1408800,160.287598
"2020-10-30",164.679993,166.839996,162.300003,166.199997,1476300,161.121307
"2020-11-02",169.669998,171.669998,166.720001,168.710007,1158000,163.554611
"2020-11-03",171.75,174.809998,171.369995,173.630005,954600,168.324295
"2020-11-04",172.860001,177.589996,169,175.600006,1356500,170.234085
"2020-11-05",178,180.800003,177.509995,177.830002,781400,172.395935
"2020-11-06",177.759995,179.899994,175.800003,178.850006,787900,173.384811
"2020-11-09",189.289993,190.619995,176.970001,177.410004,1719100,171.988754
"2020-11-10",177.270004,180.610001,175.979996,178.789993,1008600,173.326569
"2020-11-11",179.589996,181.330002,175.860001,180.889999,1343900,175.362411
"2020-11-12",180.210007,181.470001,175.949997,177.720001,672500,172.289291
"2020-11-13",178.820007,182.169998,178.820007,181.399994,626900,175.856842
"2020-11-16",184.440002,186.100006,182.660004,186.039993,737300,180.355042
"2020-11-17",184.839996,185.600006,180.809998,184.529999,818400,178.89122
"2020-11-18",185.580002,186.800003,184.199997,184.270004,788400,178.63916
"2020-11-19",183.740005,186.679993,182.820007,186.509995,694900,180.810699
"2020-11-20",186.369995,187.270004,185,185.960007,861700,180.277512
"2020-11-23",187.110001,191.5,187,190.940002,876700,185.105347
"2020-11-24",192.5,195,190.089996,190.740005,1149800,184.911438
"2020-11-25",189.619995,190.059998,186.070007,186.399994,1185300,180.704056
"2020-11-27",187.100006,188.929993,186.779999,187.710007,293800,181.974045
"2020-11-30",186.630005,187.529999,182.820007,184.309998,1109700,179.346725
"2020-12-01",187.639999,188.630005,181.899994,181.919998,1118400,177.021088
"2020-12-02",179.800003,180.649994,177.940002,178.619995,877900,173.809952
"2020-12-03",178.139999,182.229996,177.460007,179.020004,1406800,174.199203
"2020-12-04",180.429993,181.850006,178.380005,180.850006,1163300,175.979904
"2020-12-07",179.699997,180,176.509995,178.449997,1407100,173.644531
"2020-12-08",177.070007,177.929993,175.289993,177.220001,856200,172.447662
"2020-12-09",178.619995,179.300003,176.990005,178.289993,820900,173.488831
"2020-12-10",176.830002,178.75,174.410004,177.639999,1201700,172.856354
"2020-12-11",175.699997,177.330002,173.610001,175.199997,879000,170.482056
"2020-12-14",176.880005,177.039993,170.300003,170.399994,1190000,165.81131
"2020-12-15",172.139999,176.559998,171.710007,176.330002,1141900,171.581635
"2020-12-16",181.050003,185.309998,179.029999,179.440002,3141100,174.60788
"2020-12-17",182,183.940002,180.080002,182.089996,1752200,177.186523
"2020-12-18",182.5,183.660004,179.110001,181.520004,1501100,176.631866
"2020-12-21",178.460007,181.880005,177.259995,181.270004,766800,176.388596
"2020-12-22",180.699997,180.970001,178.470001,179.020004,601500,174.199203
"2020-12-23",179.029999,180.300003,177.210007,177.899994,647800,173.109344
"2020-12-24",178.639999,180.169998,177.529999,179.919998,243200,175.074951
"2020-12-28",181.070007,181.399994,176.690002,177.289993,486800,172.515762
"2020-12-29",178.149994,178.149994,174.350006,176.270004,722500,171.523254
"2020-12-30",176.25,178.889999,176.25,178.300003,509300,173.498566
"2020-12-31",178.039993,179.179993,177,178.559998,757300,173.751572
"2021-01-04",169.839996,175.419998,167.660004,169.350006,2230100,164.789612
"2021-01-05",169.860001,171.839996,168.729996,170.130005,1405200,165.548599
"2021-01-06",171.149994,178.440002,171.149994,176.240005,1303300,171.494049
"2021-01-07",177.270004,178.259995,174.490005,177.419998,1054500,172.642273
"2021-01-08",177.910004,178.759995,173.889999,176.729996,907100,171.970871
"2021-01-11",174.089996,177,174.089996,176.350006,698900,171.601089
"2021-01-12",176.119995,179.520004,175.570007,176.470001,1191400,171.717865
"2021-01-13",175.910004,177.369995,172.529999,173.429993,2085500,168.759705
"2021-01-14",174.789993,175.889999,171.360001,173.169998,1505200,168.506729
"2021-01-15",172.830002,173.869995,168.770004,172.630005,1255100,167.981247
"2021-01-19",174.029999,177.789993,173.149994,176.559998,1531700,171.805405
"2021-01-20",177.259995,177.869995,174.410004,176.059998,1115100,171.318909
"2021-01-21",175.710007,178.330002,175.100006,177.009995,1380900,172.243317
"2021-01-22",176.529999,177.330002,174.300003,175.210007,1252600,170.491791
"2021-01-25",174.740005,177.360001,173.5,174.990005,1113800,170.27771
"2021-01-26",176.490005,178.199997,174.369995,176.619995,945100,171.863831
"2021-01-27",173.660004,175.309998,169.5,173.350006,1994600,168.681885
"2021-01-28",179.899994,183.110001,175.880005,180.020004,2632000,175.172272
"2021-01-29",178.619995,179.029999,173.169998,173.490005,1538500,168.8181
"2021-02-01",176.559998,176.970001,170.399994,174.279999,1329900,169.586838
"2021-02-02",175.479996,178.139999,175.270004,177.119995,1210400,172.350357
"2021-02-03",176.479996,177.179993,173.490005,174.350006,1223700,169.654953
"2021-02-04",175.660004,177.5,174.619995,175.639999,1104700,170.910217
"2021-02-05",178,179.229996,175.949997,176.639999,1123400,171.883286
"2021-02-08",177.600006,178.279999,174.619995,175.679993,1165300,170.949127
"2021-02-09",175.690002,176.399994,173.080002,175.580002,826100,170.851837
"2021-02-10",176.300003,178.210007,174.690002,177.300003,889200,172.525497
"2021-02-11",178.300003,178.779999,172.839996,174.75,1119100,170.044159
"2021-02-12",174.449997,176.190002,174.139999,175.570007,966600,170.842102
"2021-02-16",177.220001,177.220001,171.259995,171.660004,1396900,167.037384
"2021-02-17",170.789993,171.830002,169.429993,170.470001,1495200,165.879425
"2021-02-18",169.639999,173.270004,169.630005,171.979996,1239800,167.34877
"2021-02-19",173.559998,176.130005,173.149994,175.070007,1205100,170.35556
"2021-02-22",173.720001,174.880005,172.300003,173.509995,968600,168.837555
"2021-02-23",173.649994,173.919998,169.699997,172.919998,950000,168.263458
"2021-02-24",172.350006,177.470001,171.559998,174.979996,1962500,170.26799
"2021-02-25",175.5,176.539993,173.580002,174.619995,1372100,169.917664
"2021-02-26",174.770004,176.649994,173.449997,174.839996,1322100,170.13176
"2021-03-01",176.720001,181.889999,176.470001,180.729996,1169200,175.863129
"2021-03-02",180.699997,186.320007,180.279999,185.470001,2358000,180.475494
"2021-03-03",185.149994,187,183.919998,184.759995,1632200,179.784607
"2021-03-04",184.339996,184.949997,178.110001,181.330002,1455800,176.446976
"2021-03-05",182.919998,186.789993,179.600006,185.309998,1876800,180.319809
"2021-03-08",185.429993,189,183.809998,186.600006,994400,182.26358
"2021-03-09",187.699997,190.009995,187.179993,187.949997,1193800,183.582169
"2021-03-10",189.220001,192.940002,187.929993,191.149994,1126400,186.707825
"2021-03-11",191.479996,194.460007,190.369995,191.979996,906100,187.518524
"2021-03-12",193.580002,194.940002,189.449997,190.460007,1044300,186.033859
"2021-03-15",190.619995,193.960007,189.5,193.139999,888300,188.651566
"2021-03-16",192.669998,193.289993,189.179993,190.130005,892600,185.711533
"2021-03-17",190.529999,195.050003,190.039993,194.929993,1358400,190.399979
"2021-03-18",195.050003,199,194.779999,197.229996,2466300,192.646515
"2021-03-19",198.490005,199.399994,195.479996,196.669998,2629600,192.099548
"2021-03-22",196.949997,197.119995,192.759995,195.789993,863800,191.23999
"2021-03-23",193.820007,197.080002,191.270004,192.770004,887900,188.290176
"2021-03-24",193.619995,197.679993,193.619995,194.380005,898100,189.862762
"2021-03-25",194,196.899994,190.809998,195.789993,2235200,191.23999
"2021-03-26",195.789993,202.309998,195.320007,202.070007,1093500,197.374039
"2021-03-29",202.080002,203.309998,199.320007,199.470001,792400,194.834457
"2021-03-30",199.580002,201.559998,199.369995,200.410004,1376800,195.75264
"2021-03-31",199.970001,201.910004,198.460007,199.669998,1037700,195.029816
"2021-04-01",201.149994,201.479996,197.710007,200.660004,1160800,195.996826
"2021-04-05",202.429993,203.830002,201.369995,202.419998,794100,197.715912
"2021-04-06",202.809998,204.600006,201.970001,203.970001,928700,199.229874
"2021-04-07",203.979996,204.699997,199.570007,200.240005,717200,195.586594
"2021-04-08",199.880005,199.929993,197.330002,199.479996,750400,194.844238
"2021-04-09",200.720001,202.070007,199.410004,201.910004,987500,197.217758
"2021-04-12",202.229996,204.539993,201.919998,204.139999,1282400,199.395935
"2021-04-13",203,203,200.910004,202.440002,728400,197.735443
"2021-04-14",201.990005,203.449997,200.899994,201.429993,566900,196.748901
"2021-04-15",202.619995,203.740005,201.279999,202.699997,1012400,197.989395
"2021-04-16",204.330002,206.660004,203.759995,205.380005,1159100,200.607132
"2021-04-19",205.229996,207.449997,204.490005,205.889999,2379200,201.105255
"2021-04-20",205.330002,206.550003,201.800003,202.940002,1076300,198.223831
"2021-04-21",203.009995,207.449997,202.309998,206.339996,1244500,201.544815
"2021-04-22",207.910004,209.490005,206.050003,207.119995,856800,202.306686
"2021-04-23",208.279999,210.160004,207.539993,209.089996,1030900,204.230911
"2021-04-26",211.059998,211.419998,206.110001,206.479996,848600,201.681549
"2021-04-27",206.619995,208.139999,205.089996,207.929993,918800,203.09787
"2021-04-28",207.860001,211.429993,205.470001,206.550003,1779300,201.749954
"2021-04-29",208.919998,210.699997,207.699997,209.490005,1022500,204.621613
"2021-04-30",207,207.929993,205.649994,206.770004,1457000,201.964828
"2021-05-03",208.720001,211.910004,207.490005,210.570007,1851800,205.676529
"2021-05-04",210.449997,213.520004,209.419998,210.720001,1904300,205.823029
"2021-05-05",210.649994,217.770004,210.369995,213.110001,1541700,208.157486
"2021-05-06",214,217.699997,214,217.399994,1321700,212.347778
"2021-05-07",217.399994,220.360001,215.910004,219.690002,1297500,214.584579
"2021-05-10",221,225,220.240005,220.690002,1556500,215.561325
"2021-05-11",219,220,214.25,217.690002,1011500,212.631058
"2021-05-12",216.720001,217.529999,209.720001,209.889999,1405200,205.012329
"2021-05-13",211.050003,216.800003,210.649994,216.100006,1512600,211.078003
"2021-05-14",217.100006,218.490005,215.699997,216.009995,907100,210.990097
"2021-05-17",216,216.550003,213.800003,214.830002,728300,209.837509
"2021-05-18",215.529999,216.089996,211.529999,211.869995,917900,206.946289
"2021-05-19",209.410004,209.860001,206.160004,208.589996,1157700,203.742523
"2021-05-20",210,210.589996,207.850006,209.210007,1108100,204.348114
"2021-05-21",209.979996,212.789993,209.839996,210.110001,962500,205.227188
"2021-05-24",212.309998,212.789993,210.039993,211.589996,1321900,206.672806
"2021-05-25",212.360001,214.199997,212.119995,212.190002,1181300,207.258881
"2021-05-26",212.639999,214.130005,212.009995,212.639999,909500,207.698425
"2021-05-27",214.820007,214.949997,213.539993,214.380005,1194900,209.39798
"2021-05-28",215.470001,217.210007,214.559998,216.800003,858100,211.761734
"2021-06-01",218.949997,219.589996,214.880005,215.889999,800600,210.872864
"2021-06-02",215.949997,216.460007,212.610001,213.029999,723000,208.07933
"2021-06-03",212.320007,213.229996,210.070007,212.220001,834000,207.288177
"2021-06-04",212.869995,213.350006,211.460007,212.850006,497200,207.903549
"2021-06-07",212.429993,212.429993,208.240005,209.149994,1071400,204.963577
"2021-06-08",209.020004,209.020004,205.740005,208.860001,732000,204.679367
"2021-06-09",208.149994,208.149994,205.820007,206.570007,729900,202.435211
"2021-06-10",207.690002,207.729996,203.610001,204,1044100,199.916672
"2021-06-11",204.979996,205.690002,202.199997,203.369995,973300,199.299271
"2021-06-14",202.839996,203.320007,200.880005,202.940002,802500,198.877884
"2021-06-15",203.279999,203.539993,201.320007,202.25,803900,198.201691
"2021-06-16",201.690002,201.690002,196.649994,196.740005,1169600,192.801987
"2021-06-17",198.5,198.5,194.429993,195.410004,1598400,191.498611
"2021-06-18",192.949997,196.610001,192.020004,194.919998,1865600,191.018402
"2021-06-21",196.490005,200.339996,196.139999,198.789993,1052900,194.810944
"2021-06-22",198.440002,199.210007,196.970001,198.449997,520700,194.477753
"2021-06-23",199.029999,199.770004,197.119995,198.479996,757100,194.507141
"2021-06-24",200.259995,203.229996,199.25,202.589996,1461100,198.534897
"2021-06-25",203.669998,206.350006,203.270004,204.820007,1512000,200.720245
"2021-06-28",204.679993,205.460007,202.740005,204.839996,977900,200.739853
"2021-06-29",205.089996,206.330002,204.029999,204.389999,619100,200.298859
"2021-06-30",203.910004,205.309998,203.399994,204.990005,681000,200.886841
"2021-07-01",206.380005,207.119995,205.279999,206.440002,581800,202.307831
"2021-07-02",206.919998,208.770004,205.740005,207.949997,800800,203.787582
"2021-07-06",208,208.479996,204.080002,205.979996,756500,201.85701
"2021-07-07",205.220001,209,205.220001,208.770004,958100,204.591187
"2021-07-08",205.809998,207.059998,203.720001,205.449997,690200,201.337646
"2021-07-09",207.850006,209.899994,206.929993,208.529999,875400,204.355972
"2021-07-12",208.529999,209.860001,208,209.429993,954400,205.237961
"2021-07-13",210,210.919998,206.320007,207.059998,1169200,202.91539
"2021-07-14",207.210007,207.929993,204.440002,205.960007,698900,201.837433
"2021-07-15",205,208.199997,204.610001,206.830002,524700,202.690002
"2021-07-16",207.320007,207.800003,202.570007,203.050003,558900,198.985672
"2021-07-19",200.25,200.960007,196.929993,200.350006,855100,196.339737
"2021-07-20",200.490005,204.619995,200.149994,203.940002,976600,199.857864
"2021-07-21",205,207.029999,203.729996,204.259995,580400,200.171463
"2021-07-22",205.220001,205.630005,201.660004,202.270004,853300,198.221298
"2021-07-23",203.589996,205.179993,202.779999,204.190002,781400,200.102844
"2021-07-26",205.820007,206.910004,203.860001,205.979996,969400,201.85701
"2021-07-27",199.75,202.089996,197,201.610001,1480300,197.574493
"2021-07-28",202.240005,202.350006,195.130005,195.440002,1429200,191.528
"2021-07-29",197.110001,198.300003,195.460007,197.789993,1222500,193.830963
"2021-07-30",197.660004,199.509995,195.429993,197.050003,1440200,193.105774
"2021-08-02",198.070007,200.630005,195.259995,195.789993,861700,191.870987
"2021-08-03",197.380005,200.240005,194.839996,199,923100,195.016739
"2021-08-04",197.710007,198.729996,194.990005,195.009995,658300,191.106613
"2021-08-05",196.770004,198,195.039993,196.25,983900,192.321777
"2021-08-06",197.889999,198.589996,196.229996,196.610001,771200,192.674561
"2021-08-09",196,196.759995,194.259995,195.600006,599300,191.684799
"2021-08-10",196.100006,198.649994,195.330002,198.020004,701200,194.056351
"2021-08-11",198.059998,202.330002,197.529999,202.199997,992400,198.152679
"2021-08-12",202.240005,203.690002,199.729996,200.789993,536800,196.77092
"2021-08-13",200.699997,201.25,199.350006,200.119995,565000,196.114319
"2021-08-16",199.979996,200.649994,197.589996,200.490005,655200,196.476929
"2021-08-17",198.770004,199.710007,192.789993,194.5,1102000,190.606812
"2021-08-18",192.990005,194.970001,191.339996,192.690002,1065600,188.833069
"2021-08-19",191.240005,192.160004,187.529999,189.679993,1012700,185.883286
"2021-08-20",189.729996,191,188.600006,190.389999,911900,186.579086
"2021-08-23",191.860001,192.399994,189.990005,190.529999,683600,186.716278
"2021-08-24",191.320007,193.550003,190.759995,192.490005,979700,188.637039
"2021-08-25",193.529999,194.759995,192.179993,194.179993,609900,190.293213
"2021-08-26",193.789993,194.070007,192.429993,193.289993,533100,189.421021
"2021-08-27",194.050003,194.589996,193.380005,194.050003,795600,190.165833
"2021-08-30",195.020004,196.130005,194.070007,194.880005,850400,190.979218
"2021-08-31",194.869995,195.070007,192.169998,193.270004,1215000,189.401443
"2021-09-01",193.669998,194.039993,190.649994,192.5,873100,188.646851
"2021-09-02",192.839996,193.399994,190.360001,193.089996,1367100,189.225037
"2021-09-03",192.539993,192.619995,190.649994,191.100006,896900,188.04425
"2021-09-07",189.369995,189.850006,183.169998,183.229996,2111700,180.300064
"2021-09-08",183.289993,189.009995,183.059998,188.309998,1981800,185.298843
"2021-09-09",188.179993,192.839996,187.410004,188.550003,1139000,185.535004
"2021-09-10",188.949997,189.740005,186.300003,186.419998,977900,183.439056
"2021-09-13",188.649994,189.139999,184.520004,186.460007,794200,183.478424
"2021-09-14",187.580002,187.580002,181.529999,182.380005,994600,179.463669
"2021-09-15",182.380005,187.190002,182.119995,185.710007,877400,182.740417
"2021-09-16",185.710007,189.380005,184.770004,187.720001,1489000,184.718277
"2021-09-17",188.009995,188.889999,185.979996,186.240005,1589200,183.261948
"2021-09-20",182.869995,184.449997,181.800003,183.990005,975100,181.047928
"2021-09-21",184.679993,184.679993,178.300003,179.889999,1285500,177.013474
"2021-09-22",181.970001,183.720001,181.479996,181.809998,852300,178.902771
"2021-09-23",182.940002,185.660004,182.809998,184.449997,1157100,181.500565
"2021-09-24",184.380005,186,184.020004,185.360001,900200,182.396011
"2021-09-27",185.520004,188.479996,185.369995,186.309998,960500,183.330826
"2021-09-28",185.649994,186.619995,180.630005,181.559998,1073200,178.656784
"2021-09-29",181.470001,183.449997,180.889999,182.119995,588100,179.207809
"2021-09-30",183.330002,183.440002,175.25,175.309998,1253600,172.506729
"2021-10-01",175.839996,176.360001,172.399994,174.869995,1490700,172.073761
"2021-10-04",173.570007,175.929993,172.710007,173.949997,1118000,171.168457
"2021-10-05",174.820007,178.130005,173.610001,176.460007,608800,173.638336
"2021-10-06",174.990005,176.880005,173.25,176.830002,796200,174.002426
"2021-10-07",178.929993,181.259995,177.440002,177.610001,714400,174.769928
"2021-10-08",178.399994,179.190002,177.179993,177.279999,523200,174.445221
"2021-10-11",177.539993,178.190002,174.639999,174.789993,496100,171.995026
"2021-10-12",175.699997,175.720001,173.130005,173.729996,726200,170.951981
"2021-10-13",173.240005,174.130005,171.789993,173.300003,782000,170.52887
"2021-10-14",175.229996,180.149994,174.330002,179.5,1001000,176.62973
"2021-10-15",180.800003,182.660004,180.429993,181.669998,1025800,178.76503
"2021-10-18",180.199997,183.419998,179.460007,182.720001,869700,179.798248
"2021-10-19",184.110001,184.839996,182.990005,184.320007,872600,181.372665
"2021-10-20",184.490005,188.720001,184.490005,187.570007,1155400,184.570679
"2021-10-21",186.600006,188.050003,185.860001,187.940002,620900,184.934753
"2021-10-22",188.429993,189.929993,187.380005,188.089996,731100,185.082352
"2021-10-25",187.600006,190.360001,186.660004,189.089996,1037900,186.066376
"2021-10-26",190.229996,190.229996,186.610001,186.720001,607300,183.734268
"2021-10-27",186.759995,189.669998,185.229996,186.229996,1113600,183.252106
"2021-10-28",179.619995,185.110001,177,185.080002,2121000,182.120483
"2021-10-29",183.389999,183.509995,178.899994,179.729996,2215100,176.856033
"2021-11-01",177.399994,180.259995,174.309998,177.990005,1397200,175.14386
"2021-11-02",178.889999,183.580002,177.789993,182.679993,1525800,179.758865
"2021-11-03",180.039993,188.210007,179.039993,187.410004,1782700,184.413239
"2021-11-04",187.649994,188.179993,183.779999,184.270004,890100,181.323456
"2021-11-05",185.850006,189.080002,183.350006,183.830002,897700,180.890472
"2021-11-08",185.229996,185.919998,183.229996,184.710007,708900,181.756409
"2021-11-09",185.029999,188.139999,184.789993,188.020004,650200,185.013489
"2021-11-10",187.800003,190.130005,187.050003,187.399994,655000,184.403381
"2021-11-11",187.830002,190.800003,187.110001,190.289993,957800,187.247177
"2021-11-12",190.979996,199.199997,190.080002,196.610001,2007600,193.46611
"2021-11-15",196.360001,198.139999,193.820007,194.210007,1277300,191.104507
"2021-11-16",194.529999,197.330002,194.529999,196.089996,1215800,192.954437
"2021-11-17",196.889999,197.029999,192.919998,193.789993,1165300,190.691208
"2021-11-18",193.949997,195.429993,191.929993,192.309998,1130100,189.234879
"2021-11-19",191.089996,192.320007,189.740005,190.25,1371700,187.20784
"2021-11-22",191.009995,191.5,187.119995,187.580002,2351700,184.580521
"2021-11-23",187.820007,190.130005,186.580002,189.5,1572400,186.469818
"2021-11-24",188.199997,190.259995,187.449997,189.699997,839900,186.666611
"2021-11-26",185.669998,187.139999,181.050003,182.729996,672500,179.808075
"2021-11-29",184.679993,185.369995,182.740005,184.149994,1043200,181.205368
"2021-11-30",181.460007,182.220001,174.75,174.759995,2964800,172.706421
"2021-12-01",178.009995,179.130005,171.050003,171.070007,1543200,169.059799
"2021-12-02",172.289993,177.449997,171.570007,176.639999,1818000,174.564331
"2021-12-03",177.110001,182.809998,175.470001,182.059998,1903900,179.920639
"2021-12-06",184.270004,187.360001,183.740005,184.360001,2127600,182.193619
"2021-12-07",185.860001,188.679993,184.880005,186.050003,978400,183.863754
"2021-12-08",195,196.5,191.610001,192.220001,2474600,189.961243
"2021-12-09",190.570007,193.619995,190.570007,192,2400400,189.743835
"2021-12-10",193.199997,196.279999,191.660004,194.559998,1605400,192.273758
"2021-12-13",194,194.75,191.190002,192.429993,937400,190.168777
"2021-12-14",191.529999,194.929993,190.440002,191.380005,1281500,189.131119
"2021-12-15",191.880005,192.800003,188.110001,191.979996,1531600,189.72406
"2021-12-16",193,194.830002,190.330002,191.440002,1511700,189.190414
"2021-12-17",191.449997,191.669998,183.229996,183.699997,2447400,181.541367
"2021-12-20",180.740005,181,175.830002,177.940002,2001500,175.84906
"2021-12-21",179.529999,180.990005,178.559998,179.240005,1833100,177.133774
"2021-12-22",178.559998,180.679993,178.009995,178.990005,1013500,176.886719
"2021-12-23",180.289993,183.029999,179.589996,182.199997,1153000,180.05899
"2021-12-27",182.839996,184.440002,181.410004,184.100006,886000,181.936676
"2021-12-28",184.199997,186.820007,183.820007,186.509995,883500,184.318344
"2021-12-29",186.330002,188.300003,186.119995,187.210007,968800,185.010132
"2021-12-30",186.960007,188.75,186.600006,186.729996,919400,184.535767
"2021-12-31",186.389999,189.160004,186.080002,188.619995,598200,186.403549
"2022-01-03",189.360001,189.619995,184.229996,185.929993,903100,183.745163
"2022-01-04",187.990005,193.639999,187.009995,192.179993,814100,189.921707
"2022-01-05",191.889999,195.25,191.320007,191.360001,739300,189.111359
"2022-01-06",192.089996,193.369995,190.100006,192.5,803900,190.237961
"2022-01-07",191.949997,193.820007,189.210007,189.289993,1116400,187.065674
"2022-01-10",189.289993,190.410004,185.979996,188.089996,977500,185.879776
"2022-01-11",189.259995,189.929993,185.75,189.529999,1072800,187.302872
