"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2020-09-18",44.279999,44.650002,42.98,43.02,5029500,41.983166
"2020-09-21",41.810001,42.41,40.73,41.150002,3554200,40.158234
"2020-09-22",41.25,41.790001,40.599998,41.23,1758800,40.236305
"2020-09-23",41.619999,41.93,39.290001,39.400002,1651900,38.450409
"2020-09-24",38.720001,39.98,38.290001,39.450001,2905400,38.49921
"2020-09-25",39.209999,40.880001,38.919998,40.48,2792600,39.504379
"2020-09-28",41.23,41.549999,40.279999,41.029999,1861300,40.041122
"2020-09-29",40.830002,40.889999,39.77,40.689999,1886700,39.709316
"2020-09-30",40.470001,41.580002,40.470001,40.93,1840500,39.943535
"2020-10-01",40,40.380001,38.66,38.98,3050200,38.040535
"2020-10-02",37.490002,38.66,37.470001,37.709999,3224800,36.801136
"2020-10-05",38.32,39.380001,38.18,39.360001,2593100,38.411377
"2020-10-06",40.150002,40.560001,37.84,37.970001,2691200,37.054874
"2020-10-07",38.209999,38.650002,36.619999,37.68,3618700,36.771862
"2020-10-08",38.169998,38.709999,37.669998,38.59,2179400,37.659935
"2020-10-09",39.130001,39.400002,37.73,38.060001,1641300,37.142708
"2020-10-12",37.779999,38.82,37.02,38.639999,1602800,37.708725
"2020-10-13",38.52,39.48,38.279999,38.650002,1900700,37.718487
"2020-10-14",38.779999,40.349998,38.540001,38.59,1421200,37.659935
"2020-10-15",37.790001,39.380001,37.52,39.32,1469900,38.372341
"2020-10-16",39.150002,39.68,38,38.060001,1639800,37.142708
"2020-10-19",38.48,38.639999,36.5,36.599998,2146100,35.717896
"2020-10-20",36.900002,38.16,36.75,37.849998,2129900,36.937767
"2020-10-21",37.330002,38.049999,36.919998,37.189999,1831300,36.293674
"2020-10-22",37.25,39.310001,37.200001,39.25,1867800,38.304024
"2020-10-23",39.549999,39.91,39.009998,39.369999,1572000,38.421131
"2020-10-26",38.459999,38.529999,37.169998,37.43,2363000,36.527897
"2020-10-27",37.27,37.720001,36.779999,37.400002,2025800,36.498611
"2020-10-28",36.400002,37.93,35.25,36.119999,3407000,35.249458
"2020-10-29",34.880001,37.310001,34.82,37.18,2325700,36.283916
"2020-10-30",36.919998,37.5,36.299999,37.220001,1833100,36.322948
"2020-11-02",37.810001,38.459999,36.82,38.040001,2350000,37.123184
"2020-11-03",38.439999,38.68,36.419998,36.91,2320600,36.020424
"2020-11-04",37.080002,38.25,35.91,37.220001,2464600,36.322948
"2020-11-05",37.220001,38.330002,36.959999,37,1330700,36.108253
"2020-11-06",36.860001,37.77,36.439999,36.490002,1676100,35.610542
"2020-11-09",40.849998,45.080002,40.849998,43.389999,4636300,42.344246
"2020-11-10",44.18,44.82,42.599998,44.790001,3037300,43.71051
"2020-11-11",45.150002,45.400002,43.540001,44,2693800,42.939545
"2020-11-12",43.75,44.169998,41.09,41.59,3212700,40.587627
"2020-11-13",42,43.73,41.91,43.419998,1685700,42.373524
"2020-11-16",45.419998,47.049999,44.360001,46.82,3220300,45.691574
"2020-11-17",46.369999,47.389999,44.689999,47.310001,2845600,46.169773
"2020-11-18",47.41,48.400002,45.91,46.029999,2688100,44.920624
"2020-11-19",45.549999,47.18,44.799999,47.07,1716400,45.935551
"2020-11-20",46.810001,47.110001,46.060001,46.540001,1736100,45.418324
"2020-11-23",47.529999,49.98,47.509998,49.939999,3012400,48.736382
"2020-11-24",51.59,54.470001,50.650002,53.639999,3619500,52.34721
"2020-11-25",52.799999,54.02,52.169998,52.580002,2176100,51.312756
"2020-11-27",51.830002,52.540001,50.48,50.77,1253900,49.546379
"2020-11-30",50.060001,50.98,46.880001,47.18,4305500,46.0429
"2020-12-01",48.900002,49.84,47.389999,47.759998,3012800,46.608917
