"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume","CTAS.Adjusted"
"2020-11-03",324.470001,332.040009,324.470001,330.019989,293200,322.017578
"2020-11-04",347.380005,349.190002,336.709991,337.369995,558500,329.189392
"2020-11-05",339.320007,345.450012,336.380005,339.070007,407200,334.326477
"2020-11-06",338.559998,342.190002,336.670013,340.929993,331000,336.160461
"2020-11-09",359.98999,368.119995,358.369995,363.459991,1043400,358.375244
"2020-11-10",354.070007,366.01001,351.390015,358.679993,506400,353.662079
"2020-11-11",360.880005,361.420013,354.089996,360.040009,373400,355.003082
"2020-11-12",356.190002,359.130005,348.079987,349.670013,301600,344.778198
"2020-11-13",351.410004,356.609985,350.070007,356,262800,351.019623
"2020-11-16",356,369.200012,356,368.660004,387000,363.502502
"2020-11-17",362.73999,365.670013,357.350006,361.410004,364000,356.353943
"2020-11-18",362.029999,366.25,359.279999,360.48999,250300,355.446808
"2020-11-19",358.720001,368.48999,357.73999,367.890015,258200,362.743286
"2020-11-20",365.140015,367.600006,360.429993,361.850006,258300,356.787781
"2020-11-23",363.899994,364.519989,356.019989,358.269989,329100,353.257874
"2020-11-24",362.220001,364.75,358.48999,361.959991,388900,356.89621
"2020-11-25",362.070007,364.269989,358.359985,360.48999,192400,355.446808
"2020-11-27",359.230011,365.109985,358.920013,361.089996,112200,356.038391
"2020-11-30",361.769989,362.390015,354.109985,355.299988,521100,350.329407
"2020-12-01",359.040009,363.529999,356.690002,359.079987,386600,354.056519
"2020-12-02",360.209991,362.799988,356.230011,360.910004,539800,355.86087
"2020-12-03",359.049988,365.480011,354.299988,359.690002,439800,354.65802
"2020-12-04",360.670013,366.809998,360,363.470001,467100,358.385132
"2020-12-07",360.540009,364,352.309998,353.140015,365700,348.199646
"2020-12-08",353.140015,360.589996,351.029999,359.76001,359500,354.72702
"2020-12-09",361.100006,362.880005,352.149994,354.040009,528400,349.087006
"2020-12-10",354.429993,354.910004,346.529999,347.350006,365300,342.490631
"2020-12-11",346.290009,351.350006,344.429993,349.109985,371900,344.226013
"2020-12-14",350.179993,351.720001,346.309998,347.26001,339400,342.401917
"2020-12-15",348.390015,354.570007,345.519989,352.929993,450200,347.992554
"2020-12-16",354.720001,355.320007,351.839996,354.109985,274100,349.156036
"2020-12-17",354.73999,355.519989,349,352,407700,347.075623
"2020-12-18",353.859985,355.5,349.640015,354.350006,954400,349.3927
"2020-12-21",350.720001,351.5,340.25,346.130005,580600,341.28772
"2020-12-22",338,348.619995,334.130005,348,762700,343.131531
"2020-12-23",354.970001,354.970001,339.369995,339.420013,504900,334.67157
"2020-12-24",341.109985,342.25,336.399994,338.399994,185500,333.665833
"2020-12-28",342.140015,358.179993,342.140015,354.190002,887800,349.234924
"2020-12-29",357.640015,357.950012,343.640015,347.369995,413500,342.510345
"2020-12-30",350.140015,353.320007,346.75,350.230011,303700,345.330383
"2020-12-31",350.51001,354,348.899994,353.459991,279500,348.515137
"2021-01-04",353.940002,354.73999,342.299988,343.600006,850100,338.793121
"2021-01-05",342.200012,349.040009,338.420013,348.890015,507500,344.009094
"2021-01-06",350,356.600006,349.23999,350.98999,414700,346.079712
"2021-01-07",351.859985,357.26001,349.040009,355.059998,701100,350.092804
"2021-01-08",353.920013,358.450012,348.910004,350.149994,398400,345.251434
"2021-01-11",348.649994,351.329987,338.579987,339.5,492800,334.750458
"2021-01-12",338.279999,341.380005,335.179993,339.470001,389200,334.720886
"2021-01-13",339.140015,339.679993,334.230011,335.809998,494500,331.112091
"2021-01-14",336.5,336.5,326.51001,327.140015,688300,322.563385
"2021-01-15",323.769989,328.890015,321.609985,326.070007,626900,321.508331
"2021-01-19",325.679993,326.600006,319.690002,322.040009,570300,317.534729
"2021-01-20",319.450012,333.369995,319.450012,332.190002,599300,327.542725
"2021-01-21",331.190002,336.609985,328.98999,331.420013,436700,326.783508
"2021-01-22",330.869995,330.869995,324.079987,324.480011,322500,319.940613
"2021-01-25",322.339996,331.350006,321.019989,328.130005,571500,323.539551
"2021-01-26",330.230011,330.480011,322.630005,323.160004,358700,318.639038
"2021-01-27",320,322.5,314.619995,318.200012,659000,313.748444
"2021-01-28",319.679993,328.829987,319.679993,324.420013,392300,319.881409
"2021-01-29",319.799988,323.359985,317.459991,318.119995,807800,313.669556
"2021-02-01",320.619995,326.269989,320,325.48999,507000,320.936401
"2021-02-02",328.570007,334.029999,326.190002,331.220001,560200,326.586304
"2021-02-03",331,332.820007,328.339996,331.609985,418600,326.970764
"2021-02-04",332.160004,340.179993,331.700012,338.26001,411200,333.527802
"2021-02-05",340.23999,345.660004,335.970001,344.980011,419400,340.153809
"2021-02-08",345.549988,349.309998,343.660004,349.149994,339100,344.265442
"2021-02-09",347.820007,351.410004,347.130005,349.339996,347600,344.452789
"2021-02-10",351.959991,353.769989,346.700012,349,429100,344.117554
"2021-02-11",349.75,350.269989,339.299988,341.059998,406700,337.012817
"2021-02-12",339.75,343.059998,339.75,342.440002,2e+05,338.376495
"2021-02-16",345.929993,349.970001,343.440002,345.100006,361400,341.004913
"2021-02-17",343.589996,345.679993,338.429993,339.109985,365400,335.085938
"2021-02-18",338.25,341.420013,333.660004,340.450012,350200,336.410126
"2021-02-19",341.660004,344.589996,339.609985,343.48999,412300,339.414032
"2021-02-22",343,343.630005,338.440002,340.5,341300,336.459473
"2021-02-23",340.529999,342.220001,330.850006,336.709991,454700,332.714478
"2021-02-24",336.089996,339.329987,331.269989,338.309998,544000,334.295471
"2021-02-25",336.950012,339.320007,326.049988,328.049988,424400,324.157196
"2021-02-26",329.709991,332.399994,323.76001,324.339996,562200,320.491272
"2021-03-01",329.309998,347.880005,325.01001,344.880005,535400,340.787537
"2021-03-02",343.309998,346.929993,342.040009,342.399994,401300,338.336945
"2021-03-03",342.119995,345.609985,336.040009,336.309998,657500,332.319214
"2021-03-04",337.149994,337.890015,321.390015,326.730011,634500,322.852905
"2021-03-05",330.390015,341.440002,323.529999,339.350006,569900,335.323151
"2021-03-08",341.329987,344.440002,337.98999,340.600006,425900,336.558289
"2021-03-09",344.589996,349.709991,340.459991,345.839996,533400,341.736115
"2021-03-10",347.570007,356.940002,345.970001,353.040009,454900,348.850739
"2021-03-11",355.51001,363.429993,351.98999,360.040009,569300,355.767639
"2021-03-12",359.98999,362.76001,357.480011,358.290009,414700,354.038361
"2021-03-15",358,359.890015,350.329987,351.600006,526600,347.427795
"2021-03-16",350.649994,351.269989,344.070007,347.950012,426500,343.821136
"2021-03-17",348.209991,349.480011,336.48999,343.220001,579500,339.147186
"2021-03-18",342.23999,344.670013,334.450012,337.230011,502000,333.228333
"2021-03-19",336.440002,337.980011,332.940002,333.049988,743400,329.097931
"2021-03-22",334.320007,337.839996,331.540009,336.329987,371800,332.33902
"2021-03-23",336.529999,339.149994,331.350006,333.01001,325300,329.05838
"2021-03-24",330.829987,340.630005,330.829987,335.950012,415500,331.963531
"2021-03-25",335.440002,338.76001,328.570007,337.059998,311600,333.060333
"2021-03-26",335.899994,347.109985,335.440002,346.609985,360500,342.496948
"2021-03-29",344.25,346.029999,340.320007,341.200012,349200,337.151184
"2021-03-30",339.809998,341.040009,334.619995,337.309998,258400,333.307343
"2021-03-31",338.700012,344.51001,337.899994,341.309998,446800,337.259857
"2021-04-01",344.410004,351.049988,342.779999,348.309998,402100,344.176819
"2021-04-05",350,355.51001,349.790009,354.040009,364200,349.838806
"2021-04-06",351.589996,354.329987,347.98999,348.869995,339200,344.730194
"2021-04-07",346.809998,350.690002,345.320007,350.299988,283200,346.143219
"2021-04-08",350.890015,352.769989,344.910004,345.720001,437700,341.617584
"2021-04-09",346.399994,353.339996,345.48999,352.480011,417700,348.297363
"2021-04-12",353.079987,357.130005,350.809998,355.170013,274600,350.955444
"2021-04-13",353.399994,355.910004,351.179993,355.480011,248300,351.261749
"2021-04-14",355.540009,356.690002,348.690002,350.079987,326400,345.925812
"2021-04-15",353.450012,354.149994,350.230011,351.859985,280200,347.684692
"2021-04-16",353.179993,354.5,349.390015,350.519989,388600,346.360596
"2021-04-19",348.899994,349.109985,341.839996,343.73999,352900,339.661041
"2021-04-20",344.910004,346,339.209991,341.700012,312900,337.645294
"2021-04-21",344.579987,348.700012,342.940002,347.649994,470000,343.524658
"2021-04-22",346.029999,353,344.519989,348.559998,270200,344.423828
"2021-04-23",350.309998,355.649994,349.940002,353.720001,251500,349.522614
"2021-04-26",354.089996,355.640015,348.859985,349.359985,255100,345.214325
"2021-04-27",348.76001,352.23999,346.950012,350.149994,373000,345.994995
"2021-04-28",350.890015,351.529999,344.230011,345.200012,220000,341.10376
"2021-04-29",346.359985,352.75,346.220001,351.059998,222100,346.894196
"2021-04-30",348.51001,348.940002,342.109985,345.140015,399900,341.044495
"2021-05-03",348.649994,352.549988,347.390015,350.619995,381000,346.459381
"2021-05-04",349.600006,352.109985,348.859985,350.779999,388800,346.617523
"2021-05-05",352.98999,354.850006,347.019989,348.589996,419500,344.453491
"2021-05-06",351.049988,351.049988,347.140015,350.25,266400,346.093811
"2021-05-07",350.26001,362.910004,350.26001,360.670013,567100,356.390167
"2021-05-10",360.059998,364.410004,358.570007,360.73999,577100,356.45932
"2021-05-11",356.640015,357.589996,351.709991,354.679993,384500,350.471222
"2021-05-12",349.480011,351.369995,343.01001,343.76001,464500,339.680878
"2021-05-13",344.329987,354.609985,344.329987,353.209991,364200,349.78183
"2021-05-14",355.25,360.089996,353.420013,358.079987,318300,354.604523
"2021-05-17",353.899994,358,348.910004,352.040009,287900,348.623199
"2021-05-18",350.559998,353.269989,347.320007,348,587300,344.622375
"2021-05-19",343.5,346.619995,338,342.48999,476400,339.165894
"2021-05-20",342.720001,350.839996,340.170013,349.459991,396800,346.068237
"2021-05-21",351.649994,354.059998,347.600006,348.429993,316200,345.048218
"2021-05-24",351.649994,356.440002,350.209991,354.540009,380400,351.098907
"2021-05-25",354.600006,358.01001,354.519989,355.5,330400,352.049591
"2021-05-26",355.790009,356.970001,352.329987,354.200012,311900,350.762238
"2021-05-27",355.670013,357.790009,352.480011,354.149994,661300,350.712677
"2021-05-28",355.609985,356.829987,353.25,353.540009,345700,350.108643
"2021-06-01",356.299988,359.48999,351.959991,352.980011,364800,349.554077
"2021-06-02",352.609985,354.670013,351.869995,352.279999,331500,348.86084
"2021-06-03",349.049988,351.98999,346.890015,350.880005,334000,347.474457
"2021-06-04",352.730011,354.059998,349.809998,352.200012,360800,348.781616
"2021-06-07",352,353.170013,345.339996,346.799988,387400,343.434021
"2021-06-08",347.950012,348.75,345.609985,347.429993,329800,344.057922
"2021-06-09",348.429993,348.839996,346.700012,347.880005,244100,344.503571
"2021-06-10",348.299988,351.549988,346.850006,351.109985,350700,347.702179
"2021-06-11",351.690002,353.279999,351.320007,352.839996,236200,349.415405
"2021-06-14",351.720001,353.26001,350.179993,353.26001,274000,349.83136
"2021-06-15",354.450012,358.839996,354.029999,357.799988,343400,354.327271
"2021-06-16",359,360,354.559998,356.839996,356400,353.376587
"2021-06-17",355.619995,364.399994,355.619995,361.690002,443700,358.179565
"2021-06-18",357.640015,362.140015,352.26001,354.859985,777500,351.415771
"2021-06-21",357.350006,363.359985,355.609985,362.790009,342600,359.26889
"2021-06-22",365.029999,374.950012,363.01001,374.5,623700,370.865204
"2021-06-23",372.799988,378.5,370.929993,375.779999,649600,372.132782
"2021-06-24",375.390015,377.980011,373.529999,377.799988,418800,374.133148
"2021-06-25",377.75,379.540009,375.209991,378.26001,503500,374.588684
"2021-06-28",379.200012,381.709991,377.5,379.589996,385000,375.905792
"2021-06-29",378.839996,383.769989,378.839996,382.519989,305000,378.807343
"2021-06-30",383.170013,383.720001,381.459991,382,365600,378.292419
"2021-07-01",382.690002,383.880005,380.140015,380.920013,362400,377.2229
"2021-07-02",381.869995,384.660004,380.929993,383.5,537700,379.777832
"2021-07-06",383.98999,384.649994,377.899994,382.779999,456000,379.064819
"2021-07-07",383.380005,390.170013,382.730011,389.609985,301100,385.828522
"2021-07-08",385.190002,390.25,384.679993,386.799988,379500,383.045807
"2021-07-09",389.660004,389.660004,383.790009,388.320007,252600,384.551056
"2021-07-12",387.309998,392.25,387.269989,392.070007,246600,388.264679
"2021-07-13",392.070007,392.070007,380.339996,380.980011,1164300,377.282318
"2021-07-14",381.589996,382.570007,376.850006,378.950012,1049800,375.272003
"2021-07-15",375,378.320007,365.040009,369.149994,1151600,365.567078
"2021-07-16",373.130005,387.869995,373.130005,386.220001,770700,382.471466
"2021-07-19",383,387.209991,375.320007,378.579987,800700,374.905548
"2021-07-20",379.040009,391.100006,378.459991,389.200012,517400,385.422516
"2021-07-21",389.709991,392.440002,388.100006,392.160004,320800,388.35376
"2021-07-22",392.559998,392.559998,389.230011,391.070007,268100,387.274353
"2021-07-23",392,395.850006,390.329987,395.339996,345300,391.50293
"2021-07-26",393.679993,395.779999,386.529999,388.799988,429200,385.026398
"2021-07-27",383.950012,392.470001,382.910004,388.859985,337000,385.085815
"2021-07-28",390.980011,393.450012,389.160004,390.369995,302500,386.581116
"2021-07-29",393.690002,396.380005,390.799988,393.140015,432900,389.32431
"2021-07-30",391.619995,394.850006,391.029999,394.179993,443100,390.354156
"2021-08-02",392.660004,396.26001,388.649994,389.369995,347600,385.590851
"2021-08-03",390.529999,391.369995,386.200012,390.420013,804700,386.630676
"2021-08-04",389.48999,391.290009,386.410004,387.809998,413100,384.04599
"2021-08-05",388.480011,392.230011,386.070007,392,443400,388.195313
"2021-08-06",392.519989,393.899994,389.769989,391.299988,327100,387.502136
"2021-08-09",391.25,392.959991,389.679993,392.450012,295000,388.640961
"2021-08-10",392.609985,393.910004,390.01001,390.829987,249200,387.036682
"2021-08-11",392.059998,392.059998,386.070007,390.130005,330300,386.343506
"2021-08-12",388.01001,389.109985,384.559998,388.649994,270100,385.817383
"2021-08-13",388.25,390.100006,385.570007,389.410004,188500,386.571808
"2021-08-16",388.660004,394.779999,387.519989,393.420013,681200,390.552612
"2021-08-17",391.600006,394.619995,388.890015,394.190002,271800,391.316956
"2021-08-18",392.980011,394.700012,387.970001,388.25,362800,385.420258
"2021-08-19",386.76001,393.299988,385.959991,391.380005,446000,388.527466
"2021-08-20",392.73999,395,389.040009,391.809998,431600,388.954315
"2021-08-23",392.76001,394.899994,390.649994,391.929993,236500,389.073425
"2021-08-24",392.660004,393.23999,389.940002,390.899994,213800,388.050934
"2021-08-25",390.380005,392.880005,389.450012,392.160004,228200,389.301758
"2021-08-26",392.109985,392.109985,389.130005,390.070007,165200,387.22702
"2021-08-27",390.899994,395,388.109985,391.690002,207000,388.835205
"2021-08-30",391.429993,395.339996,389.709991,393.529999,248200,390.661804
"2021-08-31",394.380005,396.380005,391.420013,395.769989,355100,392.885468
"2021-09-01",396.829987,398.690002,393.950012,396.109985,223900,393.222992
"2021-09-02",398.570007,399.170013,393.480011,396.380005,305500,393.490997
"2021-09-03",395.359985,398.100006,394.690002,396.529999,334600,393.639923
"2021-09-07",394.230011,396.01001,391.049988,391.459991,250900,388.606842
"2021-09-08",391.359985,398.429993,390.26001,398.299988,222600,395.397003
"2021-09-09",399.149994,401.470001,397.579987,400.059998,298500,397.144196
"2021-09-10",401.700012,409.26001,400.880005,403.709991,433100,400.767578
"2021-09-13",407.48999,409.799988,404.01001,406.529999,747500,403.567047
"2021-09-14",409.100006,409.100006,395.529999,396.109985,672600,393.222992
"2021-09-15",396.339996,400,395,398.76001,453600,395.853668
"2021-09-16",398.76001,400.359985,395.549988,399.549988,271500,396.637909
"2021-09-17",398.609985,399.850006,391.820007,392.859985,1248000,389.996643
"2021-09-20",389.190002,394.070007,387.269989,393.600006,527200,390.731293
"2021-09-21",394.720001,397.089996,391.579987,393.299988,341700,390.433441
"2021-09-22",397.049988,398.350006,391.609985,396.200012,295600,393.312317
"2021-09-23",396.880005,402.839996,395.730011,401.779999,241200,398.851685
"2021-09-24",398.339996,402.420013,397.820007,401.470001,245600,398.543915
"2021-09-27",399.380005,403.799988,394.549988,395.390015,394500,392.50824
"2021-09-28",392.899994,393.839996,385.109985,386.070007,479500,383.256165
"2021-09-29",393.359985,399.220001,384.859985,389.26001,475900,386.422913
"2021-09-30",390.540009,390.880005,380.420013,380.660004,468200,377.88559
"2021-10-01",382.880005,388.75,377.309998,387.320007,427400,384.49707
"2021-10-04",389.98999,390.5,382.309998,386.100006,623200,383.28595
"2021-10-05",386.640015,394.850006,386.100006,391.850006,372500,388.994049
"2021-10-06",388.75,396.299988,386.410004,395.940002,321800,393.05423
"2021-10-07",398.630005,403.670013,397.730011,400.799988,343500,397.878784
"2021-10-08",401.980011,404.399994,399.410004,402.799988,317800,399.864227
"2021-10-11",402.970001,408.119995,402.320007,402.369995,268100,399.437378
"2021-10-12",402.570007,405.929993,401.970001,404,349100,401.055481
"2021-10-13",405.630005,409.290009,402.730011,405.329987,317300,402.375763
"2021-10-14",410,416.850006,407.790009,416.420013,344100,413.384979
"2021-10-15",418.019989,419.679993,414.790009,416.029999,343500,412.997803
"2021-10-18",414.779999,421.410004,413.5,421.070007,264500,418.001068
"2021-10-19",422.700012,423.899994,419.630005,423.899994,181800,420.810425
"2021-10-20",424.920013,426.950012,422.790009,423.700012,263800,420.611908
"2021-10-21",423.76001,426.429993,421.720001,424.640015,292800,421.545074
"2021-10-22",426.390015,428.940002,426.079987,426.829987,267500,423.719086
"2021-10-25",426.410004,430.059998,424.790009,428.589996,290400,425.466248
"2021-10-26",430.200012,432.820007,428.149994,430.5,332900,427.362335
"2021-10-27",431.290009,431.290009,422.660004,422.940002,201700,419.857422
"2021-10-28",423.519989,426.559998,420.809998,426.059998,220700,422.954681
"2021-10-29",425.130005,436.339996,424.450012,433.100006,370500,429.94339
"2021-11-01",434.579987,436.079987,429.540009,430.720001,217500,427.580719
"2021-11-02",433.429993,435.839996,428.589996,435.320007,274400,432.147186
"2021-11-03",435.320007,438.5,430.459991,437.920013,300600,434.728271
"2021-11-04",437.5,443.940002,436.190002,440.589996,283000,437.378784
"2021-11-05",444.040009,448.980011,441.529999,441.950012,291400,438.728912
"2021-11-08",443.880005,445.700012,432.279999,436.859985,352000,433.675964
"2021-11-09",437.100006,438.709991,434.019989,436.950012,250900,433.76535
"2021-11-10",435.480011,438.540009,432.429993,433.910004,378900,430.747467
"2021-11-11",435.450012,436.809998,432.829987,433.98999,249600,430.826904
"2021-11-12",435.720001,439.820007,432.709991,438.589996,218700,436.348511
"2021-11-15",439.290009,441.519989,435.910004,438.920013,170600,436.676849
"2021-11-16",438.410004,443.619995,436.410004,443.350006,241800,441.084229
"2021-11-17",443.350006,445.059998,439.410004,444.549988,176900,442.278046
"2021-11-18",445.440002,447,441.480011,442.779999,249900,440.51712
"2021-11-19",445.869995,449.200012,442.220001,446.049988,331700,443.770386
"2021-11-22",446.589996,452.73999,443.51001,443.660004,323900,441.392609
"2021-11-23",444.700012,446.119995,437.410004,439.160004,311600,436.915619
"2021-11-24",438.079987,442.410004,434.149994,441.559998,320100,439.303345
"2021-11-26",436.140015,440.209991,425.859985,428.290009,338500,426.101166
"2021-11-29",433.790009,437.609985,428.660004,434.730011,337600,432.50827
"2021-11-30",434.730011,438.160004,420.5,422.190002,969400,420.032349
"2021-12-01",428.459991,434.48999,417.170013,417.619995,431400,415.485718
"2021-12-02",418.440002,434.799988,417.649994,432.170013,768100,429.961334
"2021-12-03",432.959991,440.549988,420.450012,427.269989,623500,425.086365
"2021-12-06",434.309998,438.23999,431.070007,435.320007,445800,433.095245
"2021-12-07",440.779999,449.709991,438.519989,446.019989,527300,443.74054
"2021-12-08",446.019989,452.5,445.880005,450.980011,393600,448.675201
"2021-12-09",450.980011,451.940002,447.529999,449.130005,302400,446.834686
"2021-12-10",451.859985,459.200012,450.630005,458.450012,452700,456.107056
"2021-12-13",458,461.440002,454.140015,457.429993,541500,455.092255
"2021-12-14",453.170013,460.869995,441.660004,448.589996,521800,446.297394
"2021-12-15",449.679993,458.5,449.589996,457.709991,515200,455.370789
"2021-12-16",460.73999,460.75,451.839996,454.809998,520200,452.485626
"2021-12-17",453.880005,454.940002,437.290009,438.51001,916100,436.268951
"2021-12-20",431.609985,433,424.76001,429.940002,828000,427.742737
"2021-12-21",432.049988,438.429993,430.369995,436.790009,676800,434.557709
"2021-12-22",430,430,421.179993,428.890015,738000,426.69809
"2021-12-23",431.809998,442.459991,431.76001,435,621800,432.776886
"2021-12-27",438.230011,442.720001,434.059998,442.079987,321800,439.820679
"2021-12-28",443,445.049988,441.640015,444.100006,273400,441.830383
"2021-12-29",444.769989,447.190002,442.869995,444.940002,209100,442.666077
"2021-12-30",445.26001,447.769989,438.769989,439.549988,250800,437.303619
"2021-12-31",437.850006,445.089996,437.850006,443.170013,319700,440.905151
"2022-01-03",442.339996,442.670013,423.019989,424.089996,642500,421.922607
"2022-01-04",426.109985,427.75,423.01001,425.109985,693500,422.937408
"2022-01-05",424.01001,425.869995,405.570007,405.980011,745200,403.905182
"2022-01-06",405.970001,409.790009,401.100006,403,726500,400.94043
"2022-01-07",402.48999,402.48999,397.390015,397.420013,607500,395.388947
"2022-01-10",394.600006,399.75,390.709991,399.230011,775800,397.189697
"2022-01-11",399.170013,405.859985,392.350006,405.100006,524100,403.029663
"2022-01-12",409.320007,410,404.910004,406.209991,529400,404.134003
"2022-01-13",406.769989,408.179993,404.089996,404.73999,705400,402.671509
"2022-01-14",400.470001,402.619995,394.73999,397.450012,426900,395.418793
"2022-01-18",391.640015,394.450012,389.399994,391.059998,657200,389.061432
"2022-01-19",392.600006,395.48999,387.459991,387.839996,563600,385.85788
