"","C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted"
"2020-09-16",45.209999,46.759998,44.619999,46.02,45484600,42.895756
"2020-09-17",45.459999,45.830002,45.009998,45.529999,28741600,42.439022
"2020-09-18",45.52,45.959999,44.759998,44.860001,33201700,41.81451
"2020-09-21",43.41,44.16,43.07,43.93,33469700,40.947643
"2020-09-22",43.790001,44.130001,43.080002,43.290001,25799200,40.351089
"2020-09-23",43.610001,43.950001,41.790001,41.849998,28780200,39.008846
"2020-09-24",41.849998,42.599998,41.290001,42.189999,31259200,39.325768
"2020-09-25",41.84,42.130001,41.52,42.02,26917200,39.167313
"2020-09-28",42.919998,43.880001,42.889999,43.34,21204600,40.397701
"2020-09-29",43.099998,43.290001,42.02,42.419998,20694300,39.540154
"2020-09-30",42.580002,43.59,42.5,43.110001,22533400,40.183315
"2020-10-01",43.330002,43.650002,42.599998,43.439999,21900500,40.49091
"2020-10-02",42.540001,43.869999,42.52,43.66,23899200,40.695969
"2020-10-05",44.259998,45.23,44.209999,44.91,24170600,41.861118
"2020-10-06",45.48,46.060001,44.16,44.41,29505900,41.395058
"2020-10-07",45.02,45.630001,44.610001,44.84,22135800,41.795868
"2020-10-08",44.91,45.169998,44.279999,44.720001,28630700,41.684013
"2020-10-09",45.009998,45.59,44.689999,44.93,25595600,41.879757
"2020-10-12",45.09,45.990002,44.950001,45.880001,24070200,42.765266
"2020-10-13",46.119999,46.119999,43.549999,43.68,49899100,40.714619
"2020-10-14",43.52,44.240002,43,43.029999,30260500,40.108742
"2020-10-15",42.540001,43.639999,42.25,43.610001,26408000,40.649368
"2020-10-16",43.68,43.880001,43.080002,43.189999,25998000,40.257877
"2020-10-19",43.349998,43.389999,42.810001,42.900002,22793600,39.987568
"2020-10-20",43.369999,44.080002,43.34,43.52,21255900,40.565475
"2020-10-21",43.459999,43.73,42.900002,43.009998,19816300,40.090096
"2020-10-22",42.889999,43.990002,42.66,43.950001,21341200,40.966282
"2020-10-23",44.209999,44.57,43.669998,43.950001,18486500,40.966282
"2020-10-26",43.360001,43.400002,42.810001,43.259998,24928100,40.323132
"2020-10-27",43.040001,43.040001,41.869999,41.880001,24251700,39.036816
"2020-10-28",40.970001,41.59,40.740002,41.130001,27485000,38.337734
"2020-10-29",41.130001,42.150002,40.709999,41.66,23351000,38.831753
"2020-10-30",41.029999,41.540001,40.490002,41.419998,26962800,39.08654
"2020-11-02",41.860001,42.669998,41.200001,42.209999,24310800,39.832031
"2020-11-03",43.299999,44.02,43.060001,43.529999,29985200,41.077667
"2020-11-04",42.529999,43.41,41.900002,42.080002,25956400,39.709362
"2020-11-05",42.34,43.580002,42.18,43.07,24945100,40.643585
"2020-11-06",43.509998,43.610001,42.5,42.709999,17705200,40.303867
"2020-11-09",46.869999,48.779999,46.259998,47.639999,56895200,44.956127
"2020-11-10",48.310001,48.75,47.450001,47.650002,33275800,44.965565
"2020-11-11",47.900002,49.290001,47.68,48.93,29719600,46.173458
"2020-11-12",47.970001,48.41,47.709999,48.279999,28457400,45.56007
"2020-11-13",48.650002,49.07,48.400002,48.66,18632500,45.918667
"2020-11-16",50.41,51.02,49.860001,50.400002,26699400,47.560638
"2020-11-17",49.84,50.93,49.48,50.73,18970000,47.872047
"2020-11-18",51.09,52.650002,51.009998,51.049999,25824000,48.174015
"2020-11-19",51.599998,52.32,50.950001,52.139999,20262400,49.202618
"2020-11-20",51.830002,52.110001,51.189999,51.650002,15471100,48.740219
"2020-11-23",52.509998,53.630001,52.290001,53.299999,28923200,50.297264
"2020-11-24",54.48,57.139999,54.48,57.060001,32890900,53.845436
"2020-11-25",56.27,57.16,55.330002,57.060001,28250500,53.845436
"2020-11-27",57,57.240002,56.119999,56.669998,14267100,53.477413
"2020-11-30",56.139999,56.540001,55,55.07,23359300,51.967545
"2020-12-01",56.549999,56.740002,55.400002,55.470001,23497900,52.345009
"2020-12-02",55.360001,57.419998,55.25,57.200001,26796800,53.977551
"2020-12-03",57.380001,57.450001,56.200001,56.580002,18776100,53.392479
"2020-12-04",57.560001,58.82,57.310001,58.619999,24696000,55.317551
"2020-12-07",58.150002,58.610001,57.279999,58.130001,21280900,54.855156
"2020-12-08",57.48,58.400002,57.360001,58.360001,15511700,55.072201
"2020-12-09",59.16,59.549999,58.299999,58.950001,27278200,55.62896
"2020-12-10",58.040001,60.790001,58.009998,60.5,25866600,57.091637
"2020-12-11",59.799999,59.810001,58.18,58.93,20960000,55.610085
"2020-12-14",60,60.259998,58.73,58.740002,19688300,55.430798
"2020-12-15",58.740002,59.860001,58.57,59.669998,16044400,56.308399
"2020-12-16",60.07,60.139999,59.360001,59.75,14988300,56.383896
"2020-12-17",60,60.290001,59.57,60.049999,18229900,56.666988
"2020-12-18",60.299999,60.299999,58.709999,59.060001,28712700,55.732765
"2020-12-21",60.349998,61.82,59.810001,61.23,31906100,57.780514
"2020-12-22",61.099998,61.139999,59.16,59.259998,17851600,55.921497
"2020-12-23",60,61.310001,59.790001,60.779999,16579100,57.355862
"2020-12-24",60.93,61.09,59.880001,60.57,6824400,57.157696
"2020-12-28",60.619999,61.93,60.490002,61.130001,14414600,57.68615
"2020-12-29",61.150002,61.400002,60.549999,60.91,10800400,57.478539
"2020-12-30",60.91,61.27,60.669998,60.860001,10770700,57.431358
"2020-12-31",60.669998,61.849998,60.529999,61.66,12500700,58.186287
"2021-01-04",61.59,61.709999,59.73,60.139999,21286200,56.751919
"2021-01-05",60.349998,62,60.02,61.700001,20213100,58.224033
"2021-01-06",64.489998,66.599998,63.950001,65.25,38106600,61.574039
"2021-01-07",67.07,68.099998,66.010002,66.019997,24161000,62.300659
"2021-01-08",66.209999,66.209999,64.339996,65.370003,20747800,61.687286
"2021-01-11",64.580002,66.620003,64.330002,66.440002,20454000,62.697002
"2021-01-12",67.489998,67.739998,66.239998,66.669998,20162800,62.914036
"2021-01-13",67,67.220001,65.989998,66.860001,18541900,63.093334
"2021-01-14",67.519997,69.43,67.169998,69.010002,29108900,65.1222
"2021-01-15",67.370003,67.650002,64.089996,64.230003,38295300,60.611511
"2021-01-19",65.199997,65.25,62.91,63.689999,27022400,60.101929
"2021-01-20",63.75,63.82,62.84,63.25,17448900,59.686722
"2021-01-21",63.209999,63.34,61.740002,61.869999,19394600,58.384453
"2021-01-22",60.939999,61.830002,60.189999,61.330002,24740400,57.874878
"2021-01-25",60.669998,60.77,59.169998,60.560001,25754100,57.148262
"2021-01-26",61.200001,61.240002,60.09,60.91,18760900,57.478539
"2021-01-27",59.900002,60,58.529999,59.400002,24657200,56.053612
"2021-01-28",60.150002,61.060001,59.630001,60.34,19986200,56.940659
"2021-01-29",59.959999,60.200001,57.689999,57.990002,27078300,55.189514
"2021-02-01",58.66,58.669998,57.400002,58.43,16073000,55.608269
"2021-02-02",59.599998,60.25,59.299999,59.580002,18693400,56.702728
"2021-02-03",59.41,61.150002,59.32,61.099998,18730600,58.149319
"2021-02-04",61.57,62.630001,61.419998,62.41,16612900,59.396057
"2021-02-05",62.990002,63.080002,62.07,62.580002,13493800,59.55785
"2021-02-08",63.09,63.709999,62.849998,63.650002,15055400,60.57618
"2021-02-09",63.700001,63.869999,62.52,63.119999,12336900,60.071774
"2021-02-10",63.48,63.990002,62.98,63.619999,12680700,60.547623
"2021-02-11",63.599998,63.869999,61.93,63.200001,12108300,60.147907
"2021-02-12",62.919998,64.019997,62.889999,63.630001,12174600,60.557148
"2021-02-16",64.919998,65.07,63.84,64.120003,19065400,61.023483
"2021-02-17",63.799999,64.910004,63.450001,64.760002,20279600,61.632572
"2021-02-18",64.300003,64.550003,63.09,63.48,14833200,60.414387
"2021-02-19",64.160004,65.989998,64.050003,65.779999,20456200,62.60331
"2021-02-22",65.400002,66.900002,65.290001,65.519997,23120700,62.355865
"2021-02-23",65.589996,66.919998,64.860001,66.739998,26712100,63.516953
"2021-02-24",67.169998,68.68,67,68.599998,20752900,65.287125
"2021-02-25",69.040001,69.379997,66.889999,67.410004,25206100,64.154594
"2021-02-26",66.779999,67.599998,65.540001,65.879997,24182200,62.698471
"2021-03-01",68.489998,69.989998,67.980003,69.540001,28054600,66.181725
"2021-03-02",69.190002,69.989998,68.849998,68.910004,19200600,65.582161
"2021-03-03",69.489998,71.489998,69.300003,70.379997,25157600,66.981163
"2021-03-04",70.18,71.779999,67.889999,69.809998,28518400,66.43869
"2021-03-05",70.839996,71.269997,68.440002,70.230003,25406800,66.838417
"2021-03-08",71.07,72.839996,70.860001,72.220001,27351100,68.732307
"2021-03-09",70.910004,72.489998,70.040001,70.989998,24194900,67.561707
"2021-03-10",71.290001,73.879997,71.199997,73.75,21331100,70.188423
"2021-03-11",73.480003,74.279999,72.550003,73.309998,17499200,69.769669
"2021-03-12",74.419998,75.25,74.099998,75.18,17210600,71.549362
"2021-03-15",75.510002,75.589996,73.279999,74.220001,18918100,70.635727
"2021-03-16",73.519997,73.629997,72.32,73.330002,15834800,69.788704
"2021-03-17",73.93,74.339996,72.739998,73.599998,19337500,70.04567
"2021-03-18",74.43,76.129997,73.449997,73.839996,23857900,70.274071
"2021-03-19",73.199997,73.580002,71.519997,73.010002,24079400,69.484154
"2021-03-22",72.290001,72.599998,71.639999,71.959999,15040000,68.484863
"2021-03-23",71.300003,72.639999,70.510002,70.910004,16238700,67.48558
"2021-03-24",71.690002,72.480003,70.059998,70.080002,17089600,66.695656
"2021-03-25",69.830002,71.919998,69.150002,71.720001,18357300,68.256462
"2021-03-26",72.57,73.239998,72,73.019997,15716600,69.493675
"2021-03-29",71.550003,72.150002,70.370003,71.580002,17822300,68.123215
"2021-03-30",72,73.220001,72,72.959999,15615900,69.436569
"2021-03-31",72.709999,73.830002,72.459999,72.75,15224800,69.236717
"2021-04-01",72.220001,73.290001,72.220001,73.139999,15251300,69.60788
"2021-04-05",74.07,74.339996,72.440002,72.75,16128400,69.236717
"2021-04-06",72.360001,73.07,72.050003,72.599998,12908400,69.093964
"2021-04-07",72.919998,73.120003,71.949997,72.690002,14081400,69.179611
"2021-04-08",72.150002,72.529999,71.080002,72.330002,13677100,68.837006
"2021-04-09",72.809998,73.010002,72.010002,72.419998,14586400,68.922653
"2021-04-12",72.620003,72.800003,72.139999,72.690002,12002400,69.179611
"2021-04-13",72.300003,72.419998,71.07,72.059998,16150000,68.580032
"2021-04-14",71.739998,73.290001,71.379997,72.910004,19476600,69.388992
"2021-04-15",74.449997,74.730003,71.760002,72.540001,31333400,69.036858
"2021-04-16",73.32,73.57,71.690002,72.449997,28478400,68.951202
"2021-04-19",72.709999,72.830002,71.949997,72.129997,19964800,68.646645
"2021-04-20",71.550003,71.550003,69.269997,69.790001,22013000,66.41967
"2021-04-21",69.129997,70.709999,68.410004,70.650002,16334800,67.238129
"2021-04-22",70.43,70.75,69.669998,69.809998,16037600,66.43869
"2021-04-23",69.839996,71.540001,69.510002,71.379997,18876100,67.932877
"2021-04-26",71.730003,72.809998,71.610001,72.199997,13098600,68.713272
"2021-04-27",72.5,73.099998,72.360001,72.989998,13357500,69.465118
"2021-04-28",73.370003,73.639999,72.730003,72.910004,14420400,69.388992
"2021-04-29",73.760002,74.019997,72.879997,73.839996,20628400,70.274071
"2021-04-30",72.690002,72.739998,71.089996,71.239998,23669300,68.271164
"2021-05-03",72.019997,72.440002,71.389999,71.709999,16026100,68.721588
"2021-05-04",71.239998,72.400002,70.629997,72.330002,23071400,69.31575
"2021-05-05",72.610001,73.809998,71.779999,73.709999,19427200,70.638237
"2021-05-06",73.639999,74.940002,73.419998,74.779999,19621800,71.663651
"2021-05-07",73.43,75.110001,73.220001,75.080002,16937400,71.951157
"2021-05-10",75.360001,76.839996,75.110001,75.129997,19628200,71.999069
"2021-05-11",74.5,75.57,73.910004,74.870003,21534800,71.749901
"2021-05-12",75.940002,76.400002,73.900002,74.230003,19791300,71.136574
"2021-05-13",73.879997,75.879997,73.800003,75.290001,18622300,72.152397
"2021-05-14",75.68,76.769997,75.660004,76.559998,14122700,73.369469
"2021-05-17",76.330002,77.470001,76.099998,77.419998,14676300,74.193626
"2021-05-18",77.379997,77.690002,76.57,76.620003,13729600,73.426971
"2021-05-19",75.620003,76.650002,74.720001,76.459999,23283600,73.273636
"2021-05-20",76.169998,76.639999,75.360001,76.199997,15244300,73.024467
"2021-05-21",76.5,77.809998,76.410004,77.650002,18544500,74.414055
"2021-05-24",77.830002,78.360001,77.470001,78.029999,16750200,74.778198
"2021-05-25",78.199997,79.279999,77.190002,77.279999,20015800,74.059456
"2021-05-26",77.209999,77.900002,76.68,77.519997,15243400,74.289459
"2021-05-27",78.519997,79.110001,77.949997,78.760002,17467000,75.477791
"2021-05-28",78.660004,78.970001,77.910004,78.709999,14392800,75.429871
"2021-06-01",79.489998,80.089996,79.339996,79.760002,15450500,76.436111
"2021-06-02",80.099998,80.290001,79.379997,79.860001,15285600,76.531944
"2021-06-03",79.709999,80.290001,79.419998,79.629997,22255800,76.311523
"2021-06-04",79.690002,79.870003,78.809998,79.489998,13807000,76.177361
"2021-06-07",79.620003,79.650002,79.019997,79.309998,12670100,76.00486
"2021-06-08",78.300003,79.419998,77.709999,79.080002,15399100,75.784447
"2021-06-09",78.669998,78.779999,77.760002,78.139999,13778400,74.883629
"2021-06-10",79.040001,79.290001,76.830002,76.889999,15277400,73.685715
"2021-06-11",77,77.190002,76.099998,76.480003,18043500,73.292816
"2021-06-14",76.610001,76.769997,74.669998,75.160004,18304400,72.027809
"2021-06-15",75.050003,75.339996,73.25,73.82,25191700,70.743652
"2021-06-16",72.75,73,70.150002,71.459999,53319800,68.482002
"2021-06-17",72.580002,72.610001,68.160004,68.860001,48523000,65.990356
"2021-06-18",68.480003,68.75,67.129997,67.610001,44582900,64.792435
"2021-06-21",68.440002,69.089996,67.879997,68.449997,30266600,65.597427
"2021-06-22",68.900002,69.410004,67.769997,68.959999,21564600,66.086189
"2021-06-23",69.360001,70.050003,69.080002,69.650002,19672700,66.747429
"2021-06-24",70.330002,71.669998,69.949997,71.32,23900400,68.347832
"2021-06-25",71.449997,71.849998,69.860001,71.550003,26727400,68.56826
"2021-06-28",71.32,71.669998,70.459999,71.510002,17660900,68.529922
"2021-06-29",70.139999,71.599998,69.580002,69.68,28696900,66.776184
"2021-06-30",69.68,70.809998,69.419998,70.75,18502300,67.801598
"2021-07-01",71.080002,71.209999,70.449997,71.010002,12584800,68.050758
"2021-07-02",71.010002,71.120003,70.110001,70.410004,13222700,67.475761
"2021-07-06",70.110001,70.190002,67.860001,68.209999,24672200,65.367439
"2021-07-07",67.709999,68.370003,67.260002,67.93,19342700,65.099113
"2021-07-08",66.400002,67.139999,65.75,66.730003,24763600,63.949123
"2021-07-09",68.110001,68.519997,67.639999,68.449997,18872600,65.597427
"2021-07-12",67.669998,69.589996,67.300003,69.440002,19600600,66.546188
"2021-07-13",69.080002,69.480003,68.019997,68.370003,18962400,65.520782
"2021-07-14",69.989998,70.779999,67.449997,68.169998,36287800,65.329109
"2021-07-15",67.540001,69.040001,67.440002,68.449997,18897200,65.597427
"2021-07-16",68.709999,68.760002,66.419998,66.900002,19289000,64.112038
"2021-07-19",65.459999,66.07,64.360001,65.080002,33318600,62.367878
"2021-07-20",65.18,66.779999,64.779999,66.290001,20577900,63.527458
"2021-07-21",67.010002,68.25,66.93,67.889999,23393200,65.060776
"2021-07-22",67.75,67.790001,66.410004,66.93,16524900,64.140793
"2021-07-23",67.5,67.760002,66.519997,66.709999,13443300,63.929951
"2021-07-26",66.459999,67.839996,66.459999,67.769997,16434000,64.94577
"2021-07-27",67.080002,68.400002,66.779999,67.980003,17127700,65.147034
"2021-07-28",68.32,68.610001,67.489998,68.099998,20275900,65.262024
"2021-07-29",68.709999,69.580002,68.410004,68.809998,22261700,65.942436
"2021-07-30",67.919998,68.519997,67.239998,67.620003,18078200,65.285904
"2021-08-02",67.949997,69.120003,67.639999,67.730003,16616700,65.39212
"2021-08-03",68.25,69.089996,66.889999,68.879997,21041500,66.502419
"2021-08-04",68.120003,69.25,67.93,68.519997,14416300,66.154839
"2021-08-05",68.830002,69.769997,68.769997,69.690002,14361600,67.284462
"2021-08-06",70.779999,71.5,70.580002,71.07,23915400,68.616821
"2021-08-09",70.940002,72,70.459999,71.519997,15619800,69.051292
"2021-08-10",71.620003,73.339996,71.379997,72.980003,17920100,70.460899
"2021-08-11",73.300003,74.339996,72.93,74.300003,18676100,71.735336
"2021-08-12",74.330002,74.639999,73.629997,74.129997,14181400,71.571198
"2021-08-13",74.199997,74.620003,72.919998,73.110001,13362800,70.586411
"2021-08-16",72.410004,72.489998,70.989998,72.099998,15532800,69.611267
"2021-08-17",71.339996,72.360001,70.68,71.620003,14623000,69.147842
"2021-08-18",71.199997,72.260002,70.879997,71.120003,13970600,68.6651
"2021-08-19",70.540001,70.739998,69.43,69.839996,21047300,67.429276
"2021-08-20",69.709999,70.300003,69.209999,70.25,14028800,67.825127
"2021-08-23",70.760002,71.260002,70.559998,70.889999,13079500,68.443039
"2021-08-24",71.139999,72.190002,71.029999,72.040001,12669300,69.553345
"2021-08-25",72.800003,73.900002,72.040001,73.18,17766600,70.653984
"2021-08-26",73.470001,73.900002,72.279999,72.440002,14135600,69.939537
"2021-08-27",72.580002,73.370003,72.300003,72.989998,13669400,70.470543
"2021-08-30",73,73.010002,71.220001,71.669998,12687400,69.196114
"2021-08-31",71.75,72.5,71.330002,71.910004,17285900,69.427834
"2021-09-01",72.360001,72.360001,71.209999,71.309998,15114800,68.848541
"2021-09-02",71.360001,71.970001,70.919998,71.5,13533400,69.031982
"2021-09-03",71.620003,71.730003,70.650002,71.169998,13683300,68.713379
"2021-09-07",71.360001,72.279999,70.709999,70.82,14663600,68.375458
"2021-09-08",70.870003,71.220001,69.879997,70.040001,14861800,67.622383
"2021-09-09",69.970001,71.099998,69.910004,70.459999,14212900,68.027885
"2021-09-10",70.93,70.989998,69.519997,69.57,15422800,67.168594
"2021-09-13",70.120003,70.660004,69.760002,70.519997,16337300,68.085808
"2021-09-14",70.839996,71.379997,68.519997,68.779999,26568900,66.405869
"2021-09-15",68.82,70.870003,68.620003,70.449997,22392100,68.018219
"2021-09-16",71.029999,71.18,69.989998,70,19245400,67.583755
"2021-09-17",69.769997,70.580002,69.660004,69.959999,30768300,67.545143
"2021-09-20",68.050003,68.169998,65.970001,67.300003,36955400,64.976959
"2021-09-21",67.650002,67.739998,66.519997,66.940002,21169900,64.629387
"2021-09-22",67.889999,69.169998,67.790001,68.239998,21160200,65.884506
"2021-09-23",69.209999,71.389999,69,70.879997,21451500,68.433388
"2021-09-24",70.709999,71.580002,70.709999,71.18,15788400,68.72303
"2021-09-27",71.849998,72.610001,71.75,72.260002,19857500,69.765755
"2021-09-28",72.470001,73.279999,71.239998,71.370003,20835000,68.906479
"2021-09-29",71.690002,71.82,70.980003,71.529999,13683900,69.060936
"2021-09-30",71.629997,71.699997,69.949997,70.18,22090900,67.757545
"2021-10-01",70.440002,71.68,70.089996,71.18,23701900,68.72303
"2021-10-04",71.080002,72.980003,70.849998,71.290001,18957200,68.829231
"2021-10-05",71.760002,72.93,71.330002,72.529999,15587200,70.026428
"2021-10-06",71.919998,72.610001,71.019997,72.419998,15997200,69.920227
"2021-10-07",73.010002,73.349998,72.050003,72.190002,15349900,69.698174
"2021-10-08",71.849998,72.809998,71.510002,72.349998,11960700,69.852638
"2021-10-11",72.699997,73.720001,71.610001,71.68,14985500,69.205765
"2021-10-12",71.540001,71.940002,70.440002,70.639999,17593400,68.201668
"2021-10-13",70.550003,70.580002,68.739998,70.260002,23451900,67.834793
"2021-10-14",71.07,71.269997,69.720001,70.800003,24707900,68.356155
"2021-10-15",71.82,73.220001,71.510002,72.290001,21884500,69.794716
"2021-10-18",72.07,72.550003,71.400002,71.610001,15026100,69.138184
"2021-10-19",72.25,72.5,71.260002,71.760002,15173900,69.283012
"2021-10-20",71.559998,72.279999,70.809998,71.82,14350400,69.340935
"2021-10-21",71.260002,71.830002,70.010002,70.510002,18519000,68.076157
"2021-10-22",70.769997,71.889999,70.68,71.370003,14625100,68.906479
"2021-10-25",71.580002,71.849998,70.709999,70.830002,15103000,68.385109
"2021-10-26",71,71.610001,70.610001,70.650002,18647900,68.211319
"2021-10-27",70.510002,70.709999,69.309998,70.309998,25475900,67.883064
"2021-10-28",70.779999,71.32,70.279999,70.879997,16367800,68.433388
"2021-10-29",70.480003,70.610001,68.970001,69.160004,22403000,67.256676
"2021-11-01",69.93,69.93,69.029999,69.610001,19106600,67.694305
"2021-11-02",69.529999,69.629997,68.540001,68.599998,25539000,66.71209
"2021-11-03",68.300003,69.580002,68.089996,69,21755600,67.101082
"2021-11-04",68.75,68.769997,66.519997,67,32148900,65.156128
"2021-11-05",67.82,67.989998,66.949997,66.989998,20902600,65.1464
"2021-11-08",67.889999,69.019997,67.370003,68.449997,25122000,66.566216
"2021-11-09",67.779999,68.25,67.440002,67.989998,18513000,66.118881
"2021-11-10",68.120003,68.440002,67.709999,68.209999,19290200,66.332825
"2021-11-11",68.260002,69.18,68.169998,68.870003,20296200,66.974663
"2021-11-12",69,69.169998,68.300003,69.160004,13867400,67.256676
"2021-11-15",69.43,69.669998,68.540001,68.739998,12965100,66.848236
"2021-11-16",68.779999,68.779999,67.300003,67.739998,19042800,65.875763
"2021-11-17",67.660004,67.690002,66.769997,66.849998,16468300,65.010246
"2021-11-18",66.709999,67.150002,66.199997,67.110001,14994700,65.2631
"2021-11-19",66.120003,66.419998,65.230003,66.339996,19766900,64.51429
"2021-11-22",67.959999,68.110001,66.800003,67.040001,24020500,65.19503
"2021-11-23",67.57,68.370003,67.110001,68.07,18142200,66.196686
"2021-11-24",68,68.059998,67.230003,67.279999,14975500,65.428421
"2021-11-26",65.010002,65.739998,63.810001,65.5,24542000,63.697411
"2021-11-29",65.989998,66.290001,64.459999,65.040001,24340700,63.250061
"2021-11-30",64.32,64.809998,63.360001,63.700001,35574000,61.946945
"2021-12-01",64.660004,65.089996,62.5,62.52,27379200,60.799419
"2021-12-02",63.34,64.269997,62.759998,63.810001,24890700,62.053917
"2021-12-03",63.740002,64.120003,62.43,62.759998,25458700,61.03281
"2021-12-06",62.939999,63.57,62.139999,62.52,25105500,60.799419
"2021-12-07",62.950001,63.349998,62.32,62.900002,28301200,61.168964
"2021-12-08",63.02,63.16,62.349998,62.459999,20697200,60.741066
"2021-12-09",61.869999,62.5,60.849998,62.139999,29960500,60.429871
"2021-12-10",61.68,62.259998,60.200001,60.709999,39726500,59.039227
"2021-12-13",60.490002,60.869999,59.779999,60.18,20489500,58.523815
"2021-12-14",60.450001,61.32,60.380001,60.639999,19571100,58.971153
"2021-12-15",60.939999,61.009998,59.540001,60.240002,33861300,58.582165
"2021-12-16",61.099998,61.91,60.82,61.07,25688300,59.38932
"2021-12-17",60.27,60.5,58.959999,59.540001,47383500,57.901428
"2021-12-20",58.599998,58.73,57.59,58.279999,31619600,56.676105
"2021-12-21",58.740002,59.860001,58.650002,59.380001,23175100,57.745831
"2021-12-22",59.310001,59.939999,59.099998,59.599998,14760600,57.959778
"2021-12-23",59.990002,60.779999,59.950001,60.209999,15223300,58.55299
"2021-12-27",60.400002,60.939999,60,60.650002,14035400,58.980881
"2021-12-28",60.439999,61.330002,60.310001,60.619999,12697900,58.951706
"2021-12-29",60.810001,60.98,60.27,60.540001,13284000,58.873909
"2021-12-30",60.619999,61.07,60.389999,60.43,11380500,58.766933
"2021-12-31",60.43,60.759998,60.119999,60.389999,12307200,58.728039
"2022-01-03",61.18,63.610001,61.110001,63.099998,30508500,61.363453
"2022-01-04",64.059998,64.730003,63.540001,63.59,30303600,61.83997
"2022-01-05",64.099998,64.410004,62.779999,62.849998,25149100,61.120335
"2022-01-06",64.220001,65.309998,63.509998,64.910004,33334200,63.123646
"2022-01-07",65.18,66.550003,65.18,65.779999,26548200,63.9697
"2022-01-10",66.459999,66.980003,65.220001,66.029999,28693700,64.212814
