"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2021-04-01",334.200012,339.149994,329.809998,333.880005,751600,331.245239
"2021-04-05",338.420013,345.579987,338.149994,344.01001,454100,341.295349
"2021-04-06",343.75,345.190002,340.269989,344.059998,366800,341.34491
"2021-04-07",344.25,344.899994,335.570007,337.190002,444700,334.529144
"2021-04-08",336.23999,342.25,331.769989,341.679993,357600,338.983704
"2021-04-09",342.5,346.98999,341.070007,346.040009,337700,343.309326
"2021-04-12",347.51001,349.429993,343.809998,348.649994,329700,345.898712
"2021-04-13",346.290009,346.829987,341.160004,343.48999,471300,340.779419
"2021-04-14",341.940002,350.209991,341.429993,347.209991,489700,344.470062
"2021-04-15",348.910004,348.910004,344.329987,347.940002,355600,345.194305
"2021-04-16",350.899994,353.089996,349.549988,351.570007,408300,348.795654
"2021-04-19",350.190002,352.040009,348.089996,350.619995,319200,347.85318
"2021-04-20",349.690002,351.619995,342.200012,344.609985,302700,341.890564
"2021-04-21",343.529999,353,341.5,351.929993,435800,349.152832
"2021-04-22",350.929993,353.76001,345.470001,348.559998,253600,345.809418
"2021-04-23",350.369995,352.480011,347.820007,350.820007,210900,348.051605
"2021-04-26",352.440002,358.01001,352.399994,357.470001,360000,354.649139
"2021-04-27",357.619995,361.320007,357.019989,357.600006,238200,354.778076
"2021-04-28",359.799988,360.459991,353.829987,355.170013,179100,352.367279
"2021-04-29",357.5,359.350006,355.049988,359.070007,204000,356.23645
"2021-04-30",357.640015,357.809998,350.929993,353.119995,320900,350.333435
"2021-05-03",356.75,357.209991,351.029999,354.559998,443300,351.762054
"2021-05-04",354.5,373.940002,354.5,373.429993,696700,370.483185
"2021-05-05",376.700012,376.700012,370.070007,374.429993,328500,371.475281
"2021-05-06",374.73999,375.040009,368.950012,372.559998,355000,369.620026
"2021-05-07",371.980011,378.730011,369.859985,378.279999,245400,375.294922
"2021-05-10",381.519989,383.709991,374.839996,375.390015,300800,372.427734
"2021-05-11",371.040009,377.26001,367.660004,377.140015,295200,374.163879
"2021-05-12",377.190002,378.279999,366.880005,367.970001,287700,365.066223
"2021-05-13",367.829987,376.059998,367.579987,374.470001,282500,371.514984
"2021-05-14",377.209991,381.23999,375.359985,377.970001,182600,374.987335
"2021-05-17",376.5,378.600006,372.160004,376.049988,510000,373.082489
"2021-05-18",377.029999,379.600006,372.350006,372.549988,446900,369.610077
"2021-05-19",363.779999,365.700012,358.23999,363.73999,318700,360.869598
"2021-05-20",363.76001,366.320007,357.899994,361.959991,374000,359.103668
"2021-05-21",364.559998,370.559998,361.809998,362.540009,264200,359.679108
"2021-05-24",366.940002,368.75,361.350006,366.459991,380900,363.568176
"2021-05-25",368.380005,370.910004,362.070007,362.269989,318100,359.411194
"2021-05-26",362.950012,369.720001,362.540009,368.160004,508500,365.254791
"2021-05-27",372.399994,376.190002,370.149994,370.790009,757900,367.863983
"2021-05-28",370.459991,372.339996,363.070007,363.649994,483800,361.335815
"2021-06-01",367.929993,369,362.73999,363.690002,436100,361.375549
"2021-06-02",364.540009,364.679993,355.940002,356.880005,511900,354.608917
"2021-06-03",355.540009,361.829987,353.480011,359.559998,501400,357.27182
"2021-06-04",360.480011,361.140015,348,351.769989,607800,349.531403
"2021-06-07",355,357.940002,351.890015,353.769989,384400,351.518707
"2021-06-08",353.579987,362.769989,352.709991,361.910004,419400,359.606873
"2021-06-09",360.720001,362.519989,357.350006,359.100006,315300,356.814789
"2021-06-10",361.179993,361.709991,349.880005,350.049988,323900,347.822357
"2021-06-11",352.869995,354.970001,350.649994,352.679993,237100,350.435638
"2021-06-14",352.339996,353.040009,345.01001,347.309998,252800,345.099792
"2021-06-15",347.51001,349.070007,343.779999,346.269989,426100,344.066406
"2021-06-16",345.420013,346.26001,340.910004,342.98999,288200,340.807281
"2021-06-17",343.459991,344.950012,331,336.519989,496200,334.378418
"2021-06-18",331.329987,338.220001,329.690002,335.320007,569800,333.186096
"2021-06-21",339.029999,343.920013,338.329987,342.230011,249600,340.052124
"2021-06-22",343.869995,346.01001,341.089996,344.700012,299500,342.506409
"2021-06-23",345,351.959991,342.600006,349.839996,472800,347.613678
"2021-06-24",353.480011,362.839996,350.01001,358.959991,589500,356.675659
"2021-06-25",368.059998,368.059998,359.160004,359.269989,406500,356.983673
"2021-06-28",359.51001,360.459991,355,358.149994,292200,355.870789
"2021-06-29",361.209991,362.820007,349.350006,352.320007,454000,350.077911
"2021-06-30",351.100006,353.019989,345.820007,351.809998,412700,349.571167
"2021-07-01",352.579987,353.880005,349.730011,352.51001,340000,350.266724
"2021-07-02",352.380005,353.660004,347.429993,349.589996,325700,347.365295
"2021-07-06",348.440002,350,341.820007,348.540009,260600,346.32196
"2021-07-07",348.869995,356.709991,348.839996,356.040009,252200,353.774261
"2021-07-08",348.929993,354.529999,346.440002,351.26001,414300,349.024658
"2021-07-09",357,362.48999,355.48999,357.920013,304200,355.642273
"2021-07-12",353.700012,357.179993,351.519989,355.25,315700,352.989258
"2021-07-13",353.98999,355.480011,350.940002,352.019989,272100,349.779816
"2021-07-14",351.829987,356.5,350.26001,355.700012,334300,353.436401
"2021-07-15",353.420013,361.890015,353.420013,356.630005,399400,354.360504
"2021-07-16",356.929993,356.929993,351.220001,351.48999,299400,349.253174
"2021-07-19",345.25,346.25,335.470001,339.73999,462800,337.577942
"2021-07-20",340.5,350.429993,340.100006,346.98999,339100,344.781799
"2021-07-21",349.230011,353.459991,347.480011,352.51001,257900,350.266724
"2021-07-22",351.940002,351.940002,345.730011,350.73999,230400,348.507965
"2021-07-23",353.570007,356.390015,351.059998,356.230011,213400,353.963074
"2021-07-26",356.790009,358.480011,352.459991,352.660004,223800,350.415771
