"","MKTX.Open","MKTX.High","MKTX.Low","MKTX.Close","MKTX.Volume","MKTX.Adjusted"
"2021-04-30",492.23999,492.809998,486.040009,488.459991,272900,484.050995
"2021-05-03",490.369995,492.339996,487.589996,488.679993,199200,484.269073
"2021-05-04",487.350006,487.350006,473.279999,474,265500,469.721558
"2021-05-05",475.839996,476.459991,455.940002,456.619995,362700,452.498383
"2021-05-06",451.339996,456.269989,434.220001,438.609985,605900,434.651001
"2021-05-07",444.660004,456.660004,432.950012,437.170013,598800,433.223999
"2021-05-10",438,446.079987,433.320007,439.790009,353300,435.820343
"2021-05-11",434.440002,448.959991,431.190002,448.040009,432000,444.663208
"2021-05-12",445.029999,448.670013,442.100006,444.820007,398300,441.467468
"2021-05-13",446.910004,455.049988,442.589996,452.220001,429700,448.811676
"2021-05-14",453.119995,459.179993,443.570007,456.299988,294200,452.860931
"2021-05-17",455.369995,461,451.320007,455.089996,403400,451.660034
"2021-05-18",455.459991,456.950012,444.670013,446.700012,318300,443.333313
"2021-05-19",440.809998,446.720001,435.230011,443.140015,281300,439.80014
"2021-05-20",445.01001,453.549988,443.269989,450.940002,205400,447.541351
"2021-05-21",452.410004,458.160004,450.350006,455.98999,234400,452.553284
"2021-05-24",459.109985,460.75,454.890015,456.399994,247300,452.960205
"2021-05-25",456.309998,462.679993,454.700012,458.519989,255600,455.064209
"2021-05-26",461.029999,466.559998,458.76001,462.76001,329500,459.272278
"2021-05-27",460.619995,464.600006,455.01001,462.029999,548700,458.547729
"2021-05-28",461.399994,469.950012,460,466.540009,292500,463.023773
"2021-06-01",468.200012,471.01001,454.100006,454.329987,241600,450.905762
"2021-06-02",452.670013,460.709991,450.529999,460.459991,204800,456.989563
"2021-06-03",449.679993,455.859985,440.359985,444.209991,392800,440.86203
"2021-06-04",446.730011,450.76001,443.119995,450.230011,345700,446.8367
"2021-06-07",448.470001,449.029999,441.640015,448.589996,222300,445.209076
"2021-06-08",450.179993,452.140015,440.440002,440.76001,184000,437.43811
"2021-06-09",440.76001,443.609985,433.26001,433.619995,201900,430.351868
"2021-06-10",434.799988,436.160004,431.589996,432.890015,439100,429.62738
"2021-06-11",435.859985,442.98999,434.130005,440.859985,182800,437.537292
"2021-06-14",443.519989,455.100006,441.290009,454.709991,244400,451.282898
"2021-06-15",454.709991,457.540009,451.540009,452.519989,269800,449.109406
"2021-06-16",453.839996,457.76001,445.829987,449.359985,226300,445.973206
"2021-06-17",448.660004,466.329987,448.660004,461.089996,308200,457.614838
"2021-06-18",458.5,461.359985,446.329987,449.540009,647200,446.151917
"2021-06-21",449.850006,459.399994,442.820007,455.200012,235400,451.769226
"2021-06-22",454.339996,460.019989,450.899994,457.809998,216300,454.359558
"2021-06-23",458.220001,460.809998,456.220001,457.820007,133600,454.369476
"2021-06-24",460.320007,465.089996,457.220001,461.059998,207200,457.585083
"2021-06-25",462.359985,468.950012,460.48999,467.959991,346700,464.433044
"2021-06-28",470.23999,471.279999,465.959991,469.619995,260900,466.080536
"2021-06-29",469,473.809998,466.869995,472.140015,194000,468.581573
"2021-06-30",473.359985,473.359985,461.350006,463.589996,276600,460.096008
"2021-07-01",463.600006,471.609985,462.48999,464.209991,194900,460.711304
"2021-07-02",465.980011,468.160004,460.140015,463.869995,148200,460.373871
"2021-07-06",462.660004,473.640015,460.609985,471.799988,288600,468.24411
"2021-07-07",471.640015,473.089996,441.029999,450.079987,385900,446.687805
"2021-07-08",448.850006,462.369995,446.600006,459.019989,296100,455.560425
"2021-07-09",461.980011,465.149994,452.459991,460.769989,247900,457.297211
"2021-07-12",460.220001,462.98999,457.410004,461.820007,190000,458.339355
"2021-07-13",459.450012,462.480011,457.049988,459,110300,455.540588
"2021-07-14",459.309998,462.220001,453.75,459.459991,141600,455.997101
"2021-07-15",458,460.630005,453.630005,454.670013,171700,451.243225
"2021-07-16",455.540009,461.920013,453.01001,459.089996,179300,455.629913
"2021-07-19",457.149994,466.369995,456.76001,462.679993,327200,459.192841
"2021-07-20",462.220001,465.529999,459.079987,460.5,415200,457.029266
"2021-07-21",467.98999,478.76001,453.970001,455.850006,280900,452.414337
"2021-07-22",453.079987,468.480011,451.809998,464.420013,153800,460.919769
"2021-07-23",467.929993,476.309998,464.970001,475.190002,182100,471.608582
"2021-07-26",471.369995,473.519989,463.309998,466.950012,178800,463.430695
"2021-07-27",466.519989,468.720001,461.48999,466.720001,190300,463.202423
"2021-07-28",466.630005,474.730011,465.070007,470.940002,165100,467.390594
"2021-07-29",471.149994,479.359985,465.839996,475.779999,188700,472.194122
"2021-07-30",475.25,479.890015,473.230011,475.170013,238700,471.588745
"2021-08-02",478.51001,488.570007,475.470001,480,230600,476.382324
"2021-08-03",478.589996,480.160004,471.619995,479.940002,151700,476.978638
"2021-08-04",480.690002,493.399994,480.690002,492.130005,184500,489.093414
"2021-08-05",494.519989,498.970001,486.109985,490.730011,193200,487.702087
