"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2020-12-10",44.599998,45.509998,44.560001,45.349998,2881200,43.666939
"2020-12-11",44.689999,45.060001,44.52,44.84,3314600,43.175877
"2020-12-14",45.490002,45.57,44.189999,44.200001,3198200,42.559624
"2020-12-15",44.830002,45.099998,44.189999,44.869999,2957500,43.204762
"2020-12-16",44.990002,45.23,44.52,44.68,3282400,43.021809
"2020-12-17",44.849998,45,44.470001,44.810001,3037300,43.146992
"2020-12-18",44.84,45.150002,43.52,43.889999,10298600,42.261127
"2020-12-21",43.77,43.869999,42.73,43.59,4155700,41.972263
"2020-12-22",43.599998,43.75,43,43.029999,4044500,41.433041
"2020-12-23",43.419998,43.900002,43.139999,43.529999,5450700,41.91449
"2020-12-24",43.669998,43.93,43.380001,43.84,1383500,42.212986
"2020-12-28",44.080002,44.75,43.91,43.919998,2282700,42.290012
"2020-12-29",44.16,44.32,43.700001,43.75,2386700,42.126324
"2020-12-30",43.869999,44.48,43.830002,44.009998,1954500,42.376671
"2020-12-31",44.009998,44.639999,43.900002,44.470001,2159000,42.819603
"2021-01-04",44.599998,44.700001,43.029999,43.189999,3111200,41.587109
"2021-01-05",43.330002,43.700001,42.959999,43.259998,2561700,41.65451
"2021-01-06",43.91,45.200001,43.540001,44.93,3842900,43.262535
"2021-01-07",45.18,45.259998,44.450001,44.68,4217400,43.021809
"2021-01-08",44.919998,44.990002,43.720001,44.490002,2915700,42.838867
"2021-01-11",44.220001,44.82,44,44.509998,2479000,42.858116
"2021-01-12",46.209999,46.540001,45.259998,46.18,5828100,44.466141
"2021-01-13",45.93,46.560001,45.630001,46.09,4059800,44.379482
"2021-01-14",46.349998,47,46.189999,46.869999,2868300,45.130531
"2021-01-15",46.529999,46.82,46.009998,46.48,4218800,44.755009
"2021-01-19",46.799999,47.330002,46.619999,47.049999,2665200,45.303852
"2021-01-20",46.970001,47.209999,46.709999,47.060001,2368300,45.31348
"2021-01-21",46.919998,47.119999,46.310001,46.32,2926500,44.600945
"2021-01-22",45.860001,46.610001,45.77,46.43,3773800,44.70686
"2021-01-25",45.950001,46.610001,45.720001,46.57,5031400,44.841667
"2021-01-26",46.740002,46.990002,46.400002,46.43,3956600,44.70686
"2021-01-27",45.77,46.07,44.759998,45.150002,4463200,43.474369
"2021-01-28",45.619999,46.509998,45.299999,46.119999,4272600,44.408367
"2021-01-29",45.900002,45.959999,44.77,45.18,5236800,43.503254
"2021-02-01",45.389999,45.900002,44.860001,45.610001,3161700,43.917294
"2021-02-02",46.259998,46.68,46.040001,46.310001,3120300,44.591316
"2021-02-03",46,46.130001,45.529999,45.889999,3327700,44.186909
"2021-02-04",46.060001,46.639999,45.529999,45.75,4893100,44.052101
"2021-02-05",45.869999,45.889999,44.93,45.450001,4651400,43.763237
"2021-02-08",45.709999,46.48,45.560001,46.279999,4668700,44.562428
"2021-02-09",46.290001,46.580002,45.900002,46.25,3708300,44.533546
"2021-02-10",46.450001,46.860001,46.099998,46.689999,4039900,44.957214
"2021-02-11",46.810001,47.080002,46.459999,46.889999,2767800,45.149792
"2021-02-12",46.68,47.360001,46.459999,46.919998,2322700,45.178677
"2021-02-16",46.549999,47.049999,46.349998,46.349998,3853000,44.945946
"2021-02-17",46.25,47.139999,46.130001,47.040001,3541500,45.615047
"2021-02-18",46.77,47.68,46.75,47.290001,4195100,45.857475
"2021-02-19",47.610001,48.52,47.529999,48.080002,4752900,46.623543
"2021-02-22",47.959999,49.700001,47.959999,49.209999,4837300,47.719307
"2021-02-23",49.759998,49.93,48.759998,49.259998,3594400,47.767796
"2021-02-24",49.34,49.990002,49.259998,49.849998,4483700,48.339924
"2021-02-25",50,50.150002,48.639999,48.650002,5113200,47.176273
"2021-02-26",48.490002,48.939999,47.790001,47.889999,6661800,46.439293
"2021-03-01",48.669998,49.189999,48.5,48.720001,3527400,47.244156
"2021-03-02",48.75,49.189999,48.630001,48.639999,3894600,47.166576
"2021-03-03",48.700001,49.439999,48.639999,48.939999,3185300,47.457485
"2021-03-04",49.049999,49.139999,47.700001,48.400002,4515700,46.933849
"2021-03-05",48.98,50.099998,48.619999,49.950001,4230400,48.436897
"2021-03-08",50.16,51.82,50.130001,50.779999,4898800,49.241749
"2021-03-09",50.419998,51.189999,49.84,50.200001,3333700,48.679325
"2021-03-10",50.209999,51,50.119999,50.810001,3172400,49.27084
"2021-03-11",50.34,51.25,50.200001,51.009998,3046600,49.464783
"2021-03-12",51.549999,51.93,51.150002,51.84,5478300,50.269646
"2021-03-15",51.84,52.23,51.349998,52.139999,2790100,50.560551
"2021-03-16",51.700001,51.82,50.720001,51.099998,3025800,49.552059
"2021-03-17",51.439999,51.759998,51.02,51.669998,3373600,50.104794
