"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2020-11-11",75.510002,77.089996,75.440002,76.760002,3254300,75.060753
"2020-11-12",76.82,77.18,75.589996,76.220001,3087200,74.5327
"2020-11-13",77,77.669998,76.800003,77.190002,2681200,75.481239
"2020-11-16",77.870003,78.470001,77.230003,77.800003,2162500,76.077728
"2020-11-17",76.75,77.379997,76.169998,77,2026800,75.295433
"2020-11-18",76.470001,76.769997,74.68,74.699997,4192600,73.255653
"2020-11-19",74.989998,76.300003,74.559998,76.199997,2915700,74.726639
"2020-11-20",75.919998,76.279999,75.669998,75.900002,2277100,74.432449
"2020-11-23",76,77.300003,75.919998,77.199997,1958000,75.707314
"2020-11-24",77.949997,78.769997,77.269997,78.75,2594600,77.227356
"2020-11-25",78.940002,79,78.169998,78.550003,2189500,77.031212
"2020-11-27",77.940002,78.889999,77.660004,78.410004,1104900,76.893929
"2020-11-30",77.940002,78.330002,77.07,78.129997,3797700,76.619339
"2020-12-01",78.110001,79.040001,77.949997,78.660004,3653600,77.139099
"2020-12-02",78.660004,78.660004,77.980003,78.120003,2250900,76.609535
"2020-12-03",78.07,79.129997,77.75,78.760002,2108200,77.23716
"2020-12-04",79.150002,81.110001,78.489998,81.059998,3079000,79.492676
"2020-12-07",79.949997,80.739998,79.699997,80.529999,2419700,78.972939
"2020-12-08",79.260002,80.589996,78.739998,79.870003,2979500,78.325699
"2020-12-09",80.32,80.760002,78.809998,79.010002,3585500,77.482315
"2020-12-10",79.010002,79.010002,77.940002,78.379997,2069900,76.86451
"2020-12-11",78.559998,79.949997,78.190002,78.510002,3528600,76.991997
"2020-12-14",79,79.489998,78.610001,79.190002,2640600,77.658844
"2020-12-15",80.099998,80.529999,79.07,80.529999,2741900,78.972939
"2020-12-16",80.639999,80.639999,78.839996,79.32,2543100,77.786331
"2020-12-17",81.269997,82.730003,81,81.730003,5461900,80.149719
"2020-12-18",82.099998,82.099998,80.519997,81.019997,7656700,79.453461
"2020-12-21",79.849998,80.540001,78.559998,80.470001,2369000,78.914085
"2020-12-22",80.18,81.650002,80.139999,81.019997,2405700,79.453461
"2020-12-23",81.349998,81.889999,80.980003,80.989998,1674200,79.424034
"2020-12-24",81.349998,81.349998,80.599998,81.07,1037000,79.502487
"2020-12-28",81.540001,82.25,81.349998,81.370003,1192200,79.796692
"2020-12-29",82.019997,82.089996,80.209999,80.5,1035500,78.943504
"2020-12-30",80.879997,81.410004,80.629997,81.07,1090600,79.502487
"2020-12-31",81.370003,82.230003,80.769997,81.949997,1500700,80.365479
"2021-01-04",82,82.269997,78.699997,79.419998,2305700,77.884392
"2021-01-05",79.510002,80.129997,79.190002,79.650002,1856700,78.109947
