"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"2020-12-23",93.300003,93.589996,92.580002,92.980003,650500,90.45771
"2020-12-24",92.980003,93.589996,92.459999,93.470001,217600,90.934418
"2020-12-28",93.68,94.029999,92.900002,93.419998,460000,90.88578
"2020-12-29",93.419998,95.690002,93.279999,94.82,1205600,92.247803
"2020-12-30",95.419998,95.489998,94.239998,94.559998,1157800,92.32592
"2020-12-31",94.559998,95.760002,94,95.599998,1190900,93.341354
"2021-01-04",95.779999,95.959999,93.18,93.989998,987600,91.769371
"2021-01-05",93.800003,94.489998,92.330002,94.230003,825200,92.003716
"2021-01-06",93.760002,95.25,93.339996,93.93,1199500,91.710808
"2021-01-07",93.959999,94.889999,92.650002,94.790001,1090400,92.550476
"2021-01-08",95.019997,95.400002,94.050003,95.209999,842400,92.960564
"2021-01-11",95.540001,95.860001,93.080002,93.629997,765000,91.417885
"2021-01-12",93.68,93.949997,91.959999,92.449997,1118600,90.26577
"2021-01-13",92.839996,93.75,92.349998,93.260002,953700,91.056641
"2021-01-14",93.040001,93.040001,90.919998,91.620003,2018700,89.455376
"2021-01-15",91.860001,93.959999,91.480003,93.43,1893300,91.22261
"2021-01-19",93.809998,94.18,91.919998,93.010002,1442300,90.812538
"2021-01-20",92.800003,93.050003,91.220001,91.75,1143000,89.582306
"2021-01-21",91.75,91.839996,90.559998,91.459999,878400,89.299149
"2021-01-22",91.510002,92.32,90.489998,91.870003,1051900,89.699478
"2021-01-25",92.110001,94.860001,91.93,94.550003,1513100,92.316162
"2021-01-26",94.550003,96.410004,93.779999,96.089996,1613800,93.819763
"2021-01-27",95.870003,98.800003,93.959999,94.07,2608500,91.847496
"2021-01-28",91,94.989998,89.660004,91.019997,1862700,88.869545
"2021-01-29",90.650002,91.199997,88.379997,89.540001,2733500,87.424522
"2021-02-01",89.260002,90.029999,87.389999,89.18,1402800,87.073021
"2021-02-02",89.239998,91.169998,88.580002,89.480003,1132800,87.365944
"2021-02-03",89.370003,89.910004,87.660004,88.720001,1315900,86.623894
"2021-02-04",88.760002,89.629997,88.5,88.879997,835200,86.780106
"2021-02-05",89.25,90.989998,88.599998,90.290001,1610200,88.156807
"2021-02-08",90.910004,91.199997,89.709999,90.830002,858900,88.684052
"2021-02-09",90.989998,91.349998,90.25,90.769997,792600,88.625458
"2021-02-10",91.489998,91.489998,90.120003,90.800003,710500,88.654762
"2021-02-11",90.610001,91.089996,89.449997,89.879997,611400,87.756485
"2021-02-12",89.879997,90.129997,88.639999,89.650002,1062000,87.531929
"2021-02-16",89.699997,90.110001,86.870003,86.93,2056800,84.87619
"2021-02-17",86.220001,86.809998,85.599998,85.949997,3036000,83.91935
"2021-02-18",85.870003,87.589996,85.07,86.489998,1917000,84.446579
"2021-02-19",86.82,86.82,83.970001,84.120003,1446300,82.132584
"2021-02-22",84.120003,84.120003,82.760002,83.959999,1404400,81.976349
"2021-02-23",84.260002,85.639999,83.910004,84.370003,1376700,82.376671
"2021-02-24",83.650002,85.349998,83.540001,84.800003,2024800,82.796516
"2021-02-25",84.889999,85.839996,83.919998,84.410004,767800,82.415726
"2021-02-26",84.510002,84.790001,83.760002,84.279999,1377700,82.288788
"2021-03-01",84.790001,85.400002,84.190002,84.550003,1287700,82.552422
"2021-03-02",84.690002,85.510002,84.110001,84.900002,866400,82.894142
"2021-03-03",84.650002,84.900002,83.139999,83.190002,1440400,81.224556
"2021-03-04",83.589996,84.629997,82.580002,82.900002,1665000,80.941399
"2021-03-05",83.139999,84.900002,82.029999,84.43,1162400,82.435257
"2021-03-08",84.529999,84.75,83.660004,84.150002,1401800,82.161873
"2021-03-09",84.5,86.32,84.32,85.019997,1351600,83.011314
"2021-03-10",85.220001,86.290001,84.050003,85.900002,1034400,83.870522
"2021-03-11",85.660004,86.800003,85.389999,85.82,851700,83.792419
"2021-03-12",86.209999,86.889999,85.459999,86.809998,1097100,84.759018
"2021-03-15",87.169998,88.050003,86.93,87.339996,1530700,85.276497
"2021-03-16",87.309998,87.900002,86.779999,87.230003,966500,85.169106
"2021-03-17",86.660004,87.419998,86.199997,86.650002,1410600,84.602798
"2021-03-18",86.220001,86.940002,85.480003,86.32,1093600,84.280594
"2021-03-19",86.5,87.910004,86.349998,86.540001,2363000,84.495407
"2021-03-22",86.639999,87.919998,86.389999,87.849998,976100,85.774445
"2021-03-23",88.18,88.339996,87.019997,87.559998,1043500,85.491295
"2021-03-24",86.629997,88.040001,86,87.529999,1238400,85.462006
"2021-03-25",88.099998,89.260002,87.400002,88.699997,974000,86.604355
"2021-03-26",88.5,90.510002,88.5,90.209999,1411100,88.078682
"2021-03-29",90,91,89.400002,90.129997,1647900,88.000587
"2021-03-30",95.849998,95.889999,89.57,89.900002,4028600,87.776016
"2021-03-31",89.720001,89.870003,88.82,89.160004,1795500,87.053497
"2021-04-01",89.089996,90.150002,87.580002,89.239998,1808800,87.131599
"2021-04-05",89.169998,90.260002,88.589996,89.080002,1226300,86.975388
"2021-04-06",88.809998,89.940002,88.709999,89.730003,1231400,87.610031
"2021-04-07",90.050003,90.050003,88.699997,89.160004,1211600,87.053497
"2021-04-08",89.010002,89.93,89.010002,89.639999,2671700,87.522163
"2021-04-09",89.18,89.809998,87.720001,88.110001,959500,86.355843
"2021-04-12",88.07,88.5,87.610001,88.230003,1277400,86.473465
"2021-04-13",88.029999,88.760002,87.860001,88.019997,1496000,86.267639
"2021-04-14",88.089996,88.239998,86.980003,87.910004,877300,86.159836
"2021-04-15",88.220001,88.57,87.949997,88.480003,769400,86.718491
"2021-04-16",88.739998,88.889999,88.029999,88.790001,935000,87.022308
"2021-04-19",88.599998,89.080002,87.870003,88.849998,1315500,87.081108
"2021-04-20",88.760002,90.68,88.580002,90.620003,1822000,88.815872
"2021-04-21",91.169998,92.120003,91,91.919998,1770000,90.089989
"2021-04-22",91.919998,92.110001,91.199997,91.419998,1042900,89.599953
"2021-04-23",91.400002,91.82,90.769997,91.470001,1369000,89.648956
"2021-04-26",91.5,91.5,90.099998,90.349998,1651600,88.551254
"2021-04-27",90.300003,90.5,89.410004,89.870003,956900,88.080818
"2021-04-28",90.080002,90.589996,89.120003,89.32,712200,87.541763
"2021-04-29",89.43,90.82,89.43,90.599998,669400,88.796272
"2021-04-30",90.620003,90.809998,89.790001,90.360001,1719400,88.56105
"2021-05-03",90.260002,91.540001,90.260002,90.900002,725600,89.090302
"2021-05-04",91.160004,91.449997,89.849998,90.370003,1104200,88.570854
"2021-05-05",90.150002,90.620003,89.730003,90.459999,918100,88.659058
"2021-05-06",90.980003,91.830002,89.709999,90.230003,1206300,88.43364
"2021-05-07",90.129997,90.5,88.809998,89.330002,843200,87.551559
"2021-05-10",89.550003,91.620003,89.410004,90.68,1765000,88.874687
"2021-05-11",91.110001,91.32,89.25,89.720001,1029600,87.933792
"2021-05-12",89.800003,90.07,88.75,88.940002,951300,87.169319
"2021-05-13",88.589996,90.669998,88.5,90.260002,1384900,88.463043
"2021-05-14",90.199997,90.57,89.559998,89.559998,876700,87.776978
"2021-05-17",89.830002,90.480003,89.110001,89.139999,948800,87.365334
"2021-05-18",88.849998,90.18,88.559998,89.190002,1048400,87.414352
"2021-05-19",89.110001,89.849998,88.68,89.809998,1174600,88.022003
"2021-05-20",89.610001,91.370003,89.32,90.870003,1123400,89.060905
"2021-05-21",91.129997,91.669998,90.230003,90.599998,1354500,88.796272
"2021-05-24",90.800003,91.349998,90.449997,90.599998,959400,88.796272
"2021-05-25",90.620003,90.620003,89.43,90.300003,1089100,88.502251
"2021-05-26",90.449997,90.660004,88.110001,89.660004,1418600,87.874985
"2021-05-27",89.809998,90.050003,88.57,88.699997,3122700,86.934097
"2021-05-28",88.989998,89.900002,88.879997,89.059998,1794500,87.286934
"2021-06-01",89.419998,89.779999,88.459999,88.93,1274700,87.159531
"2021-06-02",89.209999,89.769997,88.889999,89.68,882800,87.894585
"2021-06-03",89.510002,89.730003,88.879997,89.669998,927800,87.884789
"2021-06-04",89.830002,90,89.25,89.809998,698200,88.022003
"2021-06-07",89.800003,89.849998,88.620003,89.489998,1064500,87.708366
"2021-06-08",89.730003,89.970001,88,88.5,1177600,86.738075
"2021-06-09",88.07,88.910004,87.75,88.129997,1620900,86.37545
"2021-06-10",88.400002,88.849998,88.040001,88.739998,1190900,86.973305
"2021-06-11",88.790001,89,88.099998,88.849998,1565200,87.081108
"2021-06-14",88.699997,89.209999,88.379997,89.199997,861500,87.424149
"2021-06-15",89.410004,89.540001,88.650002,88.769997,1005800,87.002708
"2021-06-16",88.849998,89,87.43,87.57,952300,85.826599
"2021-06-17",87.480003,87.82,86.68,87.540001,1111400,85.797195
"2021-06-18",87.279999,87.730003,86.050003,86.129997,2690400,84.415268
"2021-06-21",86.169998,87.269997,86.169998,87.169998,1301100,85.434555
"2021-06-22",87.169998,87.889999,87,87.260002,1081600,85.522766
"2021-06-23",87.220001,87.220001,86.080002,86.110001,1621600,84.395676
"2021-06-24",86.209999,86.400002,85.580002,86.279999,910900,84.562279
"2021-06-25",86.32,87.459999,86.029999,87.279999,4280900,85.542374
"2021-06-28",87.629997,88.709999,87.550003,88.150002,1252600,86.395058
"2021-06-29",88.150002,88.699997,87.330002,87.620003,1280500,85.87561
"2021-06-30",87.980003,88.480003,87.449997,88.32,1817500,86.561668
"2021-07-01",87.489998,88.959999,86.690002,87.970001,2431600,86.218636
"2021-07-02",88.620003,89.230003,88.190002,88.589996,1127800,86.826286
"2021-07-06",88.5,88.620003,87.400002,88.050003,1045200,86.29705
"2021-07-07",87.900002,88.779999,87.690002,88.18,989400,86.424461
"2021-07-08",87.870003,88.650002,86.889999,87.080002,1285100,85.346359
"2021-07-09",87.160004,87.269997,86.370003,87.099998,1060500,85.700569
"2021-07-12",86.949997,86.949997,85.849998,86.690002,1208300,85.297165
"2021-07-13",86.550003,86.889999,85.519997,85.699997,867900,84.323067
"2021-07-14",85.629997,86.440002,85.290001,86.18,953000,84.795349
"2021-07-15",86.150002,87.089996,85.839996,87.07,611200,85.671051
"2021-07-16",87.290001,87.970001,87,87.900002,790200,86.487717
"2021-07-19",87.709999,88.639999,87.330002,88.610001,1234900,87.186317
"2021-07-20",88.650002,89.529999,87.620003,87.699997,1004700,86.290924
"2021-07-21",87.589996,87.650002,85.540001,85.559998,1354700,84.18531
"2021-07-22",85.360001,85.410004,84.370003,84.730003,1130900,83.36866
"2021-07-23",84.82,85.959999,84.510002,85.720001,986500,84.342743
"2021-07-26",85.169998,85.75,84.989998,85.379997,817400,84.008202
"2021-07-27",85.339996,86.580002,85.07,85.75,1168400,84.372261
"2021-07-28",85.419998,85.709999,84.269997,84.699997,972800,83.339127
"2021-07-29",85.010002,85.07,84.080002,84.25,870500,82.896362
"2021-07-30",84.470001,85.089996,84.089996,84.169998,1402400,82.817657
"2021-08-02",84.209999,84.760002,83.849998,84.089996,826500,82.73893
"2021-08-03",83.989998,84.940002,83.730003,83.790001,848500,82.443756
"2021-08-04",83.730003,83.830002,82.669998,83.18,1048300,81.843552
"2021-08-05",83.360001,83.639999,82.910004,83.25,908800,81.91243
"2021-08-06",83.18,83.949997,83.080002,83.43,809400,82.089546
"2021-08-09",83.68,84,83.239998,83.699997,655700,82.355194
"2021-08-10",83.809998,84.32,83.639999,84.239998,1520800,82.88652
"2021-08-11",84.239998,85.919998,84.239998,85.480003,1218300,84.106598
"2021-08-12",85.610001,85.839996,85.089996,85.68,908400,84.303383
"2021-08-13",86.040001,86.949997,85.900002,86.68,876500,85.287315
"2021-08-16",86.800003,87.440002,86.419998,87.379997,825000,85.976074
"2021-08-17",87.43,88.029999,87.080002,87.839996,654800,86.428673
"2021-08-18",87.720001,87.980003,86.309998,86.339996,700600,84.952782
"2021-08-19",86.209999,87.589996,86.209999,87.480003,830600,86.074471
"2021-08-20",87.199997,87.919998,86.809998,87.559998,1002000,86.153168
"2021-08-23",87.400002,87.5,86.43,86.730003,979100,85.336517
"2021-08-24",86.739998,86.739998,85.529999,85.879997,1036300,84.50016
"2021-08-25",85.660004,85.889999,84.919998,85.559998,766300,84.18531
"2021-08-26",85.309998,85.5,84.309998,84.93,659400,83.565437
"2021-08-27",84.93,85.669998,84.639999,85.220001,532100,83.850777
"2021-08-30",85.120003,85.839996,84.879997,85.449997,397500,84.07708
"2021-08-31",85.580002,86.379997,85.010002,86.290001,1019200,84.903587
"2021-09-01",86.510002,87.620003,86.379997,87.400002,964800,85.995743
"2021-09-02",87.349998,88.07,87.330002,88.040001,822100,86.625465
"2021-09-03",88,88.400002,87.540001,88.080002,517600,86.664825
"2021-09-07",87.989998,87.989998,86.540001,86.970001,778000,85.572662
"2021-09-08",87.099998,88.510002,87.099998,88.349998,946300,86.930489
"2021-09-09",88.290001,88.339996,86.739998,86.760002,980000,85.366035
"2021-09-10",86.650002,86.910004,85.470001,85.550003,1938500,84.175484
"2021-09-13",85.82,86.620003,85.120003,85.150002,850800,83.781906
"2021-09-14",85.07,85.470001,84.779999,85.080002,1143000,83.713028
"2021-09-15",84.800003,85.839996,84.620003,85.349998,1021700,83.978683
"2021-09-16",85.400002,86.519997,84.889999,86.110001,1180400,84.726486
"2021-09-17",86.18,86.800003,85.760002,86.269997,2386700,84.883904
"2021-09-20",85.809998,86.629997,85.110001,85.650002,1596900,84.273872
"2021-09-21",85.730003,86.589996,85.360001,85.470001,1039400,84.096764
"2021-09-22",86.120003,86.269997,85.040001,85.330002,972600,83.959007
"2021-09-23",85.519997,86.160004,84.629997,84.779999,806500,83.417839
"2021-09-24",84.629997,85.190002,84.349998,84.550003,850100,83.191544
"2021-09-27",84.599998,85.360001,84.239998,84.349998,1255700,82.994751
"2021-09-28",84.239998,84.540001,82.720001,83.260002,1559900,81.922264
"2021-09-29",83.199997,84.279999,83.199997,83.690002,1680800,82.345367
"2021-09-30",81,83.169998,80.32,81.029999,2376900,79.728088
"2021-10-01",80.800003,81.489998,80.339996,80.709999,1432300,79.413231
"2021-10-04",80.690002,82.040001,80.489998,80.690002,1451700,79.393562
"2021-10-05",80.589996,80.989998,79.970001,80.050003,1602500,78.76384
"2021-10-06",79.860001,80.339996,79.110001,80.279999,1245400,78.99015
"2021-10-07",80.349998,81.360001,80.269997,80.43,1679900,79.137741
"2021-10-08",80.400002,80.629997,79.129997,79.309998,1084100,78.367012
"2021-10-11",79.080002,79.910004,78.400002,78.419998,1008200,77.487595
"2021-10-12",78.309998,78.900002,77.849998,78.099998,1453400,77.171394
"2021-10-13",78.199997,79.059998,77.849998,78.889999,1092400,77.952003
"2021-10-14",79.129997,80.290001,79.040001,80.260002,1096300,79.305725
"2021-10-15",80.419998,80.5,79.379997,79.629997,875700,78.683205
"2021-10-18",79.209999,80.150002,78.989998,79.410004,881200,78.465828
"2021-10-19",79.669998,79.93,79.160004,79.879997,626700,78.930229
"2021-10-20",80.129997,81.080002,80.129997,80.690002,880700,79.730606
"2021-10-21",80.949997,81.010002,80.18,80.309998,1043600,79.355118
"2021-10-22",80.290001,81.57,80.290001,80.730003,815700,79.770126
"2021-10-25",80.639999,80.830002,80,80.68,862500,79.720726
"2021-10-26",80.760002,81.360001,80.559998,81.059998,831700,80.096199
"2021-10-27",81.419998,81.5,79.970001,80.470001,862700,79.513214
"2021-10-28",80.410004,81.239998,80.300003,81.18,812600,80.214775
"2021-10-29",81.040001,81.760002,79.849998,80.230003,1571200,79.276077
"2021-11-01",80.029999,80.940002,80.029999,80.690002,815600,79.730606
"2021-11-02",80.940002,81.419998,79.660004,81.360001,871000,80.392639
"2021-11-03",81.419998,82.279999,81.309998,82.25,897600,81.272049
"2021-11-04",81.889999,82.080002,81.050003,81.309998,884000,80.343224
"2021-11-05",81.300003,81.889999,80.980003,81.230003,714600,80.264191
"2021-11-08",81.059998,81.059998,79.269997,80.32,1240600,79.364998
"2021-11-09",80.279999,80.989998,79.93,80.980003,855900,80.017166
"2021-11-10",81.18,82.349998,81,82.309998,1139200,81.331337
"2021-11-11",82.309998,82.309998,81.169998,81.459999,805800,80.491447
"2021-11-12",81.809998,82.529999,81.529999,81.760002,687100,80.78788
"2021-11-15",82.110001,83.07,81.639999,82.690002,876800,81.706825
"2021-11-16",82.879997,83.650002,82.849998,83.480003,877200,82.487434
"2021-11-17",83.370003,83.989998,82.949997,83.949997,984500,82.951836
"2021-11-18",83.800003,83.800003,82.639999,83.550003,1007700,82.556595
"2021-11-19",84.110001,85.029999,83.699997,83.970001,1686100,82.971603
"2021-11-22",83.910004,85.089996,83.360001,84.769997,1677000,83.762085
"2021-11-23",84.93,85.779999,84.620003,85.410004,1115600,84.394485
"2021-11-24",85.410004,85.82,84.830002,85.489998,948300,84.473526
"2021-11-26",85.5,87.300003,85.18,85.540001,1402300,84.522942
"2021-11-29",85.809998,87.25,85.400002,86.989998,2159100,85.955696
"2021-11-30",86.349998,87.199997,85.379997,85.82,6211300,84.799614
"2021-12-01",86.169998,88.279999,86.099998,86.550003,2402400,85.520935
"2021-12-02",86.940002,88.110001,86.889999,87.010002,1672400,85.975456
"2021-12-03",87.629997,88.57,87.099998,88.540001,1223700,87.487267
"2021-12-06",89.040001,90.449997,88.790001,90.110001,2080600,89.038597
"2021-12-07",90.150002,90.290001,87.040001,87.830002,2459100,86.785713
"2021-12-08",87.839996,89.019997,87.839996,88.650002,961100,87.595963
"2021-12-09",88.699997,89,88.129997,88.720001,937300,87.665123
"2021-12-10",89,90.639999,88.800003,90.510002,1577700,89.433846
"2021-12-13",90.459999,93.669998,90.269997,93.059998,2184100,91.953522
"2021-12-14",93.260002,93.620003,91.550003,91.580002,2068800,90.491119
"2021-12-15",91.620003,92.68,91.370003,92.209999,1927300,91.113632
"2021-12-16",91.949997,95.07,91.529999,94.660004,2154700,93.5345
"2021-12-17",94.650002,96.279999,93.870003,94.120003,3505400,93.000923
"2021-12-20",93.510002,94.160004,92.849998,93.910004,1630700,92.793427
"2021-12-21",93.529999,93.690002,91.800003,93.019997,2081800,91.913994
"2021-12-22",93.160004,93.470001,92.290001,93.389999,786700,92.279602
"2021-12-23",93.470001,93.639999,93,93.029999,692600,91.923882
"2021-12-27",93.059998,94.150002,93.029999,94.129997,1049000,93.010803
"2021-12-28",94.080002,94.970001,93.730003,94.959999,804100,93.830933
"2021-12-29",95.040001,95.959999,94.860001,95.620003,836400,94.483086
"2021-12-30",95.699997,95.82,94.970001,95.57,601800,94.800507
"2021-12-31",95.760002,96.82,95.57,96.610001,880100,95.832138
"2022-01-03",96.099998,96.209999,94.720001,95.82,1633800,95.048492
"2022-01-04",95.68,96.769997,94.849998,96.5,1434700,95.723022
"2022-01-05",96.540001,97.800003,96.540001,96.919998,1155500,96.139633
"2022-01-06",97.129997,98.089996,96.300003,96.489998,1115700,95.713104
"2022-01-07",96.279999,97.059998,95.839996,96.040001,1276000,95.266731
"2022-01-10",96.120003,96.25,93.68,94.620003,2271200,93.858162
