"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2021-02-09",46.220001,47.439999,45.860001,46.880001,8990300,44.438648
"2021-02-10",47.189999,48,46.41,47.25,10853200,44.789379
"2021-02-11",46.5,46.52,45.209999,46.439999,8939100,44.425854
"2021-02-12",46.110001,47.220001,45.950001,47.16,8805400,45.114628
"2021-02-16",48,49.23,47.82,48.849998,11066700,46.731335
"2021-02-17",49.189999,49.48,48.259998,49.360001,9055700,47.219219
"2021-02-18",49,49.130001,47.630001,47.689999,8382200,45.621647
"2021-02-19",47.650002,48.57,47.509998,48.419998,8502500,46.319981
"2021-02-22",49.169998,51.68,48.810001,50.880001,12331000,48.67329
"2021-02-23",52,52.5,49.66,52.099998,10796500,49.840378
"2021-02-24",52,54.889999,51.459999,54.669998,12286600,52.298916
"2021-02-25",54.970001,55.509998,52.02,53.029999,12864500,50.730045
"2021-02-26",52.599998,52.860001,50.860001,52.009998,13234100,49.754284
"2021-03-01",53.470001,53.959999,52.169998,52.610001,7182500,50.328262
"2021-03-02",52.509998,53.290001,52.240002,52.279999,7741100,50.012577
"2021-03-03",52.66,54.759998,52.549999,53.66,8007500,51.332722
"2021-03-04",53.959999,56.990002,53.68,55.619999,15181000,53.207718
"2021-03-05",58,59.490002,57.110001,58.34,18699600,55.809746
"2021-03-08",58.77,59.939999,57.689999,58.779999,11283400,56.230667
"2021-03-09",58.630001,59.599998,57.450001,57.900002,10193200,55.388832
"2021-03-10",57.860001,59.77,57.380001,59.419998,12002400,56.842907
"2021-03-11",59.509998,61.139999,59.400002,59.830002,9328100,57.235123
"2021-03-12",60.240002,60.470001,58.98,59.189999,6758400,56.622883
"2021-03-15",57.889999,58.57,56.970001,58.16,9825200,55.63755
"2021-03-16",57.080002,57.400002,55.970001,56.580002,9399900,54.12608
"2021-03-17",56.32,57.130001,55.52,56.830002,9461700,54.365238
"2021-03-18",56.41,56.580002,53.110001,53.380001,12297200,51.064869
"2021-03-19",53.290001,54.119999,52.349998,52.599998,26925500,50.318695
"2021-03-22",52.860001,53.009998,52.040001,52.240002,11003000,49.974308
"2021-03-23",51.119999,52.779999,50.529999,51.709999,11853800,49.467293
"2021-03-24",52.759998,53.950001,52.68,53.209999,9671100,50.902233
"2021-03-25",52.060001,53.799999,51.57,53.57,9275200,51.246624
"2021-03-26",54.66,55.119999,54.029999,55.040001,8723100,52.65287
"2021-03-29",54.5,54.52,53.119999,53.84,7901000,51.504913
"2021-03-30",53.200001,54.16,53.040001,53.43,7910200,51.112701
"2021-03-31",53.310001,53.689999,52.650002,52.970001,9293100,50.672649
"2021-04-01",53.119999,54.040001,52.529999,54.02,10165000,51.677113
"2021-04-05",53.91,53.91,51.950001,52.209999,10460000,49.945606
"2021-04-06",52.619999,53.66,52.41,52.580002,6253600,50.299561
"2021-04-07",52.790001,53.16,52.139999,52.380001,12408400,50.108238
"2021-04-08",51.619999,51.82,51.040001,51.240002,10040800,49.017681
"2021-04-09",51.369999,51.990002,50.919998,51.23,6665300,49.00811
"2021-04-12",51.75,52.240002,50.82,50.860001,8564000,48.654163
"2021-04-13",50.48,51.330002,50.389999,50.790001,6980000,48.587196
"2021-04-14",51.380001,53.560001,51.380001,52.689999,8342200,50.404793
"2021-04-15",52.700001,52.810001,51.77,51.900002,6763700,49.649059
"2021-04-16",52.240002,52.299999,51.040001,51.09,7665500,48.874187
"2021-04-19",51.290001,51.73,50.580002,50.889999,6587700,48.682861
"2021-04-20",50.5,50.639999,48.419998,48.650002,11928600,46.540012
"2021-04-21",48.029999,50.130001,47.849998,50.040001,7718900,47.869724
"2021-04-22",50.040001,50.080002,49.189999,49.459999,6582700,47.314877
"2021-04-23",49.43,50,49.16,49.720001,5670100,47.563602
"2021-04-26",49.639999,50.919998,49.599998,50.25,6642400,48.07061
"2021-04-27",50.439999,51.689999,50.259998,51.299999,8309600,49.075077
"2021-04-28",51.700001,53.349998,51.669998,53.040001,8897100,50.739616
"2021-04-29",54,54.5,52.849998,53.130001,9446900,50.82571
"2021-04-30",52.18,53.009998,50.970001,51.139999,9448200,48.922012
"2021-05-03",51.919998,52.93,51.560001,52.740002,9325100,50.452629
"2021-05-04",51.73,53.029999,51.639999,52.57,12834300,50.289997
"2021-05-05",54.349998,55.669998,53.220001,55.439999,12715300,53.035526
"2021-05-06",55.5,55.720001,53.689999,55.700001,9648200,53.284252
"2021-05-07",55.07,57.34,54.82,57.099998,9645500,54.623528
"2021-05-10",58.209999,59.34,56.959999,57,8801700,54.527863
"2021-05-11",55.790001,56.720001,55.150002,55.720001,9741400,53.303379
"2021-05-12",56.110001,57.709999,55.459999,55.689999,7925100,53.274681
"2021-05-13",54.610001,55.43,53.57,54.240002,7581500,52.291328
"2021-05-14",55.040001,56.650002,55.029999,56.52,6419900,54.48941
"2021-05-17",56.07,58.330002,56.07,58.299999,11441900,56.205463
"2021-05-18",58.27,58.639999,56.959999,57.290001,10322000,55.23175
"2021-05-19",55.939999,56.529999,54.82,55.580002,9406200,53.583183
"2021-05-20",55.650002,55.66,54.630001,55.389999,8798800,53.400009
"2021-05-21",56.060001,56.43,55.57,55.650002,6032300,53.650673
"2021-05-24",56.119999,56.259998,55.259998,56.099998,6372800,54.084496
"2021-05-25",56,56.380001,54.77,54.880001,8090600,52.908337
"2021-05-26",55.07,55.560001,54.669998,55.419998,6716000,53.428928
"2021-05-27",55.73,56.32,55.119999,55.529999,7484100,53.534977
"2021-05-28",55.799999,55.950001,55.32,55.740002,5745400,53.737427
"2021-06-01",57.080002,58.48,57.049999,58.27,9943600,56.17654
"2021-06-02",58.66,59.41,57.740002,58.990002,6103300,56.870674
"2021-06-03",58.720001,60,58.560001,59.470001,8280800,57.333427
"2021-06-04",59.82,60.130001,58.900002,59.849998,6504800,57.699772
"2021-06-07",59.810001,60.529999,59.59,59.810001,5405100,57.661217
"2021-06-08",59.43,60.619999,58.630001,60.470001,7345200,58.297501
"2021-06-09",60.630001,60.880001,59.580002,59.68,7026300,57.535881
"2021-06-10",61.009998,61.279999,59.279999,60.169998,9396000,58.008278
"2021-06-11",60.5,60.93,59.799999,59.970001,8117000,57.815468
"2021-06-14",60.650002,61.07,59.849998,60.310001,7744300,58.14325
"2021-06-15",60.700001,61.560001,60.470001,61.169998,7835700,58.972347
"2021-06-16",61.09,61.779999,60.560001,61.130001,9745800,58.933784
"2021-06-17",60.900002,61.57,58.549999,59.009998,13667200,56.889946
"2021-06-18",57.880001,59.209999,57.48,57.529999,18583800,55.463123
"2021-06-21",58.23,60.529999,58.209999,60.450001,8234300,58.278221
"2021-06-22",60.150002,61.119999,59.639999,60.790001,6745100,58.606003
"2021-06-23",61.099998,62.349998,60.75,60.759998,8184000,58.577084
"2021-06-24",60.970001,61.509998,60.32,61.389999,6424400,59.184448
"2021-06-25",61.700001,61.75,61.02,61.310001,8099200,59.107323
"2021-06-28",61.119999,61.169998,59.369999,59.59,7647300,57.449116
"2021-06-29",60.099998,60.200001,58.84,59.049999,6437000,56.928513
"2021-06-30",60.48,60.950001,59.810001,60.900002,9309600,58.712051
"2021-07-01",62.689999,63.57,62.349998,62.880001,11637200,60.620918
"2021-07-02",62.459999,63.169998,61.59,62.75,7635000,60.495586
"2021-07-06",62.779999,62.889999,60.209999,60.279999,11699400,58.114326
"2021-07-07",60,60.779999,58.630001,59.009998,8239600,56.889946
"2021-07-08",58.25,59.639999,57.990002,59.209999,10551500,57.082764
"2021-07-09",59.75,60.459999,59.34,60.130001,6973700,57.969719
"2021-07-12",58.91,60.439999,58.73,59.799999,6063100,57.651566
"2021-07-13",59.490002,59.990002,58.799999,59.459999,6510400,57.32378
"2021-07-14",59.889999,60.610001,57.34,57.669998,8489600,55.598095
"2021-07-15",57,58.220001,56.790001,57.080002,8723300,55.029293
"2021-07-16",57.700001,57.900002,55.310001,55.5,8805300,53.506058
"2021-07-19",53.43,54.299999,52.82,53.700001,13342100,51.770729
"2021-07-20",53.5,55.25,53.279999,54.470001,9358200,52.513062
"2021-07-21",55.73,57.419998,55.610001,57.02,9378000,54.971451
"2021-07-22",57.02,57.209999,56.18,56.669998,6765500,54.634018
"2021-07-23",56,56.279999,54.740002,55.34,10623800,53.759724
"2021-07-26",55.709999,57.349998,55.57,56.869999,8756300,55.246033
"2021-07-27",56.16,56.619999,55.34,56.330002,7363600,54.721458
"2021-07-28",56.48,57.150002,55.810001,56.720001,6167200,55.100319
"2021-07-29",57.419998,57.84,56.860001,57.080002,6306400,55.450035
"2021-07-30",56.759998,56.900002,55.720001,56.060001,8660100,54.459167
"2021-08-02",56.529999,57.759998,55.330002,55.380001,8469500,53.798584
"2021-08-03",55.09,56.77,54.509998,56.639999,9888200,55.022602
"2021-08-04",55.330002,56.5,54.91,54.93,7629600,53.361431
"2021-08-05",55.459999,56.619999,55.049999,55.950001,6573100,54.352303
"2021-08-06",56.59,57.169998,56.099998,56.5,5038900,54.886597
"2021-08-09",55.669998,56.169998,55.23,55.450001,5410600,53.866581
"2021-08-10",55.849998,56.779999,55.759998,56.48,6781800,54.867165
"2021-08-11",56.380001,57.360001,55.950001,57.189999,6071800,55.556889
"2021-08-12",57.139999,57.580002,56.529999,57.040001,4729200,55.411182
"2021-08-13",56.950001,57.23,55.849998,55.970001,7399800,54.371738
"2021-08-16",55.220001,55.580002,54.599998,54.810001,7464600,53.244858
"2021-08-17",54.41,55.439999,54.25,54.52,6497900,52.963139
"2021-08-18",54.380001,55.060001,53.459999,53.529999,6647700,52.001404
"2021-08-19",52.669998,52.98,51.41,52.439999,11306400,50.942532
"2021-08-20",51.869999,52.990002,51.59,52.77,7068200,51.263107
"2021-08-23",54.150002,55.130001,54.02,54.790001,8022200,53.225426
"2021-08-24",55.18,55.689999,54.639999,55.41,6245500,53.827721
"2021-08-25",55.450001,56.389999,55.049999,56.02,6125200,54.420303
"2021-08-26",55.75,56.09,54.959999,55.130001,5209000,53.555721
"2021-08-27",55.790001,57.119999,55.52,56.740002,6549100,55.119743
"2021-08-30",56.98,57.139999,56.18,56.200001,4838600,54.595165
"2021-08-31",55.75,56.330002,55.299999,55.529999,10500500,53.944294
"2021-09-01",55.560001,55.919998,54.419998,54.650002,9319800,53.089428
"2021-09-02",55.259998,56.98,55.209999,56.599998,6696600,54.983742
"2021-09-03",56.34,56.950001,55.939999,56.240002,7954200,54.634018
"2021-09-07",55.889999,56.48,55.32,55.98,6632600,54.381447
"2021-09-08",56.32,56.610001,55.189999,55.279999,5228900,53.701435
"2021-09-09",55.150002,56.540001,54.830002,55.580002,6285800,53.99287
"2021-09-10",56.610001,56.740002,55.459999,55.73,5055200,54.138584
"2021-09-13",56.57,58.080002,56.57,57.59,8456500,55.945477
"2021-09-14",58.220001,58.290001,56.610001,56.939999,7880700,55.31403
"2021-09-15",58.09,59.459999,58.060001,59.32,10766000,57.626068
"2021-09-16",59.279999,59.66,58.759998,59.23,8773100,57.538643
"2021-09-17",59.07,59.91,58.779999,58.919998,13741300,57.237492
"2021-09-20",57.490002,58.009998,56.299999,57.07,10001800,55.440323
"2021-09-21",58.470001,59.830002,57.720001,59.330002,13923100,57.63578
"2021-09-22",60.209999,62.889999,60.209999,62.259998,15753000,60.482113
"2021-09-23",62.25,64.120003,62.25,63.709999,11886800,61.890709
"2021-09-24",63.790001,65.690002,63.540001,65.019997,11128300,63.163296
"2021-09-27",66.699997,66.949997,65.800003,66.709999,13508700,64.805038
"2021-09-28",67.550003,68.639999,67.169998,67.800003,14995200,65.863922
"2021-09-29",67.629997,68.480003,66.610001,68.040001,10563700,66.097061
"2021-09-30",68.220001,68.889999,67.720001,67.769997,15845900,65.83477
"2021-10-01",68.379997,70.330002,68.309998,70.099998,13482300,68.098228
"2021-10-04",70.849998,72.610001,70.629997,71.489998,12423500,69.448547
"2021-10-05",72.099998,72.860001,70.709999,71.730003,11270100,69.681702
"2021-10-06",70.400002,72.110001,69.790001,71.809998,10613500,69.759415
"2021-10-07",72.010002,72.129997,70.610001,71.510002,11521300,69.467972
"2021-10-08",72.190002,75.099998,72.190002,74.919998,12310500,72.780594
"2021-10-11",75.129997,75.519997,73.75,73.970001,9585200,71.857727
"2021-10-12",74.139999,74.610001,73.019997,73.410004,7635600,71.313728
"2021-10-13",72.449997,73.760002,71.459999,73.230003,8517500,71.13887
"2021-10-14",74.290001,74.610001,72.839996,73.849998,8152600,71.74115
"2021-10-15",74.629997,74.93,74.129997,74.139999,6945100,72.022873
"2021-10-18",74.769997,75.75,74.129997,74.5,9917700,72.372597
"2021-10-19",74.839996,75.849998,74.379997,75.32,6589400,73.169182
"2021-10-20",74.720001,76.099998,74.540001,76.019997,5506000,73.849182
"2021-10-21",75.650002,75.650002,74.110001,74.589996,5836300,72.460022
"2021-10-22",75.120003,76.080002,74.989998,75.720001,7170200,73.557747
"2021-10-25",76.559998,77.980003,76.199997,76.519997,7471200,74.334915
"2021-10-26",76.690002,77.629997,76.470001,77.029999,5898200,74.830353
"2021-10-27",75.559998,76.660004,74.25,74.43,9025600,72.738968
"2021-10-28",74.370003,75.339996,74.120003,75.150002,5195900,73.442604
"2021-10-29",74.43,75.300003,73.970001,74.489998,8079300,72.7976
"2021-11-01",74.949997,75.410004,74.419998,74.589996,11944600,72.895325
"2021-11-02",74.540001,75.25,72.809998,73.029999,10891900,71.370773
"2021-11-03",72.650002,73.690002,72.25,72.739998,9311800,71.087357
"2021-11-04",74,74.779999,72.870003,73.309998,8573500,71.644409
"2021-11-05",74.559998,75.809998,73.919998,75.449997,6987600,73.735786
"2021-11-08",75.669998,77.150002,75.459999,75.93,6957700,74.20488
"2021-11-09",75.809998,75.989998,74.720001,75.75,6049800,74.028984
"2021-11-10",74.5,74.970001,72.93,73,7484700,71.341454
"2021-11-11",73.300003,73.660004,71.989998,72.139999,7784500,70.500992
"2021-11-12",71.589996,72.540001,71.5,72.360001,5329600,70.716003
"2021-11-15",72.230003,73.389999,71.739998,72.720001,6181400,71.067818
"2021-11-16",73,73.809998,72.57,72.639999,7451100,70.989632
"2021-11-17",72.120003,73.93,71.730003,71.970001,7628600,70.334862
"2021-11-18",72.120003,73.209999,71.610001,72.720001,6548800,71.067818
"2021-11-19",70.919998,71.300003,69.410004,69.610001,8817100,68.028473
"2021-11-22",69.639999,72.830002,69.610001,71.889999,7445600,70.256668
"2021-11-23",72.910004,74.720001,72.839996,73.779999,9107200,72.103722
"2021-11-24",73.230003,75.489998,73.199997,74.830002,7215800,73.129883
"2021-11-26",70.529999,71.620003,69.339996,71.480003,10258700,69.855988
"2021-11-29",73.480003,74.699997,71.949997,72.150002,9191600,70.510765
"2021-11-30",70.690002,72.239998,70.010002,70.129997,15723700,68.536659
"2021-12-01",72.010002,72.18,69.150002,69.199997,10070500,67.627792
"2021-12-02",69.190002,71.650002,68.239998,71.260002,8410900,69.640984
"2021-12-03",72.169998,72.940002,70.18,71.110001,6995700,69.4944
"2021-12-06",72.5,73.510002,71.629997,72.809998,6200100,71.155769
"2021-12-07",74.160004,75.959999,74.099998,74.57,8136600,72.875786
"2021-12-08",74.620003,75.370003,73.589996,74.110001,6313200,72.426231
"2021-12-09",73.959999,73.959999,72.459999,72.550003,6511600,70.901688
"2021-12-10",73.389999,73.650002,71.589996,73.489998,6065000,71.820313
"2021-12-13",72.870003,73.129997,70.519997,71.019997,5719100,69.406441
"2021-12-14",70.559998,71.739998,70.029999,70.68,6669300,69.074165
"2021-12-15",70.610001,71.220001,68.669998,70.709999,6805600,69.103485
"2021-12-16",71.730003,73.059998,71.32,71.699997,7068200,70.070984
"2021-12-17",70.900002,71.099998,68.5,68.610001,22913100,67.051193
"2021-12-20",67.050003,68.639999,66.059998,68.599998,11485000,67.04142
"2021-12-21",69.43,70.839996,69.300003,70.68,6324800,69.074165
"2021-12-22",70.5,71.620003,69.860001,71.080002,3775100,69.46508
"2021-12-23",71.290001,72.139999,71.040001,71.190002,3902700,69.572586
"2021-12-27",71.190002,73.25,70.459999,73.209999,3967800,71.546684
"2021-12-28",73.410004,73.919998,72.889999,73.120003,3383700,71.458733
"2021-12-29",73.260002,73.779999,72.440002,72.919998,3947300,71.263268
"2021-12-30",73.080002,73.699997,72.199997,72.279999,3340200,70.637817
"2021-12-31",71.809998,72.669998,71.68,72.18,3453900,70.735809
"2022-01-03",72.029999,73.959999,72.019997,73.769997,5769900,72.293999
"2022-01-04",74.559998,77.379997,74.279999,76.970001,9189300,75.42997
"2022-01-05",77.980003,78.269997,75.519997,75.650002,9034500,74.136391
"2022-01-06",77.82,78.790001,76.900002,78.489998,8679000,76.919556
"2022-01-07",78.870003,80.93,78.379997,80.639999,10838800,79.026543
"2022-01-10",80.650002,81.160004,79.209999,81.029999,9125400,79.408737
"2022-01-11",81.610001,83.769997,80.629997,83.589996,8510600,81.917519
"2022-01-12",84,84.540001,83.099998,84.400002,7740100,82.711319
