"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2020-10-22",436.299988,443.700012,434.720001,441.160004,478000,436.104645
"2020-10-23",444,449.429993,441.73999,444.309998,480000,439.218536
"2020-10-26",441.570007,445,430.890015,435.130005,378400,430.143768
"2020-10-27",433.230011,434.73999,429.799988,432.140015,434300,427.187988
"2020-10-28",423.140015,427.48999,412.519989,413.25,652700,408.514435
"2020-10-29",411.910004,414,396.48999,396.75,1255100,392.203522
"2020-10-30",398.220001,402.119995,392.48999,399.279999,942600,394.704529
"2020-11-02",404,413.019989,398.869995,408.579987,1079000,403.897919
"2020-11-03",410.690002,430.440002,409.670013,423.429993,971000,418.577759
"2020-11-04",445.01001,474.700012,445.01001,452.01001,1982100,446.830353
"2020-11-05",459.98999,462.420013,438.980011,440.790009,1324400,435.738892
"2020-11-06",439.549988,439.559998,428.26001,432.549988,681800,427.593231
"2020-11-09",448.059998,453.959991,422.559998,422.98999,955100,418.142853
"2020-11-10",422.309998,431.339996,408.890015,430.670013,1097400,425.734863
"2020-11-11",433.48999,434.869995,421.640015,426,978600,421.118347
"2020-11-12",426.799988,434.899994,423.01001,431.799988,755200,426.851898
"2020-11-13",435.160004,436.339996,427.779999,433.399994,702400,428.433533
"2020-11-16",434.670013,437.869995,423.859985,428.540009,652300,423.629272
"2020-11-17",425.179993,426.75,418.040009,422.230011,571200,417.391541
"2020-11-18",422.73999,424,413.720001,418.440002,545200,413.644958
"2020-11-19",416.619995,419.329987,405.540009,407.170013,1489900,402.50415
"2020-11-20",405.540009,410,401.670013,406.209991,743900,401.555115
"2020-11-23",409.329987,412.570007,404.670013,409.290009,1093500,404.599823
"2020-11-24",408.579987,417.98999,407.959991,408.190002,675200,403.512421
"2020-11-25",410.769989,410.769989,400.059998,401.040009,750900,396.444366
"2020-11-27",400.929993,408.23999,400.929993,406.48999,310100,401.83194
"2020-11-30",404.01001,406.290009,395.100006,400.519989,1336700,395.930298
"2020-12-01",405.01001,417.549988,403.01001,405.720001,1070800,401.07074
"2020-12-02",407.040009,408.630005,403.420013,405.75,793300,401.100403
"2020-12-03",406.019989,411.640015,401.640015,403.829987,701100,399.202362
"2020-12-04",403.809998,413.040009,403,412.779999,522700,408.049835
"2020-12-07",409.779999,412.799988,398.670013,403.73999,613600,399.113403
"2020-12-08",402.799988,410.26001,401.619995,409.279999,731100,404.589905
"2020-12-09",410,412,404.470001,408.140015,1072000,403.463013
"2020-12-10",408.51001,408.73999,397.230011,397.480011,833600,392.92514
"2020-12-11",397.730011,397.929993,388.48999,391.130005,798000,386.647919
"2020-12-14",393.359985,395.529999,386.470001,388.230011,1197300,383.781189
"2020-12-15",391,395.209991,385.76001,392.329987,971000,387.834198
"2020-12-16",392,396.089996,386.230011,392.76001,762600,388.259308
"2020-12-17",393.640015,398.660004,393.48999,396.339996,769500,391.798248
"2020-12-18",396.170013,397.130005,387.26001,391.619995,1316400,387.132324
"2020-12-21",386.579987,390.149994,381.23999,389.01001,851000,384.552246
"2020-12-22",388.320007,390.119995,384.470001,388.440002,678300,383.98877
"2020-12-23",391.559998,408.049988,391,405.089996,1638500,400.447937
"2020-12-24",403.890015,407.25,403,404.829987,271100,400.190918
"2020-12-28",407.790009,412,403.519989,410.190002,993200,405.489532
"2020-12-29",412.369995,414.029999,406.380005,408.049988,591100,403.374054
"2020-12-30",405.839996,410.899994,404.769989,406.109985,531800,402.072083
"2020-12-31",407.600006,411.01001,403.299988,410.269989,558300,406.190735
"2021-01-04",417.820007,417.98999,400.48999,412.190002,1268200,408.091675
"2021-01-05",408.920013,417.01001,408.920013,413.179993,958400,409.071777
"2021-01-06",405.600006,438.070007,405.5,437.829987,1495200,433.476746
"2021-01-07",437.019989,449.279999,435.5,447.690002,1421400,443.238678
"2021-01-08",446.51001,448,432.220001,436.769989,962500,432.427246
"2021-01-11",434.579987,438.290009,428.48999,433.540009,908700,429.229401
"2021-01-12",432.359985,437.559998,421.829987,422.470001,1045600,418.26947
"2021-01-13",420.119995,423.75,414.049988,416.019989,902500,411.883514
"2021-01-14",416.890015,420.670013,404.619995,405,1020900,400.973145
"2021-01-15",402.950012,407.549988,399.480011,406.809998,1519400,402.765198
"2021-01-19",410.51001,415.869995,404.859985,407.309998,903800,403.260193
"2021-01-20",408,412.140015,402.079987,411.339996,966700,407.250092
"2021-01-21",410.48999,418.839996,410.48999,414.600006,883900,410.477692
"2021-01-22",413.630005,414.049988,405.170013,405.179993,865000,401.151367
