"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2020-12-03",1301.189941,1322.650024,1301,1308.76001,209600,1308.76001
"2020-12-04",1311.150024,1337.72998,1307.5,1334.619995,215500,1334.619995
"2020-12-07",1333.569946,1352.160034,1327,1347.099976,248300,1347.099976
"2020-12-08",1339.439941,1348.859985,1322,1346,258100,1346
"2020-12-09",1350,1358.709961,1307.410034,1313.97998,231100,1313.97998
"2020-12-10",1303.969971,1325.849976,1300.160034,1317.22998,165500,1317.22998
"2020-12-11",1317.22998,1320.609985,1299.569946,1300,182200,1300
"2020-12-14",1308.650024,1313.030029,1296.849976,1309.52002,237400,1309.52002
"2020-12-15",1320.180054,1354.47998,1318.449951,1346.459961,391600,1346.459961
"2020-12-16",1380,1422.219971,1375.430054,1400.619995,698100,1400.619995
"2020-12-17",1407.609985,1421.449951,1385.790039,1409.680054,376700,1409.680054
"2020-12-18",1418,1425,1410.959961,1418.569946,438400,1418.569946
"2020-12-21",1400,1423.97998,1390.849976,1417.98999,299700,1417.98999
"2020-12-22",1418,1429.869995,1397.5,1426.300049,327100,1426.300049
"2020-12-23",1434.550049,1435.52002,1406.050049,1410.98999,199900,1410.98999
"2020-12-24",1410.910034,1418.540039,1406.869995,1412.550049,101300,1412.550049
"2020-12-28",1423,1423,1400.800049,1401.48999,174400,1401.48999
"2020-12-29",1402.380005,1408.089966,1377.339966,1392.209961,182300,1392.209961
"2020-12-30",1395,1398.099976,1373.619995,1374.170044,184400,1374.170044
"2020-12-31",1372,1393.140015,1363,1386.709961,217700,1386.709961
"2021-01-04",1386.680054,1390,1312.339966,1319.119995,513900,1319.119995
"2021-01-05",1319.109985,1358.22998,1316.910034,1355.109985,295100,1355.109985
"2021-01-06",1335.420044,1357.430054,1335,1343.410034,234200,1343.410034
"2021-01-07",1351,1378.709961,1348.699951,1368.140015,236700,1368.140015
"2021-01-08",1378.810059,1410.51001,1374.810059,1402.439941,368900,1402.439941
"2021-01-11",1391.359985,1421.579956,1389.109985,1402.619995,227100,1402.619995
"2021-01-12",1410,1414.359985,1388.689941,1401.640015,211300,1401.640015
"2021-01-13",1404.72998,1407.52002,1384.51001,1395,186600,1395
"2021-01-14",1418.300049,1453.5,1397.689941,1411.800049,426600,1411.800049
"2021-01-15",1405.23999,1417.77002,1398.819946,1405.73999,208400,1405.73999
"2021-01-19",1420.160034,1432.900024,1392.199951,1429.47998,222700,1429.47998
