"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"2020-09-15",70,70,68.330002,68.360001,1902100,62.856365
"2020-09-16",68.599998,70.639999,68.339996,69.32,2423200,63.73909
"2020-09-17",69.089996,69.660004,67.419998,68.589996,2536700,63.067841
"2020-09-18",68.029999,69.099998,68.019997,68.150002,2949200,62.66328
"2020-09-21",66.449997,67.139999,63.950001,64.730003,3293500,59.51862
"2020-09-22",64.550003,65.540001,62.68,63.709999,3184200,58.580734
"2020-09-23",64.099998,65.010002,61.939999,61.959999,2659900,56.971622
"2020-09-24",62.009998,62.66,60.16,61.450001,3541000,56.502686
"2020-09-25",60.869999,62.259998,60.599998,62.080002,3007800,57.081974
"2020-09-28",63.5,64.870003,63.290001,64.029999,2339500,58.874977
"2020-09-29",63.759998,64.25,62.380001,63.09,2132100,58.010651
"2020-09-30",63.200001,64.139999,62.759998,63.52,3073400,58.406029
"2020-10-01",63.91,64.760002,62.810001,63.509998,2371800,58.396835
"2020-10-02",62.360001,64.300003,62.139999,63.880001,2187900,58.737049
"2020-10-05",64.650002,66.209999,64.510002,65.709999,2442600,60.419716
"2020-10-06",66.57,68.050003,65.110001,65.339996,3175200,60.079506
"2020-10-07",66.07,68,66.07,67.790001,2302200,62.33226
"2020-10-08",68.449997,69.019997,67.790001,68.269997,1573800,62.773609
"2020-10-09",68.93,68.989998,67.07,67.879997,1409000,62.415012
"2020-10-12",68.379997,69.389999,67.870003,69.190002,1311100,63.619556
"2020-10-13",68.330002,68.480003,66.230003,66.400002,2042200,61.054165
"2020-10-14",66.410004,67.389999,66.290001,66.330002,1195700,60.989803
"2020-10-15",65.540001,66.669998,64.870003,66.529999,1868900,61.173702
"2020-10-16",66.75,67.330002,65.989998,66.269997,1539800,60.934631
"2020-10-19",66.620003,67.25,65.510002,65.599998,1224000,60.318573
"2020-10-20",66.540001,67.410004,66.110001,66.220001,1313000,60.88866
"2020-10-21",65.989998,66.82,65.769997,66.139999,1527700,60.815094
"2020-10-22",65.809998,68.150002,65.660004,67.919998,1422700,62.451786
"2020-10-23",68.540001,69.050003,68,68.730003,1406400,63.196579
"2020-10-26",67.629997,67.769997,65.43,66.419998,1644100,61.072552
"2020-10-27",66.010002,66.019997,63.439999,63.459999,2055100,58.350868
"2020-10-28",62.119999,63.150002,61.220001,61.669998,2554400,56.704979
"2020-10-29",61.200001,63.540001,60.389999,63.040001,1914300,57.964676
"2020-10-30",62.560001,64.080002,62.16,64.019997,2619200,58.865772
"2020-11-02",65.190002,66.300003,64.190002,65.93,2072900,60.622005
"2020-11-03",67.330002,68.790001,67.18,67.779999,2819800,62.323063
"2020-11-04",67.379997,68.139999,63.080002,63.09,4566200,58.010651
"2020-11-05",63.560001,66.489998,63.560001,65.370003,2993600,60.10709
"2020-11-06",65.839996,66.300003,63.049999,63.549999,2625200,58.43362
"2020-11-09",69.25,74.620003,69.099998,73.449997,6427800,67.536568
"2020-11-10",73.75,76.18,73.080002,75.449997,4569700,69.375557
"2020-11-11",75.669998,75.669998,72.059998,73.019997,3092700,67.14119
"2020-11-12",71.529999,72.190002,69.93,71.019997,2394200,65.302216
"2020-11-13",71.5,73.519997,71.5,73.129997,1739900,67.242332
"2020-11-16",75.800003,75.919998,74.449997,75.580002,2087600,69.495102
"2020-11-17",74.57,75.82,73.779999,75.419998,1615400,69.347961
"2020-11-18",75.709999,77.559998,75.410004,75.769997,2312200,69.6698
"2020-11-19",74.970001,76.139999,73.699997,75.790001,1926500,69.688171
"2020-11-20",75.400002,76.150002,74.709999,75.650002,2474700,69.559448
"2020-11-23",75.370003,77.230003,75.239998,76.839996,2169400,71.696144
"2020-11-24",78.480003,80.010002,77.699997,79.849998,2702800,74.504662
"2020-11-25",78.870003,78.870003,77.949997,78.730003,1556300,73.459648
"2020-11-27",78.629997,79.160004,77.639999,78.089996,892400,72.86248
"2020-11-30",77.25,77.989998,75.339996,75.620003,3305000,70.557838
"2020-12-01",77.769997,78.029999,76.879997,77.110001,1943800,71.948074
"2020-12-02",76.480003,78.919998,76.480003,78.68,1813600,73.412979
"2020-12-03",78.610001,79.68,78.239998,78.870003,2181200,73.590263
"2020-12-04",79.849998,81.519997,79.68,81.290001,2001400,75.848259
"2020-12-07",80.529999,80.610001,79.269997,79.980003,2031400,74.625961
"2020-12-08",79.269997,80.589996,79.190002,80.25,1501300,74.877876
"2020-12-09",81.349998,81.639999,79.720001,80.230003,1592900,74.85923
"2020-12-10",79.029999,80.169998,78.870003,79.959999,1748000,74.6073
"2020-12-11",78.470001,79.360001,77.980003,78.580002,1490700,73.319679
"2020-12-14",80,80.029999,76.540001,76.610001,2023500,71.48156
"2020-12-15",77.660004,78.089996,76.150002,77.809998,1568400,72.601219
"2020-12-16",77.849998,78.470001,77.269997,78,1454300,72.778503
"2020-12-17",78.449997,78.629997,76.660004,77.660004,1943700,72.461273
"2020-12-18",77.660004,77.980003,75.75,76.510002,4779500,71.388245
"2020-12-21",76.110001,76.370003,74.580002,76.199997,1852200,71.098999
"2020-12-22",76.360001,76.459999,74.989998,75,1829600,69.979332
"2020-12-23",75.959999,77.300003,75.959999,76.790001,2439200,71.649498
"2020-12-24",76.800003,77.019997,75.870003,76.739998,612000,71.602852
"2020-12-28",77.160004,78.620003,76.699997,76.910004,1518900,71.761475
"2020-12-29",77.209999,77.580002,76.139999,76.339996,1231600,71.229622
"2020-12-30",76.550003,77.68,76.440002,77.449997,1383700,72.26532
"2020-12-31",77.309998,78.230003,76.910004,78.07,1208400,72.843811
"2021-01-04",78.400002,78.400002,75.709999,76.400002,2620900,71.285614
"2021-01-05",76.279999,77.959999,76.040001,77.139999,1578500,71.976067
"2021-01-06",79.099998,82.849998,78.940002,81.709999,3286100,76.24015
"2021-01-07",82.620003,82.940002,81.230003,81.349998,2364600,75.904243
"2021-01-08",81.459999,81.599998,79.32,80.699997,1604000,75.297768
"2021-01-11",79.68,81.18,79.220001,80.779999,1202300,75.372406
"2021-01-12",81.379997,82.790001,81.050003,82.290001,1548100,76.781326
"2021-01-13",81.860001,82.470001,81.199997,82.239998,1357200,76.734657
"2021-01-14",82.650002,84.559998,82.330002,83.910004,1721900,78.292877
"2021-01-15",83.57,84.029999,82.169998,83.610001,2242000,78.012955
"2021-01-19",84.160004,85.650002,83.639999,84.860001,1899400,79.179291
"2021-01-20",84.769997,84.849998,83.610001,84.010002,1493200,78.386177
"2021-01-21",83.82,84.360001,82.82,82.860001,1326200,77.313156
"2021-01-22",82,82.879997,81.449997,82.620003,1375400,77.089226
