"","CPB.Open","CPB.High","CPB.Low","CPB.Close","CPB.Volume","CPB.Adjusted"
"2020-09-30",48.209999,48.73,47.869999,48.369999,2394200,45.385681
"2020-10-01",48.310001,48.889999,46.990002,48.52,2396100,45.526428
"2020-10-02",48.189999,49.029999,47.869999,48.810001,1298100,45.798531
"2020-10-05",49,49.380001,48.43,48.98,3132700,45.958042
"2020-10-06",48.889999,49.150002,48.48,48.580002,1929200,45.582729
"2020-10-07",48.23,48.59,47.810001,48.25,2727800,45.601624
"2020-10-08",48.290001,48.700001,47.860001,48.419998,1697000,45.762295
"2020-10-09",48.349998,48.779999,48.080002,48.470001,1467800,45.809551
"2020-10-12",48.700001,49.240002,48.470001,49.119999,1981800,46.423866
"2020-10-13",49.25,49.849998,49.150002,49.610001,1246400,46.886974
"2020-10-14",49.490002,49.880001,49.150002,49.459999,956800,46.745209
"2020-10-15",49.110001,49.380001,48.810001,49.16,1168700,46.461678
"2020-10-16",49.400002,49.740002,48.919998,48.939999,1430200,46.25375
"2020-10-19",48.810001,49.490002,48.48,48.630001,1729200,45.96077
"2020-10-20",48.91,48.990002,47.599998,47.669998,2185100,45.053459
"2020-10-21",47.380001,48.080002,47.349998,47.75,1665000,45.12907
"2020-10-22",47.689999,48.060001,47.41,47.91,1486200,45.280285
"2020-10-23",48.220001,48.84,47.98,48.549999,1474700,45.885155
"2020-10-26",48.470001,48.560001,47.720001,48.290001,2015400,45.639427
"2020-10-27",48.240002,48.98,47.970001,48.240002,1677400,45.592175
"2020-10-28",47.900002,48.240002,47.02,47.07,1913500,44.486389
"2020-10-29",47.099998,47.400002,46.459999,46.77,1994000,44.202858
"2020-10-30",46.740002,47.209999,46.349998,46.669998,1458400,44.108349
"2020-11-02",47.09,47.720001,47.060001,47.68,2348800,45.062912
"2020-11-03",47.880001,48.700001,47.619999,47.889999,1090000,45.261383
"2020-11-04",48.169998,48.580002,47.549999,47.689999,1149500,45.072361
"2020-11-05",48.150002,48.389999,47.700001,48.060001,1394900,45.422054
"2020-11-06",48.07,48.73,47.720001,47.990002,1104700,45.355896
"2020-11-09",47.639999,48.080002,46.099998,46.119999,3747200,43.588539
"2020-11-10",46.119999,47.290001,45.509998,47.290001,2253200,44.694321
"2020-11-11",47.52,48.360001,47.5,48.290001,1882900,45.639427
"2020-11-12",48.41,48.57,47.810001,48.529999,1177300,45.866249
"2020-11-13",48.66,49.32,48.439999,49.189999,1507700,46.490028
"2020-11-16",48.970001,49.970001,48.82,49.900002,2668100,47.161064
"2020-11-17",49.509998,49.889999,49.119999,49.380001,1841500,46.669601
"2020-11-18",49.490002,49.950001,49.009998,49.040001,2543400,46.348267
"2020-11-19",48.869999,49.349998,48.549999,49.32,966000,46.612892
"2020-11-20",49.419998,49.77,48.720001,48.98,1423500,46.29155
"2020-11-23",48.869999,49.43,48.720001,49.110001,1702200,46.414417
"2020-11-24",49.360001,49.57,49.060001,49.369999,1703900,46.660149
"2020-11-25",49.68,49.849998,48.84,48.919998,1466800,46.234844
"2020-11-27",49.189999,49.41,48.700001,48.98,434100,46.29155
"2020-11-30",49.02,50.049999,48.790001,50.02,2449500,47.274471
"2020-12-01",49.98,50.330002,49.700001,50.25,1910200,47.491848
"2020-12-02",50.299999,50.77,48.459999,49.07,2324100,46.376614
"2020-12-03",49.009998,49.41,48.509998,48.740002,1793100,46.064728
"2020-12-04",48.619999,48.869999,48.459999,48.5,1635300,45.837902
"2020-12-07",48.650002,48.799999,48.130001,48.310001,2670400,45.658333
"2020-12-08",48.389999,48.540001,47.59,48.259998,2952200,45.611073
"2020-12-09",47.880001,48.16,46.619999,47.279999,5747100,44.684868
"2020-12-10",47.209999,47.580002,46.880001,47.310001,2810300,44.713223
"2020-12-11",47.189999,47.5,47.009998,47.209999,2138800,44.618706
"2020-12-14",47.330002,47.790001,46.619999,46.709999,2238900,44.146156
"2020-12-15",46.82,47,46.439999,46.82,1665800,44.250118
"2020-12-16",46.810001,47.369999,46.810001,47.110001,1774100,44.524204
"2020-12-17",47.360001,47.889999,47.080002,47.779999,1777900,45.157421
"2020-12-18",47.77,47.950001,47.369999,47.57,4015300,44.95895
"2020-12-21",47.48,48.389999,46.950001,48.32,3087900,45.667782
"2020-12-22",48.380001,48.52,47.540001,47.759998,2198300,45.138523
"2020-12-23",48,48.34,47.810001,48.110001,957000,45.469303
"2020-12-24",48,48.66,48,48.549999,673900,45.885155
"2020-12-28",48.549999,48.779999,48.07,48.43,993400,45.771748
"2020-12-29",48.459999,48.830002,48.330002,48.419998,1135600,45.762295
"2020-12-30",48.369999,48.580002,47.860001,48.02,1106100,45.384247
"2020-12-31",48,48.400002,47.740002,48.349998,869300,45.696129
"2021-01-04",48.200001,48.669998,47.860001,48.529999,2134000,45.866249
"2021-01-05",48.130001,48.98,48.130001,48.900002,2479500,46.21595
"2021-01-06",48.880001,49.279999,47.509998,47.91,3058800,45.280285
"2021-01-07",47.5,47.93,47.119999,47.220001,2339800,44.975494
"2021-01-08",47.310001,47.389999,46.360001,46.860001,3143400,44.632607
"2021-01-11",46.860001,47.07,45.84,46.029999,1990500,43.842056
"2021-01-12",46,46.130001,45.080002,45.490002,3208900,43.327728
"2021-01-13",45.48,45.759998,44.849998,45.43,3058400,43.270584
"2021-01-14",45.709999,46.18,45.119999,45.869999,2588100,43.689667
"2021-01-15",45.720001,46.48,45.529999,46.419998,3477100,44.21352
"2021-01-19",46.59,46.779999,46.220001,46.380001,2570600,44.17543
"2021-01-20",46.240002,46.299999,45.580002,46.040001,2519800,43.851585
"2021-01-21",45.970001,46.630001,45.919998,46.619999,1808500,44.404015
"2021-01-22",46.650002,46.84,45.880001,46.580002,1770600,44.365921
"2021-01-25",46.580002,48.970001,46.419998,48,4226700,45.718422
"2021-01-26",47.91,50.040001,47.639999,49.950001,3477800,47.575733
"2021-01-27",50.119999,53.77,49.970001,52.709999,5732300,50.20454
"2021-01-28",52,53.5,48.029999,48.75,6513500,46.432774
"2021-01-29",48.84,50.099998,47.689999,48.110001,4264500,45.823189
"2021-02-01",48.040001,48.310001,47.43,48.029999,2367400,45.746998
"2021-02-02",48.07,48.07,47.09,47.259998,2439500,45.013596
"2021-02-03",47.150002,47.279999,46.259998,47.119999,1567000,44.880249
"2021-02-04",47.080002,47.400002,46.66,46.93,2046500,44.69928
"2021-02-05",46.98,47.740002,46.709999,47.5,1290100,45.242188
"2021-02-08",47.59,47.709999,46.639999,47.119999,1957000,44.880249
"2021-02-09",47.310001,47.330002,46.529999,47,1480100,44.765957
"2021-02-10",47.290001,47.91,47.099998,47.549999,1706400,45.289806
"2021-02-11",47.549999,47.560001,46.810001,46.970001,1299800,44.737381
"2021-02-12",46.970001,47,46.34,46.75,1694900,44.527836
"2021-02-16",46.700001,46.880001,46.049999,46.110001,1982000,43.918259
"2021-02-17",46.189999,46.540001,45.91,46.380001,1953100,44.17543
"2021-02-18",46.380001,47.75,46.139999,47.139999,1992700,44.8993
"2021-02-19",47.110001,47.16,46.259998,46.32,1774600,44.118275
"2021-02-22",46.380001,46.630001,45.490002,46.130001,2342600,43.937309
"2021-02-23",46.380001,46.889999,46.049999,46.330002,1747800,44.1278
"2021-02-24",46.290001,46.529999,45.959999,46.240002,1320400,44.042084
"2021-02-25",46.099998,46.93,45.540001,45.650002,1946500,43.480122
"2021-02-26",45.740002,46.139999,45.330002,45.48,2432800,43.318199
"2021-03-01",45.490002,46.189999,45.299999,45.52,1637300,43.356304
"2021-03-02",45.540001,45.880001,45.09,45.619999,1983700,43.45155
"2021-03-03",45.5,45.950001,45.139999,45.810001,2009100,43.632519
"2021-03-04",46.049999,46.349998,45.580002,45.799999,1708000,43.622997
"2021-03-05",45.93,46.779999,45.720001,46.59,2149500,44.375439
"2021-03-08",46.799999,47.939999,46.43,47.25,3157500,45.004074
"2021-03-09",47.110001,47.52,46.860001,46.93,2127900,44.69928
"2021-03-10",45.509998,48.66,44.900002,47.880001,6788100,45.604122
"2021-03-11",47.700001,48.110001,46.849998,47.439999,2222300,45.18504
"2021-03-12",47.740002,47.990002,47.490002,47.959999,2259600,45.680321
"2021-03-15",48.200001,48.450001,47.419998,47.599998,1770300,45.337429
"2021-03-16",47.689999,49.060001,47.639999,48.900002,2174200,46.575645
"2021-03-17",49,49.189999,48.09,48.959999,2803900,46.63279
"2021-03-18",48.700001,49.709999,48.700001,49.52,1923200,47.166168
"2021-03-19",49.639999,50.07,49.389999,49.790001,3443800,47.423332
"2021-03-22",49.599998,51.029999,49.389999,51.02,1921300,48.594872
"2021-03-23",51.240002,51.330002,50.48,50.630001,1670900,48.223412
"2021-03-24",49.939999,49.939999,48.66,48.77,2535800,46.45182
"2021-03-25",49.099998,49.689999,48.59,49.369999,1740700,47.0233
"2021-03-26",49.490002,50.939999,49.09,50.869999,3137600,48.452003
"2021-03-29",50.950001,52.23,50.939999,51.959999,2918500,49.490189
"2021-03-30",51.959999,52.18,51.23,51.380001,2733000,48.937763
"2021-03-31",51.150002,51.419998,50.119999,50.27,2415400,47.88052
"2021-04-01",50.16,50.439999,49.029999,49.970001,2994700,47.59478
"2021-04-05",50.099998,51.009998,49.77,50.09,2688500,47.709084
"2021-04-06",50.080002,50.48,49.59,50.09,2575000,47.709084
"2021-04-07",49.75,49.939999,48.939999,49.220001,2376600,47.229294
"2021-04-08",49.060001,49.290001,48.540001,48.75,2176400,46.778313
"2021-04-09",48.650002,48.91,47.610001,48.07,1661600,46.125809
"2021-04-12",48.189999,48.900002,48.099998,48.830002,1732400,46.855072
"2021-04-13",48.900002,49.209999,48.509998,48.860001,2345100,46.883862
"2021-04-14",48.849998,48.93,48.099998,48.439999,1477000,46.480846
"2021-04-15",48.48,49.16,48.48,48.880001,1688700,46.903049
"2021-04-16",49.09,49.669998,48.830002,49.400002,1479000,47.402023
"2021-04-19",49.220001,49.82,49.150002,49.66,1361900,47.651501
"2021-04-20",49.68,50.52,49.580002,50.139999,2185800,48.112087
"2021-04-21",50.470001,50.830002,50.240002,50.549999,1337700,48.505505
"2021-04-22",50.360001,50.360001,49.529999,49.529999,1707300,47.52676
"2021-04-23",49.259998,49.48,48.540001,48.77,1938500,46.797501
"2021-04-26",48.82,48.869999,47.799999,47.919998,3295200,45.981876
"2021-04-27",47.849998,48.09,47.439999,48.02,2488200,46.077831
"2021-04-28",48.189999,48.439999,47.450001,47.57,1971200,45.646034
"2021-04-29",47.549999,48.18,47.529999,48.02,1581700,46.077831
"2021-04-30",48.150002,48.150002,47.619999,47.75,1893600,45.818752
"2021-05-03",47.77,48.66,47.619999,48.400002,1786800,46.442467
"2021-05-04",48.490002,48.630001,47.950001,48.25,1535200,46.298531
"2021-05-05",48.150002,48.98,47.900002,48.849998,2311300,46.874268
"2021-05-06",49.259998,49.959999,49.139999,49.82,2397200,47.805031
"2021-05-07",49.740002,49.790001,48.880001,49.549999,2070200,47.545952
"2021-05-10",49.459999,50.52,49.459999,50.150002,1769600,48.121685
"2021-05-11",50.389999,50.48,49.689999,50.029999,2103000,48.006531
"2021-05-12",50.060001,50.060001,49.169998,49.200001,2162500,47.21011
"2021-05-13",48.990002,49.98,48.790001,49.560001,1904300,47.555553
"2021-05-14",49.66,50.080002,49.259998,49.27,1160900,47.277275
"2021-05-17",49.150002,49.73,48.75,49.360001,2350500,47.363636
"2021-05-18",49.23,49.5,48.740002,48.810001,2326500,46.835884
"2021-05-19",48.900002,48.98,48.060001,48.330002,2103900,46.375298
"2021-05-20",48.32,49.34,48.169998,48.860001,2955600,46.883862
"2021-05-21",48.970001,49.610001,48.77,48.869999,2653900,46.893456
"2021-05-24",48.400002,48.91,48.369999,48.639999,1366800,46.672756
"2021-05-25",48.650002,48.650002,47.799999,48.41,1772000,46.452061
"2021-05-26",48.299999,48.59,48.23,48.360001,1388000,46.404079
"2021-05-27",48.43,48.700001,47.810001,47.82,2532400,45.885925
"2021-05-28",47.93,48.790001,47.889999,48.669998,2086600,46.701538
"2021-06-01",48.82,49.110001,48.619999,48.869999,1432800,46.893456
"2021-06-02",49.029999,49.66,48.560001,49.66,1760300,47.651501
"2021-06-03",49.650002,50,48.82,49.419998,1964100,47.421211
"2021-06-04",49.380001,49.759998,49.099998,49.68,1315600,47.670692
"2021-06-07",49.630001,49.77,49.099998,49.459999,1342400,47.459587
"2021-06-08",49.580002,49.650002,48.779999,49.119999,2601200,47.133339
"2021-06-09",44.950001,47.080002,44.740002,45.919998,12374500,44.062763
"2021-06-10",45.759998,46.439999,45.400002,45.720001,4541800,43.870857
"2021-06-11",45.799999,46.150002,45.669998,46.110001,3357100,44.245079
"2021-06-14",46,46.029999,45.41,45.82,2739200,43.966812
"2021-06-15",45.950001,46.029999,45.18,45.369999,3172000,43.535011
"2021-06-16",45.529999,45.610001,45.200001,45.52,3054500,43.678947
"2021-06-17",45.619999,45.959999,45.16,45.689999,3803700,43.842068
"2021-06-18",45.529999,45.610001,45.16,45.27,4264200,43.439056
"2021-06-21",45.349998,45.66,45.169998,45.549999,2224300,43.707733
"2021-06-22",45.650002,46.009998,45.349998,45.59,2237200,43.746117
"2021-06-23",45.450001,45.59,45.200001,45.220001,1868600,43.391079
"2021-06-24",45.150002,45.529999,44.77,45.200001,2983000,43.371887
"2021-06-25",45.209999,45.869999,45.099998,45.759998,3952700,43.909241
"2021-06-28",45.759998,45.970001,45.619999,45.860001,1580500,44.005196
"2021-06-29",45.889999,46.040001,45.610001,45.630001,1380500,43.7845
"2021-06-30",45.68,45.91,45.389999,45.59,2904100,43.746117
"2021-07-01",45.509998,45.959999,45.459999,45.720001,1683700,43.870857
"2021-07-02",45.860001,45.970001,45.549999,45.66,1832400,43.813282
"2021-07-06",45.610001,45.66,45.27,45.540001,1738300,43.698132
"2021-07-07",45.41,46.200001,45.41,46.080002,4122700,44.216293
"2021-07-08",46.049999,46.68,45.669998,45.860001,3408500,44.005196
"2021-07-09",45.849998,46.07,45.52,45.639999,2078700,43.79409
"2021-07-12",45.509998,45.709999,45.369999,45.549999,2465500,43.707733
"2021-07-13",45.099998,45.360001,44.529999,44.709999,3267700,43.253048
"2021-07-14",44.650002,44.669998,43.82,44.369999,2971300,42.924122
"2021-07-15",44.240002,45.119999,44.240002,45.060001,2156700,43.59164
"2021-07-16",45.18,45.59,45.130001,45.529999,2197100,44.046322
"2021-07-19",45.549999,46.189999,45.099998,45.91,2804100,44.41394
"2021-07-20",46.110001,46.490002,45.209999,45.279999,2971000,43.804474
"2021-07-21",45.259998,45.41,44.540001,44.59,2843300,43.136959
"2021-07-22",44.419998,44.52,43.98,44.27,3165600,42.827381
"2021-07-23",44.369999,44.689999,44.119999,44.57,1828500,43.117607
"2021-07-26",44.689999,44.799999,44.41,44.509998,1612300,43.059563
"2021-07-27",44.740002,45.09,44.48,44.689999,2274900,43.233696
"2021-07-28",44.560001,44.720001,43.82,44.099998,2038200,42.662922
"2021-07-29",44.099998,44.400002,43.91,43.939999,1610700,42.508137
"2021-07-30",43.990002,44.310001,43.709999,43.720001,3388000,42.295307
"2021-08-02",43.720001,43.75,43.259998,43.310001,3087000,41.898666
"2021-08-03",43.189999,43.77,43.009998,43.349998,2011700,41.937366
"2021-08-04",43.220001,43.290001,42.360001,42.450001,2545600,41.066692
"2021-08-05",42.5,42.57,42.18,42.23,1817300,40.853859
"2021-08-06",42.200001,42.59,42.110001,42.299999,2600300,40.921581
"2021-08-09",42.419998,42.610001,42.25,42.59,1781500,41.202133
"2021-08-10",42.459999,42.630001,42.290001,42.509998,2165000,41.124737
"2021-08-11",42.610001,43.139999,42.43,42.830002,2074400,41.434311
"2021-08-12",42.849998,43.02,42.5,42.59,1684900,41.202133
"2021-08-13",42.779999,43.240002,42.720001,43.18,1417900,41.7729
"2021-08-16",43.290001,44.040001,43.200001,43.439999,2461200,42.024433
"2021-08-17",43.490002,44.200001,43.490002,43.900002,4285700,42.469448
"2021-08-18",43.84,43.889999,42.75,42.779999,2054400,41.385937
"2021-08-19",42.84,43.419998,42.84,43.200001,2308000,41.792255
"2021-08-20",43.279999,43.790001,42.970001,43.279999,4783100,41.869648
"2021-08-23",43.25,43.25,42.48,42.52,3213100,41.134415
"2021-08-24",42.610001,42.619999,41.93,42.02,3436800,40.650703
"2021-08-25",41.279999,41.700001,40.970001,41.110001,4862500,39.770359
"2021-08-26",40.799999,41.060001,40.310001,40.43,4937900,39.112518
"2021-08-27",40.25,41.52,40.049999,41.400002,3940200,40.050907
"2021-08-30",41.23,41.490002,40.900002,40.959999,2647400,39.625248
"2021-08-31",40.91,41.860001,40.59,41.73,5239600,40.370155
"2021-09-01",42.669998,43.400002,42.040001,42.59,4993600,41.202133
"2021-09-02",42.419998,43.240002,42.330002,42.810001,4880300,41.414967
"2021-09-03",42.849998,43.439999,42.73,43.049999,2893400,41.647141
"2021-09-07",43.040001,43.380001,42.650002,42.880001,3510800,41.482681
"2021-09-08",43.110001,43.77,42.82,43.02,3398900,41.618114
"2021-09-09",43.049999,43.169998,42.669998,42.799999,2576200,41.405285
"2021-09-10",42.970001,43.259998,42.450001,43.150002,2283700,41.743885
"2021-09-13",43.34,44.299999,43.32,43.830002,3261900,42.401722
"2021-09-14",43.830002,43.98,43.07,43.360001,2845500,41.947041
"2021-09-15",43.5,44.139999,43.360001,44,3120400,42.566185
"2021-09-16",44.060001,44.279999,43.259998,43.52,3001600,42.101826
"2021-09-17",43.400002,43.700001,43.080002,43.189999,9252200,41.782578
"2021-09-20",42.720001,43.099998,42.349998,42.599998,3753900,41.2118
"2021-09-21",42.599998,42.860001,42.02,42.220001,1985400,40.844185
"2021-09-22",42.560001,42.59,41.759998,42.360001,2552500,40.979626
"2021-09-23",42.360001,42.689999,42.240002,42.279999,1467700,40.902233
"2021-09-24",42.360001,42.73,42.27,42.43,1229800,41.047348
"2021-09-27",42.52,42.919998,42.139999,42.259998,2058100,40.882881
"2021-09-28",42.360001,42.549999,41.779999,42.060001,2067400,40.6894
"2021-09-29",42.049999,43,42.009998,42.849998,1914200,41.453659
"2021-09-30",42.869999,42.970001,41.799999,41.810001,2791100,40.447548
"2021-10-01",41.860001,41.919998,41.369999,41.529999,2116800,40.17667
"2021-10-04",41.459999,42.189999,41.459999,42.110001,2477600,40.737774
"2021-10-05",41.91,42.709999,41.849998,42.560001,3839100,41.173107
"2021-10-06",42.259998,42.52,41.709999,42.5,1997300,41.475639
"2021-10-07",42.5,42.73,42.040001,42.200001,2477000,41.182869
"2021-10-08",42.169998,42.57,42.09,42.209999,1578200,41.192627
"2021-10-11",42.27,42.5,41.82,41.869999,1525900,40.860821
"2021-10-12",41.919998,42.16,41.59,41.759998,2252500,40.753471
"2021-10-13",41.740002,41.810001,41.099998,41.509998,2046300,40.509499
"2021-10-14",41.52,41.700001,41.259998,41.490002,1940600,40.489983
"2021-10-15",41.509998,41.68,40.919998,41.16,2022900,40.167931
"2021-10-18",41.060001,41.299999,40.57,40.860001,2183300,39.875164
"2021-10-19",40.900002,40.98,40.32,40.82,1956200,39.836128
"2021-10-20",40.880001,41.529999,40.75,41.279999,1728200,40.285042
"2021-10-21",41.360001,41.360001,40.41,40.630001,2246300,39.650711
"2021-10-22",40.630001,40.900002,40.509998,40.700001,2424900,39.719025
"2021-10-25",40.700001,40.700001,40.040001,40.200001,3000200,39.231071
"2021-10-26",40.110001,40.849998,40.060001,40.77,2359700,39.787334
"2021-10-27",41.060001,41.09,39.82,39.91,2946600,38.948063
"2021-10-28",39.869999,40.220001,39.759998,40.189999,2496400,39.221313
"2021-10-29",40.16,40.470001,39.950001,39.950001,1905900,38.987099
"2021-11-01",39.919998,40.43,39.91,40.41,2086300,39.436012
"2021-11-02",40.41,40.5,39.900002,40.380001,1737500,39.406734
"2021-11-03",40.380001,41.619999,40.369999,41.57,2731900,40.56805
"2021-11-04",41.549999,41.830002,40.82,40.959999,2058800,39.972752
"2021-11-05",41.080002,41.27,40.66,40.73,1854500,39.748299
"2021-11-08",40.68,40.880001,40.43,40.810001,1370600,39.826374
"2021-11-09",40.98,41.509998,40.860001,41.279999,1786000,40.285042
"2021-11-10",41.34,41.669998,41.009998,41.41,1497000,40.411907
"2021-11-11",41.259998,41.310001,40.91,40.93,1613800,39.943481
"2021-11-12",41.099998,41.66,41,41.549999,1786500,40.548534
"2021-11-15",41.700001,41.869999,41.209999,41.73,1818700,40.724197
"2021-11-16",41.849998,42.099998,41.360001,41.380001,1338400,40.382629
"2021-11-17",41.32,41.650002,41.18,41.59,1293400,40.58757
"2021-11-18",41.43,41.43,40.560001,40.990002,1772900,40.002033
"2021-11-19",41.16,41.380001,40.5,40.580002,1911200,39.601913
"2021-11-22",40.400002,41.32,40.110001,41.060001,1665800,40.070347
"2021-11-23",41.189999,41.720001,40.990002,41.509998,2185700,40.509499
"2021-11-24",41.580002,41.709999,41.060001,41.349998,1459900,40.353352
"2021-11-26",41.23,41.970001,41.23,41.52,1342100,40.51926
"2021-11-29",41.529999,41.740002,41.169998,41.200001,1690300,40.206974
"2021-11-30",41.049999,41.290001,40.259998,40.330002,4697000,39.357941
"2021-12-01",40.360001,40.900002,39.849998,39.91,2437400,38.948063
"2021-12-02",40.07,40.720001,40.07,40.52,2268300,39.543362
"2021-12-03",40.68,41.52,40.599998,41.130001,2222600,40.13866
"2021-12-06",41.419998,41.970001,41.200001,41.299999,2705900,40.304558
"2021-12-07",41.189999,41.75,40.779999,41.119999,3807500,40.128899
"2021-12-08",41.130001,43.299999,41.130001,41.830002,4397700,40.821789
"2021-12-09",41.709999,42.18,40.990002,42.18,3706000,41.163353
"2021-12-10",42.450001,43.259998,42.360001,43.150002,2738500,42.109974
"2021-12-13",43.389999,44.02,43.029999,43.66,3331800,42.607681
"2021-12-14",43.709999,44.099998,42.98,43.07,4116200,42.031898
"2021-12-15",43.139999,43.889999,43.09,43.490002,3207100,42.441776
"2021-12-16",43.52,44.299999,43.34,44.18,3059500,43.115147
"2021-12-17",44.130001,44.540001,42.900002,43.119999,6867000,42.080692
"2021-12-20",42.799999,43.470001,42.700001,43.220001,3206000,42.17828
"2021-12-21",42.98,43.18,42.139999,42.299999,2556900,41.280457
"2021-12-22",42.220001,42.5,41.849998,41.970001,2414300,40.958412
"2021-12-23",42.029999,42.240002,41.830002,41.959999,1890500,40.948654
"2021-12-27",41.919998,42.18,41.759998,42.18,1934300,41.163353
"2021-12-28",42.139999,43.389999,42.130001,43.360001,2623400,42.314911
"2021-12-29",43.450001,43.52,42.889999,43.220001,1530100,42.17828
"2021-12-30",43.369999,43.439999,43.029999,43.150002,1336400,42.109974
"2021-12-31",43.259998,43.549999,43.119999,43.459999,1083900,42.412498
"2022-01-03",43.41,43.830002,43.009998,43.740002,2815000,42.685749
"2022-01-04",43.830002,44.619999,43.799999,44.119999,2727500,43.056587
"2022-01-05",44,44.689999,43.959999,44.279999,3807700,43.57819
"2022-01-06",44.400002,45.549999,44.139999,45.029999,5655500,44.316303
"2022-01-07",45.16,46.330002,44.98,45.849998,3677100,45.123302
"2022-01-10",46.02,46.389999,45.77,45.84,3842900,45.113468
"2022-01-11",45.93,46.060001,44.349998,45.07,2756500,44.355667
"2022-01-12",44.880001,45.34,44.720001,45.209999,1895500,44.49345
"2022-01-13",45.27,46.110001,45.169998,45.880001,2249500,45.152832
