"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2020-11-11",10.27,10.38,9.7,9.95,12631400,9.783301
"2020-11-12",9.73,10.21,9.65,9.7,13376800,9.53749
"2020-11-13",9.86,10.38,9.8,10.32,9903000,10.1471
"2020-11-16",11,11.16,10.71,11.14,11238900,10.953364
"2020-11-17",10.76,11.46,10.72,11.44,11773000,11.248337
"2020-11-18",11.61,11.9,11.03,11.04,12374900,10.855039
"2020-11-19",11,11.41,10.89,11.35,10344100,11.159845
"2020-11-20",11.37,11.5,11.16,11.44,7961900,11.248337
"2020-11-23",11.67,12.89,11.64,12.86,13446900,12.644546
"2020-11-24",13.56,14.35,13.39,14.04,18789100,13.804777
"2020-11-25",13.8,14.41,13.65,14.12,10783000,13.883436
"2020-11-27",14.13,14.39,13.76,13.92,5393500,13.68679
"2020-11-30",13.67,13.76,12.85,12.89,11868700,12.674046
"2020-12-01",13.4,13.53,12.36,12.37,12469800,12.162756
"2020-12-02",12.33,13.56,12.2,13.11,10107400,12.890358
"2020-12-03",13.24,13.96,12.97,13.74,8372200,13.509804
"2020-12-04",14.04,15.23,14.02,15.18,13982300,14.925678
"2020-12-07",14.85,15.04,14.39,14.61,9998000,14.365228
"2020-12-08",14.38,15.26,14.31,14.76,10115700,14.512716
"2020-12-09",15.07,15.43,14.59,15.02,12417100,14.768359
"2020-12-10",14.97,16.860001,14.91,16.5,16598200,16.223564
"2020-12-11",16.309999,16.559999,15.75,16.1,8903500,15.830265
"2020-12-14",16.68,16.809999,15.27,15.31,10583400,15.0535
"2020-12-15",15.5,16.09,15.06,15.89,8743100,15.623784
"2020-12-16",15.95,16.25,15.54,15.8,7005300,15.535292
"2020-12-17",15.96,16.139999,15.56,15.75,7233300,15.486129
"2020-12-18",15.7,15.93,15.19,15.33,11712800,15.073164
"2020-12-21",14.25,15.19,14.2,14.85,7723300,14.601209
"2020-12-22",14.84,14.88,14.08,14.12,7002600,13.883436
"2020-12-23",14.33,15.17,14.31,14.78,8416100,14.532379
"2020-12-24",14.79,14.8,14.26,14.43,3763200,14.188245
"2020-12-28",14.52,14.82,14.15,14.21,5494400,13.97193
"2020-12-29",14.3,14.5,13.97,14.15,6205100,13.912934
"2020-12-30",14.14,14.77,14.13,14.57,5937100,14.325897
"2020-12-31",14.4,14.53,14.06,14.19,7479600,13.952264
"2021-01-04",14.65,14.95,14.38,14.77,9609900,14.522548
"2021-01-05",14.86,16.73,14.86,16.18,15103100,15.908924
"2021-01-06",16.4,17.08,15.69,16.84,13579100,16.557869
"2021-01-07",17,17.5,16.73,17.110001,8578200,16.823345
"2021-01-08",17.360001,17.450001,16.299999,16.58,7760600,16.302223
"2021-01-11",15.95,16.75,15.79,16.66,6484000,16.380884
"2021-01-12",17.07,18.549999,16.91,18.530001,11540300,18.219555
"2021-01-13",18.5,18.530001,17.690001,17.799999,7303300,17.501783
"2021-01-14",18.379999,19.32,18.26,18.35,11194900,18.04257
"2021-01-15",18.030001,18.030001,17.120001,17.27,8919000,16.980661
"2021-01-19",18.02,18.110001,17.57,17.82,7088100,17.52145
