"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2022-02-03",34.380001,35.150002,33.900002,34.540001,6909200,34.319595
"2022-02-04",35.049999,36.459999,34.41,34.490002,10324900,34.269913
"2022-02-07",34.18,34.779999,33.279999,34.09,7647000,33.872467
"2022-02-08",33.779999,33.880001,32.32,32.869999,10434400,32.660252
"2022-02-09",32.73,33.91,32.700001,33.43,7594000,33.216679
"2022-02-10",33.25,34.610001,33.130001,33.459999,8841800,33.246487
"2022-02-11",33.639999,34.459999,33.360001,34.139999,12781100,33.922146
"2022-02-14",33.849998,34.16,31.940001,32.139999,12322300,31.934908
"2022-02-15",31.049999,32.380001,30.9,32.23,6883700,32.024334
"2022-02-16",32.419998,33.23,31.98,32.400002,7334700,32.193253
"2022-02-17",32.27,33.240002,32.099998,32.389999,6808500,32.183311
"2022-02-18",31.809999,32.369999,31.42,32.16,8774300,31.954782
"2022-02-22",33.02,33.240002,30.43,31.040001,14908200,30.84193
"2022-02-23",31.440001,32.279999,30.65,30.83,10600300,30.633268
"2022-02-24",31.129999,32.450001,29.950001,32.310001,14283800,32.103825
"2022-02-25",32.139999,33.740002,32.130001,33.669998,9284100,33.455143
"2022-02-28",33.450001,35.669998,33.310001,35.630001,12942500,35.402641
"2022-03-01",36.290001,37.639999,35.990002,37.290001,15356900,37.052048
"2022-03-02",38,39.169998,37.209999,37.869999,12209000,37.628345
"2022-03-03",37.189999,38.290001,37.110001,38.279999,11157200,38.035728
"2022-03-04",38.439999,39.73,37.900002,39.48,14536200,39.228069
"2022-03-07",39.91,40.560001,37.330002,37.919998,15962100,37.678024
"2022-03-08",39.130001,41.200001,37.459999,38.630001,16485200,38.383495
"2022-03-09",36.990002,38.900002,36.360001,38.700001,13634700,38.453053
"2022-03-10",39.060001,40.200001,38.240002,40.040001,10804000,39.7845
"2022-03-11",39.560001,40.150002,39,39.049999,8395100,38.800816
"2022-03-14",38.009998,38.490002,36.439999,37.580002,11775900,37.340199
"2022-03-15",35.57,36.84,34.799999,36.700001,11132700,36.465813
"2022-03-16",36.799999,37.130001,35.889999,36.849998,10542400,36.614853
"2022-03-17",37.82,39.849998,37.619999,39.43,9280800,39.178391
"2022-03-18",39.139999,39.380001,38.639999,39.110001,11795000,38.860435
"2022-03-21",40.130001,41.73,40.049999,40.880001,8093600,40.619141
"2022-03-22",40.68,41.279999,39.849998,40.52,7202900,40.261436
"2022-03-23",41.400002,41.740002,40.299999,40.709999,8012900,40.450222
"2022-03-24",40.799999,41.73,40.349998,40.779999,5551700,40.519775
"2022-03-25",40.439999,42.09,40.240002,41.529999,5891400,41.264988
"2022-03-28",40.5,40.5,38.93,39.849998,7191100,39.595711
"2022-03-29",38.880001,40.970001,38.52,40.959999,7534500,40.698627
"2022-03-30",41.450001,42.360001,40.68,41.200001,9015800,40.937096
"2022-03-31",41.060001,42.77,40.799999,41.330002,7934500,41.066265
"2022-04-01",41.419998,42.689999,41.419998,42.220001,5005400,41.950588
"2022-04-04",43,43.689999,42.27,42.98,6937800,42.705738
"2022-04-05",43.23,43.880001,41.580002,41.689999,7330100,41.423965
"2022-04-06",41.900002,42.240002,40.360001,40.810001,7368000,40.549583
"2022-04-07",41.57,41.91,39.360001,41,8741500,40.738373
"2022-04-08",41.369999,43.400002,41.299999,43.02,6951900,42.745483
"2022-04-11",42.360001,42.439999,40.73,41.07,9983100,40.807926
"2022-04-12",41.98,43.259998,41.950001,42.18,5817500,41.910843
"2022-04-13",42.849998,43.990002,42.130001,43.610001,6519500,43.331718
"2022-04-14",43.369999,44.279999,43.32,43.68,5864600,43.401272
"2022-04-18",44.110001,44.990002,43.459999,43.98,10373400,43.699356
"2022-04-19",43.549999,45.220001,43.459999,44.389999,7131600,44.106743
"2022-04-20",44.43,45.150002,43.950001,44.330002,8777200,44.047127
"2022-04-21",44.889999,45.220001,41.68,42.189999,10374600,42.039318
"2022-04-22",41.779999,42.689999,40.470001,40.709999,8827500,40.564606
"2022-04-25",39.080002,39.349998,36.98,39.080002,10373300,38.94043
"2022-04-26",39.200001,39.970001,38.490002,38.619999,9979700,38.482071
"2022-04-27",38.84,40.330002,38.110001,39.970001,10210200,39.827251
"2022-04-28",40.48,41.98,38.919998,41.450001,7272700,41.301964
"2022-04-29",41.540001,42.630001,40.669998,40.93,12974500,40.783821
"2022-05-02",40.310001,41.099998,39.18,40.610001,10677800,40.464966
"2022-05-03",40.639999,42.959999,40.580002,42.52,9096200,42.368141
"2022-05-04",43.98,45.27,42.209999,45.200001,10228600,45.03857
"2022-05-05",44.830002,45.25,40.68,41.299999,15617200,41.1525
"2022-05-06",41.98,44.169998,41.130001,44.110001,9499800,43.952465
"2022-05-09",43.130001,43.130001,37.349998,37.529999,13347600,37.395962
"2022-05-10",38.209999,39.48,36.119999,37.380001,11971800,37.246502
"2022-05-11",38.389999,40.599998,38.049999,38.299999,10243300,38.163212
"2022-05-12",37.880001,39.029999,36.869999,38.029999,10293600,37.894176
"2022-05-13",39.259998,41.919998,39.25,41.150002,8755200,41.003036
"2022-05-16",41.360001,43.380001,41.259998,42.41,9127800,42.258533
"2022-05-17",42.869999,43.459999,42.389999,43.139999,6472200,42.985928
"2022-05-18",43.41,43.48,39.779999,40.450001,8696400,40.305534
"2022-05-19",39.48,41.900002,39.330002,40.82,7227400,40.674213
"2022-05-20",41.080002,42.299999,40.23,41.66,8298500,41.511211
"2022-05-23",42.330002,44.369999,41.869999,44.150002,8510500,43.992321
"2022-05-24",43.41,44.459999,43.07,43.619999,7953400,43.464211
"2022-05-25",43.509998,45.580002,43.509998,45.549999,7895100,45.387321
"2022-05-26",46.07,46.889999,45.580002,45.84,9517700,45.676285
"2022-05-27",45.700001,47.639999,45.52,47.619999,9157000,47.449928
"2022-05-31",49.73,50.459999,46.200001,47.009998,37978500,46.842106
"2022-06-01",48.029999,48.970001,46.5,47.619999,9252600,47.449928
"2022-06-02",47.139999,48.400002,46.799999,47.470001,6671300,47.300465
"2022-06-03",47.400002,48.490002,47.310001,48.299999,5009400,48.127499
"2022-06-06",48.919998,49.07,47.599998,48.549999,5524300,48.376606
"2022-06-07",48.119999,51.919998,48.060001,51.389999,10390900,51.206463
"2022-06-08",51.75,51.950001,50.860001,51.169998,7689200,50.987247
"2022-06-09",50.650002,51.630001,50.02,50.040001,6461800,49.861286
"2022-06-10",49.139999,49.82,47.720001,48.810001,6434300,48.635677
"2022-06-13",46.470001,46.540001,43.900002,45.57,9843000,45.407249
"2022-06-14",46.599998,47.66,44.990002,46,7751900,45.835712
"2022-06-15",46.07,46.5,44.349998,45.630001,7478000,45.467037
"2022-06-16",44.049999,44.330002,41.16,41.759998,9135100,41.610855
"2022-06-17",41.779999,41.84,38.16,39.220001,16283100,39.079929
"2022-06-21",39.82,41.139999,39.040001,40.349998,9495000,40.205891
"2022-06-22",37.630001,39.02,37.23,37.5,9695000,37.36607
"2022-06-23",37.759998,38.439999,35.419998,36.209999,9729200,36.080677
"2022-06-24",36.93,37.880001,36.259998,36.450001,9966400,36.31982
"2022-06-27",37.169998,38.169998,36.599998,37.470001,11187100,37.336178
"2022-06-28",38.889999,39.849998,37.919998,38.77,9116600,38.631535
"2022-06-29",39.41,39.779999,35.93,36.099998,8867700,35.971069
