"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2020-11-23",408.829987,409.829987,403.420013,405.720001,458400,401.952362
"2020-11-24",409.890015,419.850006,405.929993,418.529999,484200,414.643402
"2020-11-25",420.149994,421.470001,416.920013,418.470001,274900,414.583984
"2020-11-27",420.450012,421.209991,416.290009,418.799988,257500,414.910889
"2020-11-30",418,427.399994,418,427,704400,423.03476
"2020-12-01",429.670013,433.089996,422.209991,424,564600,420.062622
"2020-12-02",423.820007,423.820007,415.910004,418.01001,351200,414.128265
"2020-12-03",416.209991,418.859985,408.140015,409.209991,609800,405.409912
"2020-12-04",409.820007,417.950012,409.820007,417.950012,529800,414.068787
"2020-12-07",418.369995,421.190002,413.440002,418.980011,368000,415.089233
"2020-12-08",416.230011,423.140015,416.230011,419.140015,357300,415.247742
"2020-12-09",418.799988,421.309998,413.859985,419.540009,388800,415.644043
"2020-12-10",420.089996,420.089996,412.309998,415,440400,411.14624
"2020-12-11",412.829987,421.220001,412.829987,420.450012,335200,416.545563
"2020-12-14",422.589996,433.019989,422.589996,422.890015,460600,418.962952
"2020-12-15",424.76001,431.429993,423.950012,425.959991,463900,422.004395
"2020-12-16",425.100006,427.309998,420.480011,420.850006,367000,416.941833
"2020-12-17",422,425.350006,420.609985,425.040009,486500,421.092926
"2020-12-18",425.450012,430.839996,421.890015,426.190002,1038600,422.2323
"2020-12-21",419.25,422.73999,410.359985,422.380005,547900,418.457672
"2020-12-22",418.420013,419.079987,410.98999,412.920013,564100,409.085541
"2020-12-23",416.420013,424.01001,415.660004,419.459991,478200,415.564758
"2020-12-24",419.839996,423.670013,416.279999,420.119995,119700,416.218628
"2020-12-28",422.519989,424.309998,416.450012,423.149994,287900,419.22049
"2020-12-29",426.700012,427.390015,416.640015,419.600006,269500,415.703461
"2020-12-30",420.660004,423.5,420.410004,421.820007,190000,417.902863
"2020-12-31",422.519989,431.950012,420.140015,431.089996,330200,427.086731
"2021-01-04",429.920013,430.980011,414.709991,419.549988,437100,415.653961
"2021-01-05",419.980011,424.130005,414.149994,419.179993,514900,415.287354
"2021-01-06",418.529999,426.809998,418.040009,423.399994,711700,419.46817
"2021-01-07",423.459991,432.089996,422.779999,430.579987,441000,427.149536
"2021-01-08",431.600006,432.929993,426.130005,431.100006,310500,427.665344
"2021-01-11",426.820007,438.790009,425.799988,438.529999,697400,435.036163
"2021-01-12",437.390015,439.579987,427.670013,429.98999,542000,426.564178
"2021-01-13",429.130005,429.130005,412.75,413.149994,703400,409.858398
"2021-01-14",414.029999,414.769989,405.660004,407.410004,683100,404.164063
"2021-01-15",406.48999,414.369995,402.220001,411.619995,1019200,408.340546
"2021-01-19",416,421.179993,412.279999,414.429993,497200,411.128143
"2021-01-20",417.75,423.519989,415.269989,420.519989,420600,417.169647
"2021-01-21",420.75,423.859985,418.570007,421.410004,359800,418.052582
"2021-01-22",421.679993,421.679993,412.48999,419.220001,412500,415.880005
"2021-01-25",420.429993,426.470001,417.959991,419.109985,408200,415.770905
"2021-01-26",420.869995,422.059998,413.899994,417.309998,322600,413.985229
