"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2020-10-16",63.150002,63.34,62.509998,62.669998,3582700,59.11364
"2020-10-19",63.150002,63.34,61.57,61.709999,3138200,58.208118
"2020-10-20",61.889999,62.099998,60.889999,61.189999,4656200,57.717625
"2020-10-21",61.669998,62.380001,61.259998,61.48,5037200,57.991169
"2020-10-22",60.82,60.939999,59.84,60.540001,5104400,57.104511
"2020-10-23",60.380001,60.990002,60.02,60.470001,3243100,57.038479
"2020-10-26",59.970001,61.029999,59.799999,60.32,3783100,56.896996
"2020-10-27",60.57,61.799999,60.279999,61.650002,4457700,58.151524
"2020-10-28",60.540001,60.549999,58.290001,58.650002,9871200,55.321762
"2020-10-29",58.880001,61.470001,58.459999,60.34,7026400,56.915859
"2020-10-30",60.939999,62.970001,60.799999,62.84,9150000,59.273987
"2020-11-02",63.25,64.93,62.610001,64.730003,8314100,61.05674
"2020-11-03",65.099998,67.25,65.099998,66.669998,7474000,62.886646
"2020-11-04",66.669998,66.870003,64.940002,65.080002,8415300,61.386879
"2020-11-05",66.940002,68.300003,66.699997,67.849998,8509700,63.999676
"2020-11-06",68.389999,68.449997,67.5,68.139999,4664700,64.273224
"2020-11-09",64.25,66.510002,62.869999,66.010002,10766800,62.264095
"2020-11-10",65.550003,65.980003,64.25,64.889999,7129300,61.207661
"2020-11-11",64.309998,65.660004,63.310001,65.629997,8060300,61.905666
"2020-11-12",66,66.220001,64.870003,65.019997,5337300,61.330276
"2020-11-13",66,66.050003,65.339996,65.709999,3452200,61.981129
"2020-11-16",65.400002,66.120003,64.919998,65.669998,3502600,61.943394
"2020-11-17",65.360001,65.739998,64.440002,64.529999,4261300,60.868088
"2020-11-18",64.400002,64.400002,61.490002,61.560001,5933300,58.066631
"2020-11-19",60.959999,61.490002,60.43,61.41,7013900,57.925133
"2020-11-20",62.02,62.380001,61.130001,61.650002,5343100,58.151524
"2020-11-23",60.880001,61.220001,58.580002,58.68,9078000,55.350056
"2020-11-24",57.310001,57.709999,56.549999,56.869999,11438800,53.642773
"2020-11-25",57.66,58.139999,57.310001,57.779999,7267100,54.501133
"2020-11-27",57.139999,58.619999,56.759998,58.48,3749900,55.161407
"2020-11-30",57.880001,58.91,57.459999,58.82,10965200,55.482113
"2020-12-01",59.68,60.360001,58.459999,60.209999,10436500,56.793232
"2020-12-02",60.080002,60.560001,59.59,59.959999,6802300,56.557419
"2020-12-03",60.200001,60.610001,59.209999,59.509998,5479900,56.132961
"2020-12-04",59.389999,59.860001,59.009998,59.439999,5107600,56.066929
"2020-12-07",59.66,62.119999,59.400002,61.439999,7157400,57.953434
"2020-12-08",62.009998,62.009998,61,61.509998,4363500,58.019463
"2020-12-09",61.150002,61.310001,59.66,59.98,5985800,56.576286
"2020-12-10",59.740002,60.450001,59.099998,59.18,6292000,56.196453
"2020-12-11",59,59.73,58.580002,58.869999,4973300,55.902081
"2020-12-14",58.860001,59.419998,57.529999,57.560001,5781200,54.658123
"2020-12-15",58.669998,59.5,58.240002,59.040001,4980700,56.063511
"2020-12-16",59.48,60.400002,59.009998,60.240002,5409100,57.203014
"2020-12-17",61.18,62.290001,61.060001,61.639999,7229200,58.532433
"2020-12-18",61.639999,61.68,60.48,60.5,10365900,57.449905
"2020-12-21",60.610001,61.240002,60.009998,60.720001,4843200,57.658817
"2020-12-22",60.869999,61.029999,59.139999,59.41,5100800,56.414852
"2020-12-23",59.580002,60.310001,59.57,59.779999,3897900,56.766205
"2020-12-24",59.689999,60.560001,59.560001,60.48,1857700,57.430916
"2020-12-28",61.279999,61.639999,59.740002,59.82,3749500,56.804188
"2020-12-29",60.200001,60.549999,59.580002,59.73,3795200,56.718723
"2020-12-30",59.860001,60.41,59.549999,60.389999,3539500,57.345444
"2020-12-31",60.52,60.529999,59.419998,59.889999,3700400,56.870651
"2021-01-04",61.900002,63.400002,61.66,63.150002,9427500,59.966309
"2021-01-05",63.720001,63.73,62.349998,63.43,5602300,60.232193
"2021-01-06",62.799999,65.400002,62.689999,65.239998,9867400,61.950939
"2021-01-07",64.910004,65.779999,64.25,65.139999,5358100,61.855984
"2021-01-08",64.040001,64.199997,61.740002,62.790001,8805700,59.624458
"2021-01-11",61.630001,62.720001,61.41,61.950001,5753100,58.826809
"2021-01-12",62.060001,62.689999,61.459999,62.490002,4282100,59.339581
"2021-01-13",62.509998,63.27,62.049999,62.07,5343100,58.940758
"2021-01-14",63.200001,63.68,62.119999,63.330002,6193000,60.137234
"2021-01-15",62.630001,63.43,61.779999,61.860001,5582600,58.741337
"2021-01-19",62.400002,62.599998,61.41,61.849998,5270200,58.731842
"2021-01-20",62.84,64.050003,61.990002,63.52,6529700,60.31765
"2021-01-21",63.580002,63.880001,62.110001,62.310001,5088900,59.168659
"2021-01-22",61.150002,62.360001,60.389999,61.75,4441400,58.63689
"2021-01-25",62.029999,62.389999,60.630001,61.639999,5594800,58.532433
"2021-01-26",61.470001,62.43,61.41,61.48,4614100,58.380497
"2021-01-27",60.77,60.869999,58.639999,58.889999,7514000,55.92107
"2021-01-28",60.150002,60.91,59.419998,59.73,6402400,56.718723
"2021-01-29",61.200001,61.5,59.419998,59.599998,6669600,56.595284
"2021-02-01",61.110001,61.209999,58.900002,59.880001,7875800,56.861164
"2021-02-02",59.139999,60.650002,58.82,59.630001,6238100,56.623768
"2021-02-03",59.720001,60.099998,58.860001,58.91,9532600,55.94006
"2021-02-04",57.549999,57.98,56.599998,57.66,12158500,54.753082
"2021-02-05",58.040001,59.450001,57.439999,59.299999,6198600,56.310402
"2021-02-08",59.970001,60.919998,59.709999,60.419998,6247500,57.37394
"2021-02-09",60.73,60.77,59.77,60.009998,4425000,56.984604
"2021-02-10",60.669998,60.799999,59.549999,59.700001,4549300,56.690239
"2021-02-11",59.610001,60,58.330002,58.380001,5309100,55.436787
"2021-02-12",57.91,59.240002,57.549999,58.939999,3784100,55.968552
"2021-02-16",58.529999,58.639999,57.450001,57.799999,7242700,54.886032
"2021-02-17",57,57.73,56.380001,56.990002,8553000,54.116863
"2021-02-18",56.98,58.110001,56.060001,57.360001,8065700,54.468208
"2021-02-19",57.91,57.91,56.009998,56.669998,8699400,53.812992
"2021-02-22",57.139999,57.700001,56.529999,57.490002,10186700,54.591656
"2021-02-23",57.470001,57.48,55.799999,56.84,7575700,53.974422
"2021-02-24",56.48,57.689999,55.830002,57.080002,6133100,54.202324
"2021-02-25",56.709999,57.48,55.779999,56.119999,6738000,53.290722
"2021-02-26",55.459999,55.84,54.18,54.380001,10486700,51.638447
"2021-03-01",54.990002,55.639999,54.279999,54.650002,6721700,51.894833
"2021-03-02",54.880001,57.389999,54.82,56.799999,9269700,53.93644
"2021-03-03",55.419998,55.860001,54.57,55.330002,7281100,53.054283
"2021-03-04",55.27,56.5,54.790001,55.419998,8279700,53.140575
"2021-03-05",55.639999,57,55.060001,56.740002,7920900,54.406292
"2021-03-08",56.860001,56.889999,55.630001,56.389999,7020200,54.070679
"2021-03-09",57.549999,58.119999,56.959999,57.25,6590800,54.895306
"2021-03-10",57.970001,58.82,57.279999,58.18,7002800,55.78706
"2021-03-11",58.580002,58.650002,57.709999,58.450001,6393600,56.045952
"2021-03-12",57.470001,59.02,57.349998,58.990002,5666600,56.563747
"2021-03-15",59.57,61.950001,59.380001,61.419998,11254400,58.893795
"2021-03-16",61.369999,62.380001,60.939999,61.82,8254900,59.277344
"2021-03-17",61.439999,63.32,60.790001,62.970001,7792400,60.380043
"2021-03-18",62.139999,63.630001,62.049999,62.259998,8474200,59.699245
"2021-03-19",62.279999,62.509998,61.549999,61.93,31287400,59.38282
"2021-03-22",61.220001,61.5,60.369999,60.889999,6348000,58.385597
"2021-03-23",60.799999,60.799999,59.810001,60.119999,5730500,57.647263
"2021-03-24",60.16,60.77,59.959999,60.369999,5604000,57.886982
"2021-03-25",60.060001,60.43,59.259998,59.880001,5922900,57.417133
"2021-03-26",59.93,61.619999,59.740002,61.5,6934600,58.970509
"2021-03-29",61.23,62.209999,60.459999,62.16,6180100,59.603359
"2021-03-30",60.959999,61.060001,59.450001,59.880001,6399200,57.417133
"2021-03-31",59.880001,60.959999,59.509998,60.27,7149800,57.791096
"2021-04-01",61.029999,61.91,60.25,61.810001,6514100,59.267754
"2021-04-05",62,63.130001,61.700001,62.490002,6140500,59.919792
"2021-04-06",62.799999,63.43,62.540001,62.799999,6258500,60.217037
"2021-04-07",62.799999,63.16,61.689999,62.009998,5630800,59.45953
