"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2020-11-17",249.323334,250.759995,246.883331,249.71666,1152900,249.71666
"2020-11-18",249.080002,249.243332,244.333328,244.460007,1302000,244.460007
"2020-11-19",243.58667,245.809998,241.16333,244.649994,1141500,244.649994
"2020-11-20",243.669998,245.08667,242.210007,243.580002,1169100,243.580002
"2020-11-23",243.82666,244.683334,237.690002,239.683334,1503000,239.683334
"2020-11-24",242.300003,242.883331,240.339996,241.613327,1761600,241.613327
"2020-11-25",243.100006,244.246674,241.623337,242.123337,1029000,242.123337
"2020-11-27",245.123337,245.190002,242,243.273331,796200,243.273331
"2020-11-30",241.803329,244.630005,240.333328,242.016663,2353800,242.016663
"2020-12-01",244.433334,245.506668,240.616669,244.550003,1557000,244.550003
"2020-12-02",243.669998,251.399994,243.669998,250.426666,1761000,250.426666
"2020-12-03",250.66333,254.75,249.623337,252.906662,1634100,252.906662
"2020-12-04",251.156662,260.633331,251.156662,260.113342,1661700,260.113342
"2020-12-07",259.333344,260.176666,254.106674,254.796661,1732200,254.796661
"2020-12-08",254.286667,255.860001,251.666672,255.116669,1276200,255.116669
"2020-12-09",255.869995,255.869995,250.03334,251.169998,1587300,251.169998
"2020-12-10",251.866669,255.600006,249.360001,252.690002,1488000,252.690002
"2020-12-11",251.383331,253.96666,248.626663,253.333328,1637700,253.333328
"2020-12-14",254.666672,260.209991,254.016663,254.929993,1794300,254.929993
"2020-12-15",252.33667,257.186676,251.666672,256.16333,1297800,256.16333
"2020-12-16",255.25,256.65332,254.020004,255.353333,1078800,255.353333
"2020-12-17",257.126678,260.416656,255.75,259.926666,1306200,259.926666
"2020-12-18",262.263336,263.600006,258.34668,263.029999,2622900,263.029999
"2020-12-21",259.33667,263.32666,256.059998,263.089996,1541700,263.089996
"2020-12-22",263.369995,272.279999,262.756653,271.75,2246100,271.75
"2020-12-23",272.33667,275.603333,269.51001,269.883331,1932900,269.883331
"2020-12-24",270.236664,270.779999,267.670013,269,489900,269
"2020-12-28",272.736664,273.329987,265.73999,268.386658,1229700,268.386658
"2020-12-29",270.790009,273.433319,269.046661,271.356659,1120200,271.356659
"2020-12-30",273.329987,274.049988,270.679993,271.766663,775500,271.766663
"2020-12-31",271.839996,273.676666,270.103333,272.700012,1160700,272.700012
"2021-01-04",275.279999,275.279999,262.959991,266.666656,1781700,266.666656
"2021-01-05",264.630005,270.463318,263.130005,268.350006,1363800,268.350006
"2021-01-06",265.093323,266.666656,262.286682,264.263336,2071200,264.263336
"2021-01-07",266.290009,270.136658,263.333344,269.40332,1285500,269.40332
"2021-01-08",268.073334,275.130005,268.019989,272.916656,1428600,272.916656
"2021-01-11",272.809998,272.809998,267.946655,271.216675,1644600,271.216675
"2021-01-12",270.446655,271.01001,262.766663,262.809998,1903800,262.809998
"2021-01-13",262.456665,274.666656,262,270.483337,2550000,270.483337
"2021-01-14",271.429993,271.92334,265.016663,265.713318,1460400,265.713318
"2021-01-15",266.686676,267.353333,259,259.473328,2317800,259.473328
"2021-01-19",261.696655,264,258.473328,259.470001,1920600,259.470001
"2021-01-20",261.850006,267.223328,260.543335,266.190002,1648200,266.190002
"2021-01-21",265.443329,267.333344,260.866669,266.223328,1975500,266.223328
"2021-01-22",261.013336,263.073334,247.843338,248.026672,5299200,248.026672
"2021-01-25",249.136673,251.550003,245.213333,250.669998,3307200,250.669998
"2021-01-26",251.493332,257.543335,251.006668,256.549988,3036900,256.549988
"2021-01-27",253.46666,256.463318,248.986664,252.910004,2317500,252.910004
"2021-01-28",255.683334,259.41333,254.976669,255.119995,1720500,255.119995
"2021-01-29",251.453339,253.723328,247.166672,249.213333,1890300,249.213333
"2021-02-01",250.666672,253.623337,246.666672,248.703339,1884000,248.703339
"2021-02-02",251.220001,256.16333,251.220001,252.613327,1654200,252.613327
"2021-02-03",251.66333,252.58667,248.203339,248.46666,1531800,248.46666
"2021-02-04",250,254.880005,248.419998,252.350006,2277000,252.350006
"2021-02-05",254.866669,255.443329,253.5,254.083328,1307100,254.083328
"2021-02-08",256.08667,258.34668,253.953339,256.66333,1287300,256.66333
"2021-02-09",257.66333,262.970001,256.926666,259.783325,1516500,259.783325
"2021-02-10",262.333344,264.83667,259.640015,262.696655,1681500,262.696655
"2021-02-11",264.666656,266.799988,262.73999,266.276672,1283700,266.276672
"2021-02-12",266.420013,269.473328,264.59668,269.269989,1291200,269.269989
"2021-02-16",270,270.929993,262.963318,263.983337,2019600,263.983337
"2021-02-17",260.666656,262.799988,258.140015,260.019989,1118100,260.019989
"2021-02-18",258.190002,258.806671,252.596664,255.843338,1928100,255.843338
"2021-02-19",257.75,257.75,249.893326,250.050003,2238900,250.050003
"2021-02-22",250.596664,250.929993,245.666672,247.133331,1911000,247.133331
"2021-02-23",247.333328,249.543335,244.03334,248.236664,2106000,248.236664
"2021-02-24",247.910004,253.223328,246.096664,252.903336,1320000,252.903336
"2021-02-25",251.619995,252.963333,243.96666,247.263336,1335600,247.263336
"2021-02-26",247.96666,249.233337,242.103333,245.600006,2007000,245.600006
"2021-03-01",249.679993,253.589996,248.556671,253.070007,1677600,253.070007
"2021-03-02",253.333328,253.333328,248.926666,250,1173000,250
"2021-03-03",248.686661,248.686661,240.493332,242.383331,1521300,242.383331
"2021-03-04",241.666672,242.41333,233.009995,236.389999,2427600,236.389999
"2021-03-05",237.416672,239.479996,229.080002,237.789993,2277300,237.789993
"2021-03-08",235.116669,236.856674,227.46666,228.300003,1917600,228.300003
"2021-03-09",232.513336,236.75,230.003326,234.266663,2090400,234.266663
"2021-03-10",240.32666,242.536667,237.610001,239.936661,2198100,239.936661
"2021-03-11",243.453339,246.32666,241.453339,244,1492800,244
"2021-03-12",240.373337,245.470001,240,244.66333,1467300,244.66333
"2021-03-15",242.440002,245.850006,241.683334,245.020004,1202700,245.020004
"2021-03-16",246.803329,247.166672,240.503326,242.210007,1277400,242.210007
"2021-03-17",241.443329,242.990005,237.600006,241.546661,1056600,241.546661
"2021-03-18",238.573334,239.856674,231.686661,233.106674,1940400,233.106674
"2021-03-19",233.833328,238.240005,231.796661,235.830002,2377800,235.830002
"2021-03-22",235.906662,240.386673,234.380005,238.243332,1309800,238.243332
"2021-03-23",238.83667,240.32666,235.883331,236.940002,1005000,236.940002
"2021-03-24",237.333328,240.113327,235.16333,237.023331,1452000,237.023331
"2021-03-25",236.883331,238.139999,231.206665,234.833328,1380000,234.833328
"2021-03-26",235.693329,243.946671,234.916672,243.583328,1707600,243.583328
"2021-03-29",243.149994,244.713333,239.110001,241.316666,1350900,241.316666
"2021-03-30",239.703339,242.996674,238.17334,242.16333,1442400,242.16333
"2021-03-31",242.853333,247.976669,242.419998,246.313339,1695300,246.313339
"2021-04-01",249.996674,252.690002,248.626663,249.199997,1357800,249.199997
"2021-04-05",250.070007,256.876678,250.070007,255.309998,1697700,255.309998
"2021-04-06",255.710007,258.756653,253.600006,255.616669,1155900,255.616669
"2021-04-07",255.796661,257.006653,253.190002,253.67334,1101000,253.67334
"2021-04-08",255.316666,258.033325,255.316666,256.783325,906000,256.783325
"2021-04-09",257.859985,262.106659,256.160004,261.493347,1065900,261.493347
"2021-04-12",259.376678,261.886658,259.106659,259.753326,1008600,259.753326
"2021-04-13",259.649994,265.609985,259.649994,264.823334,1286100,264.823334
"2021-04-14",264,266.75,261.600006,261.943329,1113000,261.943329
"2021-04-15",264.220001,269.333344,263.100006,268.23999,1236900,268.23999
"2021-04-16",269.216675,271.133331,267.283325,270.856659,1618200,270.856659
"2021-04-19",269.589996,271.893341,267.506653,270.396667,1557900,270.396667
"2021-04-20",268.886658,274.843323,268.883331,270.369995,2079600,270.369995
"2021-04-21",280.306671,297.929993,273.333344,297.126678,6293700,297.126678
"2021-04-22",294.963318,295.963318,286.186676,286.553345,3642900,286.553345
"2021-04-23",283.730011,294.306671,280.906677,291.843323,2500500,291.843323
"2021-04-26",288.813324,290.690002,286.723328,288.646667,1753500,288.646667
"2021-04-27",289,289,286.166656,287.126678,1531200,287.126678
"2021-04-28",287.523346,291.943329,286.993347,289.59668,1712100,289.59668
"2021-04-29",291.233337,291.233337,285.940002,287.73999,1154400,287.73999
"2021-04-30",285.656677,288.636658,285.089996,288.333344,1432800,288.333344
"2021-05-03",291.156677,291.66333,286.713318,289.183319,1133400,289.183319
"2021-05-04",287.23999,287.359985,278.036682,282.996674,1971000,282.996674
"2021-05-05",284.709991,286.993347,278.843323,279.466675,1468500,279.466675
"2021-05-06",278.08667,280.896667,275.220001,280.820007,1263900,280.820007
"2021-05-07",281.766663,287.76001,281.766663,285.696655,1471800,285.696655
"2021-05-10",286.343323,287.333344,277.686676,278.263336,1508400,278.263336
"2021-05-11",274.386658,280.273346,273.66333,278.916656,1454100,278.916656
"2021-05-12",274.683319,275.160004,268.089996,270.59668,1708200,270.59668
"2021-05-13",271.070007,275.690002,271.070007,273.529999,1186500,273.529999
"2021-05-14",274.323334,279.813324,273.83667,277.793335,1086900,277.793335
"2021-05-17",276.26001,276.26001,270.533325,272.33667,2046300,272.33667
"2021-05-18",273.886658,274.666656,271.190002,271.540009,1588200,271.540009
"2021-05-19",267.246674,272.343323,265.90332,272.320007,1473600,272.320007
"2021-05-20",273.893341,278.970001,273.246674,277.553345,3236100,277.553345
"2021-05-21",280,281.003326,274.693329,274.996674,1521000,274.996674
"2021-05-24",277.683319,280.119995,277.420013,278.306671,2175900,278.306671
"2021-05-25",280.09668,282.253326,279.459991,282.003326,2028900,282.003326
"2021-05-26",282.369995,283.230011,278.399994,279.793335,1485300,279.793335
"2021-05-27",279.566681,282.179993,276.399994,278.119995,3920400,278.119995
"2021-05-28",279.66333,284.773346,279.66333,280.726654,1575900,280.726654
"2021-06-01",284.256653,284.256653,276.25,278.679993,1493700,278.679993
"2021-06-02",278.73999,279.299988,272.976654,273.84668,1195800,273.84668
"2021-06-03",270.963318,274.946655,270.369995,272.216675,1260900,272.216675
"2021-06-04",273.853333,278.59668,273.709991,277.149994,1374600,277.149994
"2021-06-07",278.386658,281.063324,276.269989,277.040009,1089000,277.040009
"2021-06-08",278.450012,280.380005,275.396667,277.890015,1242900,277.890015
"2021-06-09",278.76001,281.323334,278.25,280.079987,1085100,280.079987
"2021-06-10",281.023346,286.543335,280.380005,286.380005,1189200,286.380005
"2021-06-11",286.666656,288.100006,285.123322,288.089996,1335600,288.089996
"2021-06-14",287.429993,291.136658,286.546661,290.929993,1263900,290.929993
"2021-06-15",291.666656,291.783325,289.886658,290.786682,1311300,290.786682
"2021-06-16",291.453339,293.873322,288.333344,290.473328,1344600,290.473328
"2021-06-17",289.746674,297.089996,288.793335,295.003326,1567200,295.003326
"2021-06-18",293.51001,295.333344,291.866669,292.953339,2403600,292.953339
"2021-06-21",294.953339,300.316681,291.859985,298,1424100,298
"2021-06-22",298.42334,301,295.693329,300.65332,1349400,300.65332
"2021-06-23",300,303.786682,299.730011,301.806671,1292400,301.806671
"2021-06-24",304.429993,304.570007,300.119995,301.523346,1023000,301.523346
"2021-06-25",301.666656,304.063324,301.216675,302.783325,1303200,302.783325
"2021-06-28",303.26001,304.850006,301.5,304.136658,1245600,304.136658
"2021-06-29",305,308.679993,303.660004,306.906677,1241100,306.906677
"2021-06-30",306.683319,308.333344,304.006653,306.546661,1619400,306.546661
"2021-07-01",305.843323,309.333344,305.496674,309.15332,1093500,309.15332
"2021-07-02",310.293335,313.156677,309.769989,312.720001,1015500,312.720001
"2021-07-06",314.183319,316.429993,309.156677,316.013336,1726200,316.013336
"2021-07-07",318.003326,320.290009,316.230011,318.230011,1492800,318.230011
"2021-07-08",313.746674,317.936676,312.106659,317.290009,1365900,317.290009
"2021-07-09",317.290009,318.396667,312.720001,316.926666,1023900,316.926666
"2021-07-12",317.446655,320.223328,315.506653,319.683319,1031100,319.683319
"2021-07-13",320.773346,321.683319,318.283325,318.75,856500,318.75
"2021-07-14",321.519989,321.65332,317.393341,318.359985,958200,318.359985
"2021-07-15",317.690002,319.643341,315.853333,317.886658,1383600,317.886658
"2021-07-16",318.546661,319.636658,316.446655,316.703339,1055400,316.703339
"2021-07-19",314.666656,314.666656,308.82666,310.730011,2106000,310.730011
"2021-07-20",311.649994,321.993347,309.643341,318.350006,2732700,318.350006
"2021-07-21",328.333344,329.089996,308.839996,314.980011,2541000,314.980011
"2021-07-22",317.070007,325.306671,315.440002,324.630005,1954500,324.630005
"2021-07-23",323.880005,326.130005,320.839996,325.486664,1317600,325.486664
"2021-07-26",323.276672,324.670013,318.083344,322.033325,1604100,322.033325
"2021-07-27",322.543335,325.033325,320.073334,325.026672,1072200,325.026672
"2021-07-28",325.026672,326.666656,322.980011,324.166656,971400,324.166656
"2021-07-29",324.333344,327.709991,323.470001,327.16333,949200,327.16333
"2021-07-30",326.369995,331.696655,325.706665,330.486664,1239000,330.486664
"2021-08-02",331.996674,332.890015,328.676666,330.850006,934800,330.850006
"2021-08-03",331.676666,333.666656,329.679993,333.203339,976800,333.203339
"2021-08-04",333.333344,334,329.91333,330.293335,1285200,330.293335
"2021-08-05",337.333344,341.333344,332.893341,339.700012,1672200,339.700012
"2021-08-06",340,343.493347,335.746674,343.339996,1488900,343.339996
"2021-08-09",344.363342,345.350006,341.933319,344,1086000,344
"2021-08-10",344.630005,345.033325,331.470001,331.873322,1800900,331.873322
"2021-08-11",333.170013,335.67334,328.890015,331.883331,1326300,331.883331
"2021-08-12",332.920013,337.036682,332.160004,333.333344,1577100,333.333344
"2021-08-13",333.896667,335.166656,332.133331,334.34668,1465200,334.34668
"2021-08-16",334.736664,339.686676,333.16333,339.41333,1147800,339.41333
"2021-08-17",338.640015,346.666656,337.203339,345,1512300,345
"2021-08-18",344.476654,349.666656,344.343323,346.459991,1252200,346.459991
"2021-08-19",345.940002,352.976654,344.236664,351.880005,1460100,351.880005
"2021-08-20",352.119995,353.943329,346.970001,347.940002,1841700,347.940002
"2021-08-23",350.573334,353.269989,344.776672,348.67334,1510800,348.67334
"2021-08-24",350,352.970001,346.57666,348.896667,1421700,348.896667
"2021-08-25",348.899994,350,346.350006,347.986664,1324200,347.986664
"2021-08-26",349.373322,350.019989,345.299988,347.416656,1405200,347.416656
"2021-08-27",348.513336,350.049988,344.670013,345.506653,1374600,345.506653
"2021-08-30",347.056671,353.316681,347.056671,352.970001,889800,352.970001
"2021-08-31",353.043335,353.92334,347.92334,351.186676,1377000,351.186676
"2021-09-01",351.666656,354.790009,349.176666,354.236664,1046400,354.236664
"2021-09-02",355.600006,359.026672,355.16333,357.176666,1211400,357.176666
"2021-09-03",357.103333,358.763336,352.683319,357.256653,1013100,357.256653
"2021-09-07",357.753326,359.519989,354.333344,359.386658,988800,359.386658
"2021-09-08",359.333344,362.33667,357.466675,360.853333,1048200,360.853333
"2021-09-09",361.053345,361.953339,356.549988,356.670013,1164000,356.670013
"2021-09-10",359.549988,360.683319,337.666656,341.156677,3431100,341.156677
"2021-09-13",343.809998,344.193329,337,342.606659,1906500,342.606659
"2021-09-14",344.523346,348.956665,342.660004,346.33667,1650300,346.33667
"2021-09-15",346.666656,348.986664,343.706665,348.506653,1608000,348.506653
"2021-09-16",348.526672,349.143341,342.920013,344.670013,1540200,344.670013
"2021-09-17",345.09668,346.820007,342.676666,345.756653,1905900,345.756653
"2021-09-20",341.466675,343.956665,333.350006,337.996674,1987500,337.996674
"2021-09-21",340.286682,343.206665,337.666656,338.013336,1913700,338.013336
"2021-09-22",340,345.773346,338.333344,342.823334,1578300,342.823334
"2021-09-23",343.75,350.633331,343.51001,348.279999,1916100,348.279999
"2021-09-24",346.859985,348.656677,343.48999,347.776672,1484700,347.776672
"2021-09-27",346.630005,346.66333,334.333344,337.916656,1908600,337.916656
"2021-09-28",335.176666,335.57666,326.176666,330.829987,2054400,330.829987
"2021-09-29",331.966675,334.679993,329.670013,330.783325,1371300,330.783325
"2021-09-30",332.48999,336.766663,331.109985,331.383331,1380000,331.383331
"2021-10-01",331.333344,340.519989,325.333344,336.5,2250300,336.5
"2021-10-04",333.353333,333.716675,321.053345,323.5,2107800,323.5
"2021-10-05",325.929993,335.079987,323.600006,330.070007,1478200,330.070007
"2021-10-06",329.540009,335.380005,327.5,334.940002,1850900,334.940002
"2021-10-07",341.359985,346.839996,337.850006,338.339996,1906500,338.339996
"2021-10-08",339.690002,342.100006,328.01001,328.540009,1367800,328.540009
"2021-10-11",326.5,329.209991,323.839996,324.179993,979400,324.179993
"2021-10-12",328,329.100006,321.880005,324.450012,1276900,324.450012
"2021-10-13",325.670013,328.720001,325.140015,326,1866900,326
"2021-10-14",328.390015,332.779999,328.320007,330.950012,1432300,330.950012
"2021-10-15",332.200012,333.450012,330,331.5,1387100,331.5
"2021-10-18",330.329987,332.380005,323.040009,332.299988,1530600,332.299988
"2021-10-19",338.109985,345.160004,332.170013,336.299988,3642500,336.299988
"2021-10-20",338,341.899994,327.390015,339.799988,2458200,339.799988
"2021-10-21",342.220001,343.26001,337.440002,339.630005,1338100,339.630005
"2021-10-22",339.75,342.820007,337.640015,341.519989,1319000,341.519989
"2021-10-25",340.190002,347.089996,336.76001,343.589996,1938400,343.589996
"2021-10-26",346.709991,351.190002,343.589996,348.700012,1736800,348.700012
"2021-10-27",348.690002,350.630005,340.850006,348.980011,1684200,348.980011
"2021-10-28",349.23999,356.630005,349.23999,355.609985,1371700,355.609985
"2021-10-29",353.850006,362.670013,352.920013,361.130005,1558600,361.130005
"2021-11-01",361.690002,365.519989,354.529999,355.029999,1812400,355.029999
"2021-11-02",356.579987,361.5,354.549988,360.369995,1046600,360.369995
"2021-11-03",360.290009,362.920013,353.959991,361.48999,1410000,361.48999
"2021-11-04",361.48999,364.399994,359.01001,363.320007,1067800,363.320007
"2021-11-05",363.420013,369.690002,359.48999,364.950012,1575400,364.950012
"2021-11-08",366.019989,368.140015,361.970001,365.420013,908100,365.420013
"2021-11-09",365,366.790009,362.570007,364.149994,1123500,364.149994
"2021-11-10",363,367.480011,357.890015,359.48999,1082100,359.48999
"2021-11-11",360,360.26001,348.649994,350.790009,1376700,350.790009
"2021-11-12",353.679993,356.670013,350.470001,354.929993,928100,354.929993
"2021-11-15",355.51001,357.190002,351.730011,353.559998,878300,353.559998
"2021-11-16",351.859985,362.820007,351.859985,361.119995,1182200,361.119995
"2021-11-17",361.119995,364.220001,358,361.420013,1449200,361.420013
"2021-11-18",361.459991,362.660004,356.420013,359.200012,896600,359.200012
"2021-11-19",359.200012,359.959991,346,348.649994,1677600,348.649994
"2021-11-22",348,349,340.429993,340.720001,2041300,340.720001
"2021-11-23",341,341.690002,332.809998,335.899994,2070800,335.899994
"2021-11-24",335.450012,340.5,331.790009,339.420013,993400,339.420013
"2021-11-26",330.670013,334.950012,328.040009,329.230011,1491800,329.230011
"2021-11-29",332.809998,339.670013,328.200012,334.73999,1763600,334.73999
"2021-11-30",335.220001,336.220001,321.5,324.339996,2414400,324.339996
"2021-12-01",328.609985,330.130005,319.649994,319.929993,1672500,319.929993
"2021-12-02",319.929993,329.519989,318.440002,327.320007,1350000,327.320007
"2021-12-03",329.200012,329.98999,313.690002,321.630005,2485100,321.630005
"2021-12-06",321.23999,325.529999,314,323.769989,2954000,323.769989
"2021-12-07",329.910004,342.619995,329.5,340.48999,2138400,340.48999
"2021-12-08",340.850006,341.98999,337.130005,340.799988,2094900,340.799988
"2021-12-09",339.730011,345.980011,338.769989,340.339996,1296700,340.339996
"2021-12-10",343.160004,346.079987,341.470001,344.959991,1316600,344.959991
"2021-12-13",344.73999,345.769989,339.630005,340.359985,1530500,340.359985
"2021-12-14",336.51001,336.51001,325.600006,328.23999,1482100,328.23999
"2021-12-15",330.350006,334.899994,323.790009,331.660004,2192100,331.660004
"2021-12-16",338.01001,341.720001,333.130005,334.529999,2004100,334.529999
"2021-12-17",332.399994,343.100006,332.399994,337.399994,2623000,337.399994
"2021-12-20",330.380005,334.200012,326.059998,332.109985,1560400,332.109985
"2021-12-21",333.450012,348.769989,332.640015,348.089996,1699200,348.089996
"2021-12-22",346.959991,362.540009,346.829987,362.209991,1410400,362.209991
"2021-12-23",360.649994,365.670013,357.329987,363.940002,1022500,363.940002
"2021-12-27",363.459991,366.529999,361.609985,364.579987,1136600,364.579987
"2021-12-28",364.579987,366.720001,362.029999,364.540009,931200,364.540009
"2021-12-29",365.359985,369.209991,364.019989,365.269989,897500,365.269989
"2021-12-30",366.089996,367.649994,362.809998,363.299988,754500,363.299988
"2021-12-31",363.019989,366.149994,358.790009,359.299988,1157700,359.299988
"2022-01-03",358.649994,360.51001,353.130005,360,1573300,360
"2022-01-04",360,362,352.570007,354.630005,1310900,354.630005
