"","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted"
"2020-09-04",22.379154,22.560423,22.099697,22.220545,59361805,18.67407
"2020-09-08",22.280968,22.356495,21.918428,22.288521,61477424,18.731199
"2020-09-09",22.379154,22.432024,22.182779,22.182779,39217145,18.642332
"2020-09-10",22.190332,22.190332,21.827795,21.835346,62779578,18.350351
"2020-09-11",21.873112,22.001511,21.752266,21.903322,39282550,18.407478
"2020-09-14",21.978851,22.12991,21.903322,22.009064,38028987,18.496342
"2020-09-15",22.046827,22.160122,21.948641,21.993958,34307091,18.483648
"2020-09-16",22.001511,22.311178,21.993958,22.084593,40870556,18.559818
"2020-09-17",22.016617,22.084593,21.865559,21.956194,41904600,18.451912
"2020-09-18",21.933535,22.069487,21.835346,21.850452,60721023,18.363049
"2020-09-21",21.752266,21.767372,21.344412,21.623867,60207576,18.172626
"2020-09-22",21.548338,21.850452,21.465258,21.533234,37268482,18.096457
"2020-09-23",21.563444,21.669184,21.027189,21.049849,57973723,17.690224
"2020-09-24",21.049849,21.344412,20.959215,21.178247,43760980,17.798128
"2020-09-25",21.080059,21.231117,20.959215,21.178247,47569731,17.798128
"2020-09-28",21.389729,21.638973,21.329306,21.435045,40415232,18.013941
"2020-09-29",21.419941,21.457705,21.246223,21.374622,33695138,17.963161
"2020-09-30",21.435045,21.654079,21.367069,21.533234,51752777,18.096457
"2020-10-01",21.540785,21.63142,21.404835,21.518127,37920022,18.083765
"2020-10-02",21.351965,21.820242,21.306646,21.661631,37996284,18.204359
"2020-10-05",21.518127,21.714502,21.419941,21.654079,44305806,18.198015
"2020-10-06",21.714502,22.02417,21.646526,21.68429,51851282,18.223404
"2020-10-07",21.842899,21.888218,21.669184,21.752266,54847362,18.280531
"2020-10-08",21.389729,21.623867,21.329306,21.608761,42511786,18.604685
"2020-10-09",21.623867,21.669184,21.321753,21.389729,43291755,18.416105
"2020-10-12",21.374622,21.374622,21.155588,21.246223,67800584,18.292549
"2020-10-13",21.155588,21.246223,20.906343,20.959215,71511756,18.045441
"2020-10-14",20.929003,21.110271,20.755287,20.76284,64131912,17.876366
"2020-10-15",20.626888,20.732628,20.47583,20.732628,42483188,17.850355
"2020-10-16",20.755287,20.823263,20.634441,20.641994,38827756,17.77232
"2020-10-19",20.725077,20.747734,20.256798,20.302114,69017472,17.479691
"2020-10-20",20.385197,20.483383,20.135952,20.211479,55064895,17.401653
"2020-10-21",20.219032,20.332327,20.045317,20.181269,63219941,17.375643
"2020-10-22",21.019636,21.525681,20.92145,21.359516,118508460,18.390091
"2020-10-23",21.412388,21.457705,20.959215,21.012085,56442782,18.09096
"2020-10-26",20.86858,20.883686,20.460726,20.679758,54978438,17.804834
"2020-10-27",20.574018,20.596678,20.317221,20.332327,46561108,17.505703
"2020-10-28",20.166162,20.302114,19.977341,20.015106,64808211,17.232584
"2020-10-29",20.015106,20.430513,19.901814,20.211479,58489289,17.401653
"2020-10-30",20.196375,20.42296,20.158609,20.407854,64109669,17.57073
"2020-11-02",20.694864,20.845921,20.400303,20.649548,63620980,17.778826
"2020-11-03",20.777946,20.996979,20.694864,20.740181,44069208,17.856855
"2020-11-04",20.551359,20.732628,20.287008,20.42296,60219095,17.583735
"2020-11-05",20.536255,21.034742,20.528702,20.777946,46498086,17.88937
"2020-11-06",20.76284,20.929003,20.679758,20.725077,34735537,17.843853
"2020-11-09",21.329306,21.744713,21.26133,21.374622,93572376,18.403101
"2020-11-10",21.563444,21.880665,21.518127,21.79003,58510208,18.760754
"2020-11-11",21.880665,21.903322,21.472811,21.699396,52587691,18.682722
"2020-11-12",21.525681,21.586103,21.29154,21.480364,40346649,18.494143
"2020-11-13",21.57855,21.895769,21.503021,21.835346,36370545,18.799772
"2020-11-16",21.986404,22.07704,21.827795,21.880665,66132476,18.838789
"2020-11-17",21.73716,22.001511,21.661631,21.925982,37833830,18.877804
"2020-11-18",21.941088,22.031721,21.608761,21.616314,39135984,18.611189
"2020-11-19",21.533234,21.533234,21.231117,21.359516,54788444,18.390091
"2020-11-20",21.314199,21.465258,21.268883,21.389729,37358778,18.416105
"2020-11-23",21.442598,21.676737,21.412388,21.616314,36832091,18.611189
"2020-11-24",21.850452,22.235649,21.835346,22.07704,58266592,19.007866
"2020-11-25",22.114803,22.122356,21.827795,21.895769,32423701,18.851795
"2020-11-27",21.956194,22.046827,21.812689,21.925982,20720335,18.877804
"2020-11-30",21.805136,21.918428,21.676737,21.714502,57382822,18.695726
"2020-12-01",21.767372,22.009064,21.714502,21.805136,55682012,18.77376
"2020-12-02",21.767372,22.05438,21.744713,21.971298,39041053,18.916822
"2020-12-03",21.925982,22.084593,21.827795,22.07704,46284260,19.007866
"2020-12-04",22.182779,22.477341,22.137463,22.311178,49948562,19.209454
"2020-12-07",22.492447,22.492447,22.296074,22.386707,45853562,19.274483
"2020-12-08",22.273415,23.361027,22.250755,23.270393,97456992,20.035316
"2020-12-09",23.413897,24.086103,23.391239,23.76133,93587470,20.458004
"2020-12-10",23.466766,23.496979,23.021149,23.179758,62270236,19.957283
"2020-12-11",22.983383,23.481873,22.953173,23.42145,41708913,20.165373
"2020-12-14",23.587612,23.617825,22.960726,23.074018,56451785,19.86624
"2020-12-15",23.141994,23.187311,22.87009,23.096678,44250331,19.88575
"2020-12-16",23.058912,23.104231,22.839878,22.877644,45926250,19.697166
"2020-12-17",22.688822,22.749245,22.311178,22.371601,81662996,19.261475
"2020-12-18",22.296074,22.416918,22.099697,22.205439,98528240,19.118412
"2020-12-21",21.888218,22.061934,21.714502,21.910875,63319903,18.864801
"2020-12-22",21.903322,21.910875,21.389729,21.450151,84593405,18.468124
"2020-12-23",21.525681,21.850452,21.525681,21.714502,52034656,18.695726
"2020-12-24",21.699396,21.722054,21.525681,21.669184,25358704,18.65671
"2020-12-28",21.850452,21.873112,21.525681,21.563444,55104218,18.56567
"2020-12-29",21.669184,21.812689,21.533234,21.555891,48481570,18.559166
"2020-12-30",21.555891,21.661631,21.472811,21.518127,45476487,18.526651
"2020-12-31",21.487915,21.752266,21.442598,21.722054,51135925,18.70223
"2021-01-04",22.197886,22.273415,21.918428,22.235649,86700816,19.144423
"2021-01-05",22.280968,22.46979,22.046827,22.099697,83054520,19.027372
"2021-01-06",22.212992,22.658609,22.182779,22.53021,73455520,19.398033
"2021-01-07",22.673716,22.726585,22.416918,22.590633,71265359,19.450058
"2021-01-08",22.009064,22.061934,21.714502,21.918428,72471656,19.315926
"2021-01-11",21.706949,21.918428,21.661631,21.805136,40833484,19.216082
"2021-01-12",21.805136,21.805136,21.533234,21.714502,57515222,19.136211
"2021-01-13",21.744713,21.752266,21.503021,21.608761,51383116,19.043024
"2021-01-14",21.638973,22.484894,21.548338,22.122356,84548919,19.49564
"2021-01-15",21.865559,22.122356,21.767372,22.031721,53824704,19.415766
"2021-01-19",22.114803,22.190332,21.827795,21.865559,53971536,19.269333
"2021-01-20",21.903322,21.910875,21.706949,21.873112,43086270,19.275988
"2021-01-21",21.835346,21.963745,21.729607,21.774923,37102320,19.189457
"2021-01-22",21.759819,21.941088,21.57855,21.850452,45975370,19.25602
"2021-01-25",21.722054,22.039274,21.518127,21.986404,68733209,19.37583
"2021-01-26",21.978851,22.537764,21.956194,22.46979,66887024,19.801819
"2021-01-27",21.933535,22.809668,21.873112,22.009064,97381127,19.395798
"2021-01-28",21.925982,22.44713,21.73716,21.752266,69698670,19.169491
"2021-01-29",21.73716,21.933535,21.57855,21.623867,66272688,19.056335
"2021-02-01",21.858006,21.888218,21.397282,21.638973,56774709,19.069651
"2021-02-02",21.73716,21.767372,21.435045,21.555891,56673026,18.996433
"2021-02-03",21.533234,21.676737,21.487915,21.533234,53468813,18.976467
"2021-02-04",21.540785,21.820242,21.503021,21.820242,42001782,19.229397
"2021-02-05",21.888218,21.956194,21.797583,21.850452,36503739,19.25602
"2021-02-08",21.880665,21.895769,21.616314,21.729607,42459356,19.149523
"2021-02-09",21.646526,21.73716,21.570997,21.616314,43411312,19.049683
"2021-02-10",21.63142,21.646526,21.510574,21.563444,55965612,19.00309
"2021-02-11",21.533234,21.676737,21.495468,21.669184,44673216,19.096273
"2021-02-12",21.601208,21.782476,21.593657,21.752266,38015880,19.169491
"2021-02-16",21.752266,22.039274,21.699396,21.880665,51239727,19.282644
"2021-02-17",21.767372,22.462236,21.752266,22.333838,67769867,19.682007
"2021-02-18",22.318731,22.348944,22.061934,22.07704,35751575,19.455704
"2021-02-19",22.122356,22.152569,21.888218,21.903322,39326772,19.302612
"2021-02-22",21.895769,22.333838,21.888218,22.145016,46173044,19.515608
"2021-02-23",22.39426,22.515106,21.986404,22.039274,62175305,19.422422
"2021-02-24",22.12991,22.348944,22.05438,22.190332,45852636,19.555542
"2021-02-25",22.02417,22.099697,21.593657,21.623867,77501929,19.056335
"2021-02-26",21.661631,21.744713,21.064955,21.064955,102619798,18.563789
"2021-03-01",21.268883,21.487915,21.163141,21.216011,58790102,18.696907
"2021-03-02",21.20846,21.495468,21.20846,21.314199,47299370,18.783438
"2021-03-03",21.283989,21.850452,21.283989,21.691843,75820581,19.116241
"2021-03-04",21.729607,22.145016,21.638973,21.842899,80437237,19.249363
"2021-03-05",21.910875,22.462236,21.888218,22.371601,77737336,19.715288
"2021-03-08",22.311178,22.953173,22.220545,22.651056,74116593,19.961561
"2021-03-09",22.583082,22.764351,22.364048,22.386707,63488580,19.728603
"2021-03-10",22.613293,22.779455,22.333838,22.651056,57977033,19.961561
"2021-03-11",22.590633,22.658609,22.280968,22.311178,48327854,19.662041
"2021-03-12",22.583082,23.31571,22.44713,22.515106,92827229,19.841753
"2021-03-15",22.673716,22.711479,22.416918,22.60574,56121050,19.921627
"2021-03-16",22.46979,22.688822,22.424471,22.651056,50311735,19.961561
"2021-03-17",22.749245,22.832327,22.515106,22.771902,52881354,20.06806
"2021-03-18",22.711479,23.036255,22.651056,22.666162,41438817,19.974876
"2021-03-19",22.666162,22.703926,22.371601,22.477341,97559734,19.808475
"2021-03-22",22.492447,22.666162,22.341391,22.651056,41525936,19.961561
"2021-03-23",22.620846,22.862537,22.515106,22.658609,48880756,19.96822
"2021-03-24",22.643505,22.877644,22.635952,22.651056,44403518,19.961561
"2021-03-25",22.658609,22.802114,22.515106,22.719032,49001902,20.021467
"2021-03-26",22.87009,23.111782,22.719032,22.89275,83378238,20.174557
"2021-03-29",22.960726,23.149548,22.824774,23.081572,49355145,20.340961
"2021-03-30",23.119335,23.217524,22.960726,23.20997,46516092,20.454111
"2021-03-31",23.149548,23.149548,22.809668,22.862537,59981040,20.147934
"2021-04-01",22.839878,23.021149,22.681269,23.013596,42999548,20.281055
"2021-04-05",23.126888,23.293051,23.111782,23.194864,50996905,20.440802
"2021-04-06",23.194864,23.398792,23.179758,23.398792,44574314,20.620518
"2021-04-07",23.42145,23.527189,23.26284,23.361027,53821262,20.587234
"2021-04-08",22.885197,22.915407,22.60574,22.658609,66037678,20.422817
"2021-04-09",22.696375,22.802114,22.590633,22.688822,44111311,20.450048
"2021-04-12",22.666162,22.779455,22.583082,22.628399,32913051,20.395588
"2021-04-13",22.55287,22.55287,22.288521,22.379154,54794270,20.170937
"2021-04-14",22.356495,22.507553,22.12991,22.454683,41425180,20.239014
"2021-04-15",22.492447,22.537764,22.416918,22.46979,35073819,20.252628
"2021-04-16",22.590633,22.681269,22.537764,22.620846,39935944,20.388779
"2021-04-19",22.658609,22.719032,22.515106,22.651056,39439974,20.416008
"2021-04-20",22.635952,22.673716,22.545317,22.575529,35799239,20.347935
"2021-04-21",22.628399,22.839878,22.590633,22.741692,45489198,20.497702
"2021-04-22",23.640484,24.086103,23.527189,23.685801,143684584,21.34865
"2021-04-23",23.776436,23.950151,23.716011,23.716011,53428961,21.375879
"2021-04-26",23.700907,23.700907,23.330816,23.345921,60190761,21.042309
"2021-04-27",23.293051,23.323263,23.134441,23.240181,44211273,20.947001
"2021-04-28",23.391239,23.527189,23.338369,23.383686,37193014,21.076347
"2021-04-29",23.512085,23.814199,23.496979,23.670694,50944740,21.335035
"2021-04-30",23.685801,23.73867,23.451662,23.723564,41484362,21.382689
"2021-05-03",24.003021,24.055891,23.768883,23.79154,49589228,21.443958
"2021-05-04",23.867069,24.229607,23.829306,24.18429,68700639,21.797953
"2021-05-05",24.176737,24.305136,24.025681,24.191843,41937965,21.804762
"2021-05-06",24.199396,24.486404,23.950151,24.478851,38556072,22.06345
"2021-05-07",24.320242,24.441088,24.214502,24.29003,38330065,21.893259
"2021-05-10",24.418428,24.848944,24.365559,24.645016,54262286,22.213217
"2021-05-11",24.539274,24.675226,24.229607,24.365559,44221335,21.961336
"2021-05-12",24.282476,24.395769,24.116314,24.146526,41682300,21.763916
"2021-05-13",24.040785,24.433535,23.912388,24.327795,35838562,21.927298
"2021-05-14",24.418428,24.584593,24.335346,24.350452,28044703,21.947721
"2021-05-17",25.309668,25.589125,23.595165,23.693354,227010260,21.355461
"2021-05-18",22.567976,22.658609,21.820242,22.318731,327097378,20.116476
"2021-05-19",21.941088,22.039274,21.654079,21.873112,162369932,19.714827
"2021-05-20",21.910875,22.432024,21.835346,22.386707,108488825,20.177746
"2021-05-21",22.666162,22.839878,22.55287,22.666162,98754380,20.429625
"2021-05-24",22.696375,22.779455,22.454683,22.46979,63020282,20.252628
"2021-05-25",22.439577,22.46979,22.07704,22.296074,77290883,20.096054
"2021-05-26",22.280968,22.386707,22.190332,22.318731,43765747,20.116476
"2021-05-27",22.39426,22.583082,22.333838,22.439577,62823932,20.225397
"2021-05-28",22.439577,22.439577,22.182779,22.228098,54191320,20.034784
"2021-06-01",22.250755,22.303625,22.069487,22.145016,52162290,19.959902
"2021-06-02",22.12991,22.386707,22.016617,22.364048,53003692,20.15732
"2021-06-03",22.250755,22.333838,22.046827,22.07704,60788150,19.898634
"2021-06-04",22.084593,22.160122,22.046827,22.10725,45228105,19.925861
"2021-06-07",22.12991,22.152569,21.910875,21.963745,43812219,19.796516
"2021-06-08",21.925982,21.933535,21.699396,21.888218,81796720,19.728439
"2021-06-09",21.865559,22.039274,21.812689,21.910875,38698004,19.748865
"2021-06-10",21.910875,22.122356,21.903322,22.039274,46019327,19.864594
"2021-06-11",22.069487,22.167673,22.001511,22.145016,41163954,19.959902
"2021-06-14",22.07704,22.114803,21.873112,21.971298,36006312,19.803324
"2021-06-15",21.948641,22.12991,21.933535,22.114803,34705350,19.932671
"2021-06-16",22.114803,22.160122,21.895769,21.948641,40251454,19.782904
"2021-06-17",21.933535,22.016617,21.68429,21.706949,47283350,19.565058
"2021-06-18",21.623867,21.729607,21.457705,21.638973,86995009,19.503792
"2021-06-21",21.691843,21.865559,21.654079,21.850452,44495668,19.694403
"2021-06-22",21.858006,21.903322,21.729607,21.73716,41524215,19.592291
"2021-06-23",21.752266,21.842899,21.63142,21.638973,31479689,19.503792
"2021-06-24",21.68429,21.782476,21.608761,21.744713,47503266,19.599096
"2021-06-25",21.676737,21.865559,21.646526,21.820242,37039297,19.667173
"2021-06-28",21.835346,21.835346,21.714502,21.73716,35873515,19.592291
"2021-06-29",21.752266,21.933535,21.638973,21.646526,42715947,19.510599
"2021-06-30",21.646526,21.797583,21.638973,21.73716,43623814,19.592291
"2021-07-01",21.820242,22.069487,21.797583,21.986404,34947642,19.81694
"2021-07-02",21.986404,22.167673,21.978851,22.07704,37964376,19.898634
"2021-07-06",22.114803,22.152569,21.865559,21.918428,53233538,19.755672
"2021-07-07",21.925982,21.956194,21.797583,21.850452,44484282,19.694403
"2021-07-08",21.351965,21.427492,21.216011,21.283989,52985421,19.651503
"2021-07-09",21.336859,21.555891,21.329306,21.487915,45214865,19.839788
"2021-07-12",21.404835,21.586103,21.321753,21.510574,35588988,19.860708
"2021-07-13",21.510574,21.616314,21.314199,21.351965,38431218,19.714266
"2021-07-14",21.344412,21.419941,21.268883,21.344412,42322852,19.707291
"2021-07-15",21.329306,21.525681,21.306646,21.472811,36102832,19.82584
"2021-07-16",21.525681,21.623867,21.374622,21.404835,34673177,19.763079
"2021-07-19",21.231117,21.299093,20.770393,20.989426,76367393,19.379534
"2021-07-20",20.929003,21.283989,20.883686,21.080059,46026477,19.463213
"2021-07-21",21.20846,21.374622,21.034742,21.072508,40798133,19.456244
"2021-07-22",21.344412,21.412388,20.951662,21.155588,48904588,19.532949
"2021-07-23",21.125378,21.306646,21.102718,21.26133,40029948,19.630581
"2021-07-26",21.20846,21.329306,21.155588,21.283989,48400144,19.651503
"2021-07-27",21.155588,21.450151,21.057402,21.299093,45261337,19.665449
"2021-07-28",21.26133,21.367069,21.042295,21.155588,42069835,19.532949
"2021-07-29",21.29154,21.487915,21.231117,21.367069,42129018,19.728209
"2021-07-30",21.427492,21.450151,21.155588,21.185801,49652913,19.560844
"2021-08-02",21.329306,21.563444,21.170694,21.231117,43086667,19.602686
"2021-08-03",21.20846,21.336859,21.080059,21.29154,37982515,19.658474
"2021-08-04",21.178247,21.23867,21.004532,21.034742,38980149,19.421375
"2021-08-05",21.049849,21.155588,21.042295,21.102718,27837762,19.484135
"2021-08-06",21.080059,21.216011,21.080059,21.117825,30562686,19.498083
"2021-08-09",21.125378,21.148035,21.004532,21.034742,33359504,19.421375
"2021-08-10",21.012085,21.231117,20.974319,21.216011,29472770,19.588737
"2021-08-11",21.20846,21.314199,21.163141,21.268883,27142927,19.637554
"2021-08-12",21.299093,21.314199,21.110271,21.163141,25167519,19.539925
"2021-08-13",21.178247,21.344412,21.148035,21.29154,29052135,19.658474
"2021-08-16",21.253777,21.367069,21.132931,21.299093,27148223,19.665449
"2021-08-17",21.20846,21.351965,21.155588,21.29154,26361502,19.658474
"2021-08-18",21.193354,21.26133,20.996979,21.019636,36599729,19.407425
"2021-08-19",20.996979,21.034742,20.770393,20.793051,49881700,19.198217
"2021-08-20",20.785498,21.027189,20.717524,20.823263,36754240,19.226114
"2021-08-23",20.861027,20.936556,20.770393,20.785498,37017584,19.191246
"2021-08-24",20.793051,20.81571,20.672205,20.732628,38782343,19.142431
"2021-08-25",20.732628,20.785498,20.649548,20.717524,29708309,19.128485
"2021-08-26",20.694864,20.70997,20.400303,20.407854,49257302,18.842569
"2021-08-27",20.42296,20.543806,20.302114,20.490936,42686157,18.919275
"2021-08-30",20.483383,20.619335,20.430513,20.566465,40268666,18.989012
"2021-08-31",20.536255,20.770393,20.483383,20.70997,52696392,19.121511
"2021-09-01",20.725077,20.740181,20.498489,20.536255,37546257,18.961121
"2021-09-02",20.528702,21.049849,20.513596,20.876133,80611740,19.274929
"2021-09-03",20.876133,20.959215,20.634441,20.81571,35800298,19.219141
"2021-09-07",20.747734,20.808157,20.672205,20.70997,34935329,19.121511
"2021-09-08",20.740181,20.951662,20.740181,20.845921,37976292,19.247034
"2021-09-09",20.823263,20.898792,20.702417,20.70997,39806590,19.121511
"2021-09-10",20.755287,20.76284,20.513596,20.528702,38245594,18.954144
"2021-09-13",20.649548,20.959215,20.641994,20.785498,51168760,19.191246
"2021-09-14",20.808157,20.853474,20.581572,20.641994,38046729,19.05875
"2021-09-15",20.657101,20.883686,20.626888,20.823263,44541081,19.226114
"2021-09-16",20.81571,20.951662,20.725077,20.845921,38041698,19.247034
"2021-09-17",20.70997,21.102718,20.70997,20.793051,89996517,19.198217
"2021-09-20",20.634441,20.672205,20.347431,20.551359,64631457,18.975065
"2021-09-21",20.626888,20.717524,20.347431,20.362537,47120101,18.800728
"2021-09-22",20.407854,20.551359,20.385197,20.400303,41950675,18.835594
"2021-09-23",20.438066,20.611782,20.407854,20.536255,45047776,18.961121
"2021-09-24",20.506042,20.679758,20.468279,20.490936,32406489,18.919275
"2021-09-27",20.521149,20.883686,20.513596,20.694864,42571764,19.107565
"2021-09-28",20.725077,20.951662,20.536255,20.574018,43597466,18.995987
"2021-09-29",20.604231,20.823263,20.521149,20.694864,41619543,19.107565
"2021-09-30",20.755287,20.777946,20.400303,20.400303,58751838,18.835594
"2021-10-01",20.498489,20.694864,20.400303,20.513596,41759490,18.940199
"2021-10-04",20.574018,20.740181,20.460726,20.581572,57892430,19.002962
"2021-10-05",20.619335,20.755287,20.521149,20.657101,42649350,19.072697
"2021-10-06",20.589125,20.649548,20.37009,20.626888,73923686,19.044802
"2021-10-07",20.39275,20.566465,20.37009,20.460726,64402935,19.379948
"2021-10-08",20.438066,20.483383,20.203926,20.219032,51635868,19.151022
"2021-10-11",20.158609,20.219032,19.660122,19.660122,85460890,18.621635
"2021-10-12",19.652569,19.660122,19.154079,19.206949,101515979,18.192398
"2021-10-13",19.093657,19.229607,18.889729,19.108761,80546996,18.099396
"2021-10-14",19.161631,19.493958,19.146526,19.350452,75032669,18.328323
"2021-10-15",19.403322,19.592146,19.373112,19.410875,63061723,18.385551
"2021-10-18",19.305136,19.373112,19.093657,19.13142,59807596,18.120859
"2021-10-19",19.229607,19.335346,19.086103,19.327795,46242686,18.306862
"2021-10-20",19.342899,19.705439,19.305136,19.569487,63927222,18.535788
"2021-10-21",19.728098,19.856495,19.335346,19.456194,73916007,18.428478
"2021-10-22",19.456194,19.486404,19.23716,19.252266,49159193,18.235321
"2021-10-25",19.206949,19.380665,19.123867,19.365559,65704956,18.34263
"2021-10-26",19.358006,19.410875,19.146526,19.161631,48187774,18.149475
"2021-10-27",19.176737,19.244713,18.912388,18.927492,52952056,17.927704
"2021-10-28",18.980364,19.365559,18.950151,19.297583,70281362,18.278244
"2021-10-29",19.161631,19.274923,18.995468,19.07855,71775496,18.070784
"2021-11-01",19.229607,19.320242,19.146526,19.161631,53318010,18.149475
"2021-11-02",19.18429,19.244713,18.980364,19.055891,45810003,18.04932
"2021-11-03",18.972811,19.13142,18.965258,19.018127,48160500,18.01355
"2021-11-04",18.980364,19.070997,18.534742,18.731117,83532616,17.741701
"2021-11-05",18.768883,19.116314,18.753777,18.957705,58867158,17.95632
"2021-11-08",18.927492,18.980364,18.678247,18.79154,61161253,17.798933
"2021-11-09",18.746223,18.768883,18.564955,18.663141,60057567,17.677315
"2021-11-10",18.648035,18.980364,18.625378,18.844412,62271427,17.84901
"2021-11-11",18.874622,18.957705,18.79154,18.821753,40223517,17.827549
"2021-11-12",18.844412,18.942598,18.814199,18.836859,36217358,17.841858
"2021-11-15",18.859516,18.919941,18.685801,18.731117,53290206,17.741701
"2021-11-16",18.723564,18.799093,18.602718,18.625378,48162354,17.641548
"2021-11-17",18.602718,18.670694,18.549849,18.625378,42762155,17.641548
"2021-11-18",18.602718,18.648035,18.42145,18.42145,49734868,17.448391
"2021-11-19",18.36858,18.383686,18.096678,18.225077,66821750,17.26239
"2021-11-22",18.202417,18.776436,18.179758,18.655588,71414574,17.670162
"2021-11-23",18.648035,18.874622,18.648035,18.700907,58975991,17.713085
"2021-11-24",18.632931,18.670694,18.451662,18.481873,44597748,17.505621
"2021-11-26",18.172205,18.36858,18.134441,18.293051,38851588,17.326775
"2021-11-29",18.31571,18.323263,18.013596,18.043806,69449493,17.090696
"2021-11-30",17.854984,17.885197,17.031721,17.243202,184492383,16.33238
"2021-12-01",17.371601,17.522659,16.782476,16.79003,106323952,15.903146
"2021-12-02",16.827795,17.567976,16.827795,17.409367,105952835,16.489767
"2021-12-03",17.386707,17.771902,17.303625,17.719032,93399859,16.783075
"2021-12-06",17.817221,18.081572,17.545317,17.583082,78265347,16.654308
"2021-12-07",17.598186,17.651056,17.348944,17.432024,82646331,16.511229
"2021-12-08",17.386707,17.802114,17.356495,17.5,64794044,16.575615
"2021-12-09",17.39426,17.424471,17.12991,17.326284,68283976,16.411074
"2021-12-10",17.356495,17.409367,17.182779,17.250755,52988731,16.339535
"2021-12-13",17.152569,17.220545,16.835346,16.948641,87574921,16.053379
"2021-12-14",16.910875,17.167673,16.805136,16.835346,102318985,15.946068
"2021-12-15",16.827795,16.918428,16.63142,16.744713,93643342,15.860222
"2021-12-16",17.10725,18.043806,17.10725,17.907854,150436190,16.961924
"2021-12-17",17.97583,18.006042,17.583082,17.960726,142867941,17.012003
"2021-12-20",18.149548,18.345921,17.938066,18.270393,102088344,17.305313
"2021-12-21",18.36858,18.746223,18.277946,18.481873,96523307,17.505621
"2021-12-22",18.459215,18.76133,18.308157,18.716011,67746697,17.727392
"2021-12-23",18.768883,18.897282,18.73867,18.783989,57348266,17.79178
"2021-12-27",18.783989,18.950151,18.602718,18.716011,67853676,17.727392
