"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"2020-11-03",41.009998,41.709999,40.669998,41.529999,929400,40.564175
"2020-11-04",41.459999,41.91,40.009998,41.5,906300,40.534874
"2020-11-05",41.84,42.880001,41.68,42.419998,810600,41.433475
"2020-11-06",42.48,42.77,41.860001,42.16,985100,41.179527
"2020-11-09",43.869999,44.630001,42.799999,42.869999,1748400,41.873016
"2020-11-10",42.869999,43.619999,42.459999,42.900002,1602400,41.902317
"2020-11-11",43.16,43.27,42.110001,42.419998,1233500,41.433475
"2020-11-12",42.240002,42.48,41.48,42.009998,588300,41.033016
"2020-11-13",42.470001,43.400002,42.439999,43.09,646200,42.087894
"2020-11-16",44,44.59,43.439999,44.450001,909800,43.416271
"2020-11-17",43.900002,44.810001,43.59,44.619999,1201900,43.582317
"2020-11-18",44.689999,44.900002,44.139999,44.169998,965600,43.142776
"2020-11-19",44.080002,44.869999,43.900002,44.799999,931200,43.758133
"2020-11-20",44.880001,45.59,44.59,45.200001,3522100,44.14883
"2020-11-23",45.669998,45.93,44.529999,44.700001,1094000,43.660458
"2020-11-24",45.110001,46.080002,44.990002,45.950001,1404600,44.881386
"2020-11-25",45.52,45.869999,44.720001,45.220001,713000,44.168362
"2020-11-27",45.209999,45.369999,44.5,44.529999,442700,43.494411
"2020-11-30",44.310001,45.130001,44.310001,45.060001,2433500,44.012085
"2020-12-01",45.43,46.23,45.060001,46.099998,1050300,45.027897
"2020-12-02",45.93,45.98,45.23,45.650002,967900,44.58836
"2020-12-03",45.529999,46.080002,44.689999,44.790001,856800,43.902237
"2020-12-04",44.919998,45.959999,44.919998,45.939999,916700,45.029446
"2020-12-07",45.560001,45.720001,44.759998,44.880001,984100,43.990456
"2020-12-08",44.52,45.23,44.52,44.68,1108200,43.794418
"2020-12-09",44.900002,45.990002,44.900002,45.880001,998800,44.970634
"2020-12-10",45.529999,45.790001,45.169998,45.400002,858600,44.500153
"2020-12-11",44.950001,45.529999,44.73,44.77,851800,43.882633
"2020-12-14",45,45.240002,43.68,43.700001,607900,42.833843
"2020-12-15",44.27,44.93,44.150002,44.610001,713700,43.725807
"2020-12-16",44.59,44.84,44.360001,44.389999,486900,43.510162
"2020-12-17",44.66,45.099998,44.619999,44.790001,708600,43.902237
"2020-12-18",44.689999,45.48,44.540001,45.41,1944400,44.509949
"2020-12-21",44.84,45.310001,43.830002,45.290001,1153900,44.39233
"2020-12-22",45.02,45.310001,44.77,45.169998,635000,44.274704
"2020-12-23",45.16,46.330002,45.16,46.240002,917800,45.323505
"2020-12-24",46.150002,46.240002,45.869999,46.099998,252800,45.186268
"2020-12-28",46.41,46.41,45.490002,45.529999,344700,44.627571
"2020-12-29",45.639999,45.98,45.150002,45.279999,511800,44.382526
"2020-12-30",45.459999,46.189999,45.32,45.889999,413100,44.980434
"2020-12-31",45.889999,46.049999,45.389999,45.790001,912100,44.88242
"2021-01-04",45.830002,45.880001,44.57,45,669800,44.108074
"2021-01-05",45,45.810001,44.799999,45.75,718700,44.843204
"2021-01-06",46.060001,47.900002,45.860001,47.32,934200,46.382095
"2021-01-07",47.610001,47.73,46.790001,47.220001,793900,46.284073
"2021-01-08",47.549999,47.549999,45.799999,46.279999,725000,45.362705
"2021-01-11",45.970001,46.709999,45.869999,46.400002,628200,45.480324
"2021-01-12",46.470001,46.84,45.830002,46.669998,931400,45.744976
"2021-01-13",46.34,46.470001,44.799999,45.470001,1387000,44.568764
"2021-01-14",45.439999,45.610001,44.150002,44.299999,1448400,43.421947
"2021-01-15",44.110001,44.610001,43.549999,44.400002,1038000,43.519966
"2021-01-19",44.759998,44.790001,43.049999,43.220001,1184000,42.363361
"2021-01-20",43.709999,44.650002,43.470001,44.560001,3029000,43.6768
"2021-01-21",44.580002,45.240002,44.330002,45.150002,2189500,44.255104
"2021-01-22",44.939999,45.57,44.740002,45.5,1016200,44.598167
"2021-01-25",45.23,45.279999,44.240002,44.66,1768200,43.774818
"2021-01-26",44.900002,45.02,43.91,43.919998,735000,43.04948
"2021-01-27",43.049999,43.5,42.439999,42.939999,1373200,42.088905
"2021-01-28",43.220001,43.849998,42.689999,43.450001,938300,42.588799
"2021-01-29",43.23,43.32,42.25,42.27,920300,41.432186
"2021-02-01",42.599998,42.939999,41.950001,42.75,817000,41.902672
"2021-02-02",43.099998,44.16,42.84,43.360001,669300,42.500576
