"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2020-11-03",37.139999,38.279999,37.029999,37.389999,2133000,35.551697
"2020-11-04",36.009998,36.900002,34.630001,35.029999,2770700,33.307732
"2020-11-05",36,36.799999,35.099998,35.900002,3318600,34.134956
"2020-11-06",36.27,36.689999,33.75,34.07,3075200,32.394924
"2020-11-09",38.349998,44.360001,38.310001,42.630001,6787600,40.534069
"2020-11-10",42.98,42.990002,41.380001,42.439999,2986400,40.353409
"2020-11-11",42.5,42.5,40.529999,41.290001,1922700,39.259949
"2020-11-12",40.380001,40.669998,38.560001,39.360001,3052900,37.424843
"2020-11-13",40.099998,41.889999,40.099998,41.68,1572800,39.630775
"2020-11-16",43.919998,43.990002,42.470001,42.82,2379100,40.714722
"2020-11-17",41.91,43.139999,41.25,43.099998,2114500,40.980957
"2020-11-18",43.560001,45.380001,43.169998,43.919998,2152900,41.760639
"2020-11-19",43.310001,44.790001,42.610001,44.619999,1739600,42.426231
"2020-11-20",44.16,44.459999,43.560001,44.16,1296600,41.988846
"2020-11-23",45.130001,46.759998,45.009998,46.59,1854600,44.299374
"2020-11-24",47.830002,50.93,47.830002,50.91,3054100,48.406971
"2020-11-25",49.84,50.599998,49.119999,50.189999,1519800,47.722374
"2020-11-27",50.189999,50.59,49.09,49.16,905800,46.743011
"2020-11-30",48.700001,49.560001,47.02,47.220001,3003400,44.898396
"2020-12-01",49.330002,50.439999,48.880001,49.900002,1837400,47.446632
"2020-12-02",49.580002,51.779999,49,51.349998,2307200,48.82534
"2020-12-03",51.529999,52.880001,51.139999,52.209999,1899200,49.643063
"2020-12-04",53.41,54.790001,53.040001,54.73,1713000,52.039162
"2020-12-07",53.68,53.990002,52.669998,53.18,2051000,50.565372
"2020-12-08",52.310001,53.700001,52.009998,53.060001,1752100,50.451267
"2020-12-09",53.900002,54.689999,52.32,52.59,2415200,50.004379
"2020-12-10",51.549999,52.93,51.23,52.650002,1246100,50.061428
"2020-12-11",51.310001,51.919998,50.669998,51.330002,1307000,48.806328
"2020-12-14",52.439999,52.459999,49.880001,50.049999,2357100,47.58926
"2020-12-15",50.900002,50.900002,48.880001,50.360001,1992400,47.884018
"2020-12-16",50.77,50.799999,49.869999,50.240002,1151700,47.769924
"2020-12-17",49.119999,49.689999,48.82,49.459999,1380700,47.028271
"2020-12-18",49.220001,49.889999,47.740002,48.610001,3193600,46.220055
"2020-12-21",48.150002,48.77,47.25,48.43,1115500,46.048904
"2020-12-22",48.77,49.029999,47.950001,47.970001,4735900,45.611526
"2020-12-23",48.799999,50.189999,48.689999,49.950001,1334600,47.494179
"2020-12-24",49.889999,49.950001,49.040001,49.740002,484500,47.294498
"2020-12-28",50.25,51.380001,49.689999,49.889999,1231800,47.437126
"2020-12-29",50,50.360001,48.82,49.16,772900,46.743011
"2020-12-30",49.5,50,49.310001,49.580002,687300,47.142368
"2020-12-31",49.490002,50.470001,49.040001,50.310001,679100,47.836475
"2021-01-04",50.790001,50.959999,48.290001,48.82,1382500,46.419731
"2021-01-05",48.84,49.849998,48.689999,49.110001,1207900,46.695477
"2021-01-06",50.939999,53.59,50.84,52.57,2315000,49.985367
"2021-01-07",53.540001,53.860001,52.290001,52.630001,2158700,50.042416
"2021-01-08",52.650002,52.720001,50.450001,51.41,1285300,49.275627
"2021-01-11",51.259998,52.099998,50.580002,51.48,1961700,49.34272
"2021-01-12",51.869999,52.880001,51.349998,52.290001,1282900,50.119091
"2021-01-13",51.939999,52.400002,51.25,51.66,1790600,49.515244
"2021-01-14",52.150002,53.07,51.830002,52.75,2028300,50.559994
"2021-01-15",51.790001,52.23,51.09,51.400002,1474300,49.266041
"2021-01-19",51.880001,53.139999,51.41,52.610001,1922900,50.425804
"2021-01-20",52.689999,53.290001,52.34,52.470001,1000400,50.291615
"2021-01-21",52.349998,52.73,51.189999,51.209999,1014800,49.083927
"2021-01-22",50.310001,51.080002,49.990002,50.700001,1955200,48.5951
"2021-01-25",49.720001,50.419998,49.16,50.150002,1693300,48.067936
"2021-01-26",50.740002,51.080002,49.029999,49.119999,922100,47.080696
"2021-01-27",47.740002,48.119999,46.41,46.84,1669600,44.895351
"2021-01-28",47.849998,49.080002,47.48,48.560001,1177700,46.543949
"2021-01-29",46.380001,47.130001,44.59,45.490002,2916100,43.601406
"2021-02-01",46.18,46.43,44.810001,46.279999,1436700,44.358604
"2021-02-02",47,48.040001,46.939999,47.439999,1466300,45.470444
"2021-02-03",47.380001,48.799999,47.27,48.66,1582700,46.639793
"2021-02-04",47.330002,50.580002,47.110001,50,2419500,47.924164
"2021-02-05",50.740002,51.290001,50.009998,51.080002,1491000,48.959328
"2021-02-08",51.599998,52.59,51.169998,52.549999,1898200,50.368294
"2021-02-09",52.200001,52.48,51.380001,51.389999,1265800,49.256451
"2021-02-10",51.709999,52.98,51.130001,52.369999,1751500,50.19577
"2021-02-11",52.049999,52.740002,51.049999,51.799999,1350000,49.649429
"2021-02-12",51.740002,53.25,51.66,52.349998,1220900,50.17659
"2021-02-16",52.990002,54.919998,52.990002,54.16,3138400,51.911457
"2021-02-17",53.880001,54.98,53.68,54.52,1777400,52.256508
"2021-02-18",53.799999,54.360001,53.110001,53.540001,1422500,51.317192
"2021-02-19",54.310001,56.110001,54.07,55.560001,2090000,53.25333
"2021-02-22",55.439999,57.919998,55.439999,57.060001,2879300,54.691055
"2021-02-23",57.720001,57.830002,55.709999,56.919998,1728800,54.556862
"2021-02-24",57.389999,60.119999,57.389999,59.400002,2390600,56.933907
"2021-02-25",60.349998,60.639999,56.849998,57.189999,2326000,54.815659
"2021-02-26",56.689999,57.689999,55.330002,56.869999,2262000,54.508938
"2021-03-01",58.5,59.009998,58,58.169998,1130100,55.754967
"2021-03-02",58.25,58.93,57.41,57.509998,1365500,55.122372
"2021-03-03",57.790001,59.919998,57.619999,58.57,1510700,56.138367
"2021-03-04",58.209999,59.330002,55.009998,56.740002,1947200,54.384342
"2021-03-05",58.09,58.880001,55.43,58.57,1605200,56.138367
"2021-03-08",59.400002,62.279999,59.349998,59.959999,1817000,57.470657
"2021-03-09",59.549999,61.419998,58.689999,60.130001,1754900,57.633598
