"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"2021-02-10",135.550003,137.240005,134.850006,136.300003,616200,131.537354
"2021-02-11",136.460007,138.020004,135.490005,137.970001,717700,133.149002
"2021-02-12",137.779999,138.399994,136.940002,138.139999,504800,133.313065
"2021-02-16",138.389999,138.490005,136.509995,138.440002,615000,133.60257
"2021-02-17",138.75,138.789993,137.089996,137.720001,375800,132.90773
"2021-02-18",137.789993,138.139999,136.389999,137.25,360400,132.454163
"2021-02-19",137.740005,138.220001,137,137.570007,444400,132.762985
"2021-02-22",137.550003,139.110001,136.330002,138.690002,867200,133.843826
"2021-02-23",139.699997,142.610001,139.339996,142.300003,824600,137.327713
"2021-02-24",142.509995,142.979996,140.350006,140.509995,700900,135.600266
"2021-02-25",140.389999,141.990005,137.25,137.910004,579000,133.09111
"2021-02-26",137.839996,138.259995,134.589996,134.729996,848000,130.022202
"2021-03-01",136.039993,138.029999,135.470001,135.539993,1392900,130.803894
"2021-03-02",135.089996,136.869995,134,135.300003,919300,130.572296
"2021-03-03",135.300003,136.169998,134.029999,134.600006,795800,129.896759
"2021-03-04",134.779999,135.289993,131.449997,132.699997,886000,128.063126
"2021-03-05",133.110001,134.220001,131.869995,133.910004,892800,129.230865
"2021-03-08",134.240005,136.240005,133.059998,134.229996,684000,129.539688
"2021-03-09",134.479996,137.039993,134.399994,134.729996,440500,130.022202
"2021-03-10",134.220001,135.910004,132.869995,134.830002,513400,130.118713
"2021-03-11",134.839996,137.389999,134.490005,136.550003,393700,131.778625
"2021-03-12",137.259995,141.789993,137,141.779999,912700,136.825882
"2021-03-15",141.649994,146.309998,140.639999,144.979996,758300,139.914047
"2021-03-16",145.139999,145.759995,143,144.380005,541600,139.335022
"2021-03-17",144.610001,145.529999,142.820007,145.470001,529500,140.386932
"2021-03-18",145.020004,146.649994,144.190002,146.410004,682600,141.294098
"2021-03-19",146.229996,146.5,141.330002,141.520004,1487700,136.574966
"2021-03-22",141.130005,143.369995,141.029999,142.759995,730300,137.771637
"2021-03-23",143,145.160004,142.460007,144.75,824000,139.692093
"2021-03-24",143.990005,146.589996,143.369995,144.330002,830900,139.286789
"2021-03-25",144.470001,146.25,142.470001,145.850006,486600,140.753677
"2021-03-26",145.850006,148.910004,145.089996,148.589996,448100,143.397903
"2021-03-29",148.339996,148.869995,146.029999,147.490005,427000,142.336365
"2021-03-30",147.339996,148.389999,146.320007,147.339996,321700,142.191589
"2021-03-31",146.389999,147.520004,143.470001,144.360001,1065500,139.315735
"2021-04-01",144.289993,146.770004,143.630005,146.639999,830700,141.516037
"2021-04-05",147.240005,147.580002,144.289993,146.580002,638000,141.45813
"2021-04-06",146.440002,147.839996,146.119995,147.240005,636800,142.095093
"2021-04-07",147.830002,148.610001,146.460007,148.300003,639400,143.118042
"2021-04-08",147.940002,149.289993,146.279999,146.419998,588700,141.303741
"2021-04-09",146.429993,147.649994,146.080002,146.850006,474000,141.718704
"2021-04-12",147.179993,147.759995,146.169998,147.309998,713200,142.162643
"2021-04-13",146.610001,148.699997,146.610001,148.589996,446500,143.397903
"2021-04-14",146.990005,147.910004,146.839996,147.550003,423800,143.383331
"2021-04-15",148.009995,149.580002,147.509995,149.539993,542300,145.317123
"2021-04-16",150.669998,151.369995,149.899994,151.020004,717700,146.755341
"2021-04-19",151.429993,152.309998,150.240005,151.820007,591400,147.532761
"2021-04-20",151.820007,154.940002,151.330002,154.690002,479600,150.321716
"2021-04-21",155.229996,157.229996,153.839996,156.419998,578000,152.002853
"2021-04-22",156.509995,157.649994,155.5,155.520004,397400,151.128281
"2021-04-23",156.149994,156.380005,155.050003,155.190002,352700,150.807587
"2021-04-26",155.5,156.389999,154.669998,155.229996,398900,150.846451
"2021-04-27",155.440002,155.649994,154.570007,155.190002,329700,150.807587
"2021-04-28",155.190002,155.490005,153.839996,154.020004,501800,149.670639
"2021-04-29",154.429993,156.259995,153.860001,155.479996,556600,151.089401
"2021-04-30",155.029999,157.570007,154.899994,157.330002,643300,152.887161
"2021-05-03",157.830002,158.350006,155.809998,156.570007,615900,152.148621
"2021-05-04",156.639999,157.729996,155.570007,156.419998,715200,152.002853
"2021-05-05",155.710007,155.710007,151.990005,152.740005,1326800,148.426773
"2021-05-06",153.110001,156.169998,153.110001,156.039993,606200,151.63356
"2021-05-07",155.669998,157.399994,154.789993,157.029999,549400,152.595627
"2021-05-10",157.919998,160.520004,157.919998,159.380005,536200,154.879272
"2021-05-11",159.220001,159.220001,156.009995,157.690002,486300,153.237
"2021-05-12",158.309998,158.600006,154.330002,154.529999,389900,150.166229
"2021-05-13",154.949997,157.669998,154.289993,156.029999,500800,151.623871
"2021-05-14",156.580002,157.850006,156.419998,156.75,704900,152.323517
"2021-05-17",157.289993,158.229996,156.580002,157.190002,608400,152.751114
"2021-05-18",157.289993,158.070007,156.669998,157.369995,985800,152.926025
"2021-05-19",156.479996,156.580002,154.070007,155.669998,482700,151.274033
"2021-05-20",155.679993,158.490005,155.490005,157.949997,546700,153.489655
"2021-05-21",157.910004,159.039993,156.770004,157.050003,1291900,152.615051
"2021-05-24",157.839996,160.089996,157.839996,159.380005,645800,154.879272
"2021-05-25",159.369995,160.470001,158.75,159.550003,430300,155.044464
"2021-05-26",159.449997,161.169998,159.179993,160.009995,432100,155.491455
"2021-05-27",160.020004,160.240005,158.169998,158.380005,876300,153.907516
"2021-05-28",159.580002,161.429993,158.830002,160.699997,506600,156.161987
"2021-06-01",160.259995,163.070007,159.779999,162.899994,585100,158.299866
"2021-06-02",163.5,165.910004,163.080002,165.740005,477700,161.059662
"2021-06-03",165.229996,165.229996,163.360001,163.770004,541900,159.145309
"2021-06-04",165.740005,166.589996,163.779999,165.529999,566600,160.855591
"2021-06-07",166,166.690002,165.259995,166.119995,489200,161.42894
"2021-06-08",166.300003,168.220001,166.300003,167.410004,747700,162.682495
"2021-06-09",167.699997,169.059998,167.210007,168.690002,564700,163.926376
"2021-06-10",169.089996,172.330002,168.449997,171.529999,448500,166.686157
"2021-06-11",171.289993,171.690002,170.089996,171.550003,535500,166.705597
"2021-06-14",171.509995,171.639999,170.5,171.589996,376600,166.744476
"2021-06-15",170.940002,171.910004,170.460007,170.869995,474900,166.0448
"2021-06-16",171.300003,171.649994,169.389999,169.669998,444200,164.878677
"2021-06-17",169.860001,170.660004,168.229996,169.830002,981500,165.03418
"2021-06-18",169.679993,170.130005,167.539993,167.839996,1662700,163.100342
"2021-06-21",168.600006,171.440002,168.259995,170.979996,686700,166.151703
"2021-06-22",171.179993,171.410004,169.470001,169.509995,545100,164.723206
"2021-06-23",169.190002,170.100006,168.850006,169.440002,505800,164.655182
"2021-06-24",170,170.639999,168.199997,169.589996,824200,164.800949
"2021-06-25",169.419998,170.229996,168.830002,170.149994,728700,165.345123
"2021-06-28",170.460007,170.509995,168.619995,170.089996,396200,165.286835
"2021-06-29",169.559998,170.600006,169.190002,169.850006,495400,165.053619
"2021-06-30",169.979996,170.960007,167.889999,168.419998,753700,163.663986
"2021-07-01",168.190002,170.699997,167.960007,169.429993,610600,164.645447
"2021-07-02",170.220001,171.300003,169.759995,170.949997,429900,166.122543
"2021-07-06",171.350006,174.330002,169.860001,173.970001,534200,169.057266
