"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2020-11-05",30.285307,30.927246,30.178316,30.7204,10345638,28.988647
"2020-11-06",30.627674,30.791725,30.392298,30.556349,12405176,28.833845
"2020-11-09",31.676176,32.824535,30.74893,30.898716,11395456,29.156914
"2020-11-10",30.863052,31.148359,30.613409,30.663338,14047900,28.934805
"2020-11-11",30.813124,31.276749,30.584879,31.269615,8247545,29.506905
"2020-11-12",30.991442,31.119829,30.235378,30.456491,7596036,28.73962
"2020-11-13",30.456491,30.634808,30.320971,30.59201,5142957,29.128769
"2020-11-16",30.820257,31.034237,30.406563,30.912981,5763482,29.434387
"2020-11-17",30.584879,31.055635,30.53495,30.7204,6555892,29.251017
"2020-11-18",30.80599,30.941511,30.442225,30.456491,8074679,28.999735
"2020-11-19",30.292439,30.370899,29.800285,30.206846,7538133,28.762028
"2020-11-20",30.128387,30.356632,29.800285,29.864479,5706000,28.436035
"2020-11-23",30.164051,30.171185,29.529243,29.650499,6131927,28.23229
"2020-11-24",30,30.53495,29.864479,30.492153,6744461,29.033688
"2020-11-25",30.285307,30.356632,29.800285,30.114122,4723198,28.673738
"2020-11-27",30.128387,30.178316,29.664764,29.771755,2416207,28.347746
"2020-11-30",29.586306,29.614836,29.186876,29.293865,13242871,27.892717
"2020-12-01",29.472183,29.871613,29.315264,29.422255,7997569,28.014963
"2020-12-02",29.329529,29.679029,29.044224,29.650499,7224085,28.23229
"2020-12-03",29.457916,29.707561,29.101284,29.2796,6114683,27.879131
"2020-12-04",29.457916,29.486448,28.908703,29.19401,4971913,27.797636
"2020-12-07",29.029957,29.564907,29.001427,29.386591,4536451,27.981003
"2020-12-08",29.365192,29.522112,28.965763,29.472183,5791241,28.062504
"2020-12-09",29.443651,29.579172,29.22254,29.30813,6158145,27.906298
"2020-12-10",29.429386,29.514978,28.922968,29.386591,6163332,27.981003
"2020-12-11",29.122683,29.450785,29.03709,29.379457,4952425,27.974213
"2020-12-14",29.586306,30.021399,29.265335,29.286734,5643891,27.885923
"2020-12-15",29.557775,30.549215,29.443651,30.470757,11635338,29.013315
"2020-12-16",30.527817,30.74893,30.085592,30.271042,10632067,28.823153
"2020-12-17",30.392298,30.756063,30.392298,30.420828,7331899,28.965775
"2020-12-18",30.449358,30.69187,30.199715,30.363766,12856200,28.91144
"2020-12-21",30.106991,30.106991,29.322397,29.607702,6172585,28.191542
"2020-12-22",29.664764,29.935806,29.586306,29.78602,4375081,28.361332
"2020-12-23",29.907274,30.263908,29.707561,29.750357,4658706,28.327375
"2020-12-24",29.921541,29.921541,29.536377,29.835949,2070333,28.408871
"2020-12-28",30.071327,30.406563,29.950071,30.106991,3568230,28.666946
"2020-12-29",30.114122,30.271042,29.721827,29.835949,3712356,28.408871
"2020-12-30",29.800285,30.135521,29.757488,29.907274,3549163,28.476786
"2020-12-31",29.921541,30.156919,29.750357,30.114122,4554257,28.673738
