"","OMC.Open","OMC.High","OMC.Low","OMC.Close","OMC.Volume","OMC.Adjusted"
"2020-08-11",55.869999,57.369999,55.599998,55.740002,1690100,51.530621
"2020-08-12",56.110001,56.310001,54.080002,54.150002,1753000,50.060684
"2020-08-13",53.639999,54.709999,53.369999,54.32,1256700,50.21785
"2020-08-14",53.939999,55.369999,53.939999,54.849998,1118400,50.707821
"2020-08-17",54.700001,54.959999,53.509998,53.830002,1962800,49.764851
"2020-08-18",53.82,54.619999,53.5,54.119999,1499200,50.032951
"2020-08-19",54.029999,54.73,53.529999,53.73,1075900,49.672401
"2020-08-20",53.419998,53.630001,52.830002,52.860001,1251500,48.868099
"2020-08-21",52.779999,52.98,51.900002,52.549999,1960500,48.581512
"2020-08-24",52.709999,54.709999,52.349998,54.490002,1712200,50.375008
"2020-08-25",54.5,54.98,53.209999,53.799999,1083400,49.737122
"2020-08-26",53.57,54,52.82,53.66,1562100,49.607693
"2020-08-27",54.07,55.619999,54.07,54.959999,1839300,50.809517
"2020-08-28",54.98,55.259998,54.279999,55.110001,1051800,50.948185
"2020-08-31",55.049999,55.27,54.009998,54.09,1704800,50.005219
"2020-09-01",53.720001,53.849998,52.990002,53.02,1676800,49.016022
"2020-09-02",52.93,54.290001,52.759998,53.93,1719600,49.857304
"2020-09-03",54.540001,55.950001,53.639999,54.290001,1939300,50.190117
"2020-09-04",54.560001,55.310001,53.75,54.080002,1320700,49.995972
"2020-09-08",53.970001,54.34,53.34,53.830002,1728500,49.764851
"2020-09-09",53.740002,54.169998,52.98,53,1387700,48.997536
"2020-09-10",53.009998,53.619999,51.580002,51.799999,1729100,47.888149
"2020-09-11",51.84,52.549999,51.509998,52.32,1517500,48.368885
"2020-09-14",52.900002,54.560001,52.540001,53.830002,1594800,49.764851
"2020-09-15",53.869999,54.759998,53.139999,53.709999,1927500,49.653915
"2020-09-16",54.07,55.18,53.650002,53.919998,2187600,49.848053
"2020-09-17",53.27,54.169998,52.950001,53.59,1799400,49.542973
"2020-09-18",52.580002,53.380001,51.419998,51.549999,3107100,48.242165
"2020-09-21",50.59,50.849998,48.93,49.25,3091300,46.089752
"2020-09-22",49.330002,50.040001,49.09,49.709999,1791700,46.520241
"2020-09-23",49.830002,50.790001,48.700001,48.810001,2032200,45.67799
"2020-09-24",48.82,49.57,48,48.900002,1381200,45.762218
"2020-09-25",48.490002,49.25,48.139999,49.150002,1422900,45.996174
"2020-09-28",49.919998,50.290001,49.41,49.639999,1692100,46.454731
"2020-09-29",49.529999,49.93,48.529999,48.849998,1470700,45.715424
"2020-09-30",49.18,49.98,48.93,49.5,1842500,46.323711
"2020-10-01",49.650002,49.91,49.040001,49.57,1618200,46.389221
"2020-10-02",48.970001,51.599998,48.810001,51.330002,1653600,48.036289
"2020-10-05",51.75,52.450001,51.139999,51.700001,1726000,48.382545
"2020-10-06",52.18,52.75,51.040001,51.220001,1750300,47.933346
"2020-10-07",51.709999,52.509998,51.490002,52.150002,1518300,48.803677
"2020-10-08",52.73,53.209999,52.490002,53.150002,1941100,49.739502
"2020-10-09",53.52,53.75,52.380001,52.470001,2161100,49.103134
"2020-10-12",53.209999,53.830002,52.830002,53.450001,2570600,50.020252
"2020-10-13",53.560001,53.889999,52.709999,52.860001,2054700,49.468109
"2020-10-14",52.529999,53.560001,52.529999,53.18,2147000,49.767582
"2020-10-15",52.110001,53.029999,50.939999,52.790001,1850400,49.402599
"2020-10-16",52.73,52.91,51.68,52.48,1748300,49.112495
"2020-10-19",52.57,52.610001,50.66,50.84,1563700,47.577728
"2020-10-20",51.450001,51.560001,50.82,51.150002,1464600,47.867828
"2020-10-21",51.290001,52.16,50.560001,51.5,2136400,48.195381
"2020-10-22",51.799999,52,50.73,51.580002,2141000,48.270248
"2020-10-23",52.23,52.779999,51.82,52.720001,2293900,49.337093
"2020-10-26",52.299999,52.330002,50.869999,51.240002,2665200,47.952065
"2020-10-27",53,53,48.48,48.82,6550400,45.687344
"2020-10-28",48.099998,48.599998,45.959999,46.09,3626600,43.132526
"2020-10-29",45.73,46.389999,44.5,45.799999,4168400,42.86113
"2020-10-30",45.75,47.400002,45.689999,47.200001,3068200,44.171299
"2020-11-02",47.959999,49.209999,47.66,48.720001,2848500,45.593765
"2020-11-03",49.599998,50.950001,49.290001,50.049999,3219500,46.838417
"2020-11-04",49.77,49.77,47.619999,47.84,3756100,44.770229
"2020-11-05",48.360001,49.98,48.040001,49.32,2040700,46.155266
"2020-11-06",49.240002,49.669998,48.049999,48.360001,2120800,45.256866
"2020-11-09",52.560001,56.91,52.459999,55.490002,6214800,51.929348
"2020-11-10",56.18,57.419998,55.610001,57,5467900,53.342453
"2020-11-11",57.16,57.790001,56.330002,57.23,4448300,53.557701
"2020-11-12",56.450001,57.23,55.77,56.23,5381700,52.621861
"2020-11-13",56.73,58.41,56.650002,58.360001,2410100,54.615189
"2020-11-16",60.740002,61.959999,59.950001,61.880001,3680200,57.909317
"2020-11-17",61,62.310001,60.720001,61.84,2070800,57.871887
"2020-11-18",61.610001,61.73,59.68,59.700001,2971700,55.869202
"2020-11-19",59.299999,59.540001,58.119999,59.389999,1684600,55.579094
"2020-11-20",59.07,59.82,58.84,59.650002,1693600,55.822414
"2020-11-23",60.27,61.470001,59.610001,61.099998,1679700,57.179367
"2020-11-24",62.169998,65.120003,62,64.440002,4414700,60.305054
"2020-11-25",63.43,64.550003,63.349998,64.169998,2841500,60.052372
"2020-11-27",63.639999,64.269997,62.98,63,1525600,58.957451
"2020-11-30",63,63.950001,62.560001,63,4237900,58.957451
"2020-12-01",63.889999,64.82,62.849998,63.369999,2243100,59.303711
"2020-12-02",63.419998,64.190002,63.150002,63.669998,2093000,59.584465
"2020-12-03",64.220001,65.480003,63.849998,65.059998,2173600,60.885269
"2020-12-04",65.300003,65.800003,64.739998,64.989998,1997200,60.819756
"2020-12-07",64.57,64.879997,64,64.300003,2142400,60.174038
"2020-12-08",63.77,64.699997,63.68,64.650002,1593000,60.501579
"2020-12-09",64.860001,65.230003,64.050003,64.360001,1749500,60.230183
"2020-12-10",63.880001,64.379997,63.400002,63.959999,1516300,59.855854
"2020-12-11",63.549999,65.260002,63.529999,64.589996,1488900,60.445427
"2020-12-14",64.82,64.980003,63.57,63.580002,2026300,59.500233
"2020-12-15",64.470001,64.639999,63.279999,64.339996,1678400,60.211464
"2020-12-16",64.040001,64.980003,63.84,64.739998,1832300,60.585804
"2020-12-17",65.089996,65.349998,63.130001,63.310001,1918800,59.247562
"2020-12-18",62.43,62.880001,61.25,61.619999,3142700,58.264194
"2020-12-21",60.790001,60.900002,59.049999,60.540001,2379300,57.243023
"2020-12-22",60.740002,61.07,59.470001,59.790001,2542100,56.533863
"2020-12-23",59.93,62.009998,59.889999,61.279999,1668400,57.942719
"2020-12-24",61.330002,61.43,60.759998,61.299999,346000,57.961628
"2020-12-28",61.799999,63.209999,61.540001,62.380001,1277800,58.982807
"2020-12-29",62.459999,62.639999,61.689999,62.049999,803400,58.67078
"2020-12-30",62.099998,62.650002,61.720001,61.889999,666300,58.519493
"2020-12-31",61.709999,62.529999,61.360001,62.369999,978700,58.973354
"2021-01-04",62.23,62.540001,60.369999,60.880001,1572200,57.564499
"2021-01-05",60.66,62.549999,60.66,61.880001,1660700,58.510036
"2021-01-06",62.91,67.629997,62.91,66.970001,3442500,63.322845
"2021-01-07",66.889999,67.559998,63.84,63.970001,2758400,60.486217
"2021-01-08",64.059998,64.599998,62.5,63.59,2213500,60.126911
"2021-01-11",63.150002,64.660004,62.720001,63.700001,1273700,60.230919
"2021-01-12",63.91,64.5,63.369999,63.93,1431900,60.448399
"2021-01-13",63.73,64.209999,62.490002,62.939999,1755300,59.512306
"2021-01-14",63.25,63.610001,62.560001,63.389999,1774600,59.937801
"2021-01-15",63.209999,63.310001,62.09,63.119999,1370900,59.682503
"2021-01-19",63.400002,64,62.950001,63.099998,1391400,59.663601
"2021-01-20",63.43,63.59,62.599998,62.869999,1456600,59.446125
"2021-01-21",62.810001,63.77,62.470001,63.110001,1535300,59.673054
"2021-01-22",62.57,63.049999,61.790001,62.57,1761900,59.162464
"2021-01-25",61.759998,63.98,61.459999,63.91,1443100,60.429485
"2021-01-26",64.410004,65.839996,63.529999,65.57,1993100,61.999088
"2021-01-27",65.300003,68.5,64.5,66.57,3680300,62.944626
"2021-01-28",66.529999,67,64.470001,64.489998,2456400,60.977894
"2021-01-29",64.489998,64.989998,62.25,62.380001,2105200,58.982807
"2021-02-01",62.380001,63.09,61.740002,62.860001,2042800,59.436672
"2021-02-02",63.560001,64.150002,62.66,62.68,2010500,59.266472
"2021-02-03",62.5,64.519997,62.299999,64.169998,1550400,60.675323
"2021-02-04",64.169998,65.510002,63.830002,64.860001,1628300,61.327755
"2021-02-05",65.080002,66.199997,65.029999,65.879997,1259100,62.292202
"2021-02-08",66.129997,66.830002,65.730003,66.75,1070300,63.114819
"2021-02-09",67.080002,67.080002,66.080002,66.739998,1150300,63.105366
"2021-02-10",66.830002,67.010002,64.220001,65.07,3132600,61.52631
"2021-02-11",65.07,66.040001,63.759998,66.019997,1566900,62.424576
"2021-02-12",65.93,66.459999,65.620003,66.25,1060700,62.642056
"2021-02-16",66.339996,66.419998,65,65.900002,2213800,62.311111
"2021-02-17",65.519997,67.639999,65.330002,67.099998,2346700,63.445755
"2021-02-18",68.050003,68.5,66.470001,66.760002,2931100,63.124271
"2021-02-19",67.040001,67.860001,66.029999,67.650002,2055500,63.965801
"2021-02-22",67.830002,71.980003,67.75,70.580002,2597900,66.736244
"2021-02-23",70.949997,71.209999,69.550003,70.699997,1714300,66.849701
"2021-02-24",70.459999,71.279999,69.980003,70.879997,1363700,67.019897
"2021-02-25",70.860001,71.370003,68.889999,69.07,2457900,65.308479
"2021-02-26",69.330002,69.949997,68.110001,68.730003,1812500,64.986992
"2021-03-01",69.440002,71.57,69.279999,71.050003,1359800,67.180656
"2021-03-02",70.639999,72.07,70.540001,71.639999,1237300,67.73851
"2021-03-03",72.07,73.900002,71.839996,73.160004,1753100,69.175743
"2021-03-04",73.089996,73.949997,71.099998,72.040001,2047600,68.11673
"2021-03-05",72.769997,74.800003,72.080002,74.510002,1633400,70.452209
"2021-03-08",75.470001,77.790001,75.089996,77.269997,1976000,73.061905
"2021-03-09",76.129997,76.660004,74.919998,75.459999,2172100,72.002754
"2021-03-10",76.150002,77.349998,75.510002,76.57,1840700,73.061905
"2021-03-11",76.269997,77.139999,75.82,76.339996,1761100,72.84243
"2021-03-12",77.07,77.940002,76.779999,77.779999,1348500,74.216469
"2021-03-15",77.449997,77.870003,76.099998,76.660004,1747300,73.147781
"2021-03-16",76.209999,76.940002,75.709999,76.790001,1682100,73.271828
"2021-03-17",77.190002,77.580002,75.779999,76.940002,1647600,73.414955
"2021-03-18",77.07,77.879997,76.650002,77.25,1705100,73.710747
"2021-03-19",76.769997,77.379997,76.019997,76.43,6519400,72.928314
"2021-03-22",76.629997,77.620003,75.760002,77.150002,1599900,73.615334
"2021-03-23",76.269997,76.610001,75.25,75.470001,1679700,72.012306
"2021-03-24",76.18,76.690002,74.730003,74.889999,1789300,71.458878
"2021-03-25",74.650002,76.779999,74.330002,76.290001,1772500,72.794739
"2021-03-26",76.480003,76.93,74.720001,75.519997,2997600,72.060005
"2021-03-29",75.410004,75.949997,73.529999,74.980003,1828600,71.544762
"2021-03-30",75.239998,75.910004,74.699997,75.449997,1620600,71.99321
"2021-03-31",75.480003,75.879997,74.089996,74.150002,1902200,70.752777
"2021-04-01",74.449997,75.910004,74.059998,75.910004,1961500,72.432152
"2021-04-05",76.580002,77.040001,75.889999,76.129997,1560200,72.642067
"2021-04-06",76.099998,77.599998,75.970001,77.580002,2397700,74.025627
"2021-04-07",77.599998,77.870003,76.760002,77.639999,1324100,74.082878
"2021-04-08",77.129997,77.800003,76.650002,77.25,1684600,73.710747
"2021-04-09",77.519997,78.150002,77.110001,77.660004,1470500,74.101967
"2021-04-12",78.110001,79.400002,77.800003,79.279999,1826400,75.647751
"2021-04-13",78.730003,79.459999,77.93,78.589996,2462800,74.989357
"2021-04-14",78.889999,79.879997,78.040001,78.620003,1906700,75.017982
"2021-04-15",79.129997,80.809998,79.110001,79.440002,2254000,75.800423
"2021-04-16",80.120003,80.150002,79.209999,79.650002,1642700,76.000793
"2021-04-19",79.650002,80.010002,79.269997,79.309998,2848500,75.676369
"2021-04-20",80,80.989998,78.279999,78.860001,2992000,75.246994
"2021-04-21",78.370003,80.75,78.260002,80.589996,2451300,76.897728
"2021-04-22",80.309998,81.040001,79.519997,80.639999,3070000,76.945427
"2021-04-23",81.040001,81.540001,80.470001,81.230003,2215200,77.508415
"2021-04-26",81.599998,81.849998,80.43,80.739998,1608200,77.040848
"2021-04-27",80.230003,81.370003,79.790001,81.25,1880500,77.527489
"2021-04-28",81.699997,82.349998,81.190002,81.349998,1469500,77.622902
"2021-04-29",82.059998,83.239998,81.779999,82.879997,1468600,79.082802
"2021-04-30",82.550003,82.620003,81.860001,82.260002,1751300,78.491219
"2021-05-03",83.169998,84.120003,82.68,83.529999,1860000,79.703026
"2021-05-04",83.57,84.230003,83.019997,83.550003,1360400,79.722107
"2021-05-05",83.449997,83.830002,82.400002,83.169998,1925200,79.35952
"2021-05-06",83.690002,84.610001,83.120003,84.300003,1521200,80.437759
"2021-05-07",83.970001,85.389999,83.599998,84.959999,1593500,81.06752
"2021-05-10",85.099998,86.379997,84.720001,84.800003,1406100,80.914848
"2021-05-11",84.529999,85.199997,83.220001,83.739998,1684400,79.903404
"2021-05-12",83.800003,84.230003,81.760002,82.139999,1339500,78.376717
"2021-05-13",82.139999,83.949997,82.040001,83.43,2441200,79.607613
"2021-05-14",83.790001,84,82.879997,83.639999,2164800,79.807991
"2021-05-17",83.889999,84.269997,82.959999,83.110001,1358700,79.302269
"2021-05-18",83.410004,83.68,82.790001,82.830002,1820400,79.035095
"2021-05-19",82.099998,82.379997,80.75,82.160004,2158000,78.395805
"2021-05-20",82.43,83.019997,82.059998,82.620003,1683500,78.834724
"2021-05-21",82.690002,83.639999,82.169998,82.889999,1535900,79.092346
"2021-05-24",83.360001,83.639999,82.629997,83.199997,1635000,79.388145
"2021-05-25",83.529999,83.889999,81.760002,81.989998,2135900,78.233589
"2021-05-26",82.129997,82.610001,81.589996,81.870003,1941400,78.11908
"2021-05-27",82.589996,83,82.040001,82.620003,3344500,78.834724
"2021-05-28",82.669998,82.980003,81.559998,82.239998,2540800,78.472137
"2021-06-01",83.32,83.690002,82.239998,83.019997,2278800,79.2164
"2021-06-02",83.029999,83.510002,82.169998,82.650002,1734100,78.86335
"2021-06-03",82.169998,82.410004,81.559998,82.129997,2504900,78.367172
"2021-06-04",82.349998,82.940002,81.860001,82.800003,1294800,79.006477
"2021-06-07",83.330002,83.400002,82.529999,82.779999,1878300,78.987389
"2021-06-08",82.599998,83.900002,82.019997,83.68,1168400,79.846161
"2021-06-09",83.610001,84.169998,83.419998,83.529999,1496300,79.703026
"2021-06-10",83.379997,84.040001,82.879997,82.949997,1080400,79.818497
"2021-06-11",83.339996,83.830002,83.169998,83.809998,1297400,80.646034
"2021-06-14",83.709999,84.120003,81.839996,82.57,1304000,79.452843
"2021-06-15",82.75,83.709999,82.75,83.18,1249900,80.039818
"2021-06-16",83.260002,83.580002,82.309998,82.650002,1046800,79.529831
"2021-06-17",82.68,82.919998,80.139999,80.82,1179900,77.768906
"2021-06-18",79.870003,80.010002,77.519997,77.629997,2647500,74.699341
"2021-06-21",78.169998,79.949997,78.169998,79.809998,1405300,76.797035
"2021-06-22",79.970001,79.980003,78.709999,79.120003,1225400,76.133095
"2021-06-23",79.220001,79.529999,78.800003,79.050003,1012600,76.065735
"2021-06-24",79.360001,79.75,78.919998,79.599998,1020700,76.594963
"2021-06-25",79.580002,80.32,79.400002,80.239998,1233300,77.2108
"2021-06-28",80.160004,80.309998,78.32,78.540001,1384000,75.574989
"2021-06-29",78.900002,79.589996,78.489998,78.919998,957300,75.940636
"2021-06-30",78.660004,80.150002,78.580002,79.989998,1001300,76.970238
"2021-07-01",80.629997,81.449997,80.349998,81,891800,77.942116
"2021-07-02",81.190002,81.610001,80.57,80.889999,870800,77.836266
"2021-07-06",80.510002,80.830002,78.279999,78.879997,1436100,75.902153
"2021-07-07",78.279999,79.660004,78.230003,79.339996,1003800,76.34478
"2021-07-08",78.220001,78.849998,77.580002,78.309998,1330600,75.353668
"2021-07-09",79.300003,80.089996,79.019997,80.050003,1520800,77.027985
"2021-07-12",79.239998,79.900002,78.620003,79.629997,1307000,76.623833
"2021-07-13",79.57,79.769997,77.809998,77.889999,1061500,74.949516
"2021-07-14",78.290001,79.300003,78.129997,78.830002,1477500,75.854034
"2021-07-15",78.040001,79.290001,77.989998,78.529999,1375000,75.565361
"2021-07-16",78.870003,78.989998,77.360001,77.449997,1354500,74.526131
"2021-07-19",75.889999,76.949997,75.610001,76.360001,3054500,73.477287
"2021-07-20",77.550003,77.550003,72.419998,73.07,4855600,70.311493
"2021-07-21",73.309998,75.220001,73.209999,73.699997,3571300,70.917694
"2021-07-22",74.120003,74.150002,71.269997,72,2713600,69.281883
"2021-07-23",72.269997,72.639999,71.220001,72.300003,1657900,69.570557
"2021-07-26",72.400002,73.470001,72.360001,73.269997,2511000,70.503929
"2021-07-27",72.620003,73.550003,72.010002,73.470001,1106200,70.696388
"2021-07-28",73.559998,73.760002,72.110001,72.82,1004400,70.07093
"2021-07-29",73.529999,74.25,73.190002,73.230003,1191800,70.465446
"2021-07-30",73.160004,74.029999,72.589996,72.82,1915100,70.07093
"2021-08-02",73.220001,74.589996,72.879997,73.019997,1004400,70.263374
"2021-08-03",73.25,73.25,71.68,72.870003,2304100,70.119041
"2021-08-04",72.379997,73.040001,71.400002,71.519997,1427600,68.82
"2021-08-05",71.980003,73.669998,71.980003,73.580002,2052800,70.802238
"2021-08-06",74.199997,74.739998,73.559998,74.080002,1316800,71.283363
"2021-08-09",73.760002,73.989998,72.809998,73.330002,1124600,70.561676
"2021-08-10",73.489998,75.330002,73.480003,74.860001,899500,72.033913
"2021-08-11",74.779999,76.480003,74.489998,76.25,1200100,73.371437
"2021-08-12",76.57,76.57,74.910004,76.129997,1157900,73.255974
"2021-08-13",76.110001,76.5,75.309998,75.449997,720500,72.601631
"2021-08-16",75.040001,76.059998,74.410004,75.769997,1148300,72.909554
"2021-08-17",75.260002,75.82,74.089996,74.690002,1271600,71.870331
"2021-08-18",74.470001,74.489998,72.93,72.959999,1534400,70.205635
"2021-08-19",72.279999,72.5,70.93,71.120003,1745900,68.435104
"2021-08-20",71,71.68,70.339996,71.639999,2275000,68.935471
"2021-08-23",72.169998,72.860001,71.860001,72.610001,1039800,69.868851
"2021-08-24",72.889999,73.290001,72.400002,72.589996,954900,69.849594
"2021-08-25",72.449997,73.019997,71.43,72.559998,1095300,69.82074
"2021-08-26",72.559998,72.559998,71.510002,71.760002,962600,69.050934
"2021-08-27",71.879997,73.300003,71.790001,73.190002,1305200,70.426956
"2021-08-30",73.559998,73.57,72.089996,72.129997,1189200,69.406967
"2021-08-31",72.019997,73.309998,72.019997,73.220001,1788400,70.455833
"2021-09-01",73.599998,73.709999,72.769997,73.389999,1022800,70.619408
"2021-09-02",73.790001,74.400002,73.370003,74.339996,1177400,71.533539
"2021-09-03",74.339996,74.43,73.239998,73.739998,1063700,70.956192
"2021-09-07",73.720001,74.260002,72.949997,73.080002,1009600,70.321106
"2021-09-08",73.089996,73.760002,72.690002,72.75,985700,70.003571
"2021-09-09",72.489998,73.129997,71.870003,72.120003,1237400,69.397354
"2021-09-10",72.489998,72.519997,71.620003,71.669998,1089900,68.964333
"2021-09-13",72.349998,72.870003,71.940002,72.510002,1155500,69.772629
"2021-09-14",72.699997,73.010002,71.870003,72.459999,1378900,69.72451
"2021-09-15",72.400002,74.07,72.230003,73.919998,1519100,71.129402
"2021-09-16",74.110001,74.470001,73.129997,73.300003,1095900,70.532806
"2021-09-17",73.18,73.949997,72.730003,73.089996,2135700,70.330734
"2021-09-20",71.610001,72.379997,70.910004,71.480003,1698400,69.446617
"2021-09-21",72.32,72.790001,70.800003,70.849998,2051900,68.834541
"2021-09-22",71.440002,73.010002,71.190002,72.440002,2571600,70.379311
"2021-09-23",73.190002,74.25,73.160004,74.160004,2041000,72.050385
"2021-09-24",74.190002,75.18,73.980003,74.730003,1375600,72.604172
"2021-09-27",75.199997,76.190002,75.199997,75.790001,1214300,73.63401
"2021-09-28",75.900002,76.459999,73.68,73.910004,1797000,71.807487
"2021-09-29",74.059998,74.449997,73.349998,73.550003,1305200,71.457733
"2021-09-30",73.800003,73.800003,72.379997,72.459999,1453800,70.398743
"2021-10-01",72.75,74.989998,72.580002,74.129997,1209300,72.021225
"2021-10-04",73.790001,74.959999,73.760002,73.900002,1465500,71.797783
"2021-10-05",74.709999,75.82,73.889999,75.550003,1393000,73.400841
"2021-10-06",74.669998,75.379997,74.209999,75.239998,1707100,73.099655
"2021-10-07",75.650002,76.110001,75.220001,75.459999,2085500,73.313393
"2021-10-08",75.830002,76.370003,75.099998,75.220001,836700,73.080231
"2021-10-11",75.400002,75.690002,74.760002,75.269997,1133700,73.128792
"2021-10-12",75.209999,75.43,73.459999,73.769997,1560200,71.671471
"2021-10-13",73.589996,74.519997,73.160004,74.290001,1291200,72.176682
"2021-10-14",75.059998,76.550003,74.949997,76.480003,1658300,74.30439
"2021-10-15",76.970001,77.639999,76.400002,76.57,1502300,74.39183
"2021-10-18",76.029999,77.389999,75.669998,76.410004,2101900,74.236382
"2021-10-19",76.739998,77.010002,75.919998,76.470001,1929500,74.29467
"2021-10-20",73.5,74.879997,71.239998,74.730003,4816500,72.604172
"2021-10-21",74.879997,74.879997,71.660004,72.389999,2483600,70.330734
"2021-10-22",72.5,72.830002,70.400002,70.959999,2539500,68.941414
"2021-10-25",70.800003,71.029999,69.57,70.18,2066100,68.183594
"2021-10-26",70.400002,71.419998,70.139999,71.040001,1691400,69.019135
"2021-10-27",71.07,71.080002,69,69.019997,1300800,67.056587
"2021-10-28",69.099998,69.510002,68.510002,69.019997,1584300,67.056587
"2021-10-29",69.129997,69.160004,67.790001,68.080002,1714400,66.143341
"2021-11-01",68.669998,69.419998,68.580002,68.959999,1249600,66.998306
"2021-11-02",68.699997,68.870003,67.010002,67.870003,2175800,65.939308
"2021-11-03",67.639999,68.540001,66.43,68,3424100,66.065613
"2021-11-04",68.080002,68.370003,66.989998,67.629997,1255000,65.706131
"2021-11-05",68.580002,69.040001,68.239998,68.800003,1367700,66.842857
"2021-11-08",69.199997,69.349998,68.239998,69.019997,1525900,67.056587
"2021-11-09",68.839996,69.190002,68.160004,68.989998,1143600,67.027451
"2021-11-10",69.019997,70.779999,68.970001,69.190002,887600,67.221764
"2021-11-11",69.029999,69.940002,68.529999,69.599998,1550800,67.620094
"2021-11-12",69.790001,69.82,68.32,68.93,1202800,66.969162
"2021-11-15",69,69.900002,68.760002,69.029999,1140300,67.066315
"2021-11-16",69.029999,69.040001,68.010002,68.059998,1179000,66.123901
"2021-11-17",68.07,69.470001,68.07,69.139999,1738200,67.17318
"2021-11-18",69.050003,69.269997,67.07,67.709999,1680000,65.783859
"2021-11-19",67.25,67.599998,66.43,67.120003,1558800,65.210648
"2021-11-22",67.330002,68.269997,67.010002,68.099998,1451700,66.162758
"2021-11-23",67.790001,69.5,67.790001,69.110001,1571700,67.144035
"2021-11-24",69,69.5,68.290001,68.940002,1770100,66.978874
"2021-11-26",66.830002,67.779999,65.760002,67.75,1539800,65.822723
"2021-11-29",68.160004,68.309998,66.989998,67.470001,2081700,65.550682
"2021-11-30",66.900002,67.739998,66.099998,67.309998,5213000,65.395233
"2021-12-01",68.550003,69.080002,66.559998,66.57,2497300,64.676285
"2021-12-02",66.93,69.790001,66.830002,69.089996,2633000,67.124603
"2021-12-03",69.32,70.510002,68.760002,69.040001,2654100,67.076027
"2021-12-06",70.300003,71.099998,69.599998,69.639999,2151900,67.658966
"2021-12-07",70.150002,70.400002,69.739998,69.879997,2033000,67.892136
"2021-12-08",70.019997,71.160004,69.970001,69.980003,2135800,67.989288
"2021-12-09",69.410004,70.760002,69.25,69.790001,1557600,67.804695
"2021-12-10",70.260002,71.169998,70.129997,70.910004,2308800,68.892838
"2021-12-13",70.650002,71.730003,69.949997,71.25,2338100,69.22316
"2021-12-14",70.980003,72.379997,70.699997,72.110001,3684400,70.058693
"2021-12-15",72.300003,72.720001,71.43,72.559998,2831900,70.495888
"2021-12-16",73.300003,74.290001,73.010002,73.690002,2657200,71.59375
"2021-12-17",73.699997,73.870003,72.550003,73.029999,4007500,70.952522
"2021-12-20",71.32,71.660004,70.07,70.459999,2033500,69.118134
"2021-12-21",70.949997,72.419998,70.720001,72.239998,1811300,70.864235
"2021-12-22",72.199997,72.5,71.379997,71.57,2349100,70.206993
"2021-12-23",71.949997,72.5,71.43,72.190002,1324200,70.815193
"2021-12-27",72.07,72.949997,71.739998,72.949997,958900,71.560715
"2021-12-28",72.68,73.699997,72.540001,73.529999,944200,72.129669
"2021-12-29",73.669998,74.010002,73.220001,73.540001,1195300,72.139481
"2021-12-30",73.889999,74.470001,73.690002,73.760002,865300,72.355293
"2021-12-31",73.599998,74.010002,73.080002,73.269997,1141400,71.874619
"2022-01-03",73.639999,74.269997,73.330002,73.889999,1531500,72.482811
"2022-01-04",74.519997,76.290001,74.419998,75.519997,1735100,74.081772
"2022-01-05",76.050003,76.919998,75.540001,75.769997,2861000,74.327011
"2022-01-06",76.290001,77.860001,76.209999,77.779999,2720200,76.298729
"2022-01-07",78,79.239998,77.949997,78.389999,2094500,76.897118
"2022-01-10",78.519997,79,77.239998,77.760002,1941400,76.279114
