"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2020-11-18",15.85,16.280001,15.38,15.39,12951400,15.126759
"2020-11-19",15.21,16.08,15.04,16,12055800,15.726326
"2020-11-20",15.92,16.07,15.57,15.9,7826600,15.628036
"2020-11-23",16.26,17.49,16.15,17.32,17849200,17.023746
"2020-11-24",18,18.280001,17.719999,17.91,15620900,17.603655
"2020-11-25",17.5,17.950001,17.4,17.860001,11051000,17.554512
"2020-11-27",17.66,17.969999,17.469999,17.559999,4548200,17.259638
"2020-11-30",17.360001,17.549999,16.559999,16.59,15727300,16.306236
"2020-12-01",17.24,17.360001,16.82,17.08,9603700,16.787853
"2020-12-02",16.9,18.08,16.780001,17.610001,9738700,17.354511
"2020-12-03",17.790001,18.309999,17.51,18.02,11624700,17.75856
"2020-12-04",18.610001,19.530001,18.42,19.43,14895800,19.148108
"2020-12-07",19.41,19.59,18.860001,18.969999,12267800,18.694778
"2020-12-08",18.549999,19.809999,18.530001,19.76,12226800,19.473318
"2020-12-09",19.83,20.360001,19.27,19.51,16962300,19.226946
"2020-12-10",19,20.309999,18.92,19.99,11667800,19.699976
"2020-12-11",19.75,20,19.4,19.83,10482700,19.542301
"2020-12-14",20.129999,20.24,18.83,18.959999,11775700,18.684921
"2020-12-15",19.35,20.15,19.24,20.07,15665700,19.77882
"2020-12-16",20.01,20.540001,19.870001,20.139999,13388100,19.847805
"2020-12-17",20.34,20.5,19.790001,20.08,9508600,19.788673
"2020-12-18",20,20.290001,19.559999,19.68,15807500,19.394478
"2020-12-21",18.82,19.6,18.58,19.35,8714800,19.069267
"2020-12-22",19.360001,19.52,19.07,19.120001,6426000,18.842602
"2020-12-23",19.280001,19.98,19.23,19.48,9276600,19.197376
"2020-12-24",19.57,19.59,18.99,19.209999,2895500,18.931297
"2020-12-28",19.25,19.59,18.85,18.889999,6525700,18.615936
"2020-12-29",19,19.049999,18.33,18.639999,9828800,18.369566
"2020-12-30",18.639999,19.18,18.559999,19.120001,7746500,18.842602
"2020-12-31",19.030001,19.120001,18.83,18.9,6940500,18.625793
"2021-01-04",19.219999,19.469999,18.57,18.83,8898700,18.55681
"2021-01-05",19.17,20.99,19.01,20.41,15912300,20.113886
"2021-01-06",20.93,21.040001,20.51,20.82,16165100,20.517937
"2021-01-07",20.969999,21.209999,20.200001,20.35,13680500,20.054756
"2021-01-08",20.68,20.68,19.870001,20.120001,8343300,19.828094
"2021-01-11",19.379999,20.690001,19.27,20.57,11405600,20.271566
"2021-01-12",20.889999,22.23,20.67,22.129999,15816300,21.808931
"2021-01-13",21.969999,21.99,21.389999,21.57,10586600,21.257055
"2021-01-14",21.629999,22.190001,21.559999,21.76,10215400,21.444304
"2021-01-15",21.290001,21.450001,20.440001,20.74,12252400,20.439098
"2021-01-19",21.110001,21.35,20.299999,20.540001,16808900,20.242001
"2021-01-20",21.389999,21.389999,19.809999,20.08,13376100,19.788673
"2021-01-21",19.969999,20.389999,19.23,19.41,12080300,19.128395
"2021-01-22",18.9,19.290001,18.450001,19.24,14149600,18.960861
"2021-01-25",18.99,19.139999,18.24,18.629999,12581800,18.359709
"2021-01-26",18.879999,19.120001,18.200001,18.200001,9965600,17.935949
"2021-01-27",17.719999,18.23,17.23,17.280001,16088400,17.029297
"2021-01-28",17.5,18.5,17.5,18.27,11646800,18.004932
"2021-01-29",18.120001,18.309999,17.51,17.629999,11373200,17.37422
"2021-02-01",18.02,18.18,17.57,17.860001,8551800,17.600883
"2021-02-02",18.49,18.629999,18.02,18.02,8862800,17.75856
"2021-02-03",18.15,18.84,18.1,18.809999,9751500,18.537098
"2021-02-04",18.98,19.139999,18.540001,19.110001,8881400,18.832748
"2021-02-05",19.549999,19.67,18.959999,18.98,12027500,18.704634
"2021-02-08",19.26,20.110001,19.15,20.040001,9163400,19.749254
"2021-02-09",19.82,20.09,19.290001,19.790001,14852700,19.50288
"2021-02-10",19.92,20.309999,19.59,20.26,9761000,19.966063
"2021-02-11",20.059999,20.07,19.030001,19.43,9644300,19.148108
"2021-02-12",19.26,20.27,19.15,20.17,9487900,19.877371
"2021-02-16",20.59,20.9,20.360001,20.6,10700400,20.30113
"2021-02-17",20.9,20.950001,20.01,20.549999,9239900,20.251854
"2021-02-18",20.34,20.370001,19.389999,19.57,11379800,19.286074
"2021-02-19",19.57,20.299999,19.5,20.200001,7533400,19.906933
"2021-02-22",20.200001,21.709999,19.4,21.129999,12612300,20.823439
"2021-02-23",21.26,21.33,19.77,20.940001,10620100,20.636196
"2021-02-24",21.059999,22.549999,20.93,22.27,14926400,21.946901
"2021-02-25",22.549999,22.73,21.719999,22.030001,13896200,21.710384
"2021-02-26",21.82,22.129999,20.870001,21.83,12612800,21.513285
"2021-03-01",22.33,23.030001,22.16,23.01,12624000,22.676167
"2021-03-02",22.870001,23.43,22.26,22.280001,9704600,21.999783
"2021-03-03",22.5,22.889999,22.16,22.280001,12317100,21.999783
"2021-03-04",22.49,22.99,21.08,22.08,17516100,21.802296
"2021-03-05",22.85,23.9,22.049999,23.84,16439000,23.540159
"2021-03-08",23.950001,24.74,23.75,24.360001,14469600,24.053619
"2021-03-09",24.07,24.33,23.450001,23.469999,11555600,23.174812
"2021-03-10",23.42,24.280001,23.32,24.139999,8827100,23.836386
"2021-03-11",24.17,24.700001,23.790001,23.84,9177800,23.540159
"2021-03-12",23.85,24.26,23.68,24.02,7245300,23.717896
"2021-03-15",24.09,24.43,23.67,23.969999,8136400,23.668526
"2021-03-16",23.530001,23.530001,22.629999,22.870001,11014000,22.582361
"2021-03-17",22.610001,23.43,22.559999,23.35,11645300,23.056322
"2021-03-18",23.129999,23.4,22.040001,22.17,11327100,21.891165
"2021-03-19",22.030001,22.42,21.709999,21.790001,23241100,21.515944
"2021-03-22",21.75,21.82,21.280001,21.540001,11003900,21.269087
"2021-03-23",21,21.450001,20.57,20.809999,11882500,20.548269
"2021-03-24",21.290001,21.73,21.16,21.299999,9751800,21.032106
"2021-03-25",20.709999,21.26,20.030001,21.200001,11137300,20.933365
"2021-03-26",21.709999,21.809999,21.23,21.790001,9763500,21.515944
"2021-03-29",21.549999,21.58,20.879999,21.24,6864200,20.97286
"2021-03-30",21,21.68,20.959999,21.5,7878500,21.229593
"2021-03-31",21.58,21.799999,21.280001,21.459999,6526800,21.190092
"2021-04-01",21.66,21.950001,21.26,21.92,7419000,21.644306
"2021-04-05",21.92,21.950001,21.110001,21.32,7572700,21.051857
"2021-04-06",21.48,22,21.23,21.26,7135900,20.992609
"2021-04-07",21.35,21.6,21.139999,21.42,5875500,21.150599
"2021-04-08",21.139999,21.49,20.67,21.35,7057700,21.081478
"2021-04-09",21.4,21.620001,20.93,21.07,4708100,20.804998
"2021-04-12",21.280001,21.5,20.799999,21.02,4839800,20.755629
"2021-04-13",20.98,21.049999,20.540001,20.68,5474800,20.419905
"2021-04-14",20.98,21.99,20.91,21.66,9667000,21.387577
"2021-04-15",21.84,21.860001,20.950001,21.08,6516600,20.814873
"2021-04-16",21.26,21.35,20.549999,20.690001,8430600,20.429779
"2021-04-19",20.620001,21.049999,20.58,20.67,6721100,20.41003
"2021-04-20",20.5,20.6,19.58,19.809999,10589300,19.560846
"2021-04-21",18.51,19.440001,18.35,19.1,19098900,18.859777
"2021-04-22",19.27,19.530001,18.91,19.219999,11119100,18.978268
"2021-04-23",19.27,19.360001,18.889999,19.059999,12328900,18.82028
"2021-04-26",19.040001,19.68,19.030001,19.43,9396600,19.185627
"2021-04-27",19.4,19.52,18.639999,19.32,9372500,19.077007
"2021-04-28",19.5,20.24,19.43,20.139999,9161600,19.886696
"2021-04-29",20.389999,20.610001,19.9,20.360001,9489100,20.10393
"2021-04-30",20.059999,20.389999,19.51,19.559999,8428300,19.31399
"2021-05-03",20.129999,20.790001,19.959999,20.66,9550500,20.400156
"2021-05-04",20.77,21.1,20.43,20.959999,9996200,20.696381
"2021-05-05",21.25,22.01,21.25,22,12368400,21.723303
"2021-05-06",21.9,22.18,21.309999,22.17,10781400,21.891165
"2021-05-07",21.719999,22.99,21.67,22.950001,12249400,22.661354
"2021-05-10",23.120001,23.620001,22.73,22.74,9825800,22.453993
"2021-05-11",22.190001,22.889999,22.040001,22.610001,9101600,22.325632
"2021-05-12",22.629999,23.51,22.5,22.629999,11139700,22.345379
"2021-05-13",22.309999,22.809999,21.790001,22.370001,8773600,22.088648
"2021-05-14",22.66,23.26,22.65,23.059999,7659000,22.76997
"2021-05-17",22.889999,23.82,22.76,23.780001,8384000,23.480913
"2021-05-18",23.780001,23.98,23.280001,23.290001,8574200,22.997078
"2021-05-19",22.700001,22.860001,22.190001,22.540001,9944500,22.256514
"2021-05-20",22.459999,22.57,21.9,22.379999,8067700,22.098522
"2021-05-21",22.67,22.82,22.33,22.459999,6088400,22.177515
"2021-05-24",22.59,22.67,22.190001,22.51,4422400,22.226889
"2021-05-25",22.43,22.65,21.91,21.940001,7403700,21.664057
"2021-05-26",21.940001,22.52,21.91,22.280001,6775900,21.999783
"2021-05-27",22.379999,22.83,22.379999,22.52,7733100,22.236763
"2021-05-28",22.709999,22.73,22.290001,22.450001,4709500,22.167641
"2021-06-01",23,23.52,22.959999,23.34,7880700,23.092735
"2021-06-02",23.6,24.67,23.18,24.35,14759400,24.092037
"2021-06-03",24.32,25,24.139999,24.700001,12619800,24.43833
