"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2022-01-24",26.629999,28.67,26.26,28.59,18874000,28.405025
"2022-01-25",28.43,31.1,27.969999,30.59,25380400,30.392086
"2022-01-26",30.950001,31.58,30.299999,30.799999,18761200,30.600725
"2022-01-27",31.26,32.130001,30.32,30.83,16949000,30.630533
"2022-01-28",30.799999,31.879999,30.58,31.360001,14485000,31.157106
"2022-01-31",30.99,31.32,30.370001,30.74,12508000,30.541117
"2022-02-01",30.459999,31.540001,30.299999,31.370001,14072700,31.16704
"2022-02-02",31.360001,31.540001,30.950001,31.41,12755900,31.206779
"2022-02-03",31.389999,31.440001,30.690001,31.219999,16588200,31.018011
"2022-02-04",31.459999,32.41,31.32,31.940001,16881900,31.733351
"2022-02-07",31.59,32.849998,31.25,32.509998,12434900,32.299664
"2022-02-08",32.299999,32.509998,31.389999,31.76,10958100,31.554516
"2022-02-09",31.959999,32.869999,31.76,32.650002,10080800,32.438759
"2022-02-10",32.48,33.490002,32.169998,32.41,10066700,32.200314
"2022-02-11",32.599998,33.630001,32.380001,33.52,12741000,33.303127
"2022-02-14",33.5,33.5,32.110001,32.360001,9479100,32.150635
"2022-02-15",31.42,32.610001,31.049999,32.52,10817000,32.309601
"2022-02-16",32.900002,34.32,32.84,33.57,13077800,33.352802
"2022-02-17",33.209999,33.599998,32.689999,32.970001,11197900,32.756691
"2022-02-18",32.349998,32.66,31.940001,32.259998,12592500,32.051281
"2022-02-22",33.150002,33.240002,31.07,31.459999,14712800,31.256456
"2022-02-23",31.620001,32,31.33,31.68,7237100,31.475035
"2022-02-24",32.400002,32.470001,30.67,31.469999,18274800,31.266392
"2022-02-25",31.379999,32.57,31.209999,32.529999,13779600,32.31953
"2022-02-28",32.34,33.540001,32.02,33.529999,16550700,33.313065
"2022-03-01",33.98,34.029999,31.01,32.110001,19567300,32.016838
"2022-03-02",32.91,33.310001,32.299999,32.93,19015000,32.834457
"2022-03-03",32.580002,33.43,32.459999,33.349998,11668400,33.253239
"2022-03-04",32.990002,34.16,32.93,34.130001,14759500,34.030975
"2022-03-07",34.299999,37.470001,34.25,36.240002,28036700,36.134857
"2022-03-08",37.189999,39.380001,35.91,36.759998,34358000,36.653343
"2022-03-09",35.279999,35.52,33.349998,34.84,26474500,34.738914
"2022-03-10",35.57,38.049999,35.169998,37.950001,22872500,37.839893
"2022-03-11",37.049999,38.040001,36.720001,37.41,17629200,37.30146
"2022-03-14",36.25,36.669998,35.07,36.360001,12967700,36.254505
"2022-03-15",34.490002,35.549999,34.029999,34.799999,13809100,34.699032
"2022-03-16",34.740002,35.299999,33.299999,34,14868500,33.901352
"2022-03-17",34.950001,36,34.5,35.889999,13939500,35.78587
"2022-03-18",35.810001,36.240002,35.189999,36.040001,17078400,35.935436
"2022-03-21",36.869999,38.080002,36.77,37.580002,12884800,37.470966
"2022-03-22",37.23,37.459999,36.720001,37.09,10002400,36.982388
"2022-03-23",37.799999,38.5,37.59,38.07,10499600,37.959545
"2022-03-24",37.900002,38.709999,37.540001,37.68,10037600,37.570675
"2022-03-25",37.650002,39,37.5,38.900002,10793000,38.78714
"2022-03-28",37.77,37.810001,36.970001,37.32,9451300,37.21172
"2022-03-29",36.029999,38.07,35.25,37.849998,10126800,37.740181
"2022-03-30",38.200001,38.59,37.73,38.52,8930100,38.408241
"2022-03-31",38.02,39.110001,37.75,37.869999,9123900,37.760124
"2022-04-01",37.98,39.110001,37.900002,38.580002,7676200,38.468067
"2022-04-04",38.77,38.990002,38.060001,38.77,9924300,38.657513
"2022-04-05",38.669998,39.57,37.5,37.529999,8857400,37.421112
"2022-04-06",38.18,38.450001,37,37.349998,9379100,37.241631
"2022-04-07",37.490002,38.009998,36.57,37.75,7681600,37.640472
"2022-04-08",38.189999,40,38.150002,39.939999,11838800,39.82412
"2022-04-11",39.580002,39.599998,38.849998,39.060001,14079700,38.946674
"2022-04-12",39.68,40.759998,39.330002,39.529999,10348800,39.415306
"2022-04-13",40.049999,40.52,39.450001,40.189999,7568200,40.073391
"2022-04-14",40.290001,41.029999,39.869999,40.759998,7579000,40.641739
"2022-04-18",41.200001,42.25,40.810001,41.639999,13188000,41.519188
"2022-04-19",41.189999,42.599998,40.779999,41.310001,16778100,41.190147
"2022-04-20",40.98,41.07,39.23,39.599998,19888400,39.485104
"2022-04-21",40.560001,40.560001,38.59,38.950001,14413400,38.83699
"2022-04-22",38.650002,39.599998,37.549999,37.689999,13347500,37.580647
"2022-04-25",36.220001,36.34,33.779999,35.330002,19492300,35.227497
"2022-04-26",35.57,36.75,34.889999,35.119999,11378600,35.018101
"2022-04-27",35.580002,36.470001,34.91,35.939999,11122600,35.835724
"2022-04-28",36.259998,37.200001,35.119999,36.720001,9165000,36.613464
"2022-04-29",36.84,37.02,35.310001,35.619999,9381900,35.516651
"2022-05-02",35.27,36.389999,35.09,35.959999,8988100,35.855667
"2022-05-03",36.099998,36.970001,35.860001,36.669998,7055400,36.563606
"2022-05-04",37.5,38.209999,36.25,38.080002,10352600,37.969517
"2022-05-05",38.450001,38.610001,35.919998,36.689999,12199800,36.583546
"2022-05-06",37.32,37.459999,36.279999,37.349998,9853200,37.241631
"2022-05-09",36.32,36.43,33.299999,33.360001,13821400,33.26321
"2022-05-10",34,35.099998,33.380001,34.299999,9371600,34.200481
"2022-05-11",35.02,36.25,34.599998,34.689999,9595100,34.589352
"2022-05-12",34.380001,34.580002,33.580002,34.560001,10336800,34.459728
"2022-05-13",35.259998,36.349998,35.220001,36.099998,10121800,35.995258
"2022-05-16",36.220001,37.779999,36.209999,37.57,12427800,37.460995
"2022-05-17",38.110001,38.360001,37.540001,37.880001,12765400,37.770096
"2022-05-18",38.25,38.34,35.389999,36,9556300,35.89555
"2022-05-19",35,36.709999,34.75,36.060001,8485600,35.955379
"2022-05-20",36.669998,37.459999,35.82,36.700001,9703100,36.593521
"2022-05-23",37.040001,38.490002,36.869999,38.330002,9574200,38.218792
"2022-05-24",37.669998,38.75,37.360001,38.48,7852200,38.368355
"2022-05-25",38.529999,39.18,38.150002,38.779999,8889900,38.667484
"2022-05-26",39.23,40.59,39.150002,40.16,10446700,40.04348
"2022-05-27",39.75,41.450001,39.59,41.360001,9138800,41.239998
"2022-05-31",41.689999,42.09,39.77,40.5,30406800,40.5
"2022-06-01",40.950001,41.900002,40.529999,41.400002,10391100,41.400002
"2022-06-02",41.119999,41.470001,40.470001,41.040001,9015800,41.040001
"2022-06-03",41.07,42.099998,40.75,41.950001,6737600,41.950001
"2022-06-06",42.099998,42.41,41.130001,41.32,7125900,41.32
"2022-06-07",41.139999,42.68,40.959999,42.529999,8768800,42.529999
"2022-06-08",42.57,43.990002,42.279999,42.970001,10255100,42.970001
"2022-06-09",42.169998,42.84,41.77,42.209999,9186400,42.209999
"2022-06-10",40.950001,41.41,39.740002,40.490002,9898100,40.490002
"2022-06-13",38.810001,38.98,36.759998,37.529999,12311100,37.529999
"2022-06-14",38.240002,38.599998,36.02,36.669998,10376300,36.669998
"2022-06-15",37,37.009998,35.080002,35.610001,12875000,35.610001
"2022-06-16",34.330002,34.689999,33.290001,33.470001,19974800,33.470001
"2022-06-17",33.450001,33.799999,31.440001,31.690001,21819800,31.690001
"2022-06-21",32.709999,34.009998,32.439999,33.549999,14023000,33.549999
"2022-06-22",31.4,32.619999,31.08,32.09,15917000,32.09
"2022-06-23",32.110001,32.32,29.68,30.040001,14893300,30.040001
"2022-06-24",30.5,31.43,30.02,30.950001,22959700,30.950001
"2022-06-27",31.450001,32.299999,31.15,32.23,11575700,32.23
"2022-06-28",33.060001,33.599998,32.66,33.189999,11890300,33.189999
"2022-06-29",33.68,33.900002,32.040001,32.18,9285300,32.18
