"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume","EXR.Adjusted"
"2020-10-02",108.690002,112.860001,107.480003,112.389999,1405300,106.698509
"2020-10-05",113,113.139999,108.610001,112.790001,1198400,107.078247
"2020-10-06",113.43,114.290001,110.949997,111.949997,1716200,106.280785
"2020-10-07",112.580002,113.190002,111.279999,112.529999,1069100,106.831413
"2020-10-08",112.760002,113.959999,112.589996,113.75,1029800,107.989639
"2020-10-09",114.470001,114.540001,112.18,113.349998,1137100,107.609894
"2020-10-12",113.419998,114.099998,111.75,113.910004,723300,108.141533
"2020-10-13",114.400002,114.400002,110.639999,113.150002,2469000,107.420029
"2020-10-14",113.480003,113.82,112.709999,113.370003,887400,107.628883
"2020-10-15",112.879997,115.120003,112.800003,114.940002,1357800,109.119377
"2020-10-16",114.699997,115.5,114.129997,114.629997,1310200,108.825066
"2020-10-19",114.809998,115.07,113.449997,113.730003,869600,107.97065
"2020-10-20",114.580002,115.470001,113.93,114.370003,800600,108.578232
"2020-10-21",114.669998,116.339996,114.239998,115.349998,1171000,109.508598
"2020-10-22",115.080002,117.650002,115.080002,117.459999,930700,111.511765
"2020-10-23",118,118.699997,117.059998,118.660004,920300,112.650986
"2020-10-26",118.040001,118.720001,116.129997,118.610001,1360400,112.603516
"2020-10-27",118.769997,120.290001,116.989998,117.089996,1021300,111.160484
"2020-10-28",116.599998,117.519997,114.389999,115.699997,1132200,109.840881
"2020-10-29",115.720001,117.019997,115.040001,116.32,1494200,110.429489
"2020-10-30",115.580002,116.989998,114.32,115.949997,785300,110.078217
"2020-11-02",116.550003,117.550003,115.139999,115.849998,1158500,109.983292
"2020-11-03",116.830002,117.529999,115.599998,116.849998,1889500,110.93264
"2020-11-04",117,119.620003,116.32,117.349998,1469500,111.407326
"2020-11-05",117.459999,119.029999,113.550003,113.900002,1509600,108.132042
"2020-11-06",114.879997,116.040001,112.449997,112.720001,1876000,107.011795
"2020-11-09",119.639999,121.07,106.769997,106.919998,2201900,101.505508
"2020-11-10",106.919998,115.510002,106.330002,115.510002,1700100,109.660507
"2020-11-11",116.059998,118.120003,114.629997,117.989998,1294500,112.014908
"2020-11-12",118.169998,118.300003,114.459999,115.580002,603700,109.726967
"2020-11-13",117.57,117.919998,116.139999,117.720001,837700,111.758591
"2020-11-16",119.199997,119.32,115.050003,117.910004,1012800,111.93898
"2020-11-17",117.230003,118.330002,116.230003,117.870003,865900,111.901001
"2020-11-18",117.839996,117.910004,113.120003,113.120003,697700,107.391533
"2020-11-19",112.839996,113.610001,111.25,112.620003,664800,106.916862
"2020-11-20",112.330002,113.010002,111.339996,112.690002,685200,106.983322
"2020-11-23",112.849998,113.940002,110.550003,110.889999,1024800,105.274467
"2020-11-24",111.639999,111.809998,109.5,110,1121400,104.429543
"2020-11-25",110.410004,112.230003,109.959999,111.989998,727100,106.318756
"2020-11-27",111.870003,111.870003,109.25,110,253100,104.429543
"2020-11-30",109.639999,112.739998,109.639999,112.730003,1072400,107.021294
"2020-12-01",112.93,114.18,111.660004,113.660004,1044700,107.904198
"2020-12-02",113.269997,114.489998,111.059998,111.419998,582400,105.777626
"2020-12-03",111.629997,113.599998,111.290001,113.5,876800,107.752296
"2020-12-04",113.720001,114.900002,112.510002,114.349998,612200,108.559258
"2020-12-07",113.599998,115.360001,113.599998,115,1192800,109.176338
"2020-12-08",114.959999,115,113.160004,113.580002,694900,107.828239
"2020-12-09",113.57,113.800003,111.300003,112.5,653600,106.80294
"2020-12-10",112.07,113.43,109.989998,110.019997,1072400,104.448509
"2020-12-11",109.93,111.690002,109.650002,110.400002,1067600,104.809288
"2020-12-14",110.57,112.910004,109.610001,109.879997,1107000,105.172997
"2020-12-15",110.339996,111.720001,108.529999,111.650002,1950400,106.867188
"2020-12-16",111.980003,112.339996,110.150002,111.07,2194600,106.312027
"2020-12-17",112.190002,114.43,111.75,114.169998,1076900,109.279228
"2020-12-18",113.790001,114.5,111.760002,112.489998,1431900,107.671188
"2020-12-21",112.339996,114.639999,111.559998,114.220001,745600,109.327095
"2020-12-22",114.220001,115.599998,113.800003,115.190002,635200,110.255547
"2020-12-23",115.699997,115.699997,112.720001,112.830002,604800,107.996635
"2020-12-24",113.25,114.440002,112.860001,114.389999,123300,109.489807
