"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2020-12-03",208.360001,209.25,206.75,207.399994,376300,205.141815
"2020-12-04",207.419998,209.919998,206.880005,209.690002,305800,207.406891
"2020-12-07",209.520004,211.470001,208.580002,209.210007,290200,206.932114
"2020-12-08",208.259995,212.389999,207.479996,212.110001,429800,209.800537
"2020-12-09",212.529999,213.259995,210.440002,211.770004,366400,209.464233
"2020-12-10",211.059998,213.020004,208.039993,208.729996,400700,206.457336
"2020-12-11",207.320007,207.869995,203.610001,204.529999,583900,202.303055
"2020-12-14",206.169998,210.179993,205.729996,206.380005,485300,204.132935
"2020-12-15",207.800003,209.199997,206.369995,208.649994,533000,206.378204
"2020-12-16",209.520004,211.770004,207.729996,210.509995,500100,208.217941
"2020-12-17",211,213.880005,210.520004,213.729996,402800,211.402878
"2020-12-18",214.149994,219.279999,212.419998,218.449997,1073900,216.071487
"2020-12-21",214,215.259995,207.880005,213.470001,435000,211.145721
"2020-12-22",213.149994,214.119995,210.850006,211.669998,322300,209.365326
"2020-12-23",212.949997,213.100006,209.919998,209.979996,297800,207.693726
"2020-12-24",210.229996,212.929993,209.710007,212.419998,99600,210.107178
"2020-12-28",215.289993,216.259995,210.850006,211.429993,235500,209.12793
"2020-12-29",213.639999,213.639999,210.179993,211.259995,328600,208.959763
"2020-12-30",212.639999,212.639999,209.369995,209.720001,249500,207.436554
"2020-12-31",210.339996,213.119995,208.539993,212.559998,322800,210.245636
"2021-01-04",213.240005,214.990005,208.169998,212.179993,468600,209.869766
"2021-01-05",211.940002,215.660004,211.699997,214.610001,520300,212.273315
"2021-01-06",211.580002,215.880005,211.270004,213.210007,638500,210.88855
"2021-01-07",210.559998,216.089996,208.940002,215.259995,583400,212.916229
"2021-01-08",214.600006,219.139999,214.089996,218.940002,506100,216.556168
"2021-01-11",218.699997,221.190002,217.490005,220.300003,319700,217.901352
"2021-01-12",219.710007,220.199997,215.570007,216.880005,337500,214.5186
"2021-01-13",216.720001,217.5,215.139999,216.479996,435900,214.12294
"2021-01-14",217.100006,217.860001,213.029999,213.279999,420700,210.957779
"2021-01-15",212.860001,213.919998,210.240005,211.619995,388800,209.315872
"2021-01-19",213.649994,216.669998,212.570007,214.899994,397300,212.560165
"2021-01-20",215.839996,218.860001,213.759995,217.960007,445300,215.586823
"2021-01-21",218.289993,218.559998,214.070007,217.070007,404200,214.706528
"2021-01-22",217.419998,217.470001,214.610001,215.520004,298000,213.173401
"2021-01-25",215.929993,224,215.740005,221.679993,491600,219.266327
"2021-01-26",221.460007,224.429993,219.25,222.279999,456400,219.859787
"2021-01-27",219.130005,220.75,213.020004,214.059998,526600,211.729294
"2021-01-28",215.720001,219.979996,214.279999,215.929993,500900,213.578934
"2021-01-29",212.699997,212.699997,198.899994,201.570007,1150000,199.37529
"2021-02-01",203.759995,203.929993,198.820007,202.669998,850000,200.463303
"2021-02-02",204.289993,208.880005,203.929993,206.669998,1050700,204.419769
"2021-02-03",204.419998,206.240005,203,203.210007,969000,200.997452
"2021-02-04",203.149994,206.220001,201.830002,204.059998,760000,201.838165
"2021-02-05",204.889999,207.080002,200.759995,202.169998,824800,199.96875
"2021-02-08",202.610001,204.029999,200.800003,201.550003,747000,199.355515
"2021-02-09",201.610001,203.470001,199.589996,199.860001,1226000,197.683914
"2021-02-10",201.369995,201.550003,199.110001,200.399994,943200,198.60556
"2021-02-11",201.639999,202.199997,199.520004,200.529999,840500,198.734421
"2021-02-12",199.860001,200.949997,198.740005,200.550003,1223800,198.754242
"2021-02-16",200.460007,200.460007,193.020004,194.100006,879700,192.362
"2021-02-17",193.270004,201.589996,191.100006,199.729996,740500,197.941574
"2021-02-18",197.679993,201.449997,196.210007,199.880005,613200,198.090225
"2021-02-19",200.070007,203.220001,200.070007,201.179993,921600,199.378601
"2021-02-22",200.059998,201.119995,198.440002,200.020004,783300,198.228989
"2021-02-23",200.25,201.699997,198.539993,200.089996,799200,198.29834
"2021-02-24",199.559998,202.970001,199.009995,200.970001,433500,199.170471
"2021-02-25",199.669998,200.820007,193.910004,194.979996,609700,193.2341
"2021-02-26",195.229996,195.470001,190.740005,192.779999,722200,191.053802
"2021-03-01",194.339996,196.899994,194.339996,195.619995,463100,193.868347
"2021-03-02",195.820007,196.380005,192.350006,193.210007,498800,191.479965
"2021-03-03",191.800003,191.800003,188.470001,190.210007,386200,188.506821
"2021-03-04",189.520004,190.160004,181.279999,183.050003,985800,181.410934
"2021-03-05",185.779999,185.779999,181.270004,185.050003,966200,183.393036
"2021-03-08",185.050003,186.100006,179.369995,179.460007,895200,177.853073
"2021-03-09",181.25,185.240005,180.720001,182.259995,1222000,180.627991
"2021-03-10",184.850006,186.770004,183.690002,185.389999,737600,183.72998
"2021-03-11",187.529999,188.300003,186.25,186.710007,598900,185.038162
"2021-03-12",185.740005,186.539993,184.479996,185.119995,505800,183.462387
"2021-03-15",185.479996,187.619995,185.479996,187.089996,897200,185.414749
"2021-03-16",192.039993,193.479996,190.610001,191.990005,744100,190.270905
