"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2021-01-27",108.68,109.5,106.07,107.540001,990800,104.611481
"2021-01-28",109.059998,109.93,107.589996,109.029999,807100,106.060898
"2021-01-29",108.139999,110.239998,107.089996,108.290001,1503100,105.341049
"2021-02-01",109.639999,110.559998,108.199997,109.75,967100,106.761284
"2021-02-02",110.919998,112.589996,109.169998,111.099998,938900,108.074524
"2021-02-03",111.470001,112.489998,109.949997,110.639999,993800,107.627052
"2021-02-04",110.910004,114.080002,110.169998,113.970001,823700,110.866379
"2021-02-05",115.150002,117.129997,114.699997,115.18,808500,112.043419
"2021-02-08",115.900002,116.760002,115.169998,116.650002,621100,113.473381
"2021-02-09",116.849998,117.900002,115.559998,116.360001,673900,113.191284
"2021-02-10",112.110001,113.760002,106.150002,107.900002,2358000,104.96167
"2021-02-11",109.050003,110.480003,107.699997,110.260002,1220700,107.257401
"2021-02-12",110.050003,110.730003,107.220001,107.68,1766700,104.74765
"2021-02-16",108.949997,109.779999,108.099998,108.720001,1512600,105.759338
"2021-02-17",107.769997,108.489998,106.669998,106.75,1128300,103.842987
"2021-02-18",106.07,107.080002,104.550003,104.82,1144600,101.96553
"2021-02-19",105.040001,106.650002,104.690002,105.25,1251100,102.383835
"2021-02-22",104.919998,105.940002,104.059998,105,1276200,102.14064
"2021-02-23",105.080002,105.080002,102.919998,104.82,962200,101.96553
"2021-02-24",105.050003,106.290001,104.580002,104.970001,1158500,102.11145
"2021-02-25",104.669998,105.209999,101.629997,101.900002,766600,99.125061
"2021-02-26",102.07,102.550003,101.209999,101.690002,1993500,98.920784
"2021-03-01",102.910004,108.059998,102.910004,106.669998,1436500,103.76516
"2021-03-02",106.860001,108.860001,105.279999,105.519997,1177900,102.646469
"2021-03-03",105.25,105.879997,103.489998,103.529999,768000,100.710655
"2021-03-04",103.199997,103.5,98.769997,100.769997,1312300,98.025826
"2021-03-05",101.870003,102.989998,98.160004,102.709999,998200,99.912994
"2021-03-08",103.199997,105.790001,102.82,103.059998,884100,100.253464
"2021-03-09",103.830002,105.860001,103.139999,104.82,1216100,101.96553
"2021-03-10",105.82,107.93,104.940002,106.349998,757000,103.45388
"2021-03-11",107.230003,109.5,107.230003,108.709999,1300100,105.749603
"2021-03-12",108.349998,110.709999,108.349998,110.110001,1171000,107.111481
"2021-03-15",110,112.440002,109.519997,112.279999,1104600,109.222389
"2021-03-16",112.150002,112.230003,108.489998,108.690002,756500,105.730148
