"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"2020-10-28",182.990005,182.990005,178.179993,178.619995,302500,176.124146
"2020-10-29",178.059998,179.660004,175.5,177.330002,396400,174.852173
"2020-10-30",176.729996,178.660004,172.899994,177.190002,352600,174.714127
"2020-11-02",178.240005,182.729996,177.679993,181.570007,578900,179.032959
"2020-11-03",182.149994,186.580002,174.179993,176.380005,618400,173.915451
"2020-11-04",178.740005,181.770004,176.199997,177.619995,404700,175.138123
"2020-11-05",179.059998,180.009995,177.949997,179.160004,254600,176.656616
"2020-11-06",179.199997,182.660004,179.199997,181.669998,378500,179.131546
"2020-11-09",190.229996,195.240005,190.050003,190.050003,676700,187.394455
"2020-11-10",190.449997,190.449997,184.169998,189.479996,388000,186.832413
"2020-11-11",190.330002,190.669998,187.279999,189.179993,239700,186.536606
"2020-11-12",189.059998,190.089996,185.690002,189.020004,279600,186.378845
"2020-11-13",189.779999,193.300003,189.779999,192.789993,248600,190.096161
"2020-11-16",195,196.550003,192.139999,195.580002,388100,192.847168
"2020-11-17",194.690002,195.690002,191.899994,195.210007,378600,192.482361
"2020-11-18",195.210007,195.210007,190.539993,191.940002,315700,189.258041
"2020-11-19",192.509995,195.380005,190.720001,194.729996,274500,192.009048
"2020-11-20",194.460007,196.800003,193.419998,196.050003,453700,193.310623
"2020-11-23",196.25,196.419998,188.369995,189.089996,445800,186.829025
"2020-11-24",189.419998,191.850006,188.279999,190.630005,420800,188.350647
"2020-11-25",191.139999,191.139999,188.440002,189.289993,235600,187.026642
"2020-11-27",189.830002,191.949997,188.490005,191.690002,174000,189.397964
"2020-11-30",191.690002,193.820007,190.369995,193.809998,564400,191.492599
"2020-12-01",195,195,191.899994,193.929993,466800,191.61116
"2020-12-02",192.539993,194.369995,191.720001,192.800003,273200,190.494675
"2020-12-03",192.100006,193.080002,190.570007,192.690002,321900,190.385986
"2020-12-04",192.300003,194.100006,192.169998,193.490005,355800,191.176422
"2020-12-07",193.050003,194.419998,186.899994,187.630005,543200,185.386505
"2020-12-08",186.860001,189.360001,185.529999,189.089996,437200,186.829025
"2020-12-09",189.639999,190.089996,186.940002,188.25,362100,185.999069
"2020-12-10",188,191.169998,186.970001,189.759995,233600,187.491028
"2020-12-11",189.490005,190.110001,185.990005,186.220001,317900,183.993362
"2020-12-14",186.929993,189.399994,185.940002,186.330002,409500,184.102036
"2020-12-15",187.5,190.679993,186.559998,188.240005,433200,185.989212
"2020-12-16",188.300003,188.429993,181.309998,181.759995,707000,179.58667
"2020-12-17",182.399994,183.740005,180.589996,182.639999,712100,180.456161
"2020-12-18",182.850006,185,181.729996,184.899994,965500,182.689148
"2020-12-21",182.639999,184.539993,178.089996,184.119995,326300,181.918472
"2020-12-22",183.389999,184.539993,181.669998,182.589996,372600,180.406754
"2020-12-23",183.139999,185.119995,182.350006,184.160004,273300,181.957993
"2020-12-24",184.669998,186.210007,184.070007,186.190002,97200,183.963715
"2020-12-28",188.149994,189.089996,185.529999,185.720001,230200,183.499329
"2020-12-29",186.520004,187.800003,184.429993,185.589996,173700,183.370895
"2020-12-30",186.440002,187.970001,185.460007,186.289993,169100,184.0625
"2020-12-31",187.270004,189.699997,184.889999,189.539993,234800,187.273651
"2021-01-04",189.779999,192.410004,186.149994,188.490005,487600,186.236221
"2021-01-05",189.539993,193.220001,187.460007,191.820007,396100,189.526413
"2021-01-06",190.220001,197.050003,190.220001,195.240005,570900,192.905502
"2021-01-07",194.919998,200.25,194.919998,199.789993,299000,197.401093
"2021-01-08",199,203.889999,199,202.809998,307800,200.384979
"2021-01-11",201.639999,203.910004,199.789993,200.460007,356200,198.06311
"2021-01-12",199.910004,201.429993,190.720001,192.059998,863800,189.763519
"2021-01-13",193.080002,195.509995,191.050003,194.100006,484000,191.779144
"2021-01-14",194.710007,197.779999,189.449997,189.839996,381600,187.570084
"2021-01-15",189.759995,189.979996,183.910004,184.380005,646200,182.175354
"2021-01-19",186.110001,188.789993,181.75,188.710007,786000,186.453598
"2021-01-20",188.270004,191.300003,188.25,189.529999,418800,187.263763
"2021-01-21",188.639999,190.5,187.419998,188.330002,594600,186.078125
"2021-01-22",187.639999,189.539993,187.059998,188.759995,402400,186.502975
"2021-01-25",188.699997,191.059998,188.309998,190.410004,438800,188.133255
"2021-01-26",190.410004,194.100006,189.649994,193.179993,422400,190.870132
"2021-01-27",190.020004,192.350006,187.270004,192.300003,1113400,190.000671
"2021-01-28",193.759995,195,189.610001,191.179993,636400,188.894043
"2021-01-29",190.509995,191.440002,185.279999,187.110001,719100,184.872711
"2021-02-01",188.160004,189.100006,183.960007,186.320007,743700,184.092163
"2021-02-02",187.889999,193.339996,186.929993,191.080002,618700,188.795242
"2021-02-03",189.039993,189.050003,176.559998,182.869995,1321200,180.683411
"2021-02-04",186.089996,190.029999,184.779999,185.610001,578800,183.39064
"2021-02-05",185.880005,187.789993,182.970001,183.179993,441200,180.9897
"2021-02-08",183.100006,186.070007,182.419998,183.850006,531400,181.651703
"2021-02-09",184.059998,185.979996,182.029999,182.770004,262900,180.584625
"2021-02-10",184.309998,184.899994,182.690002,183.300003,417300,181.108276
"2021-02-11",184.020004,184.419998,181.970001,182.339996,544300,180.159729
"2021-02-12",181.589996,184,181.520004,183,646900,180.811859
"2021-02-16",182.919998,184.130005,181.630005,182.5,550500,180.317841
"2021-02-17",182.339996,185.029999,181.710007,185,985200,182.787933
"2021-02-18",184.059998,185.119995,181.809998,181.860001,807100,179.685486
"2021-02-19",182,182.570007,178.220001,178.729996,442700,176.592911
"2021-02-22",177,177.899994,173.110001,175.619995,651700,173.520096
"2021-02-23",175.800003,176.210007,172.520004,173.270004,605200,171.589035
"2021-02-24",172.729996,175.059998,172.449997,173.110001,597800,171.430573
"2021-02-25",173.259995,174.919998,171.830002,172.990005,412600,171.311737
"2021-02-26",173.429993,176.179993,172.190002,174.800003,1100000,173.104187
"2021-03-01",176.050003,179.509995,175.860001,177.770004,546800,176.045364
"2021-03-02",178.169998,178.779999,175.779999,177.770004,612100,176.045364
"2021-03-03",176.649994,177.619995,171.320007,171.649994,668700,169.984726
"2021-03-04",171.339996,177.100006,170.360001,171.199997,1433800,169.539108
"2021-03-05",172.660004,177.789993,172.369995,177.149994,585700,175.431381
"2021-03-08",176.830002,176.830002,170.630005,172.649994,995100,170.975021
"2021-03-09",174.639999,179.710007,174.350006,179.029999,868500,177.293137
"2021-03-10",180.619995,180.710007,178.080002,179.990005,560000,178.243835
"2021-03-11",180.940002,182.320007,179.690002,181.550003,638600,179.788681
"2021-03-12",180.460007,185.300003,179.259995,184.050003,506300,182.264435
"2021-03-15",183.970001,187.169998,183.160004,187.059998,565200,185.245239
"2021-03-16",186.149994,188.179993,185.520004,186.869995,501000,185.057068
"2021-03-17",186.979996,187.850006,185.839996,187.009995,449700,185.195709
"2021-03-18",185.869995,187.600006,185.410004,187,489800,185.185822
"2021-03-19",187.539993,188.699997,186.199997,187.240005,1505900,185.423492
"2021-03-22",185.770004,187.820007,184.679993,186.550003,630400,184.740173
"2021-03-23",186.800003,187,184.75,185.809998,559000,184.00737
"2021-03-24",184.899994,189.360001,184.809998,187.75,672700,185.928543
"2021-03-25",188.149994,191.389999,185.75,190.839996,629800,188.988556
"2021-03-26",191.240005,193.779999,190.009995,193.679993,581700,191.801025
"2021-03-29",193.690002,195.639999,191.089996,192.770004,445100,190.899857
"2021-03-30",191.639999,192.539993,189.279999,190.029999,526500,188.186417
"2021-03-31",190.330002,191.979996,189.110001,190.479996,413100,188.63205
"2021-04-01",190.720001,193.789993,187.490005,193.5,768500,191.622772
"2021-04-05",194.589996,198.470001,194.589996,195.880005,748500,193.979675
"2021-04-06",195.889999,197.070007,194.460007,194.5,638600,192.613052
"2021-04-07",194.630005,195.429993,192.440002,193.789993,432300,191.909958
"2021-04-08",195.110001,198.399994,193.979996,198.160004,723700,196.237564
"2021-04-09",199.059998,200.690002,196.929993,199.149994,489700,197.217957
"2021-04-12",198.619995,201.110001,198.619995,200.619995,405700,198.67366
"2021-04-13",200.089996,203.300003,199.779999,202.910004,397200,200.941467
"2021-04-14",202.880005,205.75,202.350006,204.839996,533500,202.852737
"2021-04-15",205.210007,208.169998,205.179993,206.710007,861000,204.70462
"2021-04-16",207.940002,208.649994,205.690002,208.139999,1025400,206.120728
"2021-04-19",207.940002,209.199997,206.669998,208.630005,437700,206.605972
"2021-04-20",208.919998,211.259995,207.940002,209.389999,819800,207.358597
"2021-04-21",210.479996,212.649994,208.979996,212.520004,475600,210.458237
"2021-04-22",212.210007,213.5,210.169998,212.380005,447500,210.319611
"2021-04-23",212.940002,215.470001,210.75,214.820007,617400,212.735947
"2021-04-26",214.960007,216.740005,214,216.470001,402800,214.369934
"2021-04-27",213,214.380005,212.130005,212.429993,1398200,210.36911
"2021-04-28",212.080002,212.389999,210.630005,210.880005,616100,208.834152
"2021-04-29",211.580002,213.240005,210.279999,212.990005,939000,210.923691
"2021-04-30",212.949997,213.139999,209.039993,211.020004,1020800,208.972794
"2021-05-03",212.839996,214.839996,211.270004,213.470001,640700,211.399033
"2021-05-04",212.800003,213.619995,211.169998,211.979996,605200,209.923477
"2021-05-05",212.610001,212.610001,208.729996,209.429993,734200,207.398209
"2021-05-06",209.059998,210.309998,208.080002,210.309998,517300,208.269684
"2021-05-07",210.479996,213.940002,210.479996,211.5,545800,209.44812
"2021-05-10",211.940002,211.940002,207.589996,207.639999,611700,205.625595
"2021-05-11",206.759995,206.899994,203.229996,204.649994,628100,202.664581
"2021-05-12",203.339996,203.369995,197.509995,197.740005,536900,195.821655
"2021-05-13",198.710007,200.059998,197.690002,198.990005,440100,197.059494
"2021-05-14",199.919998,200.570007,197.639999,197.779999,602500,195.861252
"2021-05-17",197.419998,198.940002,196.259995,196.570007,652100,194.662979
"2021-05-18",196.559998,197.100006,194.619995,195.949997,669900,194.048996
"2021-05-19",194.029999,194.470001,188.300003,189.399994,1251400,187.562531
"2021-05-20",189.949997,192.110001,189.009995,189.300003,842200,187.463516
"2021-05-21",190.660004,194.539993,190.119995,190.529999,899500,188.68158
"2021-05-24",191.839996,191.839996,189.289993,190,401200,188.156708
"2021-05-25",189.929993,192.110001,189.699997,191.360001,755200,189.503525
"2021-05-26",191.539993,195.399994,191.059998,194.169998,1103500,192.28627
"2021-05-27",193.25,194.539993,190.809998,190.889999,976800,189.428329
"2021-05-28",191.729996,193.330002,190.600006,190.860001,695700,189.398544
"2021-06-01",191.970001,192.139999,188.100006,188.429993,3682200,186.987152
"2021-06-02",188.229996,192.389999,188.100006,191.179993,955600,189.716095
"2021-06-03",190.809998,193.139999,189.660004,189.960007,941700,188.505447
"2021-06-04",191.160004,193.710007,190.639999,193.610001,834100,192.127487
"2021-06-07",194.399994,195.360001,192.350006,193.830002,902200,192.34581
