"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2020-09-18",39.209999,40.099998,39.150002,39.669998,9705500,37.410595
"2020-09-21",38.509998,38.830002,37.029999,37.43,7868100,35.298172
"2020-09-22",37.27,37.790001,36.5,36.950001,6715500,34.845512
"2020-09-23",37.119999,37.619999,36,36.09,6048100,34.034492
"2020-09-24",36.259998,36.48,35.189999,35.75,6527900,33.71386
"2020-09-25",35.5,36.43,35.380001,36.259998,3957900,34.194809
"2020-09-28",36.869999,37.75,36.869999,37.25,3915300,35.128429
"2020-09-29",37.110001,37.32,36.459999,36.77,3805200,34.675766
"2020-09-30",36.970001,37.540001,36.740002,37.169998,6040300,35.052979
"2020-10-01",37.240002,37.669998,36.830002,37.259998,4128100,35.137856
"2020-10-02",36.650002,37.950001,36.57,37.630001,4697500,35.486786
"2020-10-05",38.139999,38.919998,37.709999,38.52,4122700,36.326096
"2020-10-06",39.009998,39.75,38.259998,38.369999,5766100,36.184631
"2020-10-07",39.009998,39.779999,38.91,39.34,6762900,37.099392
"2020-10-08",39.490002,40.07,39.419998,39.849998,4693900,37.580345
"2020-10-09",40.080002,40.290001,39.419998,39.48,3980300,37.231411
"2020-10-12",39.630001,40.419998,39.52,40.34,5811800,38.042435
"2020-10-13",39.869999,39.869999,38.779999,39,6503800,36.778751
"2020-10-14",39,39.720001,38.950001,38.970001,4611400,36.750465
"2020-10-15",38.369999,39.209999,38.169998,39.130001,3646300,36.901356
"2020-10-16",39.279999,39.860001,38.860001,39.279999,4689400,37.042812
"2020-10-19",39.52,39.790001,38.959999,39.07,3745200,36.844765
"2020-10-20",39.560001,40.09,39.299999,39.34,3866000,37.099392
"2020-10-21",39.119999,39.580002,39.040001,39.130001,5834700,36.901356
"2020-10-22",39.18,40.66,39.040001,40.610001,4916900,38.297058
"2020-10-23",41,41.240002,40.59,40.939999,4804100,38.608261
"2020-10-26",40.330002,40.450001,39.099998,39.380001,6717800,37.137108
"2020-10-27",39.32,39.34,37.669998,37.77,5451900,35.618809
"2020-10-28",36.82,37.599998,36.470001,36.599998,6959900,34.515446
"2020-10-29",36.349998,37.650002,35.900002,37.310001,5097700,35.185017
"2020-10-30",37.119999,37.860001,36.799999,37.849998,6522100,35.694252
"2020-11-02",38.09,38.970001,37.41,38.700001,5635900,36.944839
"2020-11-03",39.5,40.310001,39.32,39.970001,5860200,38.157242
"2020-11-04",38.889999,40.060001,38.279999,39,7827900,37.231232
"2020-11-05",39.950001,41.810001,39.509998,41.130001,7936600,39.264633
"2020-11-06",41.77,41.93,40.080002,40.48,6063800,38.644112
"2020-11-09",43.209999,46.150002,42.830002,44.939999,11758900,42.90184
"2020-11-10",45.799999,46.48,44.889999,46.029999,9444000,43.942402
"2020-11-11",46,46.34,45.200001,45.509998,7381300,43.445984
"2020-11-12",44.709999,44.91,43.130001,43.779999,6805000,41.794449
"2020-11-13",44.27,45.060001,44.189999,44.740002,4812900,42.710911
"2020-11-16",46.200001,46.349998,45.490002,46.029999,7336500,43.942402
"2020-11-17",45.630001,46.360001,45.279999,46.009998,4615400,43.923309
"2020-11-18",46.25,47.150002,45.700001,45.709999,5627600,43.636917
