"","O.Open","O.High","O.Low","O.Close","O.Volume","O.Adjusted"
"2020-10-23",58.788761,59.282948,58.265503,58.86628,1533965,54.420498
"2020-10-26",58.546513,58.565891,57.44186,57.974808,2182680,53.596359
"2020-10-27",58.129845,58.430233,56.908916,56.908916,1541808,52.61095
"2020-10-28",56.20155,56.676357,55.804264,56.017441,2604046,51.786816
"2020-10-29",56.25,57.189922,55.319767,56.705425,2552858,52.422836
"2020-10-30",56.288761,56.986435,55.571705,56.065891,2493209,52.039692
"2020-11-02",56.579456,58.120155,56.521317,57.790699,2606006,53.640648
"2020-11-03",57.374031,57.994186,56.734497,57.412792,2104454,53.289864
"2020-11-04",57.170544,57.577518,56.656979,56.686047,2547492,52.615311
"2020-11-05",57.054264,57.228683,56.172482,56.20155,2543467,52.1656
"2020-11-06",56.560078,57.829456,55.901161,56.19186,4052458,52.156609
"2020-11-09",59.593021,62.306202,59.312016,59.689922,6756917,55.403477
"2020-11-10",59.874031,62.751938,59.476746,62.66473,3794561,58.164654
"2020-11-11",62.325581,62.33527,60.503876,61.47287,2443054,57.058388
"2020-11-12",60.949612,60.949612,59.244186,59.854652,2118799,55.556366
"2020-11-13",60.009689,61.240311,60.009689,61.094959,1675349,56.707615
"2020-11-16",62.887596,63.071705,61.511627,62.470928,2622518,57.98476
"2020-11-17",61.782948,61.831394,60.426357,60.872093,2570815,56.500748
"2020-11-18",60.949612,61.627907,59.244186,59.292637,2885885,55.03471
"2020-11-19",59.156979,59.573643,58.217052,59.215115,3361121,54.962757
"2020-11-20",59.03101,59.341084,58.352715,58.517441,3342545,54.315186
"2020-11-23",58.875969,60.125969,58.720928,59.001938,2901365,54.764896
"2020-11-24",59.903103,61.02713,59.825581,59.922482,3582794,55.619339
"2020-11-25",60.077518,61.153103,59.563953,60.949612,3274742,56.572697
"2020-11-27",61.046513,61.046513,59.593021,59.728683,1373695,55.439453
"2020-11-30",59.88372,59.912792,58.071705,58.110466,5697156,54.142979
"2020-12-01",58.64341,59.137596,58.313953,58.498062,2759155,54.504112
"2020-12-02",58.604652,59.147285,58.168606,58.895348,2067715,54.874275
"2020-12-03",58.943798,59.77713,58.79845,59.195736,1847074,55.154148
"2020-12-04",59.660854,59.970928,59.001938,59.360466,1946455,55.307636
"2020-12-07",59.341084,59.447674,58.730621,58.86628,2411784,54.847195
"2020-12-08",58.788761,59.224808,58.517441,58.52713,2753892,54.531193
"2020-12-09",58.575581,59.389534,58.323643,58.80814,4726766,54.793018
"2020-12-10",58.536823,58.740311,57.984497,58.071705,3565354,54.106865
"2020-12-11",58.139534,58.720928,58.023254,58.58527,3157198,54.585361
"2020-12-14",59.011627,59.980621,58.546513,58.740311,3447912,54.729816
"2020-12-15",58.982559,59.83527,58.488373,59.83527,2485469,55.750015
"2020-12-16",59.864342,60.174419,59.379845,59.447674,2362042,55.388885
"2020-12-17",59.757751,59.854652,59.03101,59.137596,2913439,55.099983
"2020-12-18",58.982559,59.631783,57.432171,57.674419,5752678,53.73671
"2020-12-21",57.44186,57.926357,56.889534,57.916668,2970612,53.962402
"2020-12-22",58.032948,59.040699,57.674419,59.040699,2357088,55.009705
"2020-12-23",59.079456,59.525192,58.52713,58.58527,2138407,54.585361
"2020-12-24",58.779072,59.224808,58.420544,59.195736,797426,55.154148
"2020-12-28",59.156979,59.961239,59.069767,59.854652,1960800,55.768078
"2020-12-29",59.854652,60.319767,58.953487,59.079456,1624678,55.045807
"2020-12-30",59.127907,60.067829,59.021317,59.379845,1450889,55.325687
"2020-12-31",59.050388,60.271317,58.575581,60.242249,2362970,56.345284
"2021-01-04",60.251938,60.329456,57.965115,58.003876,3965254,54.251713
"2021-01-05",58.139534,58.86628,58.081394,58.294575,2801777,54.523609
"2021-01-06",58.720928,58.788761,57.509689,57.800388,4274647,54.061382
"2021-01-07",57.916668,57.926357,56.744186,57.073643,4302924,53.381657
"2021-01-08",57.170544,58.003876,57.034885,57.887596,3300542,54.142948
"2021-01-11",57.732559,57.974808,57.422482,57.577518,2622106,53.852928
"2021-01-12",55.271317,56.153103,55.232559,56.017441,12195247,52.393772
"2021-01-13",56.434109,57.034885,55.736435,55.988373,4415309,52.366589
"2021-01-14",56.346897,56.41473,55.881783,56.036823,3009828,52.4119
"2021-01-15",56.25,57.093021,55.610466,56.831394,3361121,53.155079
"2021-01-19",57.170544,57.170544,55.988373,56.337208,3406219,52.692852
"2021-01-20",56.395348,57.344959,56.220928,57.151161,2624686,53.454155
"2021-01-21",56.676357,57.625969,56.375969,57.257751,2632426,53.553852
"2021-01-22",57.083332,58.091084,56.928295,57.984497,2904151,54.233593
"2021-01-25",58.139534,59.389534,57.78101,58.507751,3731918,54.722992
"2021-01-26",58.575581,59.282948,58.410854,58.788761,2520763,54.985836
"2021-01-27",58.381783,59.273254,58.246124,58.488373,3546571,54.704865
"2021-01-28",58.381783,59.83527,58.294575,59.060078,3127373,55.239586
"2021-01-29",58.275192,59.011627,57.073643,57.228683,4867118,53.733845
"2021-02-01",57.60659,58.362404,57.015503,58.294575,2511578,54.734646
"2021-02-02",58.294575,58.905041,57.945736,58.449612,2356366,54.880211
"2021-02-03",58.197674,58.730621,57.800388,58.58527,2373703,55.007587
"2021-02-04",58.70155,59.534885,58.58527,59.060078,1957910,55.453396
"2021-02-05",59.244186,59.525192,59.098839,59.282948,1627774,55.662655
"2021-02-08",59.312016,59.399223,58.895348,59.011627,1972771,55.407909
"2021-02-09",59.089146,59.874031,59.011627,59.825581,2203939,56.172153
"2021-02-10",60.193798,61.521317,60.029072,60.562016,3566489,56.863609
"2021-02-11",60.707363,61.075581,60.455425,60.978683,2190833,57.254841
"2021-02-12",60.678295,61.162792,60.174419,60.523254,1866578,56.827217
"2021-02-16",60.707363,60.862404,59.379845,59.786823,2784130,56.135757
"2021-02-17",59.699612,60.029072,59.195736,59.844959,1930975,56.190353
"2021-02-18",59.709301,59.825581,58.953487,59.03101,3308386,55.426102
"2021-02-19",59.321705,60.174419,59.137596,59.195736,2858434,55.580772
"2021-02-22",59.360466,60.455425,59.205425,60.174419,3666490,56.499691
"2021-02-23",60.600777,60.872093,59.602715,60.445736,4029650,56.75444
"2021-02-24",60.397285,60.697674,60.009689,60.436047,3710040,56.745338
"2021-02-25",60.591084,61.812016,59.176357,59.680233,3338004,56.035671
"2021-02-26",59.457363,60.009689,58.333332,58.391472,3404465,55.035614
"2021-03-01",59.273254,59.83527,58.575581,58.63372,3024276,55.263939
"2021-03-02",58.624031,58.837208,57.858528,58.498062,3517882,55.13607
"2021-03-03",58.498062,59.593021,58.430233,58.895348,3220356,55.510525
"2021-03-04",58.720928,59.040699,56.879845,57.60659,4465361,54.295841
"2021-03-05",57.819767,58.197674,56.463177,58.100777,3907358,54.761627
"2021-03-08",58.226746,59.263565,57.839146,58.565891,3772063,55.200001
"2021-03-09",58.604652,59.699612,58.149223,58.827518,3305496,55.446602
"2021-03-10",58.827518,59.903103,58.79845,59.515503,3441101,56.095039
"2021-03-11",59.767441,60.562016,58.769379,59.903103,3234907,56.460373
"2021-03-12",59.922482,61.02713,59.534885,60.978683,2806730,57.474129
"2021-03-15",61.269379,62.286823,60.775192,61.937984,3268241,58.3783
"2021-03-16",62.015503,62.461239,61.327518,61.976746,2896514,58.414833
"2021-03-17",61.821705,62.209301,61.482559,61.899223,2877216,58.34177
"2021-03-18",61.560078,61.899223,60.96899,61.25,2706833,57.729866
"2021-03-19",61.172482,61.41473,59.622093,59.83527,11386056,56.396439
"2021-03-22",59.874031,60.804264,59.525192,60.523254,3583414,57.044876
"2021-03-23",60.503876,61.375969,60.368217,60.998062,3369067,57.492397
"2021-03-24",60.998062,62.238373,60.930233,61.269379,3019735,57.748116
"2021-03-25",61.094959,62.054264,60.474808,61.928295,2139026,58.369167
"2021-03-26",62.102715,62.587208,61.443798,62.228683,2014877,58.65229
"2021-03-29",62.209301,62.596897,61.482559,62.21899,2276695,58.643162
"2021-03-30",61.967052,62.39341,61.753876,62.131783,2346046,58.560963
"2021-03-31",61.831394,62.27713,61.453487,61.53101,2567410,58.208042
"2021-04-01",61.947674,63.129845,61.666668,63.091084,2642333,59.683872
"2021-04-05",63.207363,63.420544,62.519379,63.226746,2546460,59.812218
"2021-04-06",63.120155,63.410854,62.625969,63.110466,3194350,59.702202
"2021-04-07",63.081394,63.64341,62.936047,63.517441,2230565,60.087208
"2021-04-08",63.507751,63.759689,63.294575,63.381783,1812192,59.958874
"2021-04-09",63.46899,63.624031,62.955425,63.168606,2281236,59.757214
"2021-04-12",63.352715,63.70155,62.703487,63.63372,2085053,60.197208
"2021-04-13",63.284885,63.992249,63.197674,63.953487,2127778,60.499706
"2021-04-14",63.934109,64.001938,63.246124,63.333332,1819003,59.913036
