"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2020-10-30",182.660004,184.220001,179.229996,181.710007,10252900,179.69281
"2020-11-02",184.509995,186.919998,183.889999,184.740005,8057100,182.689163
"2020-11-03",186.830002,189.529999,185.160004,188.339996,6467900,186.249207
"2020-11-04",192.889999,196.880005,191.529999,193.970001,8102700,191.816711
"2020-11-05",198.360001,200.990005,197.289993,197.639999,7132100,195.445984
"2020-11-06",197.350006,199.679993,195.429993,198.470001,6180500,196.266754
"2020-11-09",214.690002,217.649994,212.279999,212.679993,17916900,210.319
"2020-11-10",211.940002,214.059998,210.550003,213.309998,7943600,210.942001
"2020-11-11",212.169998,214.279999,211.669998,212.699997,5337200,210.33876
"2020-11-12",211.429993,212.539993,207.139999,208.259995,7302500,206.258362
"2020-11-13",209.910004,211.279999,207.300003,210.479996,6377500,208.457031
"2020-11-16",214.570007,215.089996,211.830002,212.699997,12083200,210.655685
"2020-11-17",210.559998,212.089996,209.5,210.710007,7268800,208.68486
"2020-11-18",209.720001,211.149994,207.669998,207.830002,6977900,205.832535
"2020-11-19",207.240005,208.729996,205.529999,207.570007,5657200,205.575027
"2020-11-20",207.130005,208.110001,203.809998,203.880005,9653500,201.920486
"2020-11-23",204.699997,209,204.699997,208.160004,6101900,206.159363
"2020-11-24",210.850006,213.820007,209.399994,209.679993,10110800,207.664734
"2020-11-25",209.669998,211.949997,208.869995,210.889999,6772900,208.863098
"2020-11-27",212,212.029999,208.809998,211,3512900,208.972046
"2020-11-30",209.539993,210.539993,206.600006,210.350006,7725500,208.328308
"2020-12-01",212.130005,213.669998,211.039993,211.199997,8047900,209.170135
"2020-12-02",211,211.399994,208.479996,210.179993,9728900,208.159927
"2020-12-03",209.779999,211.110001,207.610001,208.050003,9203300,206.050385
"2020-12-04",209.740005,212.720001,208.509995,212.679993,5720100,210.63591
"2020-12-07",211.970001,214.5,211.800003,212.649994,10624500,210.606186
"2020-12-08",209.949997,213.130005,209.889999,212.770004,8646200,210.725052
"2020-12-09",213.229996,213.5,208.949997,209.580002,6251100,207.565674
"2020-12-10",208.509995,209.300003,207.25,207.610001,10492000,205.614624
"2020-12-11",205.360001,206.889999,204.5,206.240005,9227600,204.257828
"2020-12-14",207.850006,211.300003,206.970001,207.25,11967700,205.258087
"2020-12-15",208.539993,209.440002,206.160004,208.360001,9796100,206.357437
"2020-12-16",208.479996,209.130005,207.139999,208.270004,7504400,206.26828
"2020-12-17",209,211.779999,208.850006,211.179993,6517200,209.150299
"2020-12-18",211.020004,211.979996,209.869995,211.309998,13298200,209.279068
"2020-12-21",208.270004,209.800003,204.789993,209.009995,7576700,207.00116
"2020-12-22",208.389999,208.399994,205.600006,205.839996,7396200,203.861618
"2020-12-23",207.330002,207.330002,205.110001,205.300003,6523100,203.326828
"2020-12-24",206.639999,208.820007,206.600006,208.699997,3367900,206.694153
"2020-12-28",209.850006,213.460007,208.949997,212.630005,5816200,210.58638
"2020-12-29",214.610001,215.240005,213.539993,214.369995,6093400,212.309647
"2020-12-30",216,220.389999,215.649994,218.360001,8875100,216.261307
"2020-12-31",218.399994,219.820007,216.199997,218.729996,5922200,216.627731
"2021-01-04",220.25,220.25,214.240005,217.759995,10318300,215.667068
"2021-01-05",216.309998,218.460007,213.639999,214.509995,6869700,212.448288
"2021-01-06",213.800003,216.169998,212.070007,212.619995,7206200,210.576477
"2021-01-07",212.199997,215.220001,212.199997,213.809998,10967900,211.755035
"2021-01-08",214.169998,216.119995,212.75,215.449997,6513000,213.379288
"2021-01-11",213.960007,214.860001,212.479996,212.889999,7353100,210.843887
"2021-01-12",212.339996,212.789993,207.470001,208.860001,9331600,206.852631
"2021-01-13",209.410004,211,208.630005,209.350006,6688500,207.337921
"2021-01-14",210.570007,211.210007,201.729996,201.860001,12887500,199.919907
"2021-01-15",201.539993,203.259995,200.429993,201.589996,8755000,199.652481
"2021-01-19",203.050003,204.169998,200.070007,201.660004,9772000,199.721832
"2021-01-20",203.029999,207.190002,202.229996,206.009995,12675700,204.029999
"2021-01-21",206.050003,207.169998,204.75,205.139999,6513500,203.16835
"2021-01-22",203.990005,205.330002,201.800003,202.020004,7316200,200.078354
"2021-01-25",200.339996,201.639999,195.75,200.979996,19282400,199.048355
"2021-01-26",201.759995,203.490005,200.970001,202.009995,9605300,200.068436
"2021-01-27",197.639999,199.699997,193.960007,194.970001,13772400,193.096115
"2021-01-28",200,202,198.169998,198.220001,11041300,196.31488
"2021-01-29",197.820007,203.050003,192.809998,193.25,21503000,191.392654
"2021-02-01",195.139999,199.210007,195.020004,198.360001,12970700,196.453552
"2021-02-02",200.850006,204.350006,200,202.610001,11305100,200.662704
"2021-02-03",203.070007,203.509995,200.979996,201.360001,13458600,199.424698
"2021-02-04",203.240005,209.679993,203.100006,209.25,14534800,207.238861
"2021-02-05",209.979996,210.130005,208.660004,208.770004,10284000,206.763474
"2021-02-08",210,210.649994,205.910004,206.889999,8637100,204.90155
"2021-02-09",205.759995,207.630005,203.699997,206.520004,7619400,204.53511
"2021-02-10",207.970001,207.970001,205.940002,206.440002,8467600,204.455902
"2021-02-11",207.330002,211.589996,207.190002,210.660004,8411100,208.959213
"2021-02-12",209.360001,211.130005,207.679993,209.960007,6911000,208.264908
"2021-02-16",210.660004,211.050003,207.350006,207.899994,9652700,206.221497
"2021-02-17",205.259995,208.279999,205.059998,207.509995,8373200,205.834656
"2021-02-18",205.880005,209.699997,204.960007,209.350006,7328600,207.65979
"2021-02-19",209.339996,209.529999,203.759995,204.729996,15011500,203.077087
"2021-02-22",203.550003,210.649994,203.110001,208.320007,8337700,206.638138
"2021-02-23",207.399994,213.910004,206.550003,212.110001,10571700,210.397507
"2021-02-24",212.360001,220.529999,211.289993,219.429993,12039000,217.658401
"2021-02-25",219.289993,220.449997,212.580002,213.75,11404300,212.024277
"2021-02-26",214.050003,215.210007,210.740005,212.389999,11730000,210.675247
"2021-03-01",214.970001,217.800003,214.789993,216.630005,6982000,214.881012
"2021-03-02",216.960007,217.929993,214.820007,215.770004,6155200,214.027969
"2021-03-03",215.149994,217.190002,212.860001,214.850006,6484600,213.115402
"2021-03-04",215.970001,217.020004,208.669998,211.5,10658900,209.792435
"2021-03-05",213.729996,216.100006,209.630005,215.410004,7582000,213.670868
"2021-03-08",216.979996,226.130005,215.809998,220.270004,14750400,218.491638
"2021-03-09",222.059998,225,220.190002,220.360001,9228600,218.580917
"2021-03-10",220.720001,224.190002,219.399994,223.169998,7822900,221.36821
"2021-03-11",224.529999,228.229996,223.809998,226.149994,10053400,224.324142
"2021-03-12",225.279999,226.539993,223.419998,224.360001,8172400,222.548615
"2021-03-15",224.229996,227.089996,221.740005,223.270004,9306100,221.467407
"2021-03-16",223.710007,225.580002,222.300003,224.699997,8949300,222.885849
"2021-03-17",225.050003,226.240005,221.759995,223.020004,8675600,221.219437
"2021-03-18",221.429993,222.520004,219.580002,220.660004,9321800,218.878479
"2021-03-19",219.119995,220.169998,206.880005,206.899994,32209700,205.229584
"2021-03-22",206.550003,212.289993,206.229996,208,11371600,206.320694
"2021-03-23",209.050003,209.960007,207.5,208.149994,8820700,206.469482
"2021-03-24",208.75,211.139999,207.929993,208.070007,10101600,206.390137
"2021-03-25",207.669998,208.820007,205.779999,207.970001,8390800,206.290939
"2021-03-26",208.25,213.699997,207.699997,213.529999,7399900,211.806046
"2021-03-29",212.449997,215.289993,211.119995,214.509995,7792300,212.778122
"2021-03-30",213.009995,214.149994,211.410004,211.899994,5498000,210.189194
"2021-03-31",212.550003,214.110001,211.550003,211.729996,13180000,210.020584
"2021-04-01",213.779999,217.740005,212.300003,216.860001,6138400,215.109161
"2021-04-05",218.600006,220.509995,217.309998,219.039993,10440500,217.271561
"2021-04-06",217.619995,219.399994,215.339996,218.649994,7828100,216.884705
"2021-04-07",219.119995,221.039993,218.639999,219.270004,5614300,217.49971
"2021-04-08",219.970001,222.820007,218.110001,220.699997,11042000,218.918152
"2021-04-09",221,222.600006,219.509995,222.520004,5724900,220.723465
"2021-04-12",220.240005,221.910004,219.220001,221.470001,6315200,219.681961
"2021-04-13",221,221.619995,220.220001,221.020004,4764000,219.235565
"2021-04-14",221,223.100006,220.070007,221.979996,4972600,220.187805
"2021-04-15",223.889999,227.630005,223.860001,226.279999,8698100,224.45311
"2021-04-16",227.169998,227.800003,225.759995,226.410004,6829400,224.582077
"2021-04-19",225.75,227.580002,225.080002,225.789993,6541600,223.967072
"2021-04-20",224.779999,225.380005,221.820007,223.279999,5799100,221.477325
"2021-04-21",223.309998,227.869995,222.869995,227.449997,9490600,225.613663
"2021-04-22",227.300003,230.929993,226.889999,227.570007,7303000,225.732727
"2021-04-23",228.610001,231.820007,227.710007,230,5345200,228.143082
"2021-04-26",230.770004,232.949997,229.520004,230.339996,5650000,228.480316
"2021-04-27",231.029999,231.160004,228.990005,229.910004,6642100,228.053802
"2021-04-28",230.949997,236.270004,230.669998,233.449997,10111400,231.565231
"2021-04-29",235.229996,237.5,233.149994,236.860001,7411400,234.947708
"2021-04-30",235.320007,235.929993,232.289993,233.559998,10260200,231.674316
"2021-05-03",234.050003,235.740005,231.389999,232.610001,8174400,230.731995
"2021-05-04",231.600006,232.389999,230.229996,232.029999,5884500,230.156693
"2021-05-05",233.850006,233.850006,228.660004,229.210007,6523200,227.359467
"2021-05-06",229.630005,231.580002,228.660004,231.320007,6124100,229.452438
"2021-05-07",232.339996,233.220001,230.710007,232.119995,4528700,230.245956
"2021-05-10",231.600006,232,225.160004,225.970001,9627400,224.14563
"2021-05-11",223.740005,226.419998,222.039993,225.479996,7633300,223.659576
"2021-05-12",223.630005,225,220.309998,220.630005,7721300,218.84874
"2021-05-13",221.509995,224.899994,220.889999,223.740005,6650100,222.255981
"2021-05-14",225.820007,227.509995,224.919998,226.940002,4777200,225.434753
"2021-05-17",226.179993,227.160004,225.320007,226.440002,5534200,224.93808
"2021-05-18",228.389999,229.179993,225.429993,225.570007,6900000,224.073853
"2021-05-19",222.759995,224.850006,221.789993,224.589996,9311900,223.100342
"2021-05-20",225.440002,227.600006,225.240005,226.440002,7478600,224.93808
"2021-05-21",226.880005,229.309998,226.550003,226.770004,5603900,225.2659
"2021-05-24",227.949997,230.110001,227.630005,229.320007,4040100,227.798981
"2021-05-25",229.899994,230.190002,228.419998,229.020004,4689100,227.500961
"2021-05-26",228.050003,229.350006,226.380005,227.070007,4295600,225.563904
"2021-05-27",227.759995,228.419998,226.369995,226.860001,5969600,225.355286
"2021-05-28",227.589996,229.429993,227.149994,227.300003,5779700,225.792374
"2021-06-01",229.440002,230.080002,226.279999,226.630005,5091500,225.126816
"2021-06-02",229.220001,233.110001,228.779999,229.660004,9081100,228.136719
"2021-06-03",229,230.389999,227.770004,228.110001,6382400,226.597
"2021-06-04",229.350006,230.699997,228.729996,230.139999,5085700,228.613541
"2021-06-07",232.850006,234.679993,230.080002,231.320007,5421300,229.785706
"2021-06-08",232.149994,232.850006,230.160004,232.050003,4170600,230.51088
"2021-06-09",232.5,234.850006,232.119995,232.309998,4659000,230.76915
"2021-06-10",233.100006,234.259995,232.130005,233.949997,4452500,232.398254
"2021-06-11",234.389999,235.440002,233.710007,234.960007,5378300,233.401581
"2021-06-14",234.699997,235.220001,231.570007,234.080002,5805800,232.527405
"2021-06-15",234.440002,234.800003,232.619995,232.979996,7093800,231.434708
"2021-06-16",233.619995,234.179993,228,229.600006,8905400,228.077133
"2021-06-17",229.210007,233.339996,229.210007,232.149994,6876700,230.610199
"2021-06-18",230.449997,232.179993,229.220001,230.410004,8840000,228.88176
"2021-06-21",231.449997,235.009995,230.399994,234.320007,7298400,232.765808
"2021-06-22",234.300003,236.089996,233.240005,235.929993,8858400,234.365112
"2021-06-23",235.449997,235.919998,233.940002,234.679993,6814700,233.123428
"2021-06-24",237,238.25,235.410004,236.240005,4611500,234.67308
"2021-06-25",236.399994,238.479996,236.320007,237.320007,7825200,235.745926
"2021-06-28",238,238.369995,231.860001,234.089996,9301700,232.537323
"2021-06-29",234.570007,236.520004,234.149994,235.949997,11897700,234.384995
"2021-06-30",235.110001,236.399994,233.820007,233.820007,7797100,232.269119
"2021-07-01",234.199997,236.25,234.050003,235.149994,5329600,233.590302
"2021-07-02",235.830002,238.779999,235.820007,238.630005,4383700,237.047211
"2021-07-06",239.5,240.610001,237.210007,239.600006,8048700,238.010788
"2021-07-07",240.259995,241.039993,238.300003,240,4366100,238.408142
"2021-07-08",236.970001,237.070007,234.550003,236.610001,6388000,235.040604
"2021-07-09",238.759995,239.449997,237.419998,238.470001,5615900,236.888275
"2021-07-12",237.580002,238.509995,237.270004,237.869995,7010700,236.292267
"2021-07-13",238.25,242.479996,238.25,242.350006,8079200,240.742538
"2021-07-14",243.220001,246.809998,242.820007,245.990005,8693400,244.358414
"2021-07-15",245.309998,248.800003,245.309998,248.550003,10135100,246.901428
"2021-07-16",249.990005,250.460007,247.520004,248.119995,8674500,246.474258
"2021-07-19",243.990005,244.449997,238.899994,240.410004,11474600,238.815414
"2021-07-20",240.639999,244.210007,239.509995,242.699997,7072300,241.090225
"2021-07-21",243.289993,246.899994,242.300003,243.660004,11241400,242.043869
"2021-07-22",243.779999,245.350006,243.149994,244.139999,10293600,242.520676
"2021-07-23",246.759995,250.009995,246.759995,249.020004,6766000,247.368317
"2021-07-26",249.210007,250.360001,247.699997,250.25,4879000,248.590149
