"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2020-09-18",31.74,32.610001,31.639999,32.279999,12106500,30.171335
"2020-09-21",30.799999,31.34,30.25,31.25,10301500,29.20862
"2020-09-22",31.1,31.709999,30.879999,31.040001,9786300,29.012339
"2020-09-23",30.9,31.16,28.700001,28.73,8669200,26.853237
"2020-09-24",28.51,29.15,27.57,28.620001,9454400,26.750423
"2020-09-25",28.129999,28.889999,27.629999,28.629999,6647200,26.759768
"2020-09-28",29.459999,30.309999,29.18,29.950001,7496000,27.993542
"2020-09-29",29.92,30.27,29.120001,29.43,4856600,27.507511
"2020-09-30",29.59,30.209999,29.129999,29.34,5788800,27.423388
"2020-10-01",28.77,28.98,27.389999,27.709999,7880300,25.899866
"2020-10-02",26.82,28.639999,26.559999,28.27,7342400,26.42329
"2020-10-05",28.700001,29.469999,28.620001,29.24,6615100,27.329922
"2020-10-06",29.77,30.299999,28.76,28.83,5367900,26.946703
"2020-10-07",28.99,29.27,28.549999,29.209999,5507800,27.301882
"2020-10-08",29.389999,31.139999,29.280001,31.120001,6636000,29.087111
"2020-10-09",31.35,31.389999,30.07,30.120001,7514000,28.152435
"2020-10-12",29.969999,30.51,29.620001,30.49,4393100,28.498268
"2020-10-13",30.17,30.49,29.08,29.379999,6551800,27.460775
"2020-10-14",29.540001,30.6,29.43,29.91,4925100,27.956154
"2020-10-15",29.1,30.57,28.59,30.540001,5150200,28.544998
"2020-10-16",30.34,30.52,29.32,29.370001,5024100,27.451431
"2020-10-19",29.389999,29.51,28.17,28.25,8570100,26.404591
"2020-10-20",28.6,29.5,28.5,29.24,6047600,27.329922
"2020-10-21",28.74,29.49,28.290001,28.82,5732500,26.937359
"2020-10-22",28.610001,29.65,28.09,29.51,6250000,27.582281
"2020-10-23",29.870001,30.58,29.059999,29.889999,6050900,27.93746
"2020-10-26",29.25,29.290001,28.15,28.6,6438500,26.73173
"2020-10-27",28.440001,29,28.049999,28.190001,4681200,26.348511
"2020-10-28",27.27,27.940001,26.790001,27.5,8389000,25.703585
"2020-10-29",27.01,28.879999,26.77,28.83,6478500,26.946703
"2020-10-30",28.5,29.530001,28.16,29.5,8784600,27.572939
"2020-11-02",28.92,31.809999,28.540001,31.299999,11738200,29.255354
"2020-11-03",31.68,32.34,31.459999,31.91,8395600,29.825508
"2020-11-04",31.92,32.73,31.129999,31.700001,7392500,29.629225
"2020-11-05",31.65,32.52,31.52,31.83,7109500,29.750732
"2020-11-06",31.700001,32.470001,31.290001,31.58,7181600,29.517061
"2020-11-09",35.68,38.220001,35.650002,36.470001,17209800,34.087627
"2020-11-10",37.400002,37.669998,36.279999,37.639999,12599800,35.181198
"2020-11-11",37.84,38.220001,36.740002,37.189999,5687600,34.760593
"2020-11-12",36.48,36.639999,34.419998,34.700001,8952800,32.43325
"2020-11-13",35.189999,37.639999,35.02,37.560001,7917600,35.106426
"2020-11-16",39.439999,40.869999,38.669998,40.73,15288200,38.069344
"2020-11-17",39.02,40.66,38.16,40.610001,7931300,38.505512
"2020-11-18",40.889999,41.07,38.529999,38.540001,9135600,36.542778
"2020-11-19",37.450001,39.240002,37.209999,39.080002,6149200,37.054798
"2020-11-20",38.990002,39.169998,38.200001,38.259998,4602400,36.27729
"2020-11-23",39,41.349998,38.880001,41.220001,8987300,39.0839
"2020-11-24",42.740002,42.869999,41.43,42.450001,12176000,40.250153
"2020-11-25",41.889999,42.209999,41.34,41.48,5782500,39.330425
"2020-11-27",41.16,41.889999,41.040001,41.419998,4122200,39.273529
"2020-11-30",40.830002,41.490002,38.639999,38.880001,13248200,36.865162
"2020-12-01",40.220001,41.279999,39.32,39.450001,5942200,37.405621
"2020-12-02",39,41.23,38.740002,40.580002,5792600,38.477066
"2020-12-03",40.75,41.93,40.25,40.990002,4191500,38.865822
"2020-12-04",41.849998,43.560001,41.720001,42.91,5557700,40.686321
"2020-12-07",42.25,42.740002,40.889999,42.209999,5835300,40.022594
"2020-12-08",41.549999,43.310001,41.490002,42.450001,4107200,40.250153
"2020-12-09",43.18,43.880001,41.939999,42.639999,4302200,40.430309
"2020-12-10",42.450001,44.689999,42.34,43.830002,9325100,41.558643
"2020-12-11",43.290001,43.43,42.279999,42.91,3651600,40.686321
"2020-12-14",43.310001,43.900002,40.52,40.759998,6498400,38.647739
"2020-12-15",41.400002,42.290001,40.830002,42.25,5041300,40.06052
"2020-12-16",42.060001,42.240002,41.380001,41.650002,5975500,39.491615
"2020-12-17",41.990002,41.990002,40.41,40.580002,7227000,38.477066
"2020-12-18",40.060001,40.560001,39.73,40.349998,12846400,38.25898
"2020-12-21",39,40.290001,38.299999,39.75,6302500,37.690075
"2020-12-22",39.650002,40.290001,39.560001,39.669998,7608000,37.61422
"2020-12-23",40,41.650002,40,41.310001,4944700,39.169239
"2020-12-24",40.860001,41.23,40.389999,41.209999,1989300,39.074413
"2020-12-28",41.259998,42.380001,40.700001,40.779999,4293800,38.666702
"2020-12-29",40.98,41.310001,40.48,40.73,3363000,38.619293
"2020-12-30",40.91,41.869999,40.830002,41.57,3152300,39.41576
"2020-12-31",41.5,41.990002,41.060001,41.360001,3361400,39.216644
"2021-01-04",41.73,42.23,40.299999,40.75,4174100,38.638252
"2021-01-05",41.009998,43.32,40.939999,42.09,5869100,39.90881
"2021-01-06",43.119999,43.57,41.959999,42.950001,6819900,40.724243
"2021-01-07",43.23,44.779999,42.880001,44.169998,6420500,41.881027
"2021-01-08",44.75,44.790001,43.110001,43.18,5255000,40.942322
"2021-01-11",42.41,43.84,42.060001,43.59,4222600,41.331078
"2021-01-12",43.700001,45.779999,43.5,45.580002,10484700,43.217957
"2021-01-13",45.360001,45.43,43.630001,44.32,7234600,42.023251
"2021-01-14",44.5,46.080002,44.009998,45.52,8816200,43.161064
"2021-01-15",44.900002,45,43.330002,43.98,7719000,41.700871
"2021-01-19",44.34,46.639999,44.02,46.09,7186300,43.701523
"2021-01-20",46.470001,46.93,45.209999,46.169998,5529300,43.777378
"2021-01-21",46.200001,46.459999,45.009998,45.389999,5204400,43.037804
"2021-01-22",44.18,45.84,43.77,45.75,3645100,43.379147
"2021-01-25",44.919998,46.439999,44.43,46.23,7148400,43.83427
"2021-01-26",46.68,47.189999,44.98,45.16,4268200,42.819721
"2021-01-27",44,45.509998,43.18,43.939999,8826500,41.662945
"2021-01-28",44.380001,45.279999,43.459999,44.77,6253800,42.449928
"2021-01-29",44.279999,45.41,43.110001,43.16,6180900,40.923367
"2021-02-01",43.77,44.060001,42.32,43.450001,5232100,41.198334
"2021-02-02",44.439999,46.419998,44.009998,45.150002,7112000,42.810238
"2021-02-03",45.57,47.459999,45.400002,47.299999,6492000,44.84882
"2021-02-04",47.82,48.279999,46.59,47.330002,5007500,44.877266
"2021-02-05",48.009998,48.23,47.23,47.650002,3846000,45.180683
"2021-02-08",48.220001,49.860001,48.150002,49.48,9360200,46.915852
"2021-02-09",49.049999,49.09,48.130001,48.869999,5076900,46.33746
"2021-02-10",49.060001,50.169998,48.32,49.810001,4938500,47.228756
"2021-02-11",49.84,49.939999,48.66,49.759998,3753700,47.181343
"2021-02-12",49.439999,50.580002,49.25,50.459999,3907200,47.845066
"2021-02-16",50.810001,52.080002,50.720001,51.459999,10784600,49.360607
"2021-02-17",51.560001,52.119999,50.459999,51.889999,5542300,49.77306
"2021-02-18",51.639999,51.93,50.810001,51.220001,4951800,49.130394
"2021-02-19",51.59,53.310001,51.529999,53,7603600,50.83778
"2021-02-22",53.610001,55.700001,53.389999,54.849998,8770000,52.612309
"2021-02-23",55.049999,56.139999,53.82,55.77,7649100,53.494774
"2021-02-24",56.049999,56.990002,55.830002,56.650002,6605200,54.338875
