"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"2021-04-19",119.68,119.980003,118.860001,119.400002,741300,115.504333
"2021-04-20",119.529999,120,118.57,119.25,869000,115.35923
"2021-04-21",119.919998,121.919998,118.919998,121.239998,785800,117.284294
"2021-04-22",120.949997,123.220001,118.589996,119.360001,1231100,115.465652
"2021-04-23",120.709999,122.940002,119.519997,122.330002,756300,118.338745
"2021-04-26",123.010002,123.230003,121.459999,122.209999,840800,118.222656
"2021-04-27",122.669998,123.349998,121.589996,123.160004,875300,119.141663
"2021-04-28",123.589996,124.75,122.889999,124.690002,1008600,120.62175
"2021-04-29",125.330002,127.440002,125.330002,125.739998,1130700,121.637474
"2021-04-30",125.68,125.739998,124.519997,124.970001,1406300,120.892609
"2021-05-03",125.949997,128.460007,125.709999,127.25,687700,123.098213
"2021-05-04",127.760002,130.350006,127.010002,130.259995,976000,126.009995
"2021-05-05",130.240005,132.399994,130.240005,131.649994,889200,127.354652
"2021-05-06",132.610001,132.869995,131.149994,132.380005,657100,128.060837
"2021-05-07",131.389999,133.970001,130.889999,133.460007,583700,129.105591
"2021-05-10",134.309998,135.929993,133.5,133.600006,613100,129.241043
"2021-05-11",132.860001,133.539993,130.710007,131.240005,744300,126.958038
"2021-05-12",131.130005,131.559998,127.339996,127.470001,798500,123.311035
"2021-05-13",127.879997,131.460007,127.82,130.949997,866500,126.67749
"2021-05-14",131.229996,132.240005,130.139999,131.960007,573800,127.654541
"2021-05-17",131.979996,133.339996,131.399994,132.350006,623600,128.03183
"2021-05-18",132.429993,133,131.059998,131.179993,873200,126.899986
"2021-05-19",129.550003,130.300003,128.440002,129.639999,1501100,125.410233
"2021-05-20",129.660004,131.100006,128.720001,130.809998,773700,126.542061
"2021-05-21",130.940002,133.309998,130.940002,131.429993,956100,127.141838
"2021-05-24",132,132.169998,131,131.399994,558900,127.112816
"2021-05-25",131.25,131.830002,129.770004,129.979996,911300,125.739143
"2021-05-26",130.679993,131.520004,129.630005,130.850006,779700,126.580772
"2021-05-27",132.039993,132.490005,130.369995,130.460007,1268800,126.203499
"2021-05-28",130.550003,131.770004,130.110001,131.119995,676900,126.841942
"2021-06-01",132,133.080002,131.389999,132.089996,684700,127.780296
"2021-06-02",132.509995,132.509995,130.509995,130.820007,619900,126.551735
"2021-06-03",129.539993,130.009995,128.350006,129.160004,622700,125.729187
"2021-06-04",129.559998,129.960007,128.330002,129.949997,480400,126.498184
"2021-06-07",130.169998,130.190002,127.610001,127.870003,620200,124.47345
"2021-06-08",127.309998,129.720001,127.309998,129.419998,656600,125.982269
"2021-06-09",129.089996,129.690002,128.059998,128.389999,700300,124.97963
"2021-06-10",129.289993,129.600006,127.610001,127.709999,470200,124.317696
"2021-06-11",128.25,129.300003,128.050003,129.029999,519600,125.602631
"2021-06-14",128.600006,128.729996,126.809998,127.610001,684200,124.22036
"2021-06-15",127.209999,127.349998,126.010002,127.269997,692400,123.889381
"2021-06-16",126.919998,127.379997,125.650002,125.849998,773100,122.507095
"2021-06-17",125.919998,126.059998,121.849998,122.879997,936000,119.615997
"2021-06-18",120.849998,121.480003,120.07,121.120003,1703600,117.902748
"2021-06-21",122.43,124.709999,122.07,124.419998,706000,121.115089
"2021-06-22",124.519997,125.519997,123.089996,124.949997,607300,121.631012
"2021-06-23",125.239998,126.220001,124.400002,125.32,599300,121.99118
"2021-06-24",126.010002,126.620003,125.25,126.160004,447500,122.808868
"2021-06-25",126.5,127.919998,126.5,127.650002,711900,124.259293
"2021-06-28",127.239998,127.290001,125.150002,125.510002,439800,122.17614
"2021-06-29",126.309998,127.57,126.309998,126.709999,385000,123.344261
"2021-06-30",126.599998,127.209999,125.839996,126.470001,471100,123.110641
"2021-07-01",126.989998,128.460007,126.540001,128.309998,506300,124.901756
"2021-07-02",128.660004,129.389999,128.169998,129.059998,452000,125.631844
"2021-07-06",128.919998,129.160004,126.389999,127.440002,655400,124.054871
"2021-07-07",126.82,129.199997,126.68,128.619995,421800,125.203522
"2021-07-08",126.849998,128.550003,126.470001,127.150002,712300,123.772575
"2021-07-09",129.110001,129.75,128.190002,129.520004,642900,126.07962
"2021-07-12",128.759995,130,128.020004,129.5,486300,126.06015
"2021-07-13",128.770004,129.220001,127.470001,127.660004,516500,124.269035
"2021-07-14",128.149994,128.880005,127.349998,128.789993,527200,125.369003
"2021-07-15",128.050003,129.610001,128.050003,129.009995,437500,125.583168
"2021-07-16",129.649994,129.889999,127.379997,127.610001,382300,124.22036
"2021-07-19",126.050003,126.660004,124.620003,125.629997,638600,122.292946
"2021-07-20",126.449997,129.309998,125.400002,128.330002,751900,124.921227
"2021-07-21",128.949997,129.949997,128.529999,129.169998,667900,125.738914
"2021-07-22",132.149994,132.149994,126,126.370003,966300,123.01329
"2021-07-23",127.309998,129.570007,126.769997,129.089996,648300,125.661034
"2021-07-26",128.649994,129.929993,127.839996,128.710007,694700,125.291145
"2021-07-27",127.970001,129.100006,127.099998,128.880005,571600,125.456635
"2021-07-28",129.039993,129.270004,126,126.050003,642700,122.70179
"2021-07-29",127.040001,128.309998,126.510002,127.919998,740900,124.522118
"2021-07-30",127.510002,128.5,126.379997,126.919998,1766500,123.548683
"2021-08-02",127.870003,128.940002,126.050003,126.459999,627200,123.100899
"2021-08-03",127.160004,128.630005,126,128.160004,613800,124.755745
"2021-08-04",127.220001,127.660004,124.879997,124.889999,454300,121.572609
"2021-08-05",125.589996,126.220001,123.290001,124.190002,518200,120.891197
"2021-08-06",125.410004,125.769997,123.709999,124.279999,550600,120.978806
"2021-08-09",123.739998,124.43,123.32,123.970001,438800,120.677048
"2021-08-10",123.769997,125.279999,123.599998,124.769997,406600,121.45578
"2021-08-11",124.779999,125.919998,123.980003,125.739998,376400,122.400024
"2021-08-12",125.919998,126.029999,124.589996,125.269997,330200,121.942513
"2021-08-13",125.25,125.330002,124.269997,124.639999,433800,121.329239
"2021-08-16",124.199997,126.07,123.110001,125.93,461000,122.584984
"2021-08-17",125,125,122.300003,123.669998,437700,120.38501
"2021-08-18",123.150002,125.290001,123,123.480003,559500,120.200066
"2021-08-19",122.419998,123.760002,121.800003,122.5,435800,119.246094
"2021-08-20",122.5,124.230003,122.5,123.82,439700,120.531021
"2021-08-23",124.57,124.57,122.519997,122.529999,357500,119.275299
"2021-08-24",122.519997,123.919998,122.389999,123.230003,558100,119.956703
"2021-08-25",123.190002,125.57,122.970001,124.739998,548500,121.42659
"2021-08-26",124.550003,124.550003,122.669998,122.720001,333900,119.460243
"2021-08-27",122.870003,123.949997,122.629997,123.660004,409600,120.375275
"2021-08-30",124.080002,124.480003,123.529999,123.639999,268400,120.355812
"2021-08-31",123.940002,124,121.720001,122.190002,786300,118.944328
"2021-09-01",122.639999,123.199997,121.040001,122.959999,591000,119.693863
"2021-09-02",122.32,122.839996,121.470001,122.489998,527300,120.031937
"2021-09-03",122.300003,122.940002,121.690002,122.18,432100,119.728165
"2021-09-07",121.889999,121.970001,120.050003,120.120003,442400,117.709511
"2021-09-08",120.050003,120.790001,119.269997,119.82,504700,117.41552
"2021-09-09",119.400002,120.919998,119.010002,119.190002,723700,116.798172
"2021-09-10",119.860001,120.089996,118.18,118.379997,807900,116.004417
"2021-09-13",119.370003,120.169998,118.589996,119.209999,614100,116.817764
