"","A.Open","A.High","A.Low","A.Close","A.Volume","A.Adjusted"
"2020-11-10",112.82,112.910004,108.989998,110.199997,2124800,109.062943
"2020-11-11",111.139999,111.790001,108.839996,109.410004,1792800,108.281097
"2020-11-12",109.400002,111.010002,108.900002,109.440002,1094300,108.310791
"2020-11-13",110.459999,111.540001,109.779999,110.169998,1356800,109.033249
"2020-11-16",111,111.489998,109.470001,110.269997,1656100,109.132217
"2020-11-17",110.5,110.769997,109.25,109.860001,1571500,108.726456
"2020-11-18",109.550003,109.879997,105.730003,105.949997,2047900,104.856789
"2020-11-19",106.739998,108.959999,105.190002,108.68,1886400,107.558624
"2020-11-20",108.639999,112.300003,108.32,110.889999,2775400,109.745819
"2020-11-23",111.400002,112.419998,109.559998,112.209999,3258700,111.0522
"2020-11-24",118.959999,118.959999,111.43,114.68,5559900,113.496719
"2020-11-25",116.089996,116.959999,113.410004,114.349998,2862500,113.170113
"2020-11-27",113.769997,114.980003,112.940002,114.089996,983700,112.912796
"2020-11-30",113.889999,117.07,113.669998,116.900002,3778400,115.69381
"2020-12-01",117.580002,118.379997,115.040001,115.360001,1753700,114.169685
"2020-12-02",115.629997,115.949997,114.129997,114.57,1735800,113.38784
"2020-12-03",114.150002,115.419998,113.160004,113.580002,1511400,112.408081
"2020-12-04",113.599998,115.239998,113.449997,115.150002,1118100,113.961868
"2020-12-07",115.199997,116.440002,114.120003,114.400002,2076700,113.219604
"2020-12-08",114.339996,117.339996,114.330002,117.010002,1320600,115.802681
"2020-12-09",116.379997,116.959999,114.480003,116.400002,1717600,115.198967
"2020-12-10",116.940002,119.900002,116.339996,118.809998,1630500,117.584099
"2020-12-11",118.669998,119.059998,117.290001,118.480003,1400800,117.257515
"2020-12-14",118.610001,120.239998,116.739998,116.739998,1395200,115.535454
"2020-12-15",117.300003,118.040001,116.849998,117.389999,1973800,116.178749
"2020-12-16",117.580002,117.739998,116.400002,117.239998,1698600,116.030312
"2020-12-17",118.050003,119.389999,117.040001,118.970001,2166700,117.742455
"2020-12-18",119.230003,119.860001,118.440002,119.300003,3911800,118.069061
"2020-12-21",117.699997,118.449997,115.959999,117.779999,2082000,116.564728
"2020-12-22",118,118.43,116.849998,117.370003,1670400,116.158966
"2020-12-23",118,118.889999,117.220001,117.300003,1202100,116.089691
"2020-12-24",117.040001,118.370003,116.839996,117.309998,733600,116.099586
"2020-12-28",118.510002,118.779999,116.669998,117.830002,1003100,116.614212
"2020-12-29",118.559998,119.120003,116.830002,117.230003,1007400,116.020416
"2020-12-30",117.860001,118.900002,117.330002,117.389999,1127000,116.178749
"2020-12-31",117.589996,118.599998,116.599998,118.489998,1307200,117.26741
"2021-01-04",118.940002,120.089996,117.110001,118.639999,2030700,117.608414
"2021-01-05",118.480003,120.32,118.07,119.610001,2344000,118.569977
"2021-01-06",118.690002,123.879997,118.209999,122.889999,2428500,121.821457
"2021-01-07",124.330002,127.480003,124.110001,126.160004,1775900,125.063019
"2021-01-08",126.489998,127.639999,125.849998,127.059998,1577200,125.9552
"2021-01-11",126.449997,129.339996,126.230003,128.149994,1746800,127.035721
"2021-01-12",128.330002,128.389999,126.199997,126.970001,1826400,125.86599
"2021-01-13",127.459999,128.050003,126.739998,126.980003,1530400,125.8759
"2021-01-14",127.269997,128.190002,125.82,126.029999,924900,124.934151
"2021-01-15",125.940002,127.120003,124.739998,126.209999,2115400,125.112587
"2021-01-19",127.379997,127.800003,126.290001,127.349998,1677200,126.242676
"2021-01-20",127.709999,128.919998,127.360001,128.110001,1843000,126.996078
"2021-01-21",127.769997,128.779999,126.419998,127,1612100,125.895721
"2021-01-22",127.080002,127.800003,126.300003,126.330002,1438700,125.23156
"2021-01-25",126.690002,127.480003,124.43,125.480003,1365400,124.388939
"2021-01-26",125.5,125.949997,123.870003,123.919998,1476600,122.842499
"2021-01-27",122.080002,123,118.110001,118.800003,1923500,117.767021
"2021-01-28",119,122.669998,118.779999,121.559998,1677900,120.503021
"2021-01-29",121.209999,121.690002,119.279999,120.169998,1822000,119.125099
"2021-02-01",120.690002,122.089996,120.18,120.830002,1292700,119.779373
"2021-02-02",122.5,125.849998,122.419998,123.190002,1489200,122.118866
"2021-02-03",123.5,124.599998,121.900002,122.150002,1448400,121.087898
"2021-02-04",122.510002,124.339996,121.599998,124.07,1251200,122.991211
"2021-02-05",124.510002,125.959999,123.110001,123.18,1919700,122.10894
"2021-02-08",123.919998,125.739998,122.57,123.410004,2065300,122.336945
"2021-02-09",123.410004,123.489998,122.360001,123.239998,1988300,122.168419
"2021-02-10",124.589996,125.739998,123.879997,125.080002,1112600,123.992416
"2021-02-11",125.699997,127.260002,125.110001,126.959999,1122200,125.856079
"2021-02-12",126.93,128.600006,126.32,127.980003,1278000,126.86721
"2021-02-16",129.309998,131.080002,127.849998,127.949997,2132500,126.837463
"2021-02-17",132.800003,136.979996,129.589996,130.119995,4214700,128.988586
"2021-02-18",129,130.389999,127.580002,127.68,1941400,126.569817
"2021-02-19",128.410004,128.899994,126.489998,126.870003,1263900,125.766853
"2021-02-22",125.949997,126.160004,123.089996,123.5,1340100,122.426155
"2021-02-23",123.510002,123.510002,120.410004,122.419998,2125400,121.355545
"2021-02-24",122.260002,125.410004,122.010002,125.019997,1898400,123.932938
"2021-02-25",124.809998,125.25,121.93,122.099998,1430900,121.038322
"2021-02-26",122.93,123.510002,120.650002,122.07,1909700,121.008591
"2021-03-01",123.050003,125.150002,122.879997,124.480003,1404400,123.397636
"2021-03-02",124.57,125.889999,123.169998,123.639999,1267300,122.564941
"2021-03-03",122.779999,122.779999,119.25,119.300003,1612400,118.26268
"2021-03-04",118.690002,118.830002,113.339996,114.989998,2725000,113.99015
"2021-03-05",115.879997,116.190002,112.470001,116.139999,2441500,115.13015
"2021-03-08",116.309998,118.959999,115.269997,116.080002,2766600,115.070679
"2021-03-09",117.870003,121.389999,117.540001,119.839996,2291100,118.797974
"2021-03-10",120.589996,122.209999,119.690002,119.989998,1934600,118.946678
"2021-03-11",121.419998,122.919998,120.900002,121.830002,1818700,120.770691
"2021-03-12",120.57,122.029999,119.279999,121.440002,1368700,120.384079
"2021-03-15",120.919998,124.279999,120.339996,124.040001,1230000,122.961464
"2021-03-16",124.75,125.309998,122.449997,123,1345500,121.930504
"2021-03-17",122.339996,123.110001,121.5,122.519997,1453000,121.454674
"2021-03-18",123.599998,123.940002,122.129997,122.589996,2067500,121.524071
"2021-03-19",122.870003,123.5,121.510002,122.690002,2597000,121.623199
"2021-03-22",122.169998,123.830002,121.720001,123.610001,1772900,122.535202
"2021-03-23",123.150002,124.230003,121.470001,121.980003,1338300,120.91938
"2021-03-24",122.120003,122.959999,120.739998,120.839996,1477500,119.789276
"2021-03-25",120.860001,122.330002,119.879997,121.900002,967300,120.84008
"2021-03-26",122.540001,125.709999,122.029999,125.639999,1441900,124.547546
"2021-03-29",124.879997,125.82,123.739998,125.419998,1539700,124.329468
"2021-03-30",124.610001,125.699997,124.410004,124.839996,1033700,123.754501
"2021-03-31",125.949997,128.479996,125.949997,127.139999,1815500,126.034508
"2021-04-01",128,128.300003,127.010002,127.690002,1126400,126.579735
"2021-04-05",129,130.610001,129,130,1096300,129.06575
"2021-04-06",130.570007,131.860001,129.869995,131.039993,1623200,130.098236
"2021-04-07",130.25,130.570007,128.529999,129.339996,954600,128.410461
"2021-04-08",130.259995,131.729996,129.869995,130.690002,925100,129.750778
"2021-04-09",131.460007,131.919998,130.729996,131.910004,1552200,130.962021
"2021-04-12",131.440002,132.179993,130.839996,131.270004,1166300,130.326614
"2021-04-13",131.600006,133.270004,131.470001,132.970001,1593700,132.014404
"2021-04-14",133.100006,133.229996,130.960007,131.970001,1499300,131.021576
"2021-04-15",132,133.940002,132,133.279999,2121300,132.322159
"2021-04-16",134.050003,134.639999,133.160004,134.580002,4495400,133.612823
"2021-04-19",134.380005,134.649994,133.070007,133.5,1071600,132.540573
"2021-04-20",133,133.550003,131.820007,132.460007,1261200,131.508072
"2021-04-21",132.880005,133.949997,132.020004,133.830002,1173900,132.868195
"2021-04-22",134.029999,135.460007,133.830002,134.529999,1732700,133.563187
"2021-04-23",134.570007,137.119995,134.5,136.679993,1495200,135.697723
"2021-04-26",137.210007,137.830002,136.679993,137.339996,1287400,136.352982
"2021-04-27",136.929993,137.440002,136.229996,136.479996,1752900,135.499176
"2021-04-28",136,136.509995,134.710007,134.800003,1603900,133.831238
"2021-04-29",135.410004,135.410004,133.539993,134.149994,2135900,133.185898
"2021-04-30",133.899994,134.660004,133.149994,133.639999,1514200,132.679565
"2021-05-03",134.289993,134.309998,132.610001,133.190002,1032000,132.232803
"2021-05-04",132.119995,132.509995,130.350006,130.899994,1752400,129.959259
"2021-05-05",132.089996,134.089996,131.25,133.369995,1430600,132.41153
"2021-05-06",132.309998,132.600006,130.770004,132.399994,1150400,131.448471
"2021-05-07",133.190002,134.820007,133.190002,133.899994,1044200,132.937683
"2021-05-10",133.759995,133.929993,131.759995,131.869995,1034300,130.922287
"2021-05-11",130.270004,131.839996,129.300003,131.419998,1336600,130.475525
"2021-05-12",130.339996,131.169998,128.470001,128.639999,1256400,127.7155
"2021-05-13",129.610001,130.759995,129.259995,130.020004,805900,129.085602
"2021-05-14",130.470001,131.690002,130.449997,131.149994,775100,130.207458
"2021-05-17",130.839996,131.050003,129.910004,130.110001,886700,129.174942
"2021-05-18",129.949997,129.949997,128.679993,128.75,1777600,127.824715
"2021-05-19",127.599998,130.279999,127.129997,130.210007,1119400,129.274231
"2021-05-20",130.610001,132.789993,130.610001,132.149994,1035100,131.200256
"2021-05-21",132.669998,134.130005,132.220001,132.300003,1445900,131.349197
"2021-05-24",133.509995,134.410004,132.529999,133.339996,1312300,132.381729
"2021-05-25",133.410004,134.800003,133.009995,133.229996,1890600,132.272522
"2021-05-26",136.300003,138,133.25,133.289993,2498400,132.332077
"2021-05-27",133.320007,138.139999,133.160004,137.539993,3699600,136.551544
"2021-05-28",138.600006,139.210007,138,138.130005,1264400,137.137314
"2021-06-01",139.169998,140.320007,135.570007,137.199997,2015800,136.213989
"2021-06-02",137.119995,138.220001,135.880005,136.570007,1395700,135.588516
"2021-06-03",136,136.910004,135.740005,136.369995,1228700,135.389923
"2021-06-04",137.699997,138.410004,137.389999,137.899994,1069700,136.908951
"2021-06-07",138.089996,138.580002,137.369995,137.649994,936000,136.660751
"2021-06-08",138.600006,138.919998,137.570007,138.75,1143900,137.752853
"2021-06-09",139.130005,140.369995,138.869995,140.130005,961400,139.122925
"2021-06-10",140.320007,143.350006,140.009995,143.059998,1462400,142.03186
"2021-06-11",143.360001,143.600006,141.899994,143.529999,995100,142.498474
"2021-06-14",143.5,144.429993,142.759995,144.389999,934200,143.35231
"2021-06-15",144.850006,145.160004,144.039993,144.619995,1035800,143.580658
"2021-06-16",144.660004,145.080002,142.919998,143.589996,1680800,142.558044
"2021-06-17",143.490005,147.679993,143.490005,146.919998,2822400,145.864136
"2021-06-18",146.309998,146.830002,144.940002,145.009995,3220700,143.96785
"2021-06-21",145.419998,146.690002,143.729996,146.410004,1266100,145.357803
"2021-06-22",146.369995,147.679993,145.830002,146.630005,1366200,145.576202
"2021-06-23",146.720001,148.059998,146.429993,147.240005,1455700,146.181839
"2021-06-24",147.919998,148.330002,146.570007,146.669998,1426800,145.615936
"2021-06-25",147.009995,147.759995,146.210007,147.279999,8445100,146.221542
"2021-06-28",147.630005,148.039993,146.429993,147.929993,1645000,146.866867
"2021-06-29",147.570007,148.839996,147.529999,148.809998,816700,147.740555
"2021-06-30",148.679993,148.779999,146.660004,147.809998,1259300,146.747726
"2021-07-01",147.770004,148.369995,147.009995,147.789993,1426500,146.727875
"2021-07-02",148.110001,148.889999,147.25,148.820007,1400700,147.944687
"2021-07-06",149.229996,149.229996,148.479996,148.979996,1973300,148.103729
"2021-07-07",149.589996,149.619995,148.089996,149.490005,2286300,148.610748
"2021-07-08",148.070007,148.960007,147.279999,148.830002,1891700,147.95462
"2021-07-09",149.490005,150.229996,148.919998,150.029999,1596800,149.147568
"2021-07-12",150.649994,151,149.169998,149.509995,1480500,148.630615
"2021-07-13",149.110001,149.539993,148.190002,149.270004,1456500,148.392029
"2021-07-14",149.860001,149.869995,148.460007,148.630005,1218500,147.755798
"2021-07-15",148.339996,149.309998,147.839996,148.960007,1733600,148.083862
"2021-07-16",149.330002,149.820007,148.270004,148.929993,2169800,148.054016
"2021-07-19",147.660004,147.970001,146.949997,147.580002,1835100,146.711975
"2021-07-20",148.449997,151.25,147.830002,149.300003,2246000,148.421875
"2021-07-21",149.490005,149.910004,147.600006,148.949997,2255700,148.073898
"2021-07-22",149.710007,150.5,148.669998,150.300003,1972800,149.415985
"2021-07-23",150.589996,152.410004,150.429993,152.309998,2132000,151.414154
"2021-07-26",151.729996,152.169998,149.770004,150.25,1767700,149.366272
"2021-07-27",149.289993,150,148.860001,149.949997,2085700,149.068039
"2021-07-28",150,151.970001,149.5,151.460007,2179700,150.569168
"2021-07-29",151.990005,153.460007,151.419998,152.669998,1527300,151.772034
"2021-07-30",152.520004,153.600006,152.020004,153.229996,2310100,152.328735
"2021-08-02",154.050003,154.300003,152.520004,153.070007,1438300,152.169693
"2021-08-03",153.710007,153.970001,152.759995,153.860001,1859700,152.955048
"2021-08-04",153.960007,154.710007,153.490005,154.270004,1786700,153.362625
"2021-08-05",154.460007,155.160004,153.339996,155.039993,1667600,154.128082
"2021-08-06",154.759995,155.889999,154.470001,155.699997,1209300,154.78421
"2021-08-09",156.080002,156.800003,155.009995,156.539993,982900,155.619278
"2021-08-10",156.919998,157.600006,155.899994,156.520004,1575900,155.59938
"2021-08-11",156.690002,156.990005,155.850006,156.520004,1402500,155.59938
"2021-08-12",156.509995,158.520004,156.119995,158.149994,1376100,157.219803
"2021-08-13",158.399994,159.270004,157.389999,159.229996,1733200,158.293442
"2021-08-16",159.389999,162.520004,158.5,162.070007,2154300,161.116745
"2021-08-17",161.729996,161.839996,159.289993,160.910004,2614200,159.963562
"2021-08-18",163.199997,165.360001,162.089996,163.020004,2860900,162.061157
"2021-08-19",161.740005,169.080002,161.610001,167.669998,2179600,166.683807
"2021-08-20",167.830002,170.740005,167.050003,168.130005,2023300,167.141113
"2021-08-23",169.429993,170.570007,168.130005,170,2061400,169.000107
"2021-08-24",170.229996,171.210007,169.220001,170.570007,1238600,169.566742
"2021-08-25",170.070007,173.539993,170.070007,173.300003,1411800,172.280701
"2021-08-26",173.389999,174.470001,172.100006,173.589996,1273400,172.56897
"2021-08-27",174.029999,175.100006,172.990005,173.809998,1185800,172.787704
"2021-08-30",173.860001,177.119995,173.860001,176.729996,1221400,175.690506
"2021-08-31",177.100006,177.190002,174.830002,175.470001,1733200,174.437943
"2021-09-01",175.039993,175.740005,174.380005,175.449997,1429000,174.41806
"2021-09-02",176.449997,178.339996,175.699997,178.020004,1194000,176.972931
"2021-09-03",177.669998,179.570007,177.029999,179.279999,971800,178.22554
"2021-09-07",179.279999,179.369995,176.789993,177.720001,1252000,176.674698
"2021-09-08",177.419998,179.179993,176.570007,178.729996,1174600,177.678741
"2021-09-09",179.070007,179.360001,177.020004,177.229996,1010000,176.187576
"2021-09-10",177.720001,179.309998,177.169998,177.229996,1086300,176.187576
"2021-09-13",177.660004,178,170.220001,172.080002,2274300,171.067871
"2021-09-14",172.550003,173.979996,171.759995,172.419998,1337400,171.405869
"2021-09-15",172.070007,175.130005,171.389999,173.789993,1535300,172.767807
"2021-09-16",173.929993,173.929993,171.100006,173.279999,1142000,172.260818
"2021-09-17",173.919998,177.360001,172.800003,173.940002,2405700,172.916946
"2021-09-20",170.5,172.580002,169.110001,171.339996,1599400,170.332214
"2021-09-21",172.300003,173.600006,171.190002,171.440002,1059800,170.431641
"2021-09-22",172.179993,173.320007,170.910004,172.440002,981000,171.425751
"2021-09-23",173.5,174.350006,172.490005,172.770004,1654600,171.75383
"2021-09-24",172.089996,173.080002,171.199997,172.399994,1041900,171.386002
"2021-09-27",171.059998,171.149994,164.259995,166.380005,1419700,165.401398
"2021-09-28",164.190002,164.330002,158.789993,159.899994,2541000,158.959503
"2021-09-29",161.389999,161.809998,159.830002,160,1268200,159.058929
"2021-09-30",161.229996,162.479996,157.460007,157.529999,1542800,156.603439
"2021-10-01",157.149994,157.5,153.050003,155.990005,1881900,155.07251
"2021-10-04",155.240005,156.300003,151.259995,152.360001,1758300,151.652466
"2021-10-05",153.479996,155.779999,152.339996,153.029999,1494300,152.319351
"2021-10-06",152.550003,154.259995,151.619995,153.649994,1794700,152.936462
"2021-10-07",155.059998,157.479996,154.960007,155.320007,1002800,154.598724
"2021-10-08",156.179993,156.919998,152.100006,152.470001,904100,151.761948
"2021-10-11",151.490005,152.360001,149.880005,150.020004,1106300,149.323349
"2021-10-12",151.179993,151.179993,146.300003,147.949997,1809900,147.262939
"2021-10-13",149.080002,150.880005,148.740005,150.220001,1509100,149.5224
"2021-10-14",151.619995,153.479996,151.619995,152.589996,1434100,151.881393
"2021-10-15",153.139999,153.889999,152.550003,153.270004,1397800,152.558243
"2021-10-18",153.630005,155.419998,152.389999,154.779999,1183600,154.061218
"2021-10-19",155.960007,157.460007,155.550003,155.619995,1025500,154.897308
"2021-10-20",156.929993,158.119995,156.309998,157.589996,1053000,156.85817
"2021-10-21",157.710007,158.020004,154.529999,156.940002,1405100,156.211197
"2021-10-22",156.949997,158.710007,156.899994,157.970001,772200,157.236404
"2021-10-25",157.899994,158.520004,156.75,158.339996,1088100,157.604691
"2021-10-26",159.630005,159.919998,157.039993,158.190002,1016400,157.455399
"2021-10-27",158.300003,158.5,154.830002,155.259995,1472600,154.538986
"2021-10-28",155.979996,157.789993,154.190002,155.759995,1752600,155.036667
"2021-10-29",155.130005,157.570007,154.440002,157.490005,1999800,156.758636
"2021-11-01",157.380005,158,155.800003,157.059998,1329100,156.330627
"2021-11-02",157.550003,158,155.440002,157.850006,1714200,157.116974
"2021-11-03",158.029999,158.289993,154.570007,158.199997,1256500,157.465332
"2021-11-04",157.860001,158.929993,156.360001,157.649994,1015800,156.917892
"2021-11-05",156.570007,156.809998,152.429993,156.410004,1775500,155.683655
"2021-11-08",157,161.149994,156.550003,160.940002,1467000,160.192612
"2021-11-09",160.940002,162.229996,159.520004,159.809998,1021000,159.067856
"2021-11-10",159.210007,159.979996,156.059998,159.279999,1093200,158.540344
"2021-11-11",160.279999,161.039993,157.929993,158.789993,935500,158.052597
"2021-11-12",159.729996,161.059998,157.710007,160.880005,1444800,160.132904
"2021-11-15",161.25,162.330002,157.5,157.779999,1121300,157.047302
"2021-11-16",157.050003,163,156.960007,161.389999,1276300,160.640533
"2021-11-17",161.919998,161.919998,159.899994,161.539993,872400,160.789825
"2021-11-18",162.529999,162.820007,160.399994,162.160004,1475800,161.406952
"2021-11-19",163.009995,165.070007,162.669998,164.300003,1647600,163.537033
"2021-11-22",165,165.679993,162.779999,162.779999,2110400,162.024078
"2021-11-23",155.889999,159.320007,151.770004,154.779999,3140600,154.061218
"2021-11-24",153.759995,154.669998,151.089996,152.970001,2291400,152.259644
"2021-11-26",153.289993,159.089996,151.570007,152.070007,1632200,151.363815
"2021-11-29",153.059998,155.380005,151.559998,153.419998,1734600,152.70755
"2021-11-30",153.350006,155.710007,149.699997,150.899994,3900500,150.199234
"2021-12-01",151.119995,152.850006,148.089996,148.210007,1800900,147.521744
"2021-12-02",147.910004,152.470001,147.729996,150.990005,1514100,150.288818
"2021-12-03",151.820007,153,147.720001,149.330002,1412600,148.63652
"2021-12-06",149.339996,152.039993,147.779999,151.470001,1803400,150.766602
"2021-12-07",152.839996,156.240005,152.610001,153.800003,1422700,153.085785
"2021-12-08",154.759995,156.389999,153.949997,156.309998,1491500,155.584122
"2021-12-09",156.5,158,154.509995,154.610001,1272300,153.892014
"2021-12-10",154.529999,156.339996,154.080002,156.259995,1463900,155.534348
"2021-12-13",157.339996,157.899994,155.139999,156.289993,1413800,155.564194
"2021-12-14",154.889999,155.740005,150.100006,151.880005,1869100,151.174698
"2021-12-15",152.759995,154.589996,150.619995,154.309998,2054900,153.593414
"2021-12-16",154.300003,155.899994,150.460007,150.800003,2085600,150.099716
"2021-12-17",150.350006,152.589996,148.039993,151.419998,2628700,150.716827
"2021-12-20",150.759995,152.179993,148.539993,150.419998,2027200,149.721466
"2021-12-21",151,154.059998,150.610001,153.960007,1496600,153.245026
"2021-12-22",154.449997,157.160004,154.25,156.779999,1907900,156.051926
"2021-12-23",157.289993,158.860001,156.649994,157.800003,1411000,157.0672
"2021-12-27",158.820007,159.839996,157.190002,158.740005,951800,158.002838
"2021-12-28",159.679993,159.789993,158.119995,159.179993,764300,158.440781
"2021-12-29",159.830002,161.389999,159.179993,160.649994,833100,159.903946
"2021-12-30",161.110001,162.619995,160.600006,160.880005,771000,160.132904
"2021-12-31",160.350006,161.449997,159.520004,159.649994,1315500,158.908615
"2022-01-03",159,159.440002,153.929993,156.479996,1606300,155.958466
"2022-01-04",155.490005,155.630005,149.699997,151.190002,2234000,150.686096
"2022-01-05",150.830002,153.100006,148.529999,148.600006,2370500,148.104736
