"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"2021-09-07",136.619995,136.860001,135.130005,135.649994,790000,134.415848
"2021-09-08",135.720001,135.75,134.320007,135.110001,766800,133.880753
"2021-09-09",135.440002,135.580002,133.240005,133.940002,1068200,132.721405
"2021-09-10",134.639999,135.710007,133.889999,134.339996,660700,133.117752
"2021-09-13",135.820007,135.830002,131.729996,132.679993,789800,131.472855
"2021-09-14",133.220001,133.5,132.080002,132.490005,528300,131.284592
"2021-09-15",132.110001,134.820007,131.970001,134.179993,610100,132.959198
"2021-09-16",134.190002,134.520004,132.089996,132.880005,398300,131.671051
"2021-09-17",132.240005,132.960007,130.880005,131.559998,1469700,130.363052
"2021-09-20",129.630005,131.139999,128.389999,131.039993,740300,129.847794
"2021-09-21",131.600006,131.919998,129.809998,130.940002,637900,129.748703
"2021-09-22",132.080002,133.979996,131.679993,133.160004,630800,131.948486
"2021-09-23",134.050003,136.080002,133.699997,135.169998,527200,133.940216
"2021-09-24",134.630005,136,134.559998,135.619995,433100,134.386108
"2021-09-27",135.470001,136.149994,134.25,134.300003,568000,133.07814
"2021-09-28",133.690002,133.720001,128.759995,128.919998,1030900,127.74707
"2021-09-29",129.389999,129.720001,127.32,127.779999,1134000,126.617447
"2021-09-30",128.240005,128.690002,123.68,123.68,1427500,122.554749
"2021-10-01",122.43,122.879997,119.800003,121.300003,1472000,120.196404
"2021-10-04",121.269997,122.360001,118.040001,119.300003,1052200,118.2146
"2021-10-05",119.690002,122.889999,118.949997,122.470001,1056800,121.355751
"2021-10-06",121.650002,122.400002,119.480003,122.25,623700,121.137756
"2021-10-07",123.540001,124.010002,122.040001,122.360001,701200,121.246758
"2021-10-08",121.900002,122.599998,120.559998,121.470001,623700,120.364853
"2021-10-11",121.019997,121.419998,118.709999,118.790001,523900,117.709236
"2021-10-12",119.099998,119.660004,118.330002,118.760002,560300,117.679512
"2021-10-13",119.540001,120.620003,118.239998,119.940002,518300,118.84877
"2021-10-14",121.160004,123.410004,121.080002,123.370003,640600,122.247574
"2021-10-15",124.459999,125.209999,124.010002,124.690002,913500,123.555557
"2021-10-18",123.68,125.480003,123.209999,125.089996,563800,123.951912
"2021-10-19",126.43,126.660004,125.25,125.510002,518500,124.368095
"2021-10-20",125.68,127.029999,125.019997,126.559998,581400,125.408539
"2021-10-21",126.599998,128.220001,126.379997,128.070007,521400,126.904808
"2021-10-22",128.300003,129.789993,128.300003,128.759995,499900,127.588524
"2021-10-25",128.429993,130.350006,128,129.050003,478400,127.875885
"2021-10-26",129.610001,129.789993,127.739998,127.800003,579500,126.637268
"2021-10-27",127.760002,129.520004,127.32,128,484100,126.835442
"2021-10-28",128.130005,131.270004,128.100006,131.210007,483400,130.016251
"2021-10-29",130.820007,132.649994,129.839996,130.589996,703500,129.401871
"2021-11-01",131.039993,131.860001,128.470001,129.270004,600200,128.093887
"2021-11-02",127.809998,130.960007,126.089996,129.050003,1085600,127.875885
"2021-11-03",128.330002,128.869995,124.169998,125.620003,830000,124.477097
"2021-11-04",126.400002,130.25,126,129.740005,625800,128.559631
"2021-11-05",130.490005,132.070007,130.130005,131.009995,700800,129.818054
"2021-11-08",132.279999,134.289993,131.539993,133.070007,577500,131.859329
"2021-11-09",132.830002,133.869995,131.949997,133.509995,434200,132.295303
"2021-11-10",133.25,133.580002,129.100006,132.270004,580000,131.066605
"2021-11-11",132.270004,132.460007,130.179993,130.309998,511100,129.12442
"2021-11-12",131.089996,131.110001,129.490005,130.529999,691400,129.342422
"2021-11-15",130.669998,131.529999,129.199997,129.470001,614300,128.292068
"2021-11-16",130.050003,131.350006,129.660004,130.850006,710500,129.6595
"2021-11-17",130.589996,130.919998,129.399994,130.160004,487800,128.9758
"2021-11-18",130.479996,131.410004,129.559998,130.240005,475300,129.055069
"2021-11-19",130.339996,130.339996,128.940002,129.100006,696500,127.92543
"2021-11-22",129.470001,130.419998,127.529999,127.610001,685700,126.723831
"2021-11-23",127.089996,127.510002,125.849998,126.57,619900,125.691055
"2021-11-24",125.739998,125.739998,124.099998,125.040001,1121800,124.171677
"2021-11-26",122.419998,123.970001,121.480003,122.639999,969100,121.788345
"2021-11-29",123.75,124.529999,122.169998,123.800003,1294700,122.940292
"2021-11-30",122.959999,124.349998,119.889999,121.110001,2259700,120.268974
"2021-12-01",123.150002,123.739998,118.540001,118.599998,1132300,117.776398
"2021-12-02",119.209999,120.949997,118.349998,120.339996,1609000,119.504311
"2021-12-03",120.349998,120.349998,115.709999,118.089996,1797300,117.269936
"2021-12-06",119.260002,121.68,119.129997,120.699997,1059400,119.861816
"2021-12-07",122.389999,124.239998,122.18,124.169998,1098700,123.307724
"2021-12-08",124.57,125.379997,123.470001,124.150002,896200,123.287857
"2021-12-09",123.730003,124.040001,122.459999,123.099998,836400,122.245148
"2021-12-10",123.629997,124.080002,121.650002,122.800003,998300,121.947235
"2021-12-13",122.879997,123.040001,121.57,122.099998,1671600,121.252098
"2021-12-14",121.349998,121.879997,118.220001,118.68,1298600,117.85585
"2021-12-15",119.489998,119.879997,117.540001,119.75,1881100,118.918419
"2021-12-16",120.690002,121.470001,118.089996,118.639999,1668400,117.816124
"2021-12-17",118.199997,118.940002,115.540001,115.809998,1503200,115.005775
"2021-12-20",114.269997,114.57,112.639999,114.050003,1054300,113.258003
"2021-12-21",115.419998,116.379997,114.739998,115.980003,813800,115.174606
"2021-12-22",116.330002,116.809998,115.470001,116.160004,592600,115.353348
"2021-12-23",116.800003,118.290001,116.720001,117.5,575400,116.684036
"2021-12-27",117.669998,118.550003,117.540001,118.290001,837200,117.468552
"2021-12-28",118.510002,119.769997,118.349998,119.519997,402400,118.69001
"2021-12-29",119.620003,119.970001,118.830002,119.360001,708800,118.531128
"2021-12-30",119.519997,120.18,119.050003,119.099998,401400,118.272926
"2021-12-31",118.830002,120.5,118.830002,119.919998,428900,119.087234
"2022-01-03",120.209999,121.050003,116.150002,116.889999,759100,116.078278
"2022-01-04",115.889999,118.730003,115.449997,118.129997,925400,117.309662
"2022-01-05",118.360001,119.57,116.419998,116.519997,1090200,115.710838
