"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"2021-08-03",1628.420044,1666.630005,1628.420044,1660.109985,137800,1660.109985
"2021-08-04",1661.890015,1663.75,1634.390015,1644.900024,139100,1644.900024
"2021-08-05",1654.170044,1658.030029,1625.72998,1639.609985,109100,1639.609985
"2021-08-06",1637.72998,1646.680054,1626.170044,1629.849976,112500,1629.849976
"2021-08-09",1632.150024,1636.599976,1612.130005,1616.73999,109000,1616.73999
"2021-08-10",1618.829956,1643.97998,1613.790039,1632.819946,163000,1632.819946
"2021-08-11",1634.060059,1650.040039,1633.369995,1637.189941,104000,1637.189941
"2021-08-12",1636.22998,1639.22998,1619.02002,1630.5,130200,1630.5
"2021-08-13",1630.109985,1634.640015,1609.040039,1612.609985,118800,1612.609985
"2021-08-16",1610,1635.640015,1607.130005,1633.069946,141000,1633.069946
"2021-08-17",1627.459961,1630,1599.709961,1616.469971,133500,1616.469971
"2021-08-18",1614.849976,1632.319946,1607.390015,1613.800049,114800,1613.800049
"2021-08-19",1601.569946,1641.280029,1600,1632.640015,106800,1632.640015
"2021-08-20",1637.410034,1653.869995,1630.98999,1640.76001,154600,1640.76001
"2021-08-23",1643.589966,1656.290039,1617.449951,1622.97998,120300,1622.97998
"2021-08-24",1615.969971,1624.290039,1594.709961,1599.97998,150300,1599.97998
"2021-08-25",1597.420044,1617.219971,1588.73999,1613.410034,123300,1613.410034
"2021-08-26",1607.939941,1607.939941,1586.790039,1588.900024,151100,1588.900024
"2021-08-27",1578.589966,1578.589966,1544.310059,1548.48999,231300,1548.48999
"2021-08-30",1555.75,1562.880005,1544.01001,1555.709961,166700,1555.709961
"2021-08-31",1551.02002,1559.949951,1540.410034,1549.150024,251000,1549.150024
"2021-09-01",1553.089966,1553.579956,1530.02002,1540.089966,207200,1540.089966
"2021-09-02",1538.560059,1545.599976,1503.300049,1520.650024,213200,1520.650024
"2021-09-03",1516.380005,1540.339966,1508.859985,1537.25,149600,1537.25
"2021-09-07",1529.98999,1545.380005,1522.959961,1526.219971,131300,1526.219971
"2021-09-08",1529.189941,1558.060059,1521.01001,1556.349976,152200,1556.349976
"2021-09-09",1557.22998,1564.699951,1547.319946,1551.890015,119300,1551.890015
"2021-09-10",1557.920044,1567.369995,1548.849976,1550.560059,117300,1550.560059
"2021-09-13",1548.630005,1561.199951,1540.97998,1553.099976,179500,1553.099976
"2021-09-14",1563.640015,1565.959961,1550.609985,1563.77002,164100,1563.77002
"2021-09-15",1568.52002,1597.880005,1552.650024,1596.719971,155700,1596.719971
"2021-09-16",1605.449951,1616.170044,1591.050049,1607.420044,135800,1607.420044
"2021-09-17",1602.660034,1619.810059,1592.579956,1592.880005,263100,1592.880005
"2021-09-20",1583.619995,1597.630005,1559.430054,1585.160034,221100,1585.160034
"2021-09-21",1616,1660,1605.969971,1643.069946,287700,1643.069946
"2021-09-22",1655,1694.27002,1642.050049,1683.76001,238900,1683.76001
"2021-09-23",1692.390015,1704.02002,1675,1687.790039,210200,1687.790039
"2021-09-24",1660,1703,1660,1694.829956,218500,1694.829956
"2021-09-27",1692.400024,1702.550049,1678.51001,1691.329956,160500,1691.329956
"2021-09-28",1694.099976,1701.349976,1668.920044,1688.569946,153400,1688.569946
"2021-09-29",1697.599976,1738.780029,1688.77002,1737,228600,1737
"2021-09-30",1727.339966,1734.01001,1679.209961,1697.98999,327400,1697.98999
"2021-10-01",1706.77002,1706.77002,1657.459961,1672.280029,200600,1672.280029
"2021-10-04",1663.439941,1676.73999,1634.339966,1642.51001,190200,1642.51001
"2021-10-05",1655.030029,1673.27002,1639.119995,1651.219971,169900,1651.219971
"2021-10-06",1660.189941,1679.920044,1647.290039,1663.810059,205300,1663.810059
