"","ALL.Open","ALL.High","ALL.Low","ALL.Close","ALL.Volume","ALL.Adjusted"
"2021-04-05",116.790001,117.610001,116.550003,117.489998,1266700,113.762505
"2021-04-06",117.779999,118.300003,117.129997,117.830002,1439000,114.091713
"2021-04-07",117.809998,117.849998,115.699997,116.379997,1891600,112.687721
"2021-04-08",116,117.370003,115.870003,117.050003,1516000,113.336472
"2021-04-09",117.690002,118.190002,116.650002,117.099998,1630700,113.384872
"2021-04-12",117.529999,119.620003,117.419998,119.360001,1894000,115.573174
"2021-04-13",118.529999,119.919998,118.290001,119.190002,1720900,115.408577
"2021-04-14",119.360001,120.470001,119.120003,120.419998,1683000,116.599548
"2021-04-15",120.389999,121.629997,119.779999,121.589996,1792800,117.732422
"2021-04-16",122,122.709999,121.75,122.199997,1856200,118.323074
"2021-04-19",122.529999,122.959999,121.339996,122.839996,1169600,118.942772
"2021-04-20",122.699997,123.57,122.25,122.870003,1759200,118.971825
"2021-04-21",123.230003,124.239998,123.190002,123.900002,1032800,119.969139
"2021-04-22",123.25,124.110001,122.93,123.660004,1159700,119.736755
"2021-04-23",124.089996,125.269997,123.690002,125.050003,1181800,121.082657
"2021-04-26",125.25,126.269997,125.089996,125.300003,1537200,121.32473
"2021-04-27",125.290001,125.919998,125.07,125.839996,1360200,121.847588
"2021-04-28",126.43,126.879997,125.120003,125.349998,1600100,121.373138
"2021-04-29",125.519997,127.970001,125.519997,127.870003,1066300,123.813194
"2021-04-30",128,128,126.389999,126.800003,1404800,122.777138
"2021-05-03",127.540001,129.089996,127.230003,128.130005,1575500,124.064949
"2021-05-04",128.25,128.570007,127.419998,127.839996,2195600,123.784134
"2021-05-05",127.519997,127.760002,125.779999,127.449997,2032800,123.406517
"2021-05-06",128.110001,132.880005,128.039993,132.619995,2624100,128.412476
"2021-05-07",129.740005,132.820007,128.570007,132.259995,2104800,128.063889
"2021-05-10",133,136.179993,133,134.490005,2377400,130.223175
"2021-05-11",134.770004,135,132.600006,134.130005,2307800,129.874573
"2021-05-12",134.960007,135.710007,132.639999,132.75,2117000,128.538376
"2021-05-13",132.160004,138.080002,131.619995,137.520004,2217600,133.157028
"2021-05-14",137.740005,139.880005,137.059998,139.259995,2518800,134.841827
"2021-05-17",138.75,139.720001,138.059998,139.020004,4020000,134.609467
"2021-05-18",138.279999,138.860001,136.940002,137.130005,1764800,132.779404
"2021-05-19",136.550003,136.550003,133.25,135.690002,2108100,131.385101
"2021-05-20",135.100006,136.729996,134.300003,136.089996,1597000,131.7724
"2021-05-21",136.389999,137.830002,136.240005,137.429993,2741400,133.06987
"2021-05-24",137.419998,138.320007,136.949997,137.240005,1499200,132.885941
"2021-05-25",137.130005,137.350006,134.910004,135.149994,1492600,130.862228
"2021-05-26",135.610001,140,135,135.570007,3187200,131.268906
"2021-05-27",136.339996,136.600006,134.330002,136.300003,3993900,131.975739
"2021-05-28",137.169998,137.610001,135.699997,136.610001,2095500,132.275925
"2021-06-01",137.580002,139.440002,137.380005,138.020004,1501400,133.641174
"2021-06-02",138.669998,138.919998,137.309998,138.139999,1520100,133.75737
"2021-06-03",135.5,137.050003,135.490005,136.259995,1993300,132.715179
"2021-06-04",136.009995,136.570007,134.789993,136.229996,1361700,132.685974
"2021-06-07",136.330002,136.479996,134.449997,134.490005,2389600,130.991257
"2021-06-08",134.009995,134.990005,133.440002,134.580002,1624700,131.078918
"2021-06-09",134.169998,134.419998,132.979996,133.029999,1256300,129.569229
"2021-06-10",133.5,134.259995,131.320007,131.410004,1359700,127.991371
"2021-06-11",131.929993,132.830002,131.419998,131.729996,1538300,128.30304
"2021-06-14",131,131.610001,129.550003,130.979996,1491300,127.572556
"2021-06-15",131.470001,132.729996,130.309998,132.110001,1623000,128.673157
"2021-06-16",130.5,131.630005,129.660004,130.440002,1880900,127.046616
"2021-06-17",131,131,126.169998,126.550003,1953500,123.257797
"2021-06-18",125.220001,125.75,123.82,124.040001,3910600,120.813095
"2021-06-21",125.059998,128.470001,125.059998,128.160004,1581600,124.825928
"2021-06-22",128.229996,129.259995,127.25,128.5,1329000,125.157066
"2021-06-23",128.479996,128.690002,127.800003,127.82,994600,124.494766
"2021-06-24",127.93,129.339996,127.699997,128.929993,1136000,125.575874
"2021-06-25",129.130005,131.029999,128.820007,130.779999,1409700,127.377762
"2021-06-28",130.729996,130.779999,129.100006,129.75,1574200,126.374557
"2021-06-29",129.639999,130.699997,129.240005,129.570007,1357300,126.199242
"2021-06-30",129.830002,130.619995,129.289993,130.440002,1206300,127.046616
"2021-07-01",131.009995,133.690002,130.570007,132.789993,1648500,129.335464
"2021-07-02",132.520004,133.5,131.960007,133.229996,954100,129.764008
"2021-07-06",132.759995,132.759995,130.440002,131.699997,1991300,128.273819
"2021-07-07",130.960007,133.399994,129.929993,133.089996,1168600,129.627655
"2021-07-08",132.029999,132.889999,129.759995,130.399994,1650800,127.007629
"2021-07-09",132.369995,133.770004,131.820007,133.470001,1189700,129.997772
"2021-07-12",133.119995,134.830002,132.25,134.570007,1478500,131.069153
"2021-07-13",134.570007,134.570007,132.089996,132.279999,1126000,128.838745
"2021-07-14",132.830002,133.220001,130.610001,131.690002,1317300,128.264099
"2021-07-15",128.820007,130.789993,125.040001,130.490005,2880800,127.095306
"2021-07-16",130.410004,131.369995,129.970001,130.449997,1631500,127.056343
"2021-07-19",128.889999,129.509995,125.93,127.489998,1983900,124.17334
"2021-07-20",127.519997,129.889999,127.089996,127.830002,1918100,124.504509
"2021-07-21",128.5,130.279999,128.5,128.789993,1168800,125.439522
"2021-07-22",128.460007,128.699997,127.400002,128.25,1304300,124.913574
"2021-07-23",129.190002,130,128.559998,129.740005,1011800,126.364807
"2021-07-26",129.949997,131.039993,129.800003,130.5,830400,127.105034
"2021-07-27",130,131.960007,129.369995,131.449997,717100,128.030319
"2021-07-28",131.559998,132.110001,128.990005,130.410004,1083300,127.01738
"2021-07-29",131.580002,133.059998,130.5,132.520004,1003800,129.07251
"2021-07-30",131.949997,131.990005,129.639999,130.050003,1423800,126.666748
"2021-08-02",130.759995,132.070007,129.649994,129.759995,1022200,126.384285
"2021-08-03",130.199997,130.889999,128.660004,130.710007,1674100,127.309593
"2021-08-04",130.020004,130.660004,128.929993,128.929993,1109100,125.575874
"2021-08-05",127.75,128,124.800003,127.93,1941600,124.601906
"2021-08-06",128.570007,131.539993,128.570007,130.820007,2029200,127.416725
"2021-08-09",131.169998,133.550003,130.619995,132.679993,1458700,129.228317
"2021-08-10",132.699997,134.979996,132.149994,134.330002,1455200,130.835403
"2021-08-11",134.610001,135.740005,133.740005,135.610001,1105500,132.082108
"2021-08-12",135.960007,136.759995,134.960007,135.25,979500,131.731476
"2021-08-13",135.649994,136.270004,134.259995,135.059998,846300,131.546402
"2021-08-16",134.860001,136.630005,134,136.539993,984600,132.9879
"2021-08-17",134.110001,135.399994,133.690002,134.729996,1929700,131.225006
"2021-08-18",134.199997,136.460007,134.089996,134.309998,1374900,130.815918
"2021-08-19",133.220001,134.979996,132.919998,134.029999,1038900,130.543213
"2021-08-20",134.039993,135.179993,133.619995,134.559998,1353800,131.059418
"2021-08-23",135.380005,138.779999,135.009995,137.330002,2385700,133.75737
"2021-08-24",137.539993,138,136.860001,136.949997,1227200,133.387238
"2021-08-25",137.410004,139.449997,137.339996,137.869995,1457500,134.283295
"2021-08-26",137.940002,138.229996,136.179993,136.220001,1425000,132.676239
"2021-08-27",136.490005,137.580002,136.350006,137.509995,1067500,133.932663
"2021-08-30",136.570007,136.940002,134.479996,134.520004,1155300,131.796814
"2021-08-31",134.190002,135.869995,133.419998,135.279999,1825500,132.541412
"2021-09-01",135.360001,135.520004,133.75,134.270004,1992100,131.55188
"2021-09-02",134.559998,135.460007,133.639999,133.970001,1438000,131.257935
"2021-09-03",133.970001,134.330002,133.029999,133.970001,1405300,131.257935
"2021-09-07",133.759995,133.910004,131.399994,131.470001,1370700,128.808563
"2021-09-08",131.460007,133.220001,131.210007,132.820007,1195700,130.131241
"2021-09-09",132.679993,134.309998,132.009995,132.089996,1441900,129.416016
"2021-09-10",132.710007,132.970001,130.940002,131.550003,1311400,128.886932
"2021-09-13",132.649994,133.490005,131.919998,133.270004,1603600,130.572128
"2021-09-14",133.669998,134.149994,131.649994,132.130005,2118900,129.455185
"2021-09-15",132.160004,133.619995,131.009995,131.690002,1914200,129.024109
"2021-09-16",131.490005,132.309998,130.770004,131.479996,1515600,128.818344
"2021-09-17",130.720001,132.070007,130.160004,131.029999,3401200,128.377457
"2021-09-20",129.119995,129.729996,127.720001,129.589996,2009400,126.966599
"2021-09-21",130.130005,131.029999,129.169998,129.600006,1631400,126.97641
"2021-09-22",130.710007,131.449997,130.300003,130.360001,1476100,127.721024
"2021-09-23",131.080002,132.300003,130.660004,130.809998,1237000,128.161911
"2021-09-24",130.789993,131.660004,130.429993,130.5,1162900,127.858185
"2021-09-27",131.029999,131.990005,130.369995,130.399994,1156100,127.760201
"2021-09-28",130.380005,131.229996,127.769997,127.989998,1453600,125.398994
"2021-09-29",128.029999,130.110001,128.029999,129.330002,908600,126.711876
"2021-09-30",129.970001,130.369995,127.25,127.309998,1463500,124.732765
"2021-10-01",127.5,128.949997,126.519997,127.720001,1553200,125.134468
"2021-10-04",127.760002,129.330002,126.400002,126.610001,1539600,124.046936
"2021-10-05",126.830002,128.889999,125.889999,128.130005,1864200,125.536171
"2021-10-06",127.339996,128,125.790001,127.489998,1247200,124.909119
"2021-10-07",128.130005,129.300003,127.18,127.339996,1309500,124.762161
"2021-10-08",127.540001,127.93,126.339996,126.879997,970000,124.311462
"2021-10-11",127.449997,130.059998,127.449997,127.959999,1265000,125.369606
"2021-10-12",128.139999,128.850006,126.510002,126.809998,1443900,124.242882
"2021-10-13",126.720001,126.809998,124.199997,125.699997,1277100,123.15535
"2021-10-14",126.260002,126.910004,125.199997,126.809998,1358200,124.242882
"2021-10-15",127.419998,128.050003,126.389999,126.760002,1378100,124.193909
"2021-10-18",126.260002,126.650002,125.220001,126.050003,1057300,123.498283
"2021-10-19",126.580002,126.769997,125.279999,126.5,1419100,123.939163
"2021-10-20",126.419998,128.460007,126.290001,128.339996,1347400,125.741913
"2021-10-21",128.309998,128.309998,125.459999,126.769997,1379800,124.20369
"2021-10-22",127.260002,128.460007,126.459999,128,1837600,125.408798
"2021-10-25",128.350006,129.179993,127.790001,129,1355600,126.38855
"2021-10-26",129.119995,129.990005,128.309998,128.320007,1179300,125.722328
"2021-10-27",128.369995,128.539993,124.809998,124.900002,1260000,122.371552
"2021-10-28",125.300003,126.410004,124.82,126.220001,1418400,123.664833
"2021-10-29",126.129997,126.18,122.940002,123.669998,2162900,121.166443
"2021-11-01",124.18,125.080002,122.669998,123.510002,2072200,121.009697
"2021-11-02",123.510002,125.410004,122,125.18,2097300,122.645882
"2021-11-03",125.18,127.839996,125,126.120003,1693000,123.566856
"2021-11-04",121,121.940002,115.18,117.099998,4434500,114.729454
"2021-11-05",117.75,118.800003,114.650002,117.160004,2580200,114.788246
"2021-11-08",118,118.489998,116.379997,117.059998,1610500,114.690262
"2021-11-09",116.309998,117.82,115.07,115.190002,1558000,112.858124
"2021-11-10",114.080002,115.620003,113.910004,114.110001,2113700,111.799988
"2021-11-11",114.120003,115.089996,112.769997,114.660004,1534500,112.338852
"2021-11-12",114.639999,115.949997,114.379997,114.709999,2372900,112.38784
"2021-11-15",115.150002,115.440002,114.43,114.800003,1774100,112.476021
"2021-11-16",115.230003,116.660004,114.699997,115.349998,3627700,113.014877
"2021-11-17",115.07,115.269997,113.160004,113.230003,2592700,110.937798
"2021-11-18",113.379997,113.760002,111.489998,113.059998,2445300,110.771233
"2021-11-19",112.779999,113.610001,111.860001,111.940002,2084100,109.673912
"2021-11-22",112.25,114.18,111.510002,113.550003,2216400,111.25132
"2021-11-23",112.32,115.82,112.129997,114.900002,3013000,112.57399
"2021-11-24",115.150002,115.889999,114.400002,114.699997,2676600,112.378044
"2021-11-26",111.919998,115.480003,111.300003,115.120003,1929900,112.789543
"2021-11-29",114.480003,114.669998,112.419998,113.139999,2656200,111.635101
"2021-11-30",112.099998,112.300003,108.199997,108.720001,8377100,107.273895
"2021-12-01",109.610001,111.120003,107.120003,107.129997,2690200,105.70504
"2021-12-02",108.239998,110.650002,107.559998,109.68,2201400,108.22113
"2021-12-03",109.769997,110.809998,107.730003,108.32,2814700,106.879219
"2021-12-06",109.529999,111.510002,109.25,109.779999,2334700,108.319794
"2021-12-07",109.760002,110.989998,108.970001,110.239998,2660100,108.773666
"2021-12-08",110.150002,110.480003,108.209999,109.019997,2176700,107.569901
"2021-12-09",106.480003,108.440002,106.110001,107.669998,2155600,106.237854
"2021-12-10",108.660004,108.660004,107.410004,108.019997,1392100,106.583206
"2021-12-13",107.889999,108.620003,106.419998,108.199997,1705200,106.760811
"2021-12-14",108.480003,111.529999,108.050003,110.709999,2208900,109.237427
"2021-12-15",111.199997,114.010002,110.559998,113.519997,2988000,112.010048
"2021-12-16",114.18,116.239998,114.07,115.82,2556100,114.279449
"2021-12-17",115.370003,115.690002,113.839996,114.139999,4978400,112.621803
"2021-12-20",113.040001,113.650002,111.459999,112.309998,1979500,110.816139
"2021-12-21",112.980003,114.82,112.980003,113.32,1365000,111.812706
"2021-12-22",113.18,113.949997,112.879997,113.419998,1092000,111.911377
"2021-12-23",114.059998,115.199997,113.75,114.129997,1063100,112.611931
"2021-12-27",114.160004,116.129997,113.760002,116.080002,1116300,114.535995
"2021-12-28",115.919998,117.449997,115.910004,117.089996,1311100,115.532562
"2021-12-29",117.190002,118.419998,116.949997,117.949997,1511300,116.381119
"2021-12-30",118.489998,118.980003,117.580002,117.68,1251900,116.114716
"2021-12-31",117.580002,118.660004,117.580002,117.650002,1144000,116.085121
"2022-01-03",117.75,119.709999,117.370003,118.269997,1924600,116.696861
"2022-01-04",119.410004,121.489998,119,121.129997,1878400,119.518822
"2022-01-05",121.790001,123,120.980003,121.019997,1840100,119.410286
