"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"2020-10-14",92.839996,93.5,92.010002,92.669998,2420700,86.595932
"2020-10-15",91.07,92.82,90.75,91.959999,2170600,85.93248
"2020-10-16",92.18,93.059998,91.730003,92.370003,2811200,86.315613
"2020-10-19",92.120003,92.870003,91.75,92.07,2284000,86.035286
"2020-10-20",92.110001,92.800003,91.800003,92.059998,2243100,86.025932
"2020-10-21",91.959999,92.980003,91.559998,92.510002,2233300,86.446434
"2020-10-22",92.589996,93.910004,92.059998,93.889999,4162200,87.73597
"2020-10-23",94,94.370003,90.970001,92.779999,4532000,86.698738
"2020-10-26",91.940002,93.5,91.470001,93.18,2711800,87.07251
"2020-10-27",93.32,93.940002,92.620003,93.059998,2275900,86.960388
"2020-10-28",91.790001,93.089996,90.830002,90.980003,3658800,85.016716
"2020-10-29",90.720001,93.190002,89.620003,92.239998,3424900,86.19413
"2020-10-30",91.660004,93,91.230003,92.110001,3304800,86.072662
"2020-11-02",92.93,94.199997,92.25,93.82,2929900,87.670563
"2020-11-03",94.860001,96.559998,94.43,95.519997,3512400,89.259148
"2020-11-04",95.07,96.730003,93.550003,93.550003,2883700,87.418274
"2020-11-05",94.82,96.959999,93.970001,94.220001,2531900,88.044357
"2020-11-06",94.5,95.529999,93.339996,93.440002,2380500,87.315491
"2020-11-09",96.809998,98.879997,95.110001,95.400002,4148100,89.147011
"2020-11-10",95.720001,97.269997,94.300003,97.139999,3146100,90.772964
"2020-11-11",97.68,98.660004,97.040001,97.309998,2704500,90.931816
"2020-11-12",95.5,95.910004,93.599998,94.25,3119000,88.954521
"2020-11-13",94.709999,95.360001,94.599998,94.980003,1887300,89.643524
"2020-11-16",96.050003,96.050003,94.470001,95.010002,2842900,89.671837
"2020-11-17",94.300003,95,92.830002,92.919998,3178500,87.699257
"2020-11-18",93.589996,93.959999,91.459999,91.529999,2948800,86.38736
"2020-11-19",91.339996,91.760002,90.010002,91.699997,3368600,86.547798
"2020-11-20",91.699997,92.68,91.379997,92.580002,4213800,87.378372
"2020-11-23",92.519997,93.43,92.010002,93.330002,3795700,88.08622
"2020-11-24",94.470001,96.330002,93.900002,96.260002,4350900,90.851601
"2020-11-25",95.949997,96.239998,94.839996,96.150002,1959300,90.74778
"2020-11-27",96.150002,96.150002,94.099998,94.599998,1293800,89.284859
"2020-11-30",94.129997,94.25,91.940002,92.660004,5012200,87.453865
"2020-12-01",93.559998,94.639999,93.169998,93.260002,2947300,88.020157
"2020-12-02",93.099998,93.910004,91.910004,93.870003,2173900,88.595879
"2020-12-03",93.480003,93.699997,92.099998,92.349998,2286100,87.161278
"2020-12-04",92.199997,92.669998,90.139999,91.150002,3172200,86.028702
"2020-12-07",90.699997,92.309998,90.550003,91.870003,2030700,86.708252
"2020-12-08",91.330002,92.019997,90.400002,91.510002,2409300,86.368484
"2020-12-09",91.489998,91.739998,90.290001,91.389999,2998200,86.255219
"2020-12-10",91.690002,92.07,90.830002,91.760002,3628500,86.604431
