"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2020-11-06",118.32,119.199997,116.129997,118.690002,114457900,117.639839
"2020-11-09",120.5,121.989998,116.050003,116.32,154515300,115.29081
"2020-11-10",115.550003,117.589996,114.129997,115.970001,138023400,114.943909
"2020-11-11",117.190002,119.629997,116.440002,119.489998,112295000,118.432755
"2020-11-12",119.620003,120.529999,118.57,119.209999,103162300,118.155243
"2020-11-13",119.440002,119.669998,117.870003,119.260002,81581900,118.204796
"2020-11-16",118.919998,120.989998,118.150002,120.300003,91183000,119.235596
"2020-11-17",119.550003,120.669998,118.959999,119.389999,74271000,118.333641
"2020-11-18",118.610001,119.82,118,118.029999,76322100,116.98568
"2020-11-19",117.589996,119.059998,116.809998,118.639999,74113000,117.590279
"2020-11-20",118.639999,118.769997,117.290001,117.339996,73604300,116.301773
"2020-11-23",117.18,117.620003,113.75,113.849998,127959300,112.842667
"2020-11-24",113.910004,115.849998,112.589996,115.169998,113874200,114.150986
"2020-11-25",115.550003,116.75,115.169998,116.029999,76499200,115.003372
"2020-11-27",116.57,117.489998,116.220001,116.589996,46691300,115.558411
"2020-11-30",116.970001,120.970001,116.809998,119.050003,169410200,117.996658
"2020-12-01",121.010002,123.470001,120.010002,122.720001,127728200,121.634178
"2020-12-02",122.019997,123.370003,120.889999,123.080002,89004200,121.991005
"2020-12-03",123.519997,123.779999,122.209999,122.940002,78967600,121.852242
"2020-12-04",122.599998,122.860001,121.519997,122.25,78260400,121.168335
"2020-12-07",122.309998,124.57,122.25,123.75,86712000,122.655067
"2020-12-08",124.370003,124.980003,123.089996,124.379997,82225500,123.279495
"2020-12-09",124.529999,125.949997,121,121.779999,115089200,120.702507
"2020-12-10",120.5,123.870003,120.150002,123.239998,81312200,122.149582
"2020-12-11",122.43,122.760002,120.550003,122.410004,86939800,121.326935
"2020-12-14",122.599998,123.349998,121.540001,121.779999,79184500,120.702507
"2020-12-15",124.339996,127.900002,124.129997,127.879997,157243700,126.748528
"2020-12-16",127.410004,128.369995,126.559998,127.809998,98208600,126.679153
"2020-12-17",128.899994,129.580002,128.039993,128.699997,94359800,127.561279
"2020-12-18",128.960007,129.100006,126.120003,126.660004,192541500,125.53933
"2020-12-21",125.019997,128.309998,123.449997,128.229996,121251600,127.095436
"2020-12-22",131.610001,134.410004,129.649994,131.880005,168904800,130.71315
"2020-12-23",132.160004,132.429993,130.779999,130.960007,88223700,129.80127
"2020-12-24",131.320007,133.460007,131.100006,131.970001,54930100,130.802322
"2020-12-28",133.990005,137.339996,133.509995,136.690002,124486200,135.480576
