"","TECH.Open","TECH.High","TECH.Low","TECH.Close","TECH.Volume","TECH.Adjusted"
"2021-04-14",421.01001,423.089996,411.01001,414.380005,180500,412.80542
"2021-04-15",415.149994,420.119995,413.399994,415.179993,217600,413.602356
"2021-04-16",415.579987,419.779999,412.049988,418.549988,292300,416.959564
"2021-04-19",415.25,419.429993,409.329987,414.51001,135900,412.934906
"2021-04-20",415.299988,419.23999,409.880005,411.910004,188200,410.344818
"2021-04-21",413.299988,424.619995,410.290009,423.839996,236800,422.229462
"2021-04-22",423.390015,431.079987,419.619995,423.709991,179800,422.099976
"2021-04-23",426.98999,434.690002,418.220001,432.470001,129200,430.826691
"2021-04-26",434.529999,444.829987,432.880005,440.559998,186400,438.885925
"2021-04-27",442.100006,444.5,432.540009,441.399994,111400,439.722717
"2021-04-28",440.73999,443.959991,436.040009,436.799988,119600,435.140228
"2021-04-29",438.839996,443.220001,429.410004,433.75,129400,432.101807
"2021-04-30",431.73999,437.589996,425.700012,427.48999,170000,425.86557
"2021-05-03",431.880005,432.910004,422.329987,426.410004,171200,424.789673
"2021-05-04",421.329987,424.140015,414.040009,418.220001,168300,416.630829
"2021-05-05",422.48999,424.940002,414.600006,416.799988,233200,415.216217
"2021-05-06",416.799988,418.269989,399,410.980011,221300,409.418365
"2021-05-07",410.75,429.029999,408.630005,423.049988,216400,421.442444
"2021-05-10",421.130005,423.299988,407.910004,408.230011,259200,406.678802
"2021-05-11",399.920013,416.140015,394.880005,415.540009,170700,413.961029
"2021-05-12",414.51001,424.809998,408.51001,408.880005,280000,407.326324
"2021-05-13",411.850006,412.980011,387.089996,396.660004,356900,395.15274
"2021-05-14",398.369995,408.570007,395.579987,401.369995,318900,400.167664
"2021-05-17",400.799988,402.339996,386.769989,387.350006,234300,386.189697
"2021-05-18",388.579987,401.209991,386.119995,400,369200,398.801788
"2021-05-19",393.540009,404.019989,393.540009,397.570007,229100,396.379059
"2021-05-20",399.779999,411.230011,397.570007,408.890015,234500,407.665161
"2021-05-21",414.119995,417.809998,407.600006,409.350006,277600,408.123779
"2021-05-24",411.559998,422.299988,411.390015,421,388200,419.738861
"2021-05-25",424,428.149994,418.429993,420.149994,359500,418.891418
"2021-05-26",423.029999,424.779999,410.910004,416.269989,318200,415.023041
"2021-05-27",419.029999,423.269989,407.380005,409.690002,2309300,408.462799
"2021-05-28",410.910004,420.369995,410.910004,413.829987,335800,412.590302
"2021-06-01",418.26001,418.26001,400.350006,410.23999,238200,409.011078
"2021-06-02",408.369995,413.230011,400.519989,410.130005,248400,408.901459
"2021-06-03",406.980011,411.660004,402.100006,407.579987,239700,406.35907
"2021-06-04",410.790009,427.179993,409.359985,424.299988,328900,423.028961
"2021-06-07",420.970001,427.980011,415.100006,419.730011,215600,418.472687
"2021-06-08",424.839996,429.779999,417.75,425.029999,132700,423.756805
"2021-06-09",425.029999,433.899994,423.660004,429.160004,196300,427.874451
"2021-06-10",430.049988,441,430.049988,435.799988,198000,434.494537
"2021-06-11",438.220001,444.440002,435.779999,443.940002,174300,442.610168
"2021-06-14",443.940002,450.779999,443.529999,449.369995,173600,448.023895
"2021-06-15",445.140015,447.5,434.549988,441.309998,195400,439.988037
"2021-06-16",442.920013,446.309998,438.730011,442.540009,146600,441.214355
"2021-06-17",440.670013,452.579987,439.670013,445.190002,202800,443.856384
"2021-06-18",447.459991,453.820007,426.369995,431.899994,896500,430.606232
"2021-06-21",432.299988,441.820007,429.899994,440.209991,190900,438.891327
"2021-06-22",441.130005,444.559998,436.48999,441.880005,150400,440.556335
"2021-06-23",441.820007,447.059998,441.480011,444.429993,118200,443.098663
"2021-06-24",448.910004,450,436.570007,439.51001,154200,438.193451
"2021-06-25",438.970001,442.839996,433.339996,436.540009,258000,435.23233
"2021-06-28",438.109985,448.769989,436.559998,444.980011,161900,443.647064
"2021-06-29",445.820007,451.970001,445.130005,447.799988,115600,446.458588
"2021-06-30",446.790009,452.660004,445.220001,450.26001,240700,448.911224
"2021-07-01",449.359985,459.399994,448.070007,453.910004,233500,452.550293
"2021-07-02",454.459991,456.980011,447.230011,449.570007,190700,448.223297
"2021-07-06",451.220001,457.98999,445.700012,455.480011,227000,454.115601
"2021-07-07",458.470001,467.420013,454.320007,463.709991,230000,462.320923
"2021-07-08",456.309998,462.339996,450.570007,460.869995,127400,459.489441
"2021-07-09",462.809998,466.309998,458.329987,465.390015,212100,463.995911
"2021-07-12",466.549988,467.630005,449.51001,451.459991,210300,450.107635
"2021-07-13",451.01001,456,449.440002,453.440002,136700,452.081726
"2021-07-14",450.440002,456.290009,439.190002,444.869995,239500,443.537384
"2021-07-15",444.619995,450.619995,441.859985,449.51001,112200,448.163513
"2021-07-16",452.109985,460.76001,447.200012,458.679993,201400,457.305969
"2021-07-19",453.970001,461.390015,451.109985,455.429993,129300,454.065735
"2021-07-20",457.76001,469.25,457.76001,467.029999,227400,465.631012
"2021-07-21",466.850006,469.329987,455.369995,463.140015,112400,461.752686
"2021-07-22",463.190002,470.970001,463.160004,469.179993,74300,467.774536
"2021-07-23",470.559998,479,470.559998,474.399994,117400,472.978943
"2021-07-26",473.459991,476.609985,469.820007,472.130005,59200,470.715729
"2021-07-27",473.049988,474.630005,466.140015,473.600006,72200,472.181335
"2021-07-28",471.26001,477.859985,470.880005,476.76001,141600,475.331848
"2021-07-29",478.730011,487.149994,475.940002,483.109985,63200,481.662811
"2021-07-30",480.790009,488.230011,480.790009,482.23999,76000,480.79541
"2021-08-02",486,486.429993,474.160004,485.73999,141500,484.284943
"2021-08-03",485.299988,485.75,475.089996,481.269989,154600,479.828308
"2021-08-04",481.829987,487.859985,479.359985,486.75,311500,485.291931
"2021-08-05",489.540009,504.339996,479.579987,490.649994,241800,489.180237
"2021-08-06",490,490,471,481.820007,212800,480.376678
"2021-08-09",480.920013,489.25,476.149994,479.25,259600,477.814392
"2021-08-10",479,479,461.790009,463.709991,164800,462.320923
"2021-08-11",465.470001,465.470001,456.609985,462.890015,96400,461.503387
"2021-08-12",463.649994,469.420013,462.48999,463.869995,130200,462.480469
"2021-08-13",465.170013,468.920013,461.720001,466.940002,110000,465.86264
"2021-08-16",464.320007,478.920013,464.320007,477.450012,149100,476.348389
"2021-08-17",477.769989,477.769989,471.23999,474.019989,101700,472.9263
"2021-08-18",474.850006,477.670013,469.459991,470.820007,92500,469.733673
"2021-08-19",466.350006,479.480011,464.609985,475.880005,139900,474.782013
"2021-08-20",476.75,483.200012,475.670013,479.450012,115900,478.343781
"2021-08-23",480.98999,488.269989,478.149994,479.899994,208800,478.792755
"2021-08-24",483.089996,495.179993,480.890015,492.48999,233200,491.353699
"2021-08-25",495.850006,503.230011,490.890015,500.23999,761100,499.085815
"2021-08-26",497.399994,503.940002,491.109985,493.190002,504500,492.052094
"2021-08-27",492.619995,496.019989,485.5,495.01001,8226500,493.867889
"2021-08-30",501.26001,511.209991,497.209991,505.839996,317400,504.672882
"2021-08-31",509.149994,509.149994,494.809998,499.140015,339000,497.988373
"2021-09-01",500,507.529999,495.540009,505.350006,193800,504.184021
"2021-09-02",509.910004,513.359985,505.970001,510.779999,251000,509.601471
"2021-09-03",509.720001,521.460022,507.429993,513.090027,162600,511.906158
"2021-09-07",515.340027,515.340027,507,514.190002,229100,513.003601
"2021-09-08",508.480011,516.349976,505.290009,507.769989,124700,506.59845
"2021-09-09",511,512.530029,507.149994,508.170013,165300,506.997559
"2021-09-10",512.039978,517.929993,507.079987,516.789978,223400,515.597595
"2021-09-13",520.75,522.48999,495.549988,502.589996,218300,501.430389
"2021-09-14",506.910004,516.309998,506.470001,509.890015,189800,508.713562
"2021-09-15",519.210022,532.940002,511.109985,529.640015,351000,528.417969
"2021-09-16",526.080017,530.299988,521.619995,529.460022,160000,528.238464
"2021-09-17",530.799988,540,528.719971,534.349976,1060800,533.117065
"2021-09-20",525.25,535.640015,518.059998,528.820007,401300,527.599915
"2021-09-21",531.570007,536.01001,524.820007,530.200012,255400,528.976746
"2021-09-22",529.039978,533.460022,521.840027,533,336400,531.770203
"2021-09-23",537.179993,543.849976,535.210022,536.900024,196100,535.661255
"2021-09-24",532.5,540.460022,529.570007,538.880005,157600,537.636658
"2021-09-27",535.429993,535.429993,508.720001,511.450012,213100,510.269958
"2021-09-28",503.209991,504.070007,487.179993,488.869995,253300,487.742035
"2021-09-29",495.309998,499.910004,489.589996,490.529999,221800,489.398193
"2021-09-30",494.420013,502.029999,484.019989,484.570007,269100,483.451965
"2021-10-01",485.48999,496.230011,471.769989,493.820007,216500,492.680634
"2021-10-04",490.029999,490.100006,474.920013,481.230011,146000,480.11969
"2021-10-05",484.279999,492.079987,479.019989,483.410004,143200,482.294647
"2021-10-06",478.869995,484.269989,474.299988,483.570007,143800,482.454285
"2021-10-07",485.929993,495.730011,485.929993,488.399994,217600,487.273132
"2021-10-08",489.75,489.76001,478.390015,479.619995,84800,478.513397
"2021-10-11",479.76001,483.01001,475.820007,478.209991,99900,477.106598
"2021-10-12",484.01001,485.609985,470.200012,478.01001,157100,476.907074
"2021-10-13",482.359985,483.279999,476.179993,482.98999,102100,481.87561
"2021-10-14",488.350006,498.880005,488.209991,497.850006,172200,496.701355
"2021-10-15",497.970001,503.480011,496.119995,498.019989,203000,496.870911
"2021-10-18",497.820007,502.109985,494.040009,499.48999,135500,498.337524
"2021-10-19",499.48999,507.480011,498.76001,499.619995,95300,498.467224
"2021-10-20",504.48999,509.160004,501.350006,507.329987,117600,506.159424
"2021-10-21",507.029999,507.190002,492.730011,497.450012,190000,496.302277
"2021-10-22",499.089996,508.690002,498.350006,505.26001,87300,504.094238
"2021-10-25",504.600006,511.399994,500.079987,510.829987,101600,509.651367
"2021-10-26",513.330017,520.52002,508.480011,518.77002,172900,517.573059
"2021-10-27",517.77002,517.77002,504.940002,509.769989,130000,508.593811
"2021-10-28",512.090027,525.179993,506.73999,515.23999,133500,514.051147
"2021-10-29",512.72998,525.690002,512.72998,523.650024,182100,522.441772
"2021-11-01",525,531.799988,522.309998,525.059998,185000,523.848572
"2021-11-02",519.590027,526.710022,497.380005,503.329987,242000,502.168671
"2021-11-03",502.049988,505.519989,489.230011,504.320007,214200,503.156403
"2021-11-04",505.880005,511.380005,489.869995,495.230011,177500,494.087372
"2021-11-05",492.649994,500.149994,488.26001,497.320007,195300,496.172546
"2021-11-08",497.320007,507.220001,494.200012,506.399994,117400,505.231598
"2021-11-09",506,507.600006,500.73999,502.140015,149000,500.981445
"2021-11-10",497.899994,505.549988,497.230011,503.660004,230300,502.818359
"2021-11-11",507.470001,514.72998,501,506.630005,187400,505.783417
"2021-11-12",508.390015,512.799988,502.109985,504.5,134200,503.656952
"2021-11-15",504.940002,507.910004,501.559998,501.769989,113400,500.931519
"2021-11-16",499.48999,511.209991,493.910004,504.48999,221200,503.646973
"2021-11-17",504.48999,504.570007,488.029999,493.920013,217700,493.094666
"2021-11-18",495.920013,497.429993,489.190002,495.140015,155900,494.312622
"2021-11-19",497.470001,507.170013,486.76001,501.5,279100,500.661987
"2021-11-22",502.130005,502.130005,488.279999,489.630005,224200,488.811798
"2021-11-23",485.679993,487,465,472.720001,255900,471.930054
"2021-11-24",470.160004,477.269989,466.679993,476.970001,217000,476.172974
"2021-11-26",476.440002,491.959991,472.540009,473.470001,114900,472.678833
"2021-11-29",472.779999,488.790009,472.779999,479.690002,137600,478.888428
"2021-11-30",482.670013,491.279999,468.799988,472.029999,379200,471.241211
"2021-12-01",473.76001,478.73999,461.459991,461.940002,285600,461.168091
"2021-12-02",459.440002,469.450012,456.609985,467.269989,258900,466.489166
"2021-12-03",469.570007,469.570007,449.75,456.149994,259400,455.387756
"2021-12-06",456.529999,468.929993,450.579987,468.23999,213200,467.45755
"2021-12-07",473.429993,481.559998,468.209991,472.959991,223100,472.169647
"2021-12-08",475.799988,486.179993,473.089996,481.299988,111300,480.495728
"2021-12-09",481.720001,485.850006,469.309998,470.200012,116800,469.414276
"2021-12-10",470.109985,477.290009,464.529999,466.040009,134400,465.26123
"2021-12-13",463.779999,471.970001,462.649994,470.369995,127100,469.583984
"2021-12-14",465.98999,466.420013,455.859985,462.880005,173200,462.106506
"2021-12-15",465.049988,475.269989,459.820007,474.440002,114600,473.647217
"2021-12-16",476.029999,478.130005,459.769989,461.529999,162600,460.758759
"2021-12-17",460.019989,475.079987,453.079987,470.559998,448100,469.773682
"2021-12-20",467.48999,470.179993,459.940002,465.179993,157900,464.402679
"2021-12-21",467.109985,480.75,464.480011,479.640015,134500,478.838501
"2021-12-22",479.079987,491.779999,476.75,489.690002,116900,488.871735
"2021-12-23",492.269989,498.529999,492.269989,494.649994,99100,493.823425
"2021-12-27",496.01001,500.670013,496.01001,500.660004,77200,499.823364
"2021-12-28",502.209991,502.209991,491.179993,497.790009,80400,496.95816
"2021-12-29",498.670013,502.98999,493.730011,502.51001,103700,501.670319
"2021-12-30",501.619995,511.429993,501.619995,508.799988,92000,507.949768
"2021-12-31",508.149994,522.960022,508.149994,517.340027,217500,516.475525
