"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2020-12-11",181.339996,184.339996,179.770004,180.270004,2010600,170.67746
"2020-12-14",181.710007,182.279999,177.539993,177.550003,1382200,168.102234
"2020-12-15",178.539993,181.399994,177.759995,181.389999,1440800,171.737869
"2020-12-16",181.440002,183.229996,181,181.720001,1223600,172.050323
"2020-12-17",183.080002,185.259995,182.199997,184.940002,1954200,175.098984
"2020-12-18",185.210007,187,181.869995,183.979996,3581300,174.190048
"2020-12-21",181.570007,182.880005,179.660004,181.770004,1831100,172.097687
"2020-12-22",181.839996,182.990005,180.610001,181,1001900,171.368622
"2020-12-23",181.449997,183.309998,180.199997,180.339996,1289800,170.743759
"2020-12-24",177.830002,178.850006,177.149994,178.479996,466100,171.358215
"2020-12-28",179.149994,181.070007,178.710007,180.389999,951600,173.192017
"2020-12-29",181.139999,181.479996,178.690002,178.860001,872100,171.723038
"2020-12-30",179.850006,180.179993,177.770004,178,813400,170.897369
"2020-12-31",178.559998,182.220001,178.110001,182.050003,1400100,174.785797
"2021-01-04",183.100006,183.169998,177.690002,179.300003,1437700,172.145508
"2021-01-05",179.619995,179.75,177.509995,179.119995,1683200,171.972687
"2021-01-06",181.610001,194.809998,181.160004,193.380005,4452300,185.663681
"2021-01-07",197.240005,199.300003,195.009995,198.809998,2788800,190.876984
"2021-01-08",196.979996,200.860001,196.979996,199.679993,1867400,191.71228
"2021-01-11",198.520004,200.330002,197.009995,198.940002,1399200,191.001816
"2021-01-12",199.289993,202.100006,198.570007,201.490005,1631700,193.450073
"2021-01-13",202.470001,205.050003,197.669998,197.949997,1973800,190.051315
"2021-01-14",198.240005,198.929993,193.729996,194.139999,1330000,186.393356
"2021-01-15",192.660004,193.679993,191.139999,191.820007,1376700,184.165909
"2021-01-19",193.220001,194.350006,191.029999,192.199997,1528200,184.530762
"2021-01-20",192.279999,192.740005,188.860001,189.830002,1217500,182.255325
"2021-01-21",189.449997,189.449997,186.070007,186.199997,1424300,178.770157
"2021-01-22",185.509995,185.949997,183.889999,184.039993,1135600,176.69635
"2021-01-25",183.690002,185.119995,182.070007,184.369995,1350700,177.013199
"2021-01-26",184.610001,185.339996,183.020004,183.75,1248900,176.417938
"2021-01-27",182.470001,183.520004,177.729996,178.789993,2261300,171.655838
"2021-01-28",180.509995,185.25,179.820007,182.470001,1514600,175.188995
"2021-01-29",180.770004,183.059998,177.910004,181.740005,1829400,174.488144
"2021-02-01",184.639999,188.899994,182.910004,187.440002,1582700,179.960693
"2021-02-02",189.449997,193.639999,189.220001,192.009995,1628500,184.348328
"2021-02-03",193.199997,193.380005,190.5,191.990005,1296800,184.329147
"2021-02-04",192.940002,194.839996,192.160004,193.529999,1394300,185.807693
"2021-02-05",194.089996,194.449997,188.429993,191.389999,1741400,183.753082
"2021-02-08",192.940002,193.669998,190.240005,191.740005,2071100,184.089111
"2021-02-09",193,195.539993,191.229996,191.970001,2026300,184.309921
"2021-02-10",191.119995,192.190002,182.660004,185.199997,2688300,177.810074
"2021-02-11",185.759995,186.289993,179.690002,182.710007,2515000,175.419464
"2021-02-12",182.860001,184.589996,182.110001,184.369995,1441400,177.013199
"2021-02-16",185.089996,189.899994,183,189.410004,2677700,181.852081
"2021-02-17",189.419998,191.899994,187.220001,191.139999,1513800,183.513077
"2021-02-18",190.050003,194.240005,189.720001,193.990005,1497200,186.249344
"2021-02-19",194.970001,196.460007,192.889999,195.070007,1432400,187.28624
"2021-02-22",194.009995,195.880005,191.509995,195.470001,2022700,187.670288
"2021-02-23",195.470001,199.759995,194,198.75,3454400,190.819382
"2021-02-24",199.839996,202.910004,198.919998,200.699997,1681900,192.691589
"2021-02-25",202.869995,207.440002,202.009995,204.800003,2398100,196.627991
"2021-02-26",206.169998,206.179993,198.529999,199.699997,2689400,191.731506
"2021-03-01",202.059998,211.589996,202.050003,209.699997,2418600,201.332474
"2021-03-02",208.899994,209.419998,206.089996,206.639999,1593400,198.394562
"2021-03-03",206.380005,208.779999,205.520004,205.800003,1406100,197.588089
"2021-03-04",206.809998,208.009995,204,207.020004,2136800,198.759415
"2021-03-05",209,215.639999,208.190002,213.919998,3186200,205.384079
"2021-03-08",214.550003,216.75,210.770004,214.039993,2451000,205.499298
"2021-03-09",212.399994,213.889999,209.169998,209.720001,2500200,202.201889
"2021-03-10",209.490005,210.220001,204.410004,206.639999,1990000,199.232285
"2021-03-11",205.289993,207.440002,203.110001,205.610001,1823600,198.239227
"2021-03-12",206.759995,209.710007,205.770004,209.149994,1706600,201.652313
"2021-03-15",209.080002,209.990005,205.820007,209.089996,1439400,201.594452
"2021-03-16",208.990005,209.970001,205.779999,207.119995,1247300,199.695068
"2021-03-17",209.110001,209.259995,206.149994,206.580002,1577500,199.174438
"2021-03-18",207.820007,210.300003,205.130005,205.779999,1650800,198.403122
