"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2020-12-15",99.879997,100.75,97.720001,100.529999,1155500,97.362602
"2020-12-16",100.949997,102.050003,99.190002,99.5,1066800,96.365059
"2020-12-17",100.480003,102.260002,98.989998,100.989998,948900,97.808121
"2020-12-18",101,102.519997,99.800003,101.209999,1636200,98.021187
"2020-12-21",98.830002,101.940002,98.330002,101.330002,924700,98.137405
"2020-12-22",101.849998,102,98.650002,98.839996,759300,95.725853
"2020-12-23",99.610001,102.360001,99.440002,101.959999,491600,98.747559
"2020-12-24",103.160004,103.5,100.5,100.919998,336400,97.740318
"2020-12-28",101.5,104.230003,101.339996,103.440002,824900,100.180923
"2020-12-29",103.629997,104.059998,100.830002,101.559998,672600,98.360153
"2020-12-30",102.379997,104.989998,101.970001,103.940002,757100,100.665176
"2020-12-31",103.160004,104.699997,102.349998,103.739998,511400,100.471474
"2021-01-04",103.879997,103.959999,99.330002,101.330002,1067800,98.137405
"2021-01-05",101.010002,105.139999,100.75,104,891000,100.723289
"2021-01-06",104.629997,110.629997,104.239998,109.440002,1551800,105.991882
"2021-01-07",111,113.269997,110.080002,112.18,1438900,108.645554
"2021-01-08",112.300003,112.830002,107.830002,109.480003,1283100,106.030624
"2021-01-11",110.019997,111.190002,108.440002,110.589996,1136300,107.105644
"2021-01-12",111.019997,117,110.580002,114.510002,1096300,110.902145
"2021-01-13",114.040001,116.339996,111.639999,112.940002,1351900,109.381615
"2021-01-14",113.589996,115.150002,110.839996,111.470001,1063700,107.957924
"2021-01-15",111.300003,112.449997,109.660004,110.07,965600,106.602036
"2021-01-19",109.519997,110.730003,106.150002,107.25,986600,103.870888
"2021-01-20",107.650002,109.339996,106.360001,106.589996,822800,103.231682
"2021-01-21",106.5,108.489998,105.300003,107.889999,1051400,104.490715
"2021-01-22",106.910004,112.889999,105.459999,108.470001,1753000,105.052444
"2021-01-25",107.550003,110.269997,105.769997,109.489998,1041800,106.040298
"2021-01-26",110.309998,110.559998,106.150002,107.07,1023800,103.696556
"2021-01-27",105.449997,106.139999,100.209999,100.809998,1425500,97.633789
"2021-01-28",102,105.389999,101.080002,103.540001,1175300,100.277771
"2021-01-29",103.5,103.879997,99.919998,101.050003,1042700,97.866226
"2021-02-01",104.160004,104.230003,100.540001,102.480003,1182800,99.251183
"2021-02-02",104,105,101.720001,103.43,874600,100.171249
"2021-02-03",103.660004,106.589996,103.660004,105.190002,1420400,101.875793
"2021-02-04",103.419998,109.339996,100.339996,107.830002,2671200,104.432617
"2021-02-05",108.199997,109.459999,105.099998,108.5,1405100,105.081497
"2021-02-08",109.160004,111.419998,108.580002,110.209999,1091400,106.737625
"2021-02-09",109.379997,111.110001,109.07,110.360001,818500,106.882904
"2021-02-10",111.43,113.190002,109.769997,112.160004,744600,108.626183
"2021-02-11",112.650002,116.459999,111.730003,113.440002,890500,109.86586
"2021-02-12",112.099998,112.650002,110.139999,110.699997,817000,107.212181
"2021-02-16",111.330002,112.300003,110.050003,111.769997,751700,108.248474
"2021-02-17",111.809998,112.059998,109.769997,111.410004,602800,107.899818
"2021-02-18",110.870003,111.400002,108.589996,110.989998,607300,107.493042
"2021-02-19",111.040001,114.07,109.309998,113.459999,855100,109.885223
"2021-02-22",112.699997,118.25,112.480003,117.379997,1037600,113.681725
"2021-02-23",117.290001,118.040001,114.459999,117.129997,736600,113.43959
"2021-02-24",117,120.220001,116.059998,119.879997,616300,116.102951
"2021-02-25",120.529999,122.199997,117.580002,117.580002,971500,113.87542
"2021-02-26",117.5,119.059998,114.300003,117.080002,947500,113.391174
"2021-03-01",119.029999,123.230003,118.709999,120.339996,1066100,116.548454
"2021-03-02",120.529999,122.690002,119.540001,121.639999,1260000,117.807503
"2021-03-03",121.870003,125.650002,121.540001,122.300003,1459400,118.446709
"2021-03-04",121.980003,125.330002,117.410004,120.970001,1653300,117.158607
"2021-03-05",122.43,125.309998,116.169998,122.199997,1473800,118.349861
"2021-03-08",124.019997,128.399994,123.059998,126.550003,1221400,122.562805
"2021-03-09",126.699997,129.75,124.68,124.949997,1209400,121.013199
"2021-03-10",125.019997,127.080002,121.82,122.610001,1341000,118.746941
"2021-03-11",122.889999,123.800003,119.989998,121.75,1097300,117.914032
"2021-03-12",123.389999,125.900002,122.040001,123.980003,1582400,120.073784
"2021-03-15",123.800003,125.349998,122.370003,124,1413900,120.093147
"2021-03-16",124,124.760002,118.690002,121.760002,1070600,117.923721
"2021-03-17",122.110001,122.779999,118.300003,121.07,915100,117.255463
"2021-03-18",121.07,125.849998,120.699997,122.480003,961700,118.62104
"2021-03-19",121.400002,124.029999,120.629997,121.75,1638600,117.914032
"2021-03-22",122,122.900002,120.050003,121.519997,869600,117.691277
