"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2020-10-08",52.119999,53.66,52.060001,53.639999,2398000,49.38937
"2020-10-09",54.040001,54.5,52.549999,53.040001,3185700,48.836918
"2020-10-12",52.66,54.360001,51.93,53.459999,2769000,49.223633
"2020-10-13",52.869999,53.459999,51.119999,51.27,2885600,47.20718
"2020-10-14",51.720001,53.360001,51.529999,52.080002,2111400,47.952999
"2020-10-15",51.049999,52.740002,50.419998,52.509998,3502000,48.348915
"2020-10-16",52.459999,52.5,50.470001,50.580002,2938700,46.571861
"2020-10-19",50.91,50.93,48.880001,48.950001,3683200,45.07103
"2020-10-20",49.369999,50.09,49.080002,49.59,3471300,45.660305
"2020-10-21",48.880001,49.82,48.66,48.720001,3798400,44.859249
"2020-10-22",48.68,50.189999,47.549999,50.009998,3408600,46.04702
"2020-10-23",50.549999,51.439999,49.41,50.48,3291400,46.479782
"2020-10-26",49.639999,49.650002,47.900002,48.139999,3215000,44.325214
"2020-10-27",48,48.369999,47.02,47.07,3525700,43.340004
"2020-10-28",45.73,46.5,44.139999,44.220001,4911700,40.715847
"2020-10-29",43.619999,46.18,43.27,45.98,4436300,42.33638
"2020-10-30",45.380001,46.740002,44.91,46.66,4578900,42.96249
"2020-11-02",47.380001,48.48,46.509998,47.959999,3732600,44.159473
"2020-11-03",48.619999,49.040001,46.849998,47.52,3287300,43.754341
"2020-11-04",47.66,49.25,46.610001,47.919998,3709000,44.122639
"2020-11-05",47.709999,48.91,47.43,48.189999,3211600,44.371254
"2020-11-06",48.110001,48.889999,46.189999,46.68,3617000,42.980907
"2020-11-09",52.419998,58.23,52.299999,57.029999,8912800,52.510731
"2020-11-10",58.689999,58.779999,55.700001,58.139999,5192400,53.532776
"2020-11-11",58.900002,58.990002,57.689999,58.98,4588500,54.30621
"2020-11-12",57.68,58.529999,54.599998,54.849998,5068000,50.50349
"2020-11-13",55.57,59.5,55.5,58.759998,5655700,54.103649
"2020-11-16",61.189999,63.139999,59.099998,62.619999,6020300,58.554619
"2020-11-17",61.25,64.43,60.25,64.339996,5370200,60.162952
"2020-11-18",64.760002,64.849998,60.720001,60.75,4151000,56.806023
"2020-11-19",60,61.82,59.529999,61.450001,2673700,57.460579
"2020-11-20",61.299999,62.490002,61.009998,61.59,2651600,57.591484
"2020-11-23",62.720001,65.919998,62.599998,65.839996,4504300,61.565575
"2020-11-24",68.150002,68.709999,66.599998,67.720001,4207300,63.323509
"2020-11-25",66.879997,67.230003,65.769997,66.260002,3755900,61.958302
"2020-11-27",65.620003,66.25,64.690002,65.230003,1936000,60.995178
"2020-11-30",64.260002,64.5,60.299999,60.580002,6423000,56.647057
"2020-12-01",62.779999,64.18,61.529999,61.880001,4021100,57.862663
"2020-12-02",61.200001,65.279999,61.040001,64.43,4410700,60.247112
"2020-12-03",64.75,66.900002,63.84,65.019997,2732700,60.798805
"2020-12-04",66.739998,69.919998,66.519997,69.32,4437500,64.819641
"2020-12-07",68.32,68.809998,66.32,67.050003,3059500,62.697029
"2020-12-08",66.059998,69.080002,66.059998,67.389999,3050800,63.014942
"2020-12-09",68.459999,70.099998,66.980003,68.769997,3602200,64.305359
"2020-12-10",68.150002,71.699997,68.150002,70.860001,3352600,66.259659
"2020-12-11",70.199997,70.419998,68.449997,69.510002,2557000,64.997322
