"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2021-01-25",161.360001,164.070007,160.830002,163.679993,1850400,159.076569
"2021-01-26",164.350006,165.830002,163.009995,164.529999,2864200,159.902649
"2021-01-27",162.699997,172.869995,162.580002,165.669998,3536000,161.01059
"2021-01-28",169.850006,172.570007,166.610001,166.75,2189100,162.060211
"2021-01-29",167.710007,169.449997,164.440002,165.119995,3212000,160.476059
"2021-02-01",165.279999,168.470001,165.169998,166.350006,1720800,161.671478
"2021-02-02",167.289993,169.119995,165.529999,168.380005,1863300,163.644363
"2021-02-03",167.070007,167.850006,166.25,166.830002,1811800,162.13797
"2021-02-04",168.070007,170.660004,166.369995,170.559998,1409100,165.763062
"2021-02-05",170.729996,171.559998,167.169998,167.279999,1536300,162.575302
"2021-02-08",167.960007,168.729996,166.5,167.919998,1755100,163.197296
"2021-02-09",167.869995,168.419998,166.429993,167.380005,1748700,162.672501
"2021-02-10",168.399994,168.660004,166.240005,166.940002,1607800,162.244888
"2021-02-11",168.389999,168.440002,166.580002,166.800003,1189300,162.10881
"2021-02-12",166.009995,167.199997,164.240005,167.029999,1828400,162.332352
"2021-02-16",165.850006,167.740005,165.029999,166.160004,2024400,161.486786
"2021-02-17",164.910004,167.429993,164.520004,167.130005,1270900,162.429535
"2021-02-18",167.220001,173.020004,166.259995,172.600006,2226000,167.745682
"2021-02-19",172.830002,173.399994,169,169.289993,2000800,164.528778
"2021-02-22",168.679993,171.559998,167.130005,170.820007,1465200,166.015747
"2021-02-23",170.830002,174.600006,170.160004,172.070007,1880400,167.230606
"2021-02-24",170.100006,176.850006,169.009995,176.619995,1969700,171.652634
"2021-02-25",174.770004,177.619995,174.460007,175.529999,2485600,170.593277
"2021-02-26",176.399994,177.539993,173.720001,174.020004,2644900,169.125748
"2021-03-01",175.770004,178.460007,174.580002,177.5,1690200,172.507874
"2021-03-02",177.509995,177.990005,173.860001,174.940002,2088400,170.019852
"2021-03-03",173.520004,175.089996,172.320007,174.490005,1716900,169.582535
"2021-03-04",174.330002,175.869995,169.929993,171.009995,2013000,166.200409
"2021-03-05",171.830002,179,171.5,178.259995,2535900,173.24649
"2021-03-08",179.270004,183.639999,177.740005,180.419998,2550400,175.345734
"2021-03-09",182.020004,184.289993,181.119995,183.059998,2250000,177.911499
"2021-03-10",183.720001,184.589996,181.270004,182.070007,1968400,176.949356
"2021-03-11",180.479996,183.990005,180.210007,181.559998,1362400,177.359634
"2021-03-12",180.720001,183.080002,180.550003,182.770004,1360500,178.541626
"2021-03-15",182.770004,189.320007,182.770004,189.080002,2792300,184.705643
"2021-03-16",188.75,190.5,187.940002,188.279999,2017100,183.924164
"2021-03-17",187.259995,188.509995,185.759995,187.880005,1982000,183.533417
"2021-03-18",185.770004,188.389999,185.419998,186.059998,1622400,181.755524
"2021-03-19",186.039993,187.130005,182.210007,183.929993,10171500,179.674805
"2021-03-22",182.960007,184.880005,182.520004,184.389999,2151000,180.124161
"2021-03-23",185.679993,185.779999,183.080002,184.039993,1664100,179.782242
"2021-03-24",183.309998,187.940002,183.309998,185.270004,2020300,180.98381
"2021-03-25",187.130005,188.149994,186.009995,187,2138900,182.673798
"2021-03-26",187.139999,192.979996,186.830002,192.690002,2088200,188.232147
"2021-03-29",191.759995,192.990005,190.039993,192.5,1432200,188.046539
"2021-03-30",192.729996,193.440002,187.210007,187.889999,1774300,183.543182
"2021-03-31",187.899994,189.570007,187.050003,188.470001,1848600,184.109756
"2021-04-01",190.220001,190.220001,188.130005,189.399994,1326900,185.01825
"2021-04-05",189.820007,193.770004,189.779999,193.070007,1605600,188.603348
"2021-04-06",192.75,192.75,188.770004,189.410004,1532600,185.028015
"2021-04-07",188.830002,189.259995,185.610001,185.809998,1703500,181.511307
"2021-04-08",186.820007,188.460007,186.050003,188.199997,1972300,183.846024
"2021-04-09",188.110001,189.830002,187,189.440002,1128500,185.057343
"2021-04-12",188.720001,190.210007,188.429993,189.759995,1398000,185.369919
"2021-04-13",189.860001,192.220001,189.550003,191.919998,1979000,187.479935
"2021-04-14",191.419998,193.289993,190.690002,191.149994,1651600,186.727768
"2021-04-15",192.559998,193.320007,191.380005,191.889999,1173400,187.450653
"2021-04-16",192.610001,193.520004,191.759995,192.940002,1612900,188.476349
"2021-04-19",192.009995,193.160004,191.669998,192.75,1226300,188.290741
"2021-04-20",193.369995,193.970001,192.070007,192.809998,1258000,188.349365
"2021-04-21",193.509995,194.559998,193,194.309998,1413500,189.814651
"2021-04-22",193.929993,195.919998,193.220001,194.830002,1360500,190.322647
"2021-04-23",195,197.279999,193.619995,195.860001,1342900,191.328812
"2021-04-26",195.570007,196.539993,194.699997,195.139999,1398900,190.625473
"2021-04-27",194.960007,196,193.839996,195.889999,1589700,191.358109
"2021-04-28",191.190002,191.5,186.029999,186.619995,3129100,182.302551
"2021-04-29",186.960007,189.259995,185.649994,188.399994,1746200,184.041367
"2021-04-30",186.5,188.320007,184.850006,186.990005,2316700,182.664017
"2021-05-03",189.169998,191.570007,188.869995,191.460007,1514200,187.030609
"2021-05-04",190.649994,194.380005,189.580002,193.970001,2246700,189.482529
"2021-05-05",189.990005,194.570007,189.300003,193.660004,2759100,189.179718
"2021-05-06",195.289993,195.369995,192.860001,195.320007,1317000,190.801315
"2021-05-07",196.570007,196.570007,191.929993,194.889999,1968300,190.381256
"2021-05-10",195.990005,196.669998,194.259995,194.399994,2561200,189.902573
"2021-05-11",194.919998,196.610001,193.009995,194.470001,1637000,189.970978
"2021-05-12",193.570007,193.570007,188.960007,189.440002,2235700,185.057343
"2021-05-13",189.699997,193.929993,189.589996,192.520004,1440000,188.066055
"2021-05-14",194.350006,195.669998,192.889999,194.639999,1047200,190.137039
"2021-05-17",194.059998,195.169998,192.369995,194.570007,1353400,190.068649
"2021-05-18",194.660004,196.429993,192.380005,192.539993,1509000,188.085602
"2021-05-19",190.320007,191.990005,187.289993,190.839996,1668200,186.424942
"2021-05-20",191.089996,195.160004,190.820007,194.139999,1312100,189.64859
"2021-05-21",194.800003,196.789993,194.259995,195.279999,1223600,190.762192
"2021-05-24",196.460007,198.350006,196.179993,197.039993,1233400,192.481491
"2021-05-25",197.169998,197.220001,194.889999,195.199997,1648700,190.684067
"2021-05-26",195.919998,196.160004,193.600006,194.380005,1165800,189.883057
"2021-05-27",195.169998,197.940002,194.389999,197.240005,5650500,192.67688
"2021-05-28",197.619995,197.979996,195.630005,196.020004,1285100,191.485107
"2021-06-01",197.75,198.199997,195.589996,196.710007,1302800,192.159134
"2021-06-02",196.889999,199.529999,196.630005,198.440002,1282100,193.849106
"2021-06-03",196.429993,197.630005,195.210007,196.990005,1449800,192.432663
