"","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume","RJF.Adjusted"
"2020-10-08",51.48,52.273335,51.213333,52.166668,613500,50.964661
"2020-10-09",52.779999,52.799999,51.693333,52.18,577500,50.97768
"2020-10-12",52.380001,53.5,52.133331,53.360001,840300,52.130493
"2020-10-13",53.033333,53.486668,51.786667,51.82,669300,50.625977
"2020-10-14",51.82,52.933334,51.773335,51.933334,1000800,50.736698
"2020-10-15",51.333332,52.986668,51.006668,52.933334,661950,51.713657
"2020-10-16",52.966667,53.553333,52.653332,53.146667,699900,51.922077
"2020-10-19",53.406666,53.599998,52.273335,52.366669,525000,51.160053
"2020-10-20",52.973331,53.66,52.513332,52.540001,587850,51.329391
"2020-10-21",52.5,53.246666,52.253334,52.400002,693750,51.192608
"2020-10-22",52.34,53.713333,51.939999,53.633331,743250,52.397526
"2020-10-23",54,54.206669,53.533333,54.073334,676800,52.827393
"2020-10-26",53.246666,53.286667,52.546665,53.206669,702150,51.980694
"2020-10-27",52.993332,53.313332,52.106667,52.16,645900,50.958141
"2020-10-28",51.060001,51.220001,49.673332,50.139999,1701450,48.984692
"2020-10-29",50.113335,50.919998,48.866669,50.366669,1250400,49.206131
"2020-10-30",50.193333,51.226665,49.993332,50.959999,805500,49.785797
"2020-11-02",51.806667,52.560001,51.240002,52.306667,924000,51.101437
"2020-11-03",53.426666,53.959999,53.053333,53.32,929700,52.091415
"2020-11-04",52.173332,52.833332,50.700001,51.393333,961050,50.209141
"2020-11-05",51.700001,53.753334,51.700001,53.093334,759150,51.869972
"2020-11-06",53.259998,53.553333,51.453335,51.673332,753750,50.482693
"2020-11-09",56.220001,58.206669,55.933334,57.060001,2167500,55.745239
"2020-11-10",57.446667,57.533333,56.733334,57.206669,912450,55.888523
"2020-11-11",57.793331,57.813332,56.373333,56.513332,1594500,55.211163
"2020-11-12",55.846668,56.333332,54.513332,55.193333,936300,53.921581
"2020-11-13",55.799999,57.273335,55.740002,56.833332,799950,55.523788
"2020-11-16",58.646667,58.646667,57.106667,58.48,994050,57.132523
"2020-11-17",58.273335,59.966667,57.200001,59.619999,1143750,58.246254
"2020-11-18",59.726665,60.806667,59.360001,59.386665,1342950,58.018295
"2020-11-19",58.706669,59.759998,58.126667,59.466667,1078200,58.096455
"2020-11-20",59.166668,59.360001,58.533333,59.006668,712650,57.647057
"2020-11-23",59.933334,60.526669,59.5,60.32,1116750,58.930122
"2020-11-24",61.373333,62.693333,61.106667,62.639999,743850,61.196667
"2020-11-25",62.060001,62.48,61.433334,62.326668,662850,60.890556
"2020-11-27",62.459999,62.66,61.720001,61.806667,257700,60.382534
"2020-11-30",61.566666,61.880001,60.386665,60.633331,1876050,59.23624
"2020-12-01",62.066666,62.5,61.299999,61.993332,1132500,60.564899
"2020-12-02",61.639999,63.16,61.446667,63.133331,799500,61.678635
"2020-12-03",62.893333,63.453335,62.459999,62.900002,1223400,61.45068
"2020-12-04",63.693333,64.573334,63.48,63.886665,678300,62.414608
"2020-12-07",63.213333,63.360001,62.533333,63.006668,681150,61.554886
"2020-12-08",62.060001,62.833332,61.526669,61.953335,1705200,60.525826
"2020-12-09",62.093334,62.200001,61.200001,61.706669,1605300,60.28484
"2020-12-10",61.053333,61.900002,60.833332,61.766666,1989600,60.343456
"2020-12-11",61.026669,61.806667,60.560001,61.560001,980850,60.141548
"2020-12-14",62.759998,62.886665,60.893333,60.973331,2046750,59.568405
"2020-12-15",61.700001,62.493332,60.66,62.326668,1473750,60.890556
"2020-12-16",62.66,62.66,61.886665,62.240002,910050,60.805885
"2020-12-17",62.273335,63.226665,61.613335,63.18,1089450,61.724224
"2020-12-18",63.080002,63.286667,62.02,62.573334,2215350,61.131535
"2020-12-21",62.713333,62.853333,61.299999,62.633331,1214250,61.190155
"2020-12-22",62.853333,62.886665,62.279999,62.493332,649650,61.053375
"2020-12-23",62.906666,63.720001,62.593334,62.700001,1108200,61.255283
"2020-12-24",63.186668,63.186668,61.68,61.946667,329100,60.519306
"2020-12-28",62.366669,63.693333,62.286667,63.186668,798600,61.73074
"2020-12-29",63.353333,63.873333,62.419998,62.66,449550,61.216202
"2020-12-30",62.826668,63.419998,62.773335,62.82,486300,61.37252
"2020-12-31",62.913334,63.873333,62.66,63.779999,496050,62.310398
"2021-01-04",63.746666,63.746666,62.02,62.686668,986700,61.492935
"2021-01-05",64.033333,64.033333,62.393333,62.933334,1103700,61.734909
"2021-01-06",64.18,67.279999,63.533333,66.660004,1906800,65.390617
"2021-01-07",67.620003,68.633331,67.206665,67.82,1327950,66.528519
"2021-01-08",67.940002,68.32,67,68,897450,66.705093
"2021-01-11",67.386665,69.279999,67.019997,68.873337,1121100,67.561798
"2021-01-12",68.933334,70.120003,68.886665,69.019997,1700700,67.705658
"2021-01-13",68.639999,68.926666,67.23333,67.919998,1150050,66.62661
"2021-01-14",68.186668,68.813332,67.966667,68.466667,1804050,67.162865
"2021-01-15",68.073334,69.166664,67.686668,68.626663,895650,67.319817
"2021-01-19",68.873337,69.673332,68.546669,69.239998,1095150,67.921486
"2021-01-20",69.019997,69.41333,68.480003,68.986664,949200,67.672966
"2021-01-21",69.059998,69.440002,68.26667,68.400002,749250,67.097473
"2021-01-22",67.559998,68.166664,67.506668,68.026665,995550,66.731247
"2021-01-25",67.199997,68.23333,66.400002,66.779999,1167450,65.508316
"2021-01-26",67.253334,67.32,65.699997,65.76667,747300,64.514297
"2021-01-27",64.839996,65.046669,62.939999,63.606667,1518300,62.395416
"2021-01-28",64.360001,67.286667,64.286667,66.40667,2010900,65.142097
"2021-01-29",66.686668,68.080002,65.73333,66.620003,2659950,65.351364
"2021-02-01",66.986664,68.653336,66.980003,68.279999,1435500,66.979752
"2021-02-02",69.26667,70.193336,68.980003,69.893333,1289100,68.562363
"2021-02-03",69.5,70.666664,69.279999,70.346664,1174500,69.007072
"2021-02-04",70.40667,72.326668,70.40667,71.926666,995250,70.556984
"2021-02-05",72.546669,73.113335,71.826668,72.940002,824700,71.551018
"2021-02-08",73.333336,73.900002,73.279999,73.480003,1060200,72.080742
"2021-02-09",73.333336,74.566666,72.666664,73.893333,1073100,72.486198
"2021-02-10",74.23333,75.693336,73.76667,75.133331,1166550,73.702576
"2021-02-11",75.273331,75.639999,73.800003,75.633331,886650,74.193062
"2021-02-12",75.620003,77.213333,75.360001,76.08667,973950,74.637764
"2021-02-16",76.673332,78.660004,76.446671,78.32,1379100,76.828568
"2021-02-17",77.90667,78.453331,77.033333,77.933334,916050,76.449265
"2021-02-18",77.333336,78.360001,76.546669,77.480003,1324500,76.00457
"2021-02-19",77.773331,79.106667,77.506668,78.833336,1194600,77.332123
"2021-02-22",78.5,79.773331,78.246666,79.673332,1171350,78.15612
"2021-02-23",80.019997,80.026665,78.833336,79.286667,1404750,77.776825
"2021-02-24",79.753334,81.800003,79.199997,81.76667,1453350,80.20961
"2021-02-25",82.193336,82.68,79.76667,80.279999,1571100,78.751244
"2021-02-26",79.739998,80.426666,77.753334,77.826668,1386900,76.344643
"2021-03-01",79.466667,81.540001,79.400002,80.686668,957750,79.150169
"2021-03-02",80.513336,80.59333,78.786667,78.846664,1041000,77.3452
"2021-03-03",79.353333,80.580002,78.846664,79.08667,1122750,77.580635
"2021-03-04",78.90667,79.446671,76.246666,77.793335,981300,76.311943
"2021-03-05",79.333336,79.606667,75.90667,78.379997,1357350,76.887421
"2021-03-08",79.260002,79.813332,78.273331,78.400002,1351950,76.907043
"2021-03-09",77.73333,78.686668,76.400002,77.553329,1420350,76.0765
"2021-03-10",78.186668,78.673332,77.58667,78.286667,1565700,76.79586
"2021-03-11",77.826668,79.213333,77.226669,78.506668,888450,77.011688
"2021-03-12",79.526665,80.133331,78.506668,79.833336,1220400,78.313087
"2021-03-15",79.946671,80.26667,78.779999,80.193336,1236900,78.666237
"2021-03-16",79.486664,79.786667,78.760002,79.253334,1204200,77.744141
"2021-03-17",80,80.90667,79.446671,80.186668,796650,78.659683
"2021-03-18",81.293335,82.113335,79.713333,80.226669,2072100,78.698936
"2021-03-19",79.253334,80.133331,78.459999,79.806664,2211150,78.286911
"2021-03-22",79.693336,80.379997,78.566666,79.706665,1022550,78.18882
"2021-03-23",79.193336,80.026665,77.813332,78.660004,1986750,77.162094
"2021-03-24",79.41333,80.779999,79.040001,79.040001,1311900,77.534851
"2021-03-25",78.926666,81.139999,78.18,80.826668,1140750,79.287498
"2021-03-26",81.73333,82.446671,80.919998,82.393333,937950,80.824348
"2021-03-29",81.226669,81.946671,80.006668,80.900002,836100,79.359444
"2021-03-30",81.339996,82.379997,81.073334,81.853333,801450,80.294624
"2021-03-31",81.666664,83.013336,81.473335,81.706665,1103250,80.406136
"2021-04-01",81.58667,84.386665,81.58667,84.339996,1143300,82.997559
"2021-04-05",85.23333,86.400002,84.919998,85.940002,1165650,84.572098
"2021-04-06",85.41333,86.08667,84.313332,84.886665,1115250,83.53553
"2021-04-07",85.080002,85.26667,84.360001,84.873337,851100,83.522408
"2021-04-08",84.519997,84.833336,83.019997,83.91333,1362150,82.577675
"2021-04-09",84.973335,85.273331,83.599998,84.686668,1641900,83.338707
"2021-04-12",85.099998,85.620003,84.866669,85.466667,1102950,84.106293
"2021-04-13",85.379997,85.379997,84.073334,84.573334,910800,83.227173
"2021-04-14",84.866669,87.333336,84.773331,86.23333,1069050,84.860764
"2021-04-15",86.446671,87.053329,85.373337,86.666664,826200,85.287186
"2021-04-16",87.32,87.533333,85.773331,86.506668,780750,85.129738
"2021-04-19",86.026665,87.080002,85.573334,86.273331,660000,84.900116
"2021-04-20",85.580002,85.699997,83.699997,84.473335,731400,83.128769
"2021-04-21",84.333336,85.053329,83.73333,84.76667,1212150,83.417442
"2021-04-22",84.959999,85.473335,83.860001,84.306664,778650,82.96476
"2021-04-23",84.113335,86.706665,84.113335,86.366669,583200,84.991982
"2021-04-26",87.040001,87.633331,86.32,86.613335,562350,85.234718
"2021-04-27",86.606667,87.08667,86.146667,87.08667,500550,85.700516
"2021-04-28",87.26667,88.199997,87.006668,87.446671,1011150,86.054787
"2021-04-29",87.90667,88.373337,86.120003,88.046669,1001550,86.645233
"2021-04-30",87.646667,87.646667,86.26667,87.186668,964800,85.79892
"2021-05-03",88.486664,88.800003,87.186668,87.919998,1034700,86.520584
"2021-05-04",87.686668,88.453331,86.400002,88.346664,638250,86.940453
"2021-05-05",89,90.246666,87.806664,89.973335,746100,88.541237
"2021-05-06",90.353333,90.973335,89.386665,90.966667,642150,89.518761
"2021-05-07",89.693336,91.18,89.246666,91.09333,792300,89.643394
"2021-05-10",91.553329,92.373337,90.013336,90.033333,726750,88.600281
"2021-05-11",89.613335,90.440002,88.373337,88.839996,715800,87.425934
"2021-05-12",89.099998,89.806664,85.919998,86.239998,825450,84.867317
"2021-05-13",85.660004,88.213333,85.660004,87.900002,1004250,86.500893
"2021-05-14",88.40667,90.066666,88.133331,89.446671,646200,88.022957
"2021-05-17",89.226669,89.459999,87.706665,89.279999,439650,87.85894
"2021-05-18",89.519997,89.919998,88.013336,88.059998,606900,86.658348
"2021-05-19",86.980003,88.23333,86,88.220001,730500,86.815811
"2021-05-20",88.526665,89.126663,87.193336,88.713333,750600,87.301292
"2021-05-21",89.26667,90.293335,88.793335,89,939900,87.583389
"2021-05-24",89.32,89.946671,88.879997,89.686668,839550,88.259132
"2021-05-25",89.933334,90.833336,87.82,87.860001,806250,86.461533
"2021-05-26",88.273331,89.08667,87.273331,88.706665,1098150,87.294724
"2021-05-27",89.440002,89.566666,86.26667,87.860001,3081750,86.461533
"2021-05-28",88.366669,88.646667,86.59333,88.393333,1471200,86.986374
"2021-06-01",89.440002,89.673332,87.940002,88.713333,1050000,87.301292
"2021-06-02",88.660004,88.866669,87.720001,88.133331,1020600,86.730522
"2021-06-03",87.893333,88.860001,87.32,88.599998,705450,87.189766
"2021-06-04",88.846664,88.886665,87.220001,88.286667,663600,86.881409
"2021-06-07",88.486664,88.486664,86.993332,87.113335,633600,85.726753
"2021-06-08",86.5,88.073334,85.666664,87.753334,620400,86.356575
"2021-06-09",87.300003,87.666664,86.120003,86.146667,1051650,84.775475
"2021-06-10",87.146667,87.326668,85.760002,85.90667,643950,84.539291
"2021-06-11",86.053329,87.533333,86.053329,87.400002,787050,86.00885
"2021-06-14",87.273331,87.273331,85.666664,86.006668,772650,84.637695
"2021-06-15",86.08667,87.446671,85.873337,86.779999,654600,85.398727
"2021-06-16",86.080002,87.713333,85.693336,87.333336,1093650,85.943245
"2021-06-17",87.919998,87.953331,84.306664,84.919998,1251900,83.568329
"2021-06-18",83.673332,84.23333,82.513336,82.706665,1672650,81.390228
"2021-06-21",83.713333,85.546669,83.580002,85.473335,993150,84.112862
"2021-06-22",85.373337,85.720001,84.32,85.099998,858900,83.745461
"2021-06-23",85.139999,86.893333,85.139999,86.493332,942750,85.116615
"2021-06-24",87.153336,87.779999,86.260002,87.68,1292100,86.284401
"2021-06-25",88.23333,88.73333,87.559998,88.040001,952050,86.638672
"2021-06-28",87.580002,87.673332,85.473335,85.886665,926250,84.519615
"2021-06-29",86.726669,87.386665,86.506668,86.879997,951150,85.497131
"2021-06-30",86.333336,86.846664,85.626663,86.599998,1051800,85.477379
"2021-07-01",86.879997,88.006668,86.58667,87.879997,592050,86.740791
"2021-07-02",87.879997,88.120003,87.453331,87.760002,501600,86.622353
"2021-07-06",87.760002,87.760002,85.980003,87.113335,859800,85.98407
"2021-07-07",86.433334,87.419998,86.133331,87.173332,575700,86.043297
"2021-07-08",85.373337,86.153336,84.366669,84.833336,955200,83.733627
"2021-07-09",86.400002,88.053329,85.580002,88.013336,826800,86.872406
"2021-07-12",88,89.739998,87.5,89.339996,634500,88.181877
"2021-07-13",89.386665,89.959999,88.559998,88.993332,635850,87.839699
"2021-07-14",88.900002,89.726669,87.186668,87.459999,661350,86.326241
"2021-07-15",86.893333,88.826668,86.526665,87.900002,712800,86.760536
"2021-07-16",88.386665,88.40667,85.626663,85.76667,551550,84.654869
"2021-07-19",83.686668,84.186668,81.959999,82.686668,1522500,81.614792
"2021-07-20",82.253334,85.480003,82.006668,84.746666,794550,83.648087
"2021-07-21",86.113335,87.253334,85.940002,87.013336,811800,85.885361
"2021-07-22",86.68,86.933334,85.440002,85.620003,494400,84.510094
"2021-07-23",86.033333,86.720001,85.506668,85.666664,906600,84.556152
"2021-07-26",85.660004,87.339996,85.493332,86.666664,1728150,85.543182
"2021-07-27",86.033333,86.433334,85.059998,86,927600,84.885178
"2021-07-28",86.213333,87.193336,85.013336,86.793335,960450,85.668221
"2021-07-29",86.900002,88.739998,86.126663,87.333336,1118250,86.201218
"2021-07-30",87.199997,88.18,85.753334,86.32,994800,85.201019
"2021-08-02",86.833336,89.126663,86.73333,86.91333,1326300,85.786667
"2021-08-03",87.146667,87.146667,84.639999,86.346664,709650,85.227348
"2021-08-04",85.339996,86.686668,85.339996,85.613335,637950,84.503517
"2021-08-05",86.18,86.986664,85.959999,86.980003,945900,85.852478
"2021-08-06",88.099998,89.633331,88.099998,89.253334,722400,88.096336
"2021-08-09",89.080002,90.760002,88.473335,90.286667,667950,89.116272
"2021-08-10",90.300003,92.353333,90.019997,91.453331,774600,90.267807
"2021-08-11",91.446671,92.366669,90.693336,92.32,736800,91.123245
"2021-08-12",92.326668,93.580002,91.959999,92.773331,756300,91.570694
"2021-08-13",93.09333,93.199997,92.073334,92.626663,462900,91.425934
"2021-08-16",91.739998,91.966667,90.293335,91.866669,472950,90.675789
"2021-08-17",90.959999,91.480003,89.59333,90.73333,429750,89.557144
"2021-08-18",90.220001,91.446671,89.833336,89.959999,468150,88.793831
"2021-08-19",88.739998,89.980003,87.986664,88.773331,449850,87.622551
"2021-08-20",88.873337,90.993332,88.753334,90.553329,898800,89.379486
"2021-08-23",91.226669,91.58667,90.926666,91.26667,518850,90.083565
"2021-08-24",91.419998,91.933334,91.173332,91.620003,899850,90.43232
"2021-08-25",92.09333,94.446671,91.866669,93.440002,596850,92.228722
"2021-08-26",93.566666,93.760002,92.5,93.059998,960300,91.853653
"2021-08-27",93.333336,95.419998,93.160004,95.326668,627000,94.090927
"2021-08-30",95.426666,95.426666,93.58667,93.599998,520500,92.38665
"2021-08-31",93.599998,94.32,92.946671,93.26667,890400,92.057655
"2021-09-01",93.166664,93.726669,92,93.366669,582450,92.156334
"2021-09-02",93.879997,93.919998,93.160004,93.40667,416850,92.195831
"2021-09-03",93.286667,93.800003,92.480003,92.693336,403800,91.491737
"2021-09-07",92.633331,93.68,92.26667,92.353333,465450,91.156143
"2021-09-08",92.206665,92.546669,91.293335,91.446671,663000,90.261246
"2021-09-09",91.440002,93.926666,91.333336,91.91333,838950,90.72184
"2021-09-10",92.519997,92.59333,90.139999,90.493332,759150,89.320251
"2021-09-13",91.333336,91.693336,90.139999,90.953331,539400,89.774284
"2021-09-14",91.393333,91.893333,89.193336,89.459999,628650,88.300323
"2021-09-15",89.146667,90.919998,88.446671,90.566666,550650,89.392639
"2021-09-16",91.046669,91.313332,89.599998,89.633331,604800,88.471397
"2021-09-17",89.326668,90.486664,88.393333,89.139999,1857900,87.984467
"2021-09-20",86.886665,87.873337,85.926666,87.239998,919650,86.109093
"2021-09-21",87.440002,88.126663,85.459999,85.900002,642900,84.786469
"2021-09-22",86.550003,87.75,86.510002,86.919998,1185200,85.793236
"2021-09-23",88.129997,91.779999,87.980003,91.599998,1148000,90.412575
"2021-09-24",91.150002,94.160004,91.099998,93.129997,1209200,91.922745
"2021-09-27",93.779999,95.019997,93.720001,94.470001,818000,93.245369
"2021-09-28",94.589996,95.099998,92.779999,93.169998,788000,91.962219
"2021-09-29",93.360001,94.040001,92.589996,93.580002,639800,92.366913
"2021-09-30",94.150002,94.440002,91.919998,92.279999,1101200,91.337532
"2021-10-01",92.470001,95.220001,92.18,94.68,1129600,93.713028
"2021-10-04",94.059998,96.099998,93.07,93.379997,813200,92.4263
"2021-10-05",93.900002,94.889999,93.129997,94.540001,1137400,93.574448
"2021-10-06",93.540001,94.699997,92.25,94.470001,673700,93.505157
"2021-10-07",95.68,97.239998,95.589996,95.860001,667100,94.880966
"2021-10-08",95.900002,96.650002,95.120003,96.360001,683500,95.375862
"2021-10-11",97.849998,98.400002,96.510002,96.519997,582700,95.534218
"2021-10-12",96.699997,97.870003,96.089996,97.050003,622100,96.058815
"2021-10-13",97.089996,97.629997,95.449997,96.480003,698100,95.494644
"2021-10-14",97.610001,98.230003,97.029999,98.120003,506300,97.117889
"2021-10-15",99.5,101.010002,98.419998,100.209999,772600,99.186539
"2021-10-18",100.080002,101.160004,99.879997,100.370003,615400,99.344902
"2021-10-19",100.57,100.849998,99.809998,100.370003,976700,99.344902
"2021-10-20",100.349998,101.68,100.120003,101.669998,735000,100.631622
"2021-10-21",97.410004,102.059998,97.330002,101.730003,3253700,100.691025
"2021-10-22",102.199997,102.940002,100.669998,102.529999,1014100,101.482849
"2021-10-25",103.040001,103.040001,101.489998,102,823200,100.95826
"2021-10-26",102.5,103.459999,102.050003,102.349998,953900,101.304672
"2021-10-27",101.75,102.989998,99.870003,99.870003,1030100,98.850014
"2021-10-28",99.279999,100.57,98.029999,99.580002,1247200,98.562973
"2021-10-29",99.970001,100.199997,98.360001,98.589996,1002600,97.583084
"2021-11-01",99.419998,100.019997,98.730003,99.610001,697600,98.592667
"2021-11-02",99.690002,101.029999,98.980003,100.919998,725900,99.88929
"2021-11-03",100.830002,102.410004,100.650002,102.07,849800,101.02755
"2021-11-04",101.589996,101.800003,99.769997,100.470001,604600,99.443886
"2021-11-05",101.18,102.150002,99.860001,100,613300,98.978683
"2021-11-08",100.779999,101.059998,99.839996,100.440002,523000,99.414192
"2021-11-09",100.139999,100.519997,99.080002,99.900002,5e+05,98.879707
"2021-11-10",99.809998,100.300003,99.43,99.540001,558000,98.523376
"2021-11-11",99.779999,101.07,99.410004,100.75,518600,99.721031
"2021-11-12",100.199997,100.720001,98.860001,99.980003,1654400,98.958893
"2021-11-15",100.099998,100.300003,98.660004,99.339996,931500,98.325417
"2021-11-16",99.440002,100.559998,98.839996,99.580002,712400,98.562973
"2021-11-17",99.309998,99.309998,98.010002,98.540001,723400,97.533592
"2021-11-18",98.610001,98.900002,97.290001,97.889999,624300,96.890228
"2021-11-19",97.730003,99.089996,96.050003,98.139999,975700,97.13768
"2021-11-22",99.309998,100.169998,98.080002,98.639999,929100,97.632576
"2021-11-23",99.040001,100.82,98.440002,100.709999,841400,99.681427
"2021-11-24",100.949997,102.660004,100.699997,102.5,1052300,101.453148
"2021-11-26",99,99.290001,97.279999,98.540001,760800,97.533592
"2021-11-29",100.050003,101.699997,98.870003,100.57,1332900,99.542862
"2021-11-30",99.599998,101.07,97.629997,98.290001,2879700,97.286148
"2021-12-01",100.300003,101.25,94.809998,94.910004,1600000,93.940674
"2021-12-02",95.519997,98.660004,94.620003,98.07,1168300,97.06839
"2021-12-03",100,100,95,95.709999,1392300,94.732498
"2021-12-06",97.18,99.389999,96.379997,97.839996,1128100,96.840744
"2021-12-07",98.910004,99.690002,98.449997,98.900002,1006500,97.889915
"2021-12-08",99.970001,100.010002,98.120003,98.809998,1149600,97.800835
"2021-12-09",98.190002,99.330002,97.660004,97.940002,815400,96.939728
"2021-12-10",98.589996,98.709999,96.389999,97.599998,698100,96.603195
"2021-12-13",97.239998,97.589996,96.029999,96.330002,751100,95.346169
"2021-12-14",96.309998,97.370003,95.419998,96.400002,948200,95.415451
"2021-12-15",96.879997,97.830002,95.529999,97.690002,831800,96.692284
"2021-12-16",98.519997,100.230003,97.989998,98.93,1318600,97.919617
"2021-12-17",98.629997,99.089996,96.849998,97.379997,2156900,96.385437
"2021-12-20",95.839996,95.839996,93.019997,94.830002,927300,93.861488
"2021-12-21",95.910004,97.230003,95.779999,96.989998,800900,95.999428
"2021-12-22",96.730003,98.25,96.209999,97.989998,917400,96.989212
"2021-12-23",99.029999,100.230003,98.459999,99.400002,975600,98.384811
"2021-12-27",99.620003,101.07,99.440002,101.019997,591500,99.988266
"2021-12-28",100.82,102.650002,100.82,102.230003,1662300,101.185913
"2021-12-29",102.550003,103.470001,102.099998,102.150002,1087500,101.106728
"2021-12-30",102.459999,103.389999,100.959999,101.019997,528500,99.988266
"2021-12-31",100.669998,101.589996,100.349998,100.400002,821300,99.374603
"2022-01-03",100.830002,102.989998,100.400002,102.860001,1225200,102.155418
"2022-01-04",104.169998,108.690002,103.900002,107.489998,2147100,106.7537
"2022-01-05",108.169998,109.120003,104.889999,105.029999,1551400,104.310555
"2022-01-06",106.309998,107.230003,104.720001,106.519997,1256900,105.790344
"2022-01-07",106.739998,109.190002,106.519997,109.07,1313100,108.322876
"2022-01-10",108.690002,108.690002,106.269997,107.690002,1207900,106.952332
"2022-01-11",108,109,106.669998,108.849998,1065800,108.104385
