"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2021-01-08",142.470001,144.399994,141.660004,144.179993,4312000,138.210449
"2021-01-11",144.029999,144.309998,141.690002,142.089996,3902700,136.207001
"2021-01-12",141.630005,142,139.449997,141.429993,5150000,135.57431
"2021-01-13",141.119995,143.240005,141,142.589996,4361600,136.68631
"2021-01-14",141.479996,142.440002,141.070007,141.759995,4724700,135.89064
"2021-01-15",141.449997,142.600006,140.529999,141.389999,4309100,135.535995
"2021-01-19",142.380005,142.580002,141.440002,142.059998,5158600,136.178238
"2021-01-20",141.039993,141.779999,139.919998,141.330002,5019300,135.478439
"2021-01-21",140.289993,140.789993,138.740005,139.610001,5684100,133.829697
"2021-01-22",139.5,139.539993,138.229996,138.589996,4014900,132.851913
"2021-01-25",138.059998,140.330002,137.580002,140.179993,3829000,134.376083
"2021-01-26",141.309998,142.089996,139.75,141.800003,4242500,135.929016
"2021-01-27",140.509995,142.330002,137.550003,138.039993,6659800,132.324677
"2021-01-28",138.830002,140.789993,137.759995,139.190002,5514000,133.427078
"2021-01-29",138.110001,138.460007,136.009995,136.570007,6778100,130.915558
"2021-02-01",136.979996,137.960007,135.899994,136.979996,4185700,131.308578
"2021-02-02",137.449997,139.529999,136.600006,138.380005,3581600,132.650604
"2021-02-03",137.75,138.949997,137.070007,138.020004,3609600,132.305527
"2021-02-04",137.75,139.759995,137.75,139.679993,3860300,133.896774
"2021-02-05",140.490005,142.119995,139.729996,140.960007,4437900,135.123795
"2021-02-08",141.190002,141.809998,139.5,140.399994,4112200,134.586975
"2021-02-09",141.130005,141.149994,139.490005,139.600006,3179300,133.820084
"2021-02-10",141.119995,141.119995,136.759995,137.699997,6966600,131.998749
"2021-02-11",137.850006,138.210007,134.339996,134.970001,7528000,129.381775
"2021-02-12",135.259995,135.600006,133.449997,133.869995,5659300,128.327332
"2021-02-16",134.559998,134.809998,133.399994,134.380005,5180100,128.816208
"2021-02-17",134.059998,135.070007,133.860001,134.460007,3353000,128.892914
"2021-02-18",134.070007,135.699997,133.910004,135.369995,3935200,129.765244
"2021-02-19",135.009995,135.119995,132.289993,132.509995,5414900,127.023628
"2021-02-22",132.039993,132.600006,130.759995,131.990005,5792900,126.525192
"2021-02-23",132.649994,134.339996,131.300003,132.779999,6264300,127.282478
"2021-02-24",131.850006,132.289993,131.199997,132.089996,4944000,126.621033
"2021-02-25",131.350006,132.089996,129.800003,130,5702300,124.617561
"2021-02-26",130.570007,130.869995,128.570007,129.190002,8329000,123.84111
"2021-03-01",130.610001,131.970001,130.339996,130.619995,5287300,125.211891
"2021-03-02",130.5,132.029999,130.380005,131.070007,5614000,125.643288
"2021-03-03",129.800003,130.529999,128.979996,129.139999,7505800,123.793159
"2021-03-04",129.25,131.75,128.320007,128.830002,9102800,124.482109
"2021-03-05",129.639999,133.410004,129.190002,133.029999,10186500,128.540359
"2021-03-08",133.229996,134.179993,131.990005,132.130005,8634900,127.670738
"2021-03-09",132.940002,133.910004,132,132.25,8930200,127.786682
"2021-03-10",132.520004,134.470001,130.539993,133.580002,7791700,129.071808
"2021-03-11",133.350006,134.580002,133.100006,133.220001,4458900,128.723938
"2021-03-12",133.119995,133.789993,132.639999,133.039993,5275100,128.550034
"2021-03-15",133.559998,133.630005,131.970001,133.029999,5389200,128.540359
"2021-03-16",133.080002,134.580002,132.75,134.009995,5544700,129.487289
"2021-03-17",134.360001,134.559998,133.380005,133.619995,6199500,129.110443
"2021-03-18",132.360001,133.080002,131.410004,132.529999,6476700,128.057251
"2021-03-19",132.309998,135.009995,132.179993,134.5,16114400,129.960739
"2021-03-22",135.630005,138.199997,135.089996,137.800003,7813400,133.149384
"2021-03-23",138.449997,140.169998,138.179993,139.460007,6978400,134.753372
"2021-03-24",139.009995,140.110001,138.779999,138.809998,5082300,134.125275
"2021-03-25",139.179993,140.25,138.339996,139.630005,5827600,134.917618
"2021-03-26",139.619995,143,139.130005,142.699997,6785600,137.884003
"2021-03-29",142.869995,144.960007,142.419998,144.809998,6105800,139.922806
"2021-03-30",143.679993,144.75,142.119995,142.539993,4372700,137.729401
"2021-03-31",143.320007,143.330002,141.169998,141.449997,6257900,136.676208
"2021-04-01",141.190002,142.300003,140.110001,141.279999,4823400,136.511948
"2021-04-05",141.850006,144.339996,141.320007,143.160004,5980700,138.328491
"2021-04-06",143.039993,144.199997,142.559998,143.669998,4751900,138.821274
"2021-04-07",144,144.100006,143.020004,143.410004,4849200,138.570053
"2021-04-08",143.679993,144.160004,142.050003,142.539993,6725100,137.729401
"2021-04-09",142.240005,143.139999,141.610001,142.570007,4950800,137.758408
"2021-04-12",142.199997,143.470001,142.050003,143.020004,4386700,138.193222
"2021-04-13",142.070007,143.970001,141.869995,143.050003,5283300,138.222198
"2021-04-14",142.570007,142.720001,141.240005,142.110001,4685300,137.313919
"2021-04-15",141.669998,143.100006,141.419998,142.309998,4777100,137.507187
"2021-04-16",143.460007,144.320007,142.460007,144.160004,6481400,139.294724
"2021-04-19",144.490005,145.600006,143.259995,144.75,6621200,139.864838
"2021-04-20",144.130005,146.649994,143.929993,145.710007,4999700,140.792435
"2021-04-21",147.350006,147.800003,146.210007,146.979996,6316000,142.019577
"2021-04-22",146.240005,146.649994,145.380005,146.070007,4904400,141.140305
"2021-04-23",145.509995,146.339996,145.059998,145.830002,4354700,140.908386
"2021-04-26",145.550003,145.770004,142.979996,143.360001,5817700,138.521744
"2021-04-27",142.619995,143.179993,142.130005,142.889999,4693700,138.067596
"2021-04-28",143.490005,143.690002,141.729996,141.830002,4962700,137.043365
"2021-04-29",142.100006,144.429993,141.970001,143.940002,4699900,139.082184
"2021-04-30",143.320007,144.240005,142.5,144.160004,5051100,139.294724
"2021-05-03",145.029999,146.779999,144.100006,145.789993,6109800,140.869705
"2021-05-04",145.979996,146.770004,143.490005,143.960007,6603800,139.101501
