"","BBWI.Open","BBWI.High","BBWI.Low","BBWI.Close","BBWI.Volume","BBWI.Adjusted"
"2020-11-18",28.730801,29.037994,27.146322,27.170574,10820410,26.754744
"2020-11-19",31.80275,32.295876,30.39612,31.972513,19442795,31.483191
"2020-11-20",32.134197,32.974937,31.447048,32.312046,8894030,31.81753
"2020-11-23",32.740501,32.999191,31.883589,32.320129,6766143,31.825483
"2020-11-24",32.691998,32.789005,31.333872,32.08569,5137632,31.594635
"2020-11-25",31.325788,31.843168,30.9135,31.487471,4561685,31.005569
"2020-11-27",31.325788,31.592564,30.501213,31.398544,3649769,30.918005
"2020-11-30",31.172192,31.430882,30.444624,31.374292,5301040,30.894125
"2020-12-01",31.754244,31.988682,30.9135,31.447048,4278412,30.965769
"2020-12-02",31.196444,32.328213,30.670979,31.261116,4615123,30.782679
"2020-12-03",31.164106,31.30962,30.331448,31.002424,5098543,30.527948
"2020-12-04",30.856913,31.083265,29.514956,30.921583,4846566,30.448345
"2020-12-07",30.9135,32.805176,30.889248,32.530315,5118211,32.032455
"2020-12-08",32.376717,33.338722,32.255459,33.11237,4279896,32.605602
"2020-12-09",33.13662,34.090542,32.85368,33.613583,4409287,33.09914
"2020-12-10",33.185123,33.516571,32.821342,33.160873,2928969,32.653362
"2020-12-11",33.41148,33.41148,31.818916,31.96443,3847689,31.475229
"2020-12-14",32.368633,32.368633,30.590137,30.881165,10885353,30.408545
"2020-12-15",31.317703,31.786579,30.978172,31.786579,2849924,31.300102
"2020-12-16",31.835085,32.08569,31.034761,31.285368,2264205,30.806564
"2020-12-17",31.422796,31.681486,30.687145,31.681486,2958286,31.196617
"2020-12-18",31.382378,31.746161,30.776072,31.228779,7290631,30.750841
"2020-12-21",30.582052,31.592564,30.363783,31.253033,2648664,30.774723
"2020-12-22",31.204527,31.358124,30.39612,30.719482,3958029,30.249334
"2020-12-23",30.670979,31.80275,30.468876,31.681486,3019764,31.196617
"2020-12-24",31.729992,31.729992,30.905416,31.495554,1293036,31.013531
"2020-12-28",31.584478,32.077606,31.333872,31.382378,2476350,30.90209
"2020-12-29",31.301537,31.301537,29.862572,30.388037,4020497,29.922966
"2020-12-30",30.517382,31.228779,30.234438,30.743734,3000591,30.273216
"2020-12-31",30.679062,30.759903,30.024252,30.064672,3111550,29.604549
"2021-01-04",30.759903,32.837509,30.5578,32.012936,8329958,31.522995
"2021-01-05",32.004848,32.926434,31.778496,32.683914,5756751,32.183708
"2021-01-06",32.942604,35.456749,32.942604,35.206142,6384528,34.667328
"2021-01-07",35.545673,38.221504,35.521423,37.324169,7030490,36.752941
"2021-01-08",37.324169,38.617622,36.871464,37.793049,3867604,37.214645
"2021-01-11",37.364594,38.423607,37.14632,37.922394,3575549,37.342014
"2021-01-12",38.358932,39.046078,37.995152,38.229588,7088381,37.644508
"2021-01-13",38.003235,38.108326,37.057396,37.316086,4733133,36.744984
"2021-01-14",37.954727,38.722717,36.151981,36.362167,6225821,35.805668
"2021-01-15",36.135811,36.928051,35.472919,36.540016,4889737,35.980789
"2021-01-19",36.831043,37.388844,36.394505,36.968472,3363650,36.402691
"2021-01-20",36.685532,37.502022,36.604691,36.831043,1940977,36.267361
"2021-01-21",36.919968,37.801132,36.612774,37.1059,2746140,36.538013
"2021-01-22",37.299919,37.388844,36.135811,36.604691,3421418,36.044476
"2021-01-25",36.604691,37.170574,32.683914,35.51334,9453525,34.969822
"2021-01-26",36.653194,37.08165,34.680679,34.76152,6362757,34.229511
"2021-01-27",32.336296,33.144707,29.183508,30.347614,20886374,29.88316
"2021-01-28",31.285368,34.211803,30.719482,33.492321,19441558,32.97974
"2021-01-29",33.371059,33.92886,31.778496,32.950687,7971228,32.446396
"2021-02-01",33.476151,33.953114,32.465645,33.839935,11973294,33.322033
"2021-02-02",34.195637,35.860954,34.179466,35.658852,7174600,35.113113
"2021-02-03",35.666935,36.305576,34.947453,35.53759,5912118,34.993706
