"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume","MHK.Adjusted"
"2020-10-01",99.239998,100.18,96.790001,98.400002,508800,98.400002
"2020-10-02",95.699997,102.480003,95.529999,102.190002,504800,102.190002
"2020-10-05",103.529999,107.330002,103.529999,106.980003,454100,106.980003
"2020-10-06",107.040001,109.160004,104.32,104.910004,500900,104.910004
"2020-10-07",106.720001,108.639999,105.489998,106.379997,368500,106.379997
"2020-10-08",107.629997,109.580002,107.25,109.010002,415300,109.010002
"2020-10-09",110,110,102.949997,104.239998,740800,104.239998
"2020-10-12",106.360001,106.949997,103.760002,105.150002,445700,105.150002
"2020-10-13",104.699997,105.480003,101.760002,102.239998,515900,102.239998
"2020-10-14",103.839996,104.639999,102.040001,103.610001,561100,103.610001
"2020-10-15",102.669998,103.169998,101.919998,103,378200,103
"2020-10-16",103.550003,106.519997,102.949997,105.379997,582400,105.379997
"2020-10-19",105.360001,106.379997,100.879997,101.580002,540300,101.580002
"2020-10-20",102.959999,105.910004,102.440002,102.889999,374200,102.889999
"2020-10-21",101.910004,102.830002,99.540001,99.709999,438000,99.709999
"2020-10-22",100.160004,103.540001,99,101.93,553700,101.93
"2020-10-23",103.290001,105.699997,102.910004,104.68,471800,104.68
"2020-10-26",102.769997,102.910004,98.120003,99.32,593400,99.32
"2020-10-27",99.510002,99.860001,96.57,97.32,448300,97.32
"2020-10-28",94.540001,96.669998,92.040001,92.209999,512900,92.209999
"2020-10-29",92.209999,95.260002,90.980003,93.050003,762300,93.050003
"2020-10-30",105.919998,109.949997,98.400002,103.190002,1809100,103.190002
"2020-11-02",106.459999,115.150002,105.660004,114.690002,1886800,114.690002
"2020-11-03",116.040001,118.080002,115.360001,116.989998,975700,116.989998
"2020-11-04",115.839996,119.169998,114.510002,118.089996,908100,118.089996
"2020-11-05",118.400002,122.610001,118.400002,122.169998,720000,122.169998
"2020-11-06",121.709999,123.470001,120.25,120.580002,541700,120.580002
"2020-11-09",127.050003,133.210007,122.190002,122.230003,1117900,122.230003
"2020-11-10",123.699997,126,122.540001,122.800003,792600,122.800003
"2020-11-11",122.93,123.139999,117.760002,118.940002,794000,118.940002
"2020-11-12",119.330002,120.290001,115.790001,117.830002,621300,117.830002
"2020-11-13",118.790001,123.610001,118.760002,123.139999,523200,123.139999
"2020-11-16",124.879997,130.729996,124.32,129.119995,711600,129.119995
"2020-11-17",127.529999,131.679993,125.220001,131.149994,656100,131.149994
"2020-11-18",130.630005,132.820007,128.240005,128.25,493700,128.25
"2020-11-19",127.779999,128.080002,124.25,126.980003,717700,126.980003
"2020-11-20",126.870003,127.400002,124.959999,127.150002,397400,127.150002
"2020-11-23",128.460007,131.460007,127.870003,130.5,547100,130.5
"2020-11-24",133,135.029999,131.649994,134.860001,737300,134.860001
"2020-11-25",133.710007,133.710007,129.779999,133.130005,474400,133.130005
"2020-11-27",132.25,132.25,129.389999,130.550003,244900,130.550003
"2020-11-30",129.660004,130.289993,125.709999,125.830002,840100,125.830002
"2020-12-01",127.790001,128.729996,125.330002,126.730003,560400,126.730003
"2020-12-02",125.529999,129.789993,124.160004,124.760002,684700,124.760002
"2020-12-03",130.869995,134.520004,127.269997,132.279999,991100,132.279999
"2020-12-04",132.130005,134.529999,131.619995,132.850006,483800,132.850006
"2020-12-07",131.419998,135.350006,130.130005,134.600006,1044900,134.600006
"2020-12-08",132.270004,134.570007,131.020004,132.770004,432900,132.770004
"2020-12-09",133.669998,135.050003,132.699997,134.410004,823600,134.410004
"2020-12-10",132.729996,135.149994,132,132.979996,838700,132.979996
"2020-12-11",131.970001,137.059998,131.970001,134.75,579000,134.75
"2020-12-14",136.080002,136.649994,131.410004,131.529999,832400,131.529999
"2020-12-15",133.679993,134.630005,130.960007,134.139999,569500,134.139999
"2020-12-16",134.949997,135.539993,131.330002,132.610001,642500,132.610001
"2020-12-17",133.080002,135.259995,132.380005,135.25,798100,135.25
"2020-12-18",135.860001,139.479996,135.539993,138.429993,1563000,138.429993
"2020-12-21",135.009995,137.539993,134.160004,136.600006,574500,136.600006
"2020-12-22",137.119995,138.270004,135.360001,135.669998,462500,135.669998
"2020-12-23",136.509995,138.429993,136,137.149994,424300,137.149994
"2020-12-24",136.979996,138.869995,135.460007,138.720001,161800,138.720001
"2020-12-28",140.270004,141.990005,138.850006,140.490005,333300,140.490005
"2020-12-29",140.309998,140.740005,137.949997,139.470001,397700,139.470001
"2020-12-30",139.850006,142.839996,139.559998,142.509995,349300,142.509995
"2020-12-31",141.860001,142.100006,139.589996,140.949997,363700,140.949997
"2021-01-04",140.770004,140.889999,134.089996,136.110001,590900,136.110001
"2021-01-05",136.199997,140.270004,135.809998,138.589996,580000,138.589996
"2021-01-06",139.710007,144.5,138.880005,142.970001,550300,142.970001
"2021-01-07",144.059998,145.300003,142,144.309998,397300,144.309998
"2021-01-08",145.229996,145.669998,141.419998,143.679993,431600,143.679993
"2021-01-11",141.660004,148.339996,141.589996,147.580002,793200,147.580002
"2021-01-12",147.410004,151.179993,147.410004,150.869995,530000,150.869995
"2021-01-13",151.699997,152.050003,148.399994,149.669998,407200,149.669998
"2021-01-14",150.220001,153.350006,149.940002,151.970001,436100,151.970001
"2021-01-15",150.919998,150.919998,147.479996,148.970001,387000,148.970001
"2021-01-19",151.320007,151.320007,147.869995,148.899994,319100,148.899994
"2021-01-20",149.490005,152.050003,148.25,151.210007,348000,151.210007
"2021-01-21",150.800003,152.490005,149.279999,150.929993,353300,150.929993
"2021-01-22",149,150.639999,146.309998,149.770004,367200,149.770004
"2021-01-25",147.949997,151.899994,147.740005,148.820007,373600,148.820007
"2021-01-26",150.830002,151.619995,146.660004,148.75,204900,148.75
"2021-01-27",146.389999,148.419998,141.839996,144.339996,473600,144.339996
"2021-01-28",145.800003,149.5,145.110001,148.289993,442000,148.289993
"2021-01-29",147.5,147.5,141.639999,143.600006,444800,143.600006
"2021-02-01",145.889999,146.559998,142.639999,145.850006,287000,145.850006
"2021-02-02",147.410004,147.479996,144.979996,145.320007,515800,145.320007
"2021-02-03",146.410004,149.059998,145.339996,148.399994,242000,148.399994
"2021-02-04",148.770004,151.220001,148.259995,149.059998,392800,149.059998
"2021-02-05",150.75,153.600006,148.5,152.520004,570700,152.520004
"2021-02-08",152.690002,154.360001,150.940002,153.100006,526500,153.100006
"2021-02-09",152.009995,157.839996,151.649994,156.080002,665400,156.080002
"2021-02-10",156.520004,160.630005,156,159.910004,901600,159.910004
"2021-02-11",160.089996,161.779999,157.419998,159.710007,767500,159.710007
"2021-02-12",168.039993,178.190002,167,169.279999,1303000,169.279999
"2021-02-16",172,172.009995,166.630005,171.110001,652700,171.110001
"2021-02-17",170,171.990005,168.020004,168.449997,595000,168.449997
"2021-02-18",171.220001,171.220001,165,166.330002,482600,166.330002
"2021-02-19",166.5,172.660004,166.5,171.899994,360200,171.899994
"2021-02-22",169.229996,175.350006,167.119995,173.699997,605900,173.699997
"2021-02-23",173.570007,178.110001,169.589996,177.929993,599200,177.929993
"2021-02-24",177.100006,183.490005,176.360001,182.979996,594000,182.979996
"2021-02-25",182.5,183.119995,171.300003,172.600006,681200,172.600006
"2021-02-26",174.080002,177.660004,172.380005,174.990005,838200,174.990005
"2021-03-01",177.190002,181.080002,175.050003,179.759995,425500,179.759995
"2021-03-02",180,183.080002,179.270004,181.479996,554700,181.479996
"2021-03-03",181.589996,185.850006,180.210007,182.630005,473400,182.630005
"2021-03-04",182.070007,183.179993,168.809998,175.690002,638800,175.690002
"2021-03-05",178.649994,186.809998,176.460007,186.110001,569900,186.110001
"2021-03-08",186.520004,192.570007,185.809998,187.270004,572700,187.270004
"2021-03-09",186.589996,189.130005,180.779999,183.639999,493400,183.639999
"2021-03-10",184.009995,188.130005,182.910004,184.990005,546400,184.990005
"2021-03-11",185.020004,186.830002,181.929993,185.779999,395800,185.779999
"2021-03-12",186.25,189.589996,184.029999,189.039993,335400,189.039993
"2021-03-15",189.039993,189.039993,185.050003,188.320007,429000,188.320007
"2021-03-16",187.229996,189.309998,181.179993,182.860001,536300,182.860001
"2021-03-17",182.779999,186.020004,181.5,185.940002,627100,185.940002
"2021-03-18",186.130005,186.550003,182.820007,183.350006,855000,183.350006
"2021-03-19",182.479996,185.389999,178.75,183.740005,1329700,183.740005
"2021-03-22",184.490005,185.240005,180.119995,183.149994,495600,183.149994
"2021-03-23",181.440002,186.589996,180.089996,181.279999,777900,181.279999
"2021-03-24",183.710007,188.050003,183.710007,185.399994,785400,185.399994
"2021-03-25",183.699997,192.529999,183.160004,192.300003,613400,192.300003
"2021-03-26",194.440002,196.380005,192.490005,195.669998,569800,195.669998
"2021-03-29",195.240005,196,190.070007,191.270004,452600,191.270004
"2021-03-30",190.570007,195.759995,190.070007,195.029999,307300,195.029999
"2021-03-31",194.630005,197.360001,192.169998,192.309998,447400,192.309998
"2021-04-01",194.570007,199,192.570007,198.279999,501700,198.279999
"2021-04-05",200.130005,201.509995,197.759995,201.190002,438900,201.190002
"2021-04-06",200.770004,202.940002,198.350006,200.679993,607200,200.679993
"2021-04-07",199,201,197.059998,197.740005,399600,197.740005
"2021-04-08",196.820007,198.649994,194.130005,198.449997,476200,198.449997
"2021-04-09",199.360001,202.970001,197.339996,202.929993,472000,202.929993
"2021-04-12",205,206.199997,201.289993,204.110001,429800,204.110001
"2021-04-13",203.070007,203.839996,198.419998,202.589996,556500,202.589996
"2021-04-14",201.899994,205.020004,201.509995,201.740005,387100,201.740005
"2021-04-15",203.070007,203.289993,200.270004,201.669998,360600,201.669998
"2021-04-16",203.089996,205.009995,202.080002,204.809998,321900,204.809998
"2021-04-19",204.130005,204.130005,199.600006,199.910004,467100,199.910004
"2021-04-20",199.990005,200.779999,194.240005,196.050003,487400,196.050003
"2021-04-21",196.509995,201.199997,195.050003,201.110001,291900,201.110001
"2021-04-22",200.919998,202.729996,197.479996,199.169998,447200,199.169998
"2021-04-23",200.690002,203.710007,199.410004,203.339996,647300,203.339996
"2021-04-26",204.169998,207.460007,203.270004,206.710007,421600,206.710007
"2021-04-27",206.029999,209.800003,205.580002,208.360001,391300,208.360001
"2021-04-28",208,209.410004,206.399994,207.699997,489900,207.699997
"2021-04-29",209.330002,213.610001,208,212.979996,500500,212.979996
"2021-04-30",208.360001,214.490005,203.669998,205.5,737700,205.5
"2021-05-03",212.210007,227.449997,211.320007,221,1992400,221
"2021-05-04",221,221.529999,214.399994,219.839996,752700,219.839996
"2021-05-05",221.820007,225.779999,218.559998,224.300003,475800,224.300003
"2021-05-06",225.350006,226.080002,220.970001,224.880005,288900,224.880005
"2021-05-07",223.119995,230.75,221.169998,229.740005,390200,229.740005
"2021-05-10",230.529999,231.800003,226.039993,226.479996,445700,226.479996
"2021-05-11",222.440002,223.419998,215.110001,219.470001,470400,219.470001
"2021-05-12",219.070007,219.259995,208.649994,209.490005,405900,209.490005
"2021-05-13",209.830002,220.690002,209.550003,218.970001,510200,218.970001
"2021-05-14",220.350006,221.679993,217.729996,219.100006,258700,219.100006
"2021-05-17",218.990005,219.679993,214.789993,218.25,381600,218.25
"2021-05-18",218.690002,218.970001,214.589996,214.690002,476200,214.690002
"2021-05-19",211.059998,212.75,205.5,207.860001,573200,207.860001
"2021-05-20",208.419998,209.190002,204.710007,207.960007,509900,207.960007
"2021-05-21",209.399994,212.710007,206.360001,207.210007,529800,207.210007
"2021-05-24",209.100006,209.5,206.529999,208.279999,241200,208.279999
"2021-05-25",208.779999,210.979996,206.690002,207.360001,450400,207.360001
"2021-05-26",207.639999,209.490005,204.580002,208.809998,610000,208.809998
"2021-05-27",211.399994,213.490005,210.149994,212.979996,820700,212.979996
"2021-05-28",214.320007,214.330002,208.490005,210.679993,463500,210.679993
"2021-06-01",206.380005,206.380005,195.449997,204.649994,1975200,204.649994
"2021-06-02",204.610001,204.990005,199.75,202.770004,903900,202.770004
"2021-06-03",202.639999,202.639999,198.119995,201.929993,475100,201.929993
"2021-06-04",203,203.110001,197.559998,201.410004,423000,201.410004
"2021-06-07",202.339996,203.139999,198.979996,201.25,291100,201.25
"2021-06-08",200.899994,204.75,200.160004,203.139999,264700,203.139999
"2021-06-09",202.470001,203.649994,198.220001,198.399994,368100,198.399994
"2021-06-10",200.130005,200.380005,190.410004,190.940002,966300,190.940002
"2021-06-11",192.820007,193.899994,191.110001,193.130005,453000,193.130005
"2021-06-14",191.839996,192.5,186.610001,188.240005,452700,188.240005
"2021-06-15",188.210007,190.039993,186.960007,189.619995,625800,189.619995
"2021-06-16",188.520004,189.610001,184.559998,186.600006,532200,186.600006
"2021-06-17",186.600006,187.369995,180.330002,183.880005,470200,183.880005
"2021-06-18",179.940002,181.440002,178.289993,180.660004,696200,180.660004
"2021-06-21",184.25,189.610001,182.610001,187.199997,587000,187.199997
"2021-06-22",186.660004,191.460007,185.559998,190.050003,538700,190.050003
"2021-06-23",191.149994,192.100006,188.289993,188.320007,379500,188.320007
"2021-06-24",189.850006,191.259995,186.5,190.220001,467700,190.220001
"2021-06-25",191.889999,196.990005,190.639999,195.720001,692800,195.720001
"2021-06-28",194.600006,194.600006,189.149994,189.889999,497700,189.889999
"2021-06-29",191.639999,192.020004,189.600006,190.350006,425000,190.350006
"2021-06-30",189.350006,192.429993,189.270004,192.190002,539300,192.190002
"2021-07-01",193.830002,197.990005,191.809998,197.300003,616600,197.300003
"2021-07-02",197.119995,197.809998,194.580002,195.080002,555200,195.080002
