"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2020-12-18",242.25,243.149994,239.53334,242.743332,2662800,239.721924
"2020-12-21",239.973328,243.226669,237.176666,243.056671,1051200,240.031357
"2020-12-22",243.333328,246.66333,241.990005,245.690002,1004700,242.631897
"2020-12-23",245.839996,246.866669,241.479996,241.483337,800700,238.4776
"2020-12-24",242.429993,245.070007,242.043335,244.633331,326100,241.588394
"2020-12-28",246.03334,246.03334,242.946671,243.113327,513300,240.087311
"2020-12-29",244.660004,244.860001,242,243.529999,586800,240.498795
"2020-12-30",244.013336,245.300003,242.300003,242.376663,642000,239.359802
"2020-12-31",242.813339,245.279999,241.243332,244.970001,920400,241.920883
"2021-01-04",244.996674,245.639999,238.226669,241.156662,1224900,238.154984
"2021-01-05",240.16333,242.693329,239.229996,239.953339,1171800,236.96666
"2021-01-06",238.333328,242.003326,237.850006,240.78334,1648800,237.786331
"2021-01-07",241.570007,246.67334,241.330002,245.043335,1507200,241.993301
"2021-01-08",244.503326,244.82666,240.396667,242.92334,1203600,239.899689
"2021-01-11",241.903336,246.203339,239.706665,244.979996,781800,241.930725
"2021-01-12",244.679993,246.949997,243.203339,246.386673,926700,243.319916
"2021-01-13",247.083328,247.083328,242.28334,242.713333,1207800,239.692291
"2021-01-14",242.136673,242.703339,238.830002,239.593338,1224300,236.61113
"2021-01-15",239.300003,242.856674,237.363327,241.850006,2126400,238.839722
"2021-01-19",243.16333,245.876663,241.809998,241.869995,1353300,238.859467
"2021-01-20",242.536667,245.666672,241.03334,245.406662,1271700,242.352097
"2021-01-21",245.666672,249.323334,244.619995,245.449997,909600,242.394897
"2021-01-22",244.236664,245.823334,242.639999,244.056671,924900,241.018906
"2021-01-25",245.023331,247.123337,243.926666,244.759995,1200600,241.713486
"2021-01-26",245.773331,245.773331,240.353333,241.213333,1313400,238.210968
"2021-01-27",239.446671,240.91333,235.176666,239.179993,1682100,236.202942
"2021-01-28",238.286667,241.130005,230.58667,237.350006,2002800,234.395721
"2021-01-29",235.309998,235.309998,228.616669,230.600006,2347800,227.729752
"2021-02-01",231.539993,233.223328,227.196671,232.699997,1426500,229.803589
"2021-02-02",233.206665,238.363327,233.206665,236.846664,1223100,233.898651
"2021-02-03",240.136673,242.483337,233.563339,233.779999,1769400,230.870148
"2021-02-04",234.453339,240.843338,234.320007,236.773331,1771500,233.826233
"2021-02-05",237.869995,242.023331,237.649994,238.860001,1947300,235.886917
"2021-02-08",240.986664,243.139999,240.456665,241.33667,1424700,238.332764
"2021-02-09",241.383331,241.746674,237.57666,237.669998,1220400,234.711716
"2021-02-10",238.529999,239.190002,236,237.440002,1541400,234.484619
"2021-02-11",238.096664,240.5,237.669998,239.763336,1203000,236.779022
"2021-02-12",239.103333,242.433334,239.089996,240.350006,1308600,237.358368
"2021-02-16",240.666672,240.796661,235.613327,235.806671,1562700,232.871613
"2021-02-17",234.333328,241.28334,232.979996,240.46666,1719600,237.473572
"2021-02-18",239.446671,243.53334,238.346664,242.253326,1444200,239.238022
"2021-02-19",243.050003,243.139999,237.686661,238.970001,1486200,235.99556
"2021-02-22",237.856674,238.333328,233.910004,236.210007,1414200,233.269913
"2021-02-23",235.21666,235.21666,230.350006,232.196671,2318400,229.306534
"2021-02-24",232.369995,232.679993,226.729996,227.343338,2742000,224.513596
"2021-02-25",226.206665,228.093338,223.516663,224.389999,2021100,221.597031
"2021-02-26",225.229996,230.276672,225.183334,226.779999,2456100,224.507553
"2021-03-01",228.333328,234.563339,228.333328,231.279999,1862400,228.962479
"2021-03-02",230.403336,232.256668,228.133331,229.893326,1482600,227.589706
"2021-03-03",230.306671,231.309998,224.276672,224.403336,1626900,222.154709
"2021-03-04",223.706665,225.380005,218.063339,219.853333,2100900,217.650314
"2021-03-05",221.16333,225.633331,219.073334,225.229996,2087100,222.973114
"2021-03-08",226.100006,234.236664,225.669998,229.369995,1971600,227.071609
"2021-03-09",231.149994,237.543335,230.830002,235.346664,2317800,232.988388
"2021-03-10",236.696671,239.880005,234.92334,235.366669,1690800,233.008179
"2021-03-11",235.166672,237.350006,234.433334,234.666672,1447200,232.315216
"2021-03-12",233.96666,236.880005,233.360001,236.043335,1228200,233.67807
"2021-03-15",236.043335,238.990005,234.816666,238.990005,818100,236.5952
"2021-03-16",239.169998,240.266663,237.066666,239.016663,1269600,236.621597
"2021-03-17",239.256668,239.553329,236.193329,237.453339,1074600,235.073959
"2021-03-18",236.279999,238.766663,232.933334,236.710007,1385100,234.338058
"2021-03-19",236.169998,238.006668,235.266663,235.416672,2829900,233.057693
"2021-03-22",235.460007,240.633331,235.113327,240.080002,1058400,237.674286
"2021-03-23",240.683334,246.066666,240.509995,241.979996,1797600,239.555252
"2021-03-24",240.563339,244.206665,240.563339,241.383331,1266600,238.964554
"2021-03-25",241.103333,247.07666,240.046661,246.403336,1431000,243.934265
"2021-03-26",246.449997,253.333328,245.723328,253.006668,1691400,250.47142
"2021-03-29",253,256,250.473328,252.103333,1092600,249.577164
"2021-03-30",251.146667,251.289993,247.389999,248.740005,1084500,246.247513
"2021-03-31",248.746674,249.893326,245.990005,246.003326,1321500,243.538269
"2021-04-01",246.339996,250.779999,244.669998,249.75,1474800,247.247406
"2021-04-05",251.690002,256.5,250.210007,255.899994,1371100,253.33577
"2021-04-06",255.070007,259.579987,254.330002,258.950012,1908800,256.355194
"2021-04-07",258.920013,259.690002,250.360001,251.699997,1742700,249.177841
"2021-04-08",251.720001,254.970001,251.110001,253.479996,1235900,250.940033
"2021-04-09",254.199997,255.389999,252.75,255.289993,1554200,252.731873
"2021-04-12",255.729996,259.179993,255.039993,257.600006,1016500,255.018768
"2021-04-13",257.600006,258.350006,256.26001,257.410004,694000,254.830643
"2021-04-14",257,257.540009,254.779999,255.050003,890600,252.494293
"2021-04-15",255.869995,258.320007,255.839996,257.140015,1181200,254.563354
"2021-04-16",258.790009,269.320007,258.579987,266.920013,2133400,264.245361
"2021-04-19",265.779999,267.880005,262.769989,265.600006,1157300,262.938568
"2021-04-20",266.26001,269.76001,265.149994,267.23999,1056900,264.562103
"2021-04-21",268.640015,271.579987,268.339996,270.959991,1168400,268.244843
"2021-04-22",270.910004,272.230011,268,269.730011,1053700,267.027191
"2021-04-23",271.079987,274.440002,269.119995,273.920013,1108900,271.175201
"2021-04-26",274.25,275,269,269.540009,1230400,266.839081
"2021-04-27",265.480011,270.369995,262.880005,269.48999,1538800,266.789581
"2021-04-28",270.470001,271.48999,268.100006,268.959991,1290000,266.264893
"2021-04-29",270.799988,274.179993,270.070007,273.440002,1686000,270.700012
"2021-04-30",272.609985,274.630005,271.51001,273.869995,1279200,271.125702
"2021-05-03",275,279.459991,274.559998,277.910004,1094300,275.125214
"2021-05-04",276.51001,283.600006,276.040009,283.5,1644400,280.659241
"2021-05-05",284.839996,285.26001,280.450012,283.279999,1059200,280.441406
"2021-05-06",283.910004,286.350006,283.579987,285.390015,1065400,282.530273
"2021-05-07",284.73999,287.769989,283.01001,287.230011,887800,284.351837
"2021-05-10",288.709991,293.049988,288.059998,288.649994,1497500,285.757599
"2021-05-11",287.359985,287.98999,283.190002,285.839996,1244300,282.975739
"2021-05-12",284.5,286.839996,279.75,279.839996,1869900,277.035889
"2021-05-13",281.040009,287.019989,280.179993,285.809998,1059300,282.946045
"2021-05-14",287.350006,289.290009,285.589996,286.089996,980400,283.223267
"2021-05-17",286.429993,287.579987,282.869995,284.230011,1268700,281.381897
"2021-05-18",284.230011,286.470001,282.839996,283.170013,1034700,280.33255
"2021-05-19",280.609985,282.179993,277.209991,281.269989,1035600,278.451569
"2021-05-20",280.380005,285.459991,280.01001,282.589996,1029100,280.306458
"2021-05-21",283.950012,287.350006,282.839996,283.130005,1438400,280.842102
"2021-05-24",283.839996,285.690002,282.700012,284.970001,923300,282.667206
"2021-05-25",285.5,286.679993,284.570007,285.589996,835200,283.282196
"2021-05-26",286.049988,287.089996,285.119995,285.640015,960900,283.331787
"2021-05-27",286.160004,288.369995,285.579987,285.769989,2675800,283.460693
"2021-05-28",286.609985,286.880005,283.380005,283.529999,1444600,281.238831
"2021-06-01",285.899994,288.640015,282.660004,282.839996,1201600,280.554443
"2021-06-02",285,285.570007,281.48999,282.410004,1304100,280.127899
"2021-06-03",280.769989,283,278.130005,282.570007,1008100,280.286591
"2021-06-04",283.640015,284.329987,281.429993,283.200012,1049100,280.911499
"2021-06-07",283.019989,284.200012,280.440002,280.809998,849500,278.540802
"2021-06-08",281.940002,282.190002,278.73999,281,926100,278.729309
"2021-06-09",279.51001,280.459991,276.109985,276.959991,1879800,274.721954
"2021-06-10",281.950012,282.459991,276.420013,277.859985,1206800,275.614655
"2021-06-11",277.859985,278.799988,275.049988,276.73999,1151900,274.503723
