"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2020-12-14",243.279999,243.5,237.389999,237.789993,1927800,230.904129
"2020-12-15",239.5,243.610001,237.190002,242.429993,2348000,235.40976
"2020-12-16",243.559998,243.899994,241.119995,243.770004,2400900,236.710968
"2020-12-17",245,245.929993,243,244.429993,2983600,237.351852
"2020-12-18",245.389999,245.389999,240.559998,242.130005,4088100,235.118469
"2020-12-21",250.289993,260.850006,248.759995,256.980011,7408500,249.538452
"2020-12-22",256.859985,257.700012,249.800003,250.089996,3599800,242.847931
"2020-12-23",251.5,260.579987,251.300003,256.450012,3376100,249.023788
"2020-12-24",257.040009,257.619995,253.75,256.160004,968100,248.742172
"2020-12-28",257.809998,262.649994,257,259.589996,2793400,252.07283
"2020-12-29",260.26001,260.859985,256.5,258.01001,1430900,250.538605
"2020-12-30",258.809998,260.649994,257.829987,259.450012,1566500,251.93692
"2020-12-31",258.799988,263.929993,258,263.709991,2043100,256.073547
"2021-01-04",267,267.579987,260.160004,265,3572000,257.326202
"2021-01-05",263.880005,273.5,262.570007,270.929993,4207100,263.084442
"2021-01-06",276.290009,288.380005,273.100006,285.549988,6383500,277.281097
"2021-01-07",287.769989,295.890015,286.679993,291.649994,4009700,283.204468
"2021-01-08",292,292.279999,285.059998,290.079987,2800800,281.679932
"2021-01-11",286.799988,295,284.200012,293.829987,2649700,285.32132
"2021-01-12",297.140015,303.980011,296.019989,302.209991,4814400,293.458679
"2021-01-13",300.079987,303.720001,299.100006,302.940002,2413800,294.167542
"2021-01-14",304.049988,309.410004,303.540009,307.869995,3192200,298.954742
"2021-01-15",301.190002,304.859985,296.880005,301.01001,3863700,292.293457
"2021-01-19",305,306.600006,293.799988,294.200012,6727800,285.680603
"2021-01-20",295.820007,297.450012,287.480011,290.470001,4792600,282.058624
"2021-01-21",290.450012,292.73999,288.529999,289.369995,2516000,280.990509
"2021-01-22",286.690002,290.589996,285.5,289.390015,2568800,281.009918
"2021-01-25",285.529999,286.350006,277.5,283.040009,4575000,274.843811
