"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2021-01-29",183.720001,186.490005,178.610001,178.990005,414400,176.677612
"2021-02-01",180.220001,183.009995,179.610001,182.580002,266500,180.221237
"2021-02-02",183.300003,184.020004,182.679993,183.589996,192000,181.218185
"2021-02-03",182.860001,185.100006,182.259995,183.740005,321000,181.366241
"2021-02-04",184.020004,186.960007,184.020004,186.020004,351700,183.616806
"2021-02-05",187.669998,189.839996,185.330002,188.070007,225300,185.640305
"2021-02-08",189.789993,192.059998,189.300003,190,360800,187.545364
"2021-02-09",190.350006,190.350006,187.270004,188.339996,167300,185.906799
"2021-02-10",188.679993,190.220001,186.990005,189.929993,149300,187.476273
"2021-02-11",189.619995,191.5,187.009995,189.139999,373300,186.696487
"2021-02-12",188.429993,188.979996,187.309998,188.270004,123000,185.837738
"2021-02-16",189.809998,189.910004,185.839996,186.240005,223400,183.833939
"2021-02-17",185.460007,186.75,183.339996,183.759995,136900,181.385956
"2021-02-18",183.320007,186.770004,182.520004,185.669998,168000,183.271317
"2021-02-19",187.089996,190.440002,186.970001,187.880005,327100,185.452789
"2021-02-22",186.190002,187.580002,183.529999,184.380005,414400,182.376541
"2021-02-23",187.75,191,185.300003,187.820007,587700,185.779175
"2021-02-24",188.100006,197.179993,187.619995,196.740005,440300,194.602264
"2021-02-25",196.309998,196.309998,191.619995,193.199997,293500,191.100708
"2021-02-26",194.089996,196.369995,191.679993,192.410004,385100,190.319305
"2021-03-01",195.050003,196.589996,193.25,193.779999,264700,191.674408
"2021-03-02",193.889999,195.440002,190.270004,192.960007,225200,190.863327
"2021-03-03",192.759995,197.639999,191.860001,194.600006,231600,192.485519
"2021-03-04",194.190002,196.050003,189.740005,191.470001,333400,189.389511
"2021-03-05",193.649994,196.490005,190.429993,196,199000,193.870285
"2021-03-08",196.470001,200.309998,195,196.529999,222300,194.394531
"2021-03-09",197.389999,198.300003,195.940002,197.199997,391000,195.057251
"2021-03-10",198.360001,202.110001,197.020004,201.720001,213100,199.528152
"2021-03-11",201.220001,202.699997,200.020004,200.869995,148600,198.687363
"2021-03-12",200.929993,202.979996,199.449997,201.710007,195900,199.51825
"2021-03-15",202.179993,208.210007,200.320007,207.240005,230300,204.988159
"2021-03-16",207,207,202.600006,206.149994,247100,203.909988
"2021-03-17",204.710007,208.740005,202.820007,205.729996,187800,203.494568
"2021-03-18",205.759995,207.919998,203.910004,205.240005,160900,203.009903
"2021-03-19",204.630005,205.369995,201.149994,202.160004,567900,199.963364
"2021-03-22",201.75,203.130005,197.699997,201.710007,257900,199.51825
